DateTime,Entries,UniqueIPs
1473912398,14,14
1473915998,16,16
1473923186,16,16
1473926772,16,16
1473930396,15,15
1473934003,15,15
1473937594,16,16
1473941199,17,17
1473944806,18,18
1473948442,18,18
1473952020,15,15
1473955613,15,15
1473959249,14,14
1473962814,13,13
1473966424,14,14
1473970007,16,16
1473973622,18,18
1473977237,17,17
1473980811,17,17
1473984507,17,17
1473987998,18,18
1473991835,18,18
1473995208,17,17
1474002423,17,17
1474006028,15,15
1474009648,16,16
1474016804,17,17
1474020426,16,16
1474024011,16,16
1474027679,15,15
1474031210,14,14
1474034832,14,14
1474038409,16,16
1474042014,16,16
1474045600,18,18
1474049217,17,17
1474052824,15,15
1474060027,14,14
1474063634,17,17
1474067218,16,16
1474070852,17,17
1474074419,18,18
1474078031,16,16
1474081603,15,15
1474085216,15,15
1474088828,14,14
1474092447,14,14
1474095990,16,16
1474099591,16,16
1474106807,15,15
1474110415,12,12
1474114016,14,14
1474117606,16,16
1474124811,15,15
1474128380,17,17
1474135619,15,15
1474139207,16,16
1474142832,14,14
1474150072,16,16
1474153658,14,14
1474157247,15,15
1474160826,16,16
1474164477,14,14
1474167989,14,14
1474171676,17,17
1474175228,17,17
1474178817,18,18
1474182406,18,18
1474185999,17,17
1474189595,16,16
1474193219,18,18
1474196816,18,18
1474200409,19,19
1474204027,18,18
1474207605,13,13
1474211252,14,14
1474214818,14,14
1474218413,15,15
1474222024,17,17
1474225678,18,18
1474229264,19,19
1474232819,18,18
1474236489,16,16
1474240033,17,17
1474243694,14,14
1474247217,16,16
1474254477,15,15
1474258041,15,15
1474261627,15,15
1474265204,17,17
1474272399,16,16
1474275999,15,15
1474279641,13,13
1474283197,17,17
1474288179,17,17
1474291779,17,17
1474298058,18,18
1474301805,17,17
1474305989,18,18
1474308787,17,17
1474312516,16,16
1474316390,17,17
1474319633,16,16
1474323502,15,15
1474326823,16,16
1474334367,17,17
1474337686,17,17
1474341082,19,19
1474348319,18,18
1474352252,16,16
1474355685,17,17
1474359188,18,18
1474366193,20,20
1474369809,20,20
1474373591,18,18
1474380411,16,16
1474384820,15,15
1474388931,14,14
1474391633,17,17
1474401986,18,18
1474405598,15,15
1474409214,18,18
1474412787,20,20
1474416456,19,19
1474419989,19,19
1474423829,17,17
1474427232,16,16
1474431346,17,17
1474435019,15,15
1474439318,14,14
1474442173,15,15
1474449440,15,15
1474457416,16,16
1474460244,17,17
1474464040,18,18
1474467253,16,16
1474475461,15,15
1474482139,14,14
1474487604,15,15
1474488982,15,15
1474493184,16,16
1474499192,15,15
1474502847,14,14
1474506384,13,13
1474510262,14,14
1474521682,14,14
1474525337,15,15
1474535661,15,15
1474539659,13,13
1474543058,15,15
1474549879,14,14
1474553654,16,16
1474557195,15,15
1474560691,16,16
1474565332,17,17
1474568083,18,18
1474571394,19,19
1474582582,17,17
1474585719,17,17
1474589273,17,17
1474592804,15,15
1474596668,18,18
1474600635,18,18
1474604154,17,17
1474607332,18,18
1474611341,17,17
1474614922,18,18
1474618739,18,18
1474622185,17,17
1474625674,15,15
1474629973,14,14
1474632565,16,16
1474636437,18,18
1474640725,17,17
1474647333,16,16
1474650464,15,15
1474654075,16,16
1474657791,17,17
1474661333,16,16
1474665010,15,15
1474668921,15,15
1474672515,15,15
1474675852,16,16
1474679222,16,16
1474684326,17,17
1474690169,16,16
1474693909,15,15
1474697442,15,15
1474701453,16,16
1474704550,16,16
1474708313,17,17
1474711737,18,18
1474715455,17,17
1474719121,18,18
1474722607,17,17
1474726297,16,16
1474729965,14,14
1474736988,13,13
1474744195,13,13
1474748253,13,13
1474751468,14,14
1474762297,15,15
1474765632,18,18
1474769611,18,18
1474776609,17,17
1474780192,14,14
1474783828,12,12
1474787483,14,14
1474791134,15,15
1474794487,16,16
1474801840,15,15
1474808956,16,16
1474812648,14,14
1474816374,14,14
1474820762,14,14
1474823629,16,16
1474827008,15,15
1474830572,15,15
1474834733,17,17
1474837707,16,16
1474841644,17,17
1474845205,19,19
1474848972,18,18
1474852450,18,18
1474855938,18,18
1474859488,17,17
1474873858,15,15
1474878571,16,16
1474885780,17,17
1474889376,15,15
1474892864,16,16
1474895412,15,15
1474898991,14,14
1474902803,16,16
1474906235,13,13
1474910426,13,13
1474913908,14,14
1474917215,15,15
1474920554,18,18
1474927963,17,17
1474935362,14,14
1474938643,15,15
1474942290,16,16
1474949749,17,17
1474953171,16,16
1474960591,15,15
1474964015,13,13
1474967725,13,13
1474972786,14,14
1474974944,16,16
1474978609,17,17
1474981909,19,19
1474985825,17,17
1474989257,16,16
1474993035,15,15
1474996511,15,15
1475000176,14,14
1475003875,15,15
1475014268,14,14
1475018114,13,13
1475021507,14,14
1475025462,16,16
1475028760,17,17
1475036053,17,17
1475039624,16,16
1475043097,17,17
1475050432,16,16
1475053703,16,16
1475057191,15,15
1475060792,14,14
1475067993,12,12
1475075206,13,13
1475078799,14,14
1475082382,13,13
1475089586,15,15
1475096789,13,13
1475100398,14,14
1475103999,17,17
1475114931,19,19
1475118982,17,17
1475126227,16,16
1475129505,16,16
1475133400,15,15
1475137158,17,17
1475140386,18,18
1475143578,17,17
1475147190,16,16
1475150795,16,16
1475155085,15,15
1475158418,17,17
1475165846,18,18
1475169371,19,19
1475172663,18,18
1475176380,18,18
1475180187,17,17
1475183651,14,14
1475187062,16,16
1475190536,18,18
1475195242,19,19
1475197733,19,19
1475204792,18,18
1475208465,19,19
1475212241,16,16
1475215594,17,17
1475219337,18,18
1475222784,17,17
1475226390,17,17
1475231374,16,16
1475234983,15,15
1475238581,17,17
1475242179,14,14
1475245776,15,15
1475249377,18,18
1475252980,17,17
1475258838,17,17
1475262523,16,16
1475266657,19,19
1475269838,18,18
1475273738,18,18
1475276838,19,19
1475280717,18,18
1475284381,17,17
1475288042,17,17
1475291217,18,18
1475294816,19,19
1475298541,18,18
1475302375,17,17
1475306011,15,15
1475310595,13,13
1475314196,19,19
1475317801,21,21
1475321389,22,22
1475327460,17,17
1475331213,18,18
1475335545,16,16
1475338200,17,17
1475345456,16,16
1475348885,19,19
1475352697,18,18
1475356139,17,17
1475359808,18,18
1475363296,15,15
1475367355,16,16
1475370858,16,16
1475374237,16,16
1475377784,17,17
1475381266,14,14
1475385264,15,15
1475388488,16,16
1475392029,16,16
1475395639,17,17
1475399419,17,17
1475403392,17,17
1475406612,17,17
1475410375,16,16
1475413904,18,18
1475421100,18,18
1475424546,17,17
1475428163,18,18
1475435294,16,16
1475439012,12,12
1475442610,14,14
1475453756,15,15
1475457066,15,15
1475464078,18,18
1475467787,17,17
1475471393,16,16
1475478480,14,14
1475482021,15,15
1475485659,14,14
1475493291,17,17
1475496564,18,18
1475507194,17,17
1475510917,16,16
1475514393,15,15
1475518002,15,15
1475521606,15,15
1475528784,16,16
1475532397,16,16
1475543292,14,14
1475554080,14,14
1475557586,17,17
1475561502,17,17
1475564788,18,18
1475569778,17,17
1475573379,16,16
1475576980,18,18
1475584183,20,20
1475587773,18,18
1475590030,17,17
1475597180,18,18
1475601494,17,17
1475604551,16,16
1475607973,17,17
1475611577,16,16
1475615175,18,18
1475618771,18,18
1475622371,17,17
1475625984,18,18
1475629573,18,18
1475633173,17,17
1475636776,19,19
1475640379,18,18
1475643985,15,15
1475647588,13,13
1475651177,14,14
1475658383,13,13
1475661978,13,13
1475665580,13,13
1475669177,13,13
1475676392,14,14
1475680111,16,16
1475683573,17,17
1475687179,15,15
1475690779,15,15
1475694381,15,15
1475705186,15,15
