DateTime,Entries,UniqueIPs
1471633391,1,1
1471647754,0,0
1471676647,1,1
1471701735,0,0
1471708958,1,1
1471723334,0,0
1471726958,1,1
1471741407,0,0
1471791784,1,1
1471806162,0,0
1471813417,1,1
1471827731,0,0
1471834962,1,1
1471870930,0,0
1471903381,1,1
1471932123,0,0
1471997017,1,1
1472011360,0,0
1472018557,1,1
1472036528,0,0
1472061780,1,1
1472079790,0,0
1472137357,1,1
1472151754,0,0
1472155358,1,1
1472170932,0,0
1472195023,1,1
1472209330,0,0
1472234600,1,1
1472256172,0,0
1472288554,1,1
1472302955,0,0
1472360696,1,1
1472389333,0,0
1472414555,1,1
1472443353,0,0
1472490223,1,1
1472501129,2,2
1472504572,2,2
1472508271,3,3
1472518992,2,2
1472522575,1,1
1472536975,2,2
1472572969,1,1
1472587377,2,2
1472598184,3,3
1472608970,4,4
1472616427,3,3
1472619844,2,2
1472623337,0,0
1472626973,1,1
1472634249,2,2
1472641364,4,4
1472648571,3,3
1472655767,2,2
1472688175,4,4
1472691791,3,3
1472702687,0,0
1472706339,1,1
1472713378,2,2
1472716960,3,3
1472720558,4,4
1472727773,5,5
1472735054,4,4
1472742171,2,2
1472752961,3,3
1472767486,4,4
1472774747,3,3
1472781923,4,4
1472785422,4,4
1472789032,5,5
1472796218,4,4
1472810657,5,5
1472814158,4,4
1472817791,3,3
1472832171,4,4
1472839373,3,3
1472850253,2,2
1472857362,3,3
1472864551,4,4
1472871764,3,3
1472875392,4,4
1472889759,3,3
1472893351,2,2
1472896961,4,4
1472911350,2,2
1472914956,3,3
1472922162,4,4
1472925760,5,5
1472929370,4,4
1472932953,5,5
1472940167,3,3
1472947387,3,3
1472954609,4,4
1472961858,4,4
1472968985,3,3
1472976159,3,3
1472979765,4,4
1472990556,3,3
1472994170,4,4
1473004965,5,5
1473008571,3,3
1473012165,4,4
1473030155,3,3
1473037359,3,3
1473041021,5,5
1473055364,4,4
1473076963,3,3
1473084152,2,2
1473095049,4,4
1473109368,2,2
1473123764,4,4
1473127398,4,4
1473130967,3,3
1473138179,4,4
1473141771,5,5
1473152565,3,3
1473156172,2,2
1473166966,3,3
1473170561,4,4
1473195820,2,2
1473228155,4,4
1473235366,5,5
1473242560,4,4
1473256971,4,4
1473271373,3,3
1473274990,4,4
1473282189,5,5
1473296592,4,4
1473300167,5,5
1473303772,6,6
1473311056,5,5
1473314558,4,4
1473318167,5,5
1473321777,6,6
1473329019,5,5
1473332557,4,4
1473336171,4,4
1473343365,5,5
1473346957,4,4
1473357767,4,4
1473368585,3,3
1473372254,5,5
1473386831,4,4
1473397450,4,4
1473404585,5,5
1473415456,4,4
1473422569,3,3
1473426159,4,4
1473433382,3,3
1473444230,5,5
1473447772,4,4
1473451361,3,3
1473454959,4,4
1473458709,3,3
1473465793,5,5
1473490958,3,3
1473498161,4,4
1473501783,3,3
1473505358,3,3
1473508986,5,5
1473526965,6,6
1473530576,5,5
1473534249,5,5
1473541352,4,4
1473545031,4,4
1473548586,5,5
1473562961,6,6
1473573765,5,5
1473580972,4,4
1473598976,5,5
1473609759,6,6
1473624157,5,5
1473634986,5,5
1473642238,4,4
1473645898,3,3
1473649390,5,5
1473652986,6,6
1473656581,5,5
1473667375,4,4
1473670989,5,5
1473674563,4,4
1473678172,6,6
1473681775,5,5
1473685368,5,5
1473696166,4,4
1473706972,5,5
1473710558,6,6
1473714170,5,5
1473721389,4,4
1473735752,5,5
1473739377,4,4
1473746558,5,5
1473750153,3,3
1473757371,4,4
1473760987,5,5
1473764558,4,4
1473775367,3,3
1473796958,4,4
1473825771,5,5
1473836570,5,5
1473840155,4,4
1473847358,4,4
1473850969,5,5
1473858170,6,6
1473861763,5,5
1473868963,4,4
1473872571,3,3
1473883366,4,4
1473890584,3,3
1473894173,2,2
1473901367,4,4
1473912171,5,5
1473919357,6,6
1473926550,5,5
1473937354,4,4
1473940970,5,5
1473944554,3,3
1473951760,4,4
1473955359,5,5
1473959016,4,4
1473962566,5,5
1473969770,4,4
1473973365,6,6
1473977001,4,4
1473991595,5,5
1473994979,5,5
1473998626,4,4
1474005763,3,3
1474009358,4,4
1474016569,5,5
1474023786,4,4
1474030968,4,4
1474034564,6,6
1474041775,5,5
1474048961,3,3
1474052586,4,4
1474059753,2,2
1474063354,4,4
1474066987,6,6
1474092158,3,3
1474099357,4,4
1474102950,3,3
1474106570,4,4
1474124579,3,3
1474142565,2,2
1474149853,4,4
1474153432,5,5
1474164195,3,3
1474167771,2,2
1474171442,4,4
1474174975,5,5
1474192993,4,4
1474196562,4,4
1474211020,3,3
1474221799,4,4
1474236236,5,5
1474254250,4,4
1474257772,5,5
1474275760,4,4
1474279362,3,3
1474282969,5,5
1474301157,4,4
1474305353,5,5
1474308477,4,4
1474312085,5,5
1474323141,4,4
1474326516,3,3
1474331351,2,2
1474333639,3,3
1474337417,4,4
1474344576,5,5
1474351806,4,4
1474355348,5,5
1474358826,4,4
1474369569,5,5
1474373218,6,6
1474384270,4,4
1474388447,4,4
1474394567,5,5
1474398159,6,6
1474408979,5,5
1474419758,4,4
1474423603,3,3
1474427004,4,4
1474430987,3,3
1474434401,4,4
1474438140,5,5
1474449191,6,6
1474459832,5,5
1474466828,3,3
1474470875,3,3
1474475189,4,4
1474477385,5,5
1474481525,6,6
1474492547,5,5
1474496603,5,5
1474502622,5,5
1474506163,4,4
1474510032,4,4
1474513493,5,5
1474517177,5,5
1474528048,4,4
1474535190,6,6
1474547017,5,5
1474549380,5,5
1474560213,6,6
1474564656,3,3
1474571130,4,4
1474574912,4,4
1474592583,3,3
1474596190,4,4
1474607032,5,5
1474610848,4,4
1474621636,3,3
1474629659,2,2
1474632292,3,3
1474635958,4,4
1474664774,5,5
1474668538,6,6
1474678984,5,5
1474683828,4,4
1474686206,5,5
1474707951,6,6
1474711471,5,5
1474715161,6,6
1474718759,5,5
1474722345,6,6
1474736756,4,4
1474740320,5,5
1474747764,4,4
1474754753,4,4
1474761904,3,3
