DateTime,Entries,UniqueIPs
1474182947,264,264
1474186523,261,261
1474190132,263,263
1474193779,262,262
1474197402,263,263
1474201041,268,268
1474204629,269,269
1474208210,267,267
1474211793,268,268
1474215409,264,264
1474219001,265,265
1474222616,267,267
1474226294,267,267
1474229924,272,272
1474233406,265,265
1474237082,267,267
1474240560,268,268
1474244270,291,291
1474247822,295,295
1474251459,292,292
1474255104,272,272
1474258622,271,271
1474262229,271,271
1474265814,264,264
1474269369,268,268
1474272987,265,265
1474276609,264,264
1474280215,262,262
1474283772,260,260
1474289602,260,260
1474294025,260,260
1474297580,263,263
1474300428,262,262
1474303939,263,263
1474308064,268,268
1474311682,265,265
1474316291,266,266
1474318701,266,266
1474321693,262,262
1474325682,260,260
1474329432,260,260
1474334111,285,285
1474336471,284,284
1474339498,280,280
1474344081,262,262
1474346970,264,264
1474352259,259,259
1474354013,263,263
1474357175,258,258
1474361657,264,264
1474364889,267,267
1474372474,269,269
1474375390,268,268
1474377418,267,267
1474381278,264,264
1474386960,258,258
1474392686,255,255
1474395427,251,251
1474398954,257,257
1474402578,262,262
1474406157,262,262
1474409798,264,264
1474413333,265,265
1474417023,282,282
1474420598,285,285
1474424457,280,280
1474430074,261,261
1474433354,262,262
1474438586,259,259
1474441691,255,255
1474445885,253,253
1474448846,255,255
1474452432,262,262
1474455291,267,267
1474462056,268,268
1474463213,267,267
1474466303,263,263
1474469037,263,263
1474473433,264,264
1474478413,263,263
1474484244,262,262
1474489839,271,271
1474495454,271,271
1474497755,271,271
1474499804,274,274
1474503438,290,290
1474506963,286,286
1474510837,285,285
1474517807,267,267
1474519205,268,268
1474524012,267,267
1474527248,262,262
1474534453,250,250
1474537574,251,251
1474542695,247,247
1474544944,251,251
1474549087,250,250
1474552565,252,252
1474555126,256,256
1474558308,252,252
1474561718,250,250
1474569120,244,244
1474573642,244,244
1474576667,251,251
1474580912,249,249
1474586221,249,249
1474589806,273,273
1474593352,279,279
1474597259,280,280
1474603127,261,261
1474605842,263,263
1474609820,260,260
1474613686,259,259
1474616385,261,261
1474621380,252,252
1474623945,250,250
1474627596,255,255
1474630924,251,251
1474634466,258,258
1474637686,254,254
1474642166,252,252
1474644905,255,255
1474648463,256,256
1474651752,255,255
1474654904,252,252
1474658695,257,257
1474662322,257,257
1474665879,261,261
1474670075,256,256
1474673584,256,256
1474676944,277,277
1474680792,275,275
1474685756,279,279
1474688106,264,264
1474691271,253,253
1474694954,249,249
1474698729,251,251
1474702751,250,250
1474706234,251,251
1474709103,257,257
1474712733,259,259
1474716580,261,261
1474720261,259,259
1474723881,257,257
1474727969,253,253
1474731729,252,252
1474734658,253,253
1474738273,250,250
1474741684,249,249
1474745071,248,248
1474749084,249,249
1474752157,253,253
1474756391,252,252
1474759346,249,249
1474763360,273,273
1474766275,276,276
1474770478,275,275
1474773850,270,270
1474777503,261,261
1474781406,257,257
1474784490,263,263
1474788282,265,265
1474792068,266,266
1474795774,272,272
1474799384,265,265
1474802603,266,266
1474806755,262,262
1474810452,260,260
1474813717,263,263
1474817881,262,262
1474821919,260,260
1474825179,264,264
1474827963,264,264
1474831429,265,265
1474836420,264,264
1474838856,264,264
1474843067,265,265
1474846587,267,267
1474850329,280,280
1474853541,279,279
1474856955,277,277
1474860620,250,250
1474864581,249,249
1474867757,249,249
1474870831,250,250
1474875093,245,245
1474882536,248,248
1474886084,248,248
1474889720,246,246
1474893519,254,254
1474896443,255,255
1474899707,255,255
1474904395,253,253
1474907675,249,249
1474912204,252,252
1474914973,252,252
1474920066,252,252
1474922234,254,254
1474925561,257,257
1474929563,249,249
1474933696,247,247
1474937088,263,263
1474940152,271,271
1474944262,274,274
1474948063,254,254
1474951584,254,254
1474954928,248,248
1474959604,243,243
1474964154,242,242
1474965814,248,248
1474969703,253,253
1474974967,247,247
1474976541,251,251
1474980299,245,245
1474983706,244,244
1474987578,244,244
1474991186,247,247
1474995339,248,248
1474998697,250,250
1475003661,249,249
1475006478,251,251
1475008827,249,249
1475013494,250,250
