DateTime,AddedIPs,RemovedIPs
1468066111,0,1
1468080502,1,0
1468091287,1,0
1468148851,0,1
1468156082,1,0
1468174196,0,1
1468181549,1,0
1468274939,0,1
1468285630,0,1
1468296567,1,0
1468300189,2,0
1468307269,1,0
1468318042,0,1
1468332444,1,0
1468375859,0,2
1468379232,0,1
1468390068,1,0
1468400865,1,0
1468408042,0,1
1468415276,0,1
1468426079,1,0
1468433381,0,1
1468436865,1,0
1468451230,1,1
1468458502,1,0
1468480046,0,1
1468487258,1,0
1468555804,0,1
1468566799,0,1
1468574004,1,0
1468599202,1,0
1468635087,0,1
1468638456,1,0
1468688867,0,1
1468692448,1,0
1468732064,0,1
1468739320,0,1
1468746460,1,0
1468757299,0,1
1468760830,0,1
1468768066,2,0
1468782433,0,1
1468786071,1,0
1468789632,0,1
1468796855,2,0
1468800524,0,1
1468811221,0,2
1471162092,1,0
1471172839,1,0
1471176487,1,0
1471180042,0,1
1471216019,1,0
1471230433,0,1
1471237741,0,1
1471241244,0,1
1471244849,1,0
1471252076,1,0
1471255626,1,0
1471291639,1,0
1471295224,1,0
1471306055,1,0
1471309708,0,2
1471313537,1,0
1471316846,0,2
1471352854,0,2
1471356461,1,0
1471360083,1,0
1471403212,0,3
1471464457,1,0
1471468051,1,0
1471478883,1,0
1471489646,0,1
1471496902,0,1
1471500443,1,0
1471504051,1,0
1471507687,0,1
1471522083,1,0
1471597681,0,1
1471601308,1,0
1471615675,0,1
1471622835,0,1
1471626479,1,1
1471630032,1,0
1471640848,1,1
1471651655,1,0
1471658931,0,1
1471662461,1,0
1471666052,0,1
1471680421,1,0
1471691242,0,1
1471694853,1,1
1471702040,0,1
1471705660,1,0
1471709282,0,1
1471720075,2,1
1471723635,1,0
1471734457,0,2
1471748846,1,0
1471766862,0,1
1471770454,1,1
1471774040,1,0
1471784855,0,1
1471813639,0,1
1471914475,3,0
1471918043,3,0
1471932433,0,1
1471936051,1,0
1471950464,0,1
1471957657,0,1
1471961275,0,1
1471964838,0,2
1471968479,4,1
1471975736,1,0
1471982876,1,1
1471986470,0,2
1471993679,1,0
1471997310,1,2
1472004599,2,0
1472008035,1,0
1472040452,0,1
1472044034,1,1
1472051253,0,1
1472054848,2,0
1472062041,0,1
1472065696,1,0
1472080087,0,2
1472087319,1,0
1472094423,1,4
1472098021,1,0
1472101771,2,1
1472105248,2,0
1472119630,0,1
1472123298,0,1
1472126851,0,1
1472130450,1,0
1472134038,1,2
1472144848,1,0
1472148434,1,0
1472162864,0,1
1472166486,1,0
1472171499,1,2
1472180823,0,1
1472224122,0,1
1472227672,1,0
1472245636,3,1
1472249346,1,0
1472267222,0,1
1472274485,1,0
1472296026,0,1
1472303255,1,0
1472314061,0,1
1472328427,1,0
1472342965,0,1
1472357384,0,1
1472364459,1,0
1472371610,1,1
1472386054,1,0
1472422080,0,1
1472425624,1,0
1472432868,0,1
1472440046,0,2
1472447317,0,2
1472450805,0,1
1472454434,1,0
1472468848,1,1
1472472431,2,0
1472476090,2,0
1472486875,0,1
1472490476,0,1
1472494084,2,0
1472497655,1,0
1472512028,0,1
1472526585,0,2
1472533785,0,2
1472537219,2,0
1472558887,0,1
1472566061,1,0
1472587768,0,1
1472591341,1,1
1472602134,1,0
1472713645,0,1
1472720820,1,1
1472735331,1,1
1472756837,2,0
1472760461,2,0
1472771243,0,1
1472775016,0,1
1472785683,0,2
1472792900,2,0
1472807282,0,1
1472810906,2,0
1472814441,1,2
1472818061,1,0
1472825266,1,0
1472832449,0,1
1472836038,1,0
1472846836,0,2
1472850516,1,0
1472854099,0,1
1472857647,1,0
1472864840,0,1
1472872034,1,3
1472875668,1,0
1472911669,0,1
1472915275,1,0
1472922416,0,1
1472926088,1,0
1472990834,3,0
1472998089,0,1
1473005249,1,0
1473034016,0,1
1473037616,3,1
1473044846,1,0
1473052065,0,2
1473055628,1,0
1473059231,1,1
1473066445,0,1
1473070034,1,0
1473073628,1,0
1473080829,0,1
1473084414,0,1
1473088038,1,0
1473091609,1,1
1473098845,1,0
1473102430,0,1
1473106048,1,1
1473109642,1,0
1473124054,1,1
1473127681,1,1
1473131230,0,2
1473138446,0,1
1473142029,1,0
1473149230,0,1
1473160004,1,0
1473178040,0,1
1473185278,1,0
1473203285,0,2
1473210455,2,0
1473232046,0,3
1473239219,3,0
1473242808,0,1
1473250054,1,0
1473260872,0,1
1473264399,1,0
1473329283,0,3
1473332836,3,0
1473347240,0,2
1473358034,2,0
1473361663,0,1
1473365232,0,1
1473379675,1,0
1473383239,3,1
1473397705,0,2
1473401268,2,0
1473404856,0,2
1473408459,1,0
1473412077,0,2
1473415715,0,1
1473419231,4,0
1473422889,0,1
1473426463,3,0
1473440822,0,1
1473444506,1,4
1473448099,1,0
1473451684,0,1
1473455288,3,0
1473458975,0,1
1473462451,1,1
1473469695,1,0
1473476851,0,2
1473480521,0,1
1473484068,1,0
1473498458,0,1
1473502069,0,1
1473505629,0,1
1473509259,1,0
1473512817,1,0
1473520081,1,0
1473527257,0,1
1473545294,1,1
1473552499,0,2
1473559949,2,0
1473563248,0,1
1473570450,2,0
1473574025,0,1
1473577677,1,0
1473595655,0,1
1473610028,1,0
1473624478,0,1
1473628054,1,0
1473631634,0,1
1473642496,0,1
1473649645,1,1
1473656859,0,2
1473664040,1,0
1473667631,3,0
1473682041,0,2
1473685648,1,1
1473692854,1,0
1473710818,1,0
1473718168,0,1
1473725370,1,0
1473728823,0,1
1473732483,0,1
1473736037,2,0
1473739659,0,1
1473746826,1,0
1473750425,0,1
1473754018,0,2
1473757627,2,0
1473761237,2,0
1473764854,0,1
1473768431,1,0
1473775638,0,1
1473779237,1,0
1473782844,1,0
1473793658,0,1
1473797237,0,1
1473800829,1,0
1473804500,0,1
1473811691,1,0
1473815240,0,1
1473818851,0,1
1473822430,0,1
1473826032,2,0
1473829634,0,1
1473836835,0,1
1473840441,1,1
1473844044,1,0
1473851236,1,0
1473883624,0,2
1473887251,0,1
1473894467,1,0
1473898073,1,0
1473916030,1,0
1473926803,0,1
1473934034,1,0
1473980843,0,1
1473984539,1,0
1473995240,0,1
1473998878,1,1
1474013207,0,1
1474016835,1,0
1474020457,0,1
1474024042,1,0
1474027710,1,0
1474034864,0,1
1474042044,1,0
1474045632,0,1
1474049248,0,1
1474052856,1,1
1474056433,1,0
1474063665,0,1
1474067249,0,2
1474074453,0,1
1474078066,1,0
1474085249,1,0
1474088861,1,0
1474092480,2,0
1474096023,1,0
1474099625,1,0
1474103275,1,0
1474117638,0,1
1474121250,0,1
1474124846,0,1
1474128413,1,0
1474132025,1,1
1474135652,0,1
1474146451,2,0
1474153691,1,0
1474160861,0,3
1474164509,1,0
1474168020,0,3
1474171715,1,0
1474175258,0,1
1474186031,1,0
1474193251,1,1
1474196846,1,0
1474218445,0,1
1474222055,0,2
1474229302,3,0
1474258073,0,1
1474261654,1,0
1474265240,0,1
1474268844,1,0
1474272431,0,1
1474276030,1,1
1474279672,1,0
1474283228,0,1
1474288267,1,0
1474366256,0,1
1474373749,1,0
1474427268,0,1
1474435179,1,0
1474475621,0,1
1474477648,0,1
1474489095,1,0
1474493344,1,0
1474506416,0,4
1474510294,1,1
1474521840,1,0
1474543093,0,1
1474547549,1,0
1474575435,3,0
1474665048,0,1
1474668960,0,1
1474672673,2,0
1474787531,0,1
1474791167,0,1
1474794520,1,0
1474798296,0,1
1474801873,1,0
1474809004,0,1
1474812807,2,0
1474855970,0,1
1474859518,0,2
1475086019,0,1
1475089618,1,1
1475096822,1,0
1475104033,0,1
1475111213,0,1
1475126263,1,0
1475129539,1,0
1475133561,2,0
1475140546,2,0
1475147223,0,1
1475162230,0,1
1475166006,1,0
1475195336,0,2
1475197891,0,1
1475231532,0,1
1475235142,1,0
1475298578,0,1
1475302408,2,1
1475310755,3,0
1475352858,0,1
1475367390,0,2
1475370893,0,2
1475374274,4,1
1475385424,1,0
1475399452,0,3
1475403429,3,0
1475417826,1,0
1475431716,0,1
1475435327,0,1
1475442643,0,2
1475446104,1,1
1475449940,2,0
1475453914,2,0
1475464112,0,3
1475489642,0,3
1475496599,2,0
1475500056,1,0
1475543339,0,1
1475554110,1,0
1475577139,3,0
1475580737,1,0
1475590062,0,1
1475607999,0,1
1475615206,1,0
1475636810,0,1
1475644019,1,2
1475647621,1,0
1475651210,1,1
1475654816,0,1
1475658417,1,0
1475669210,0,1
1475672819,1,0
1475680143,0,1
1475683606,2,0
1475698009,0,1
1475705218,0,1
1475712407,1,0
1475719606,0,1
1475723206,0,1
1475752011,0,1
1475762812,1,0
1475791612,0,1
1475795222,1,0
1475809615,0,1
1475816808,1,0
1475845613,0,1
1475852805,1,1
1475856415,1,0
1475946419,0,1
1475950018,1,0
1475953618,0,1
