DateTime,Entries,UniqueIPs
1467979669,6,6
1468015673,5,5
1468030362,2,2
1468033704,1,1
1468066111,0,0
1468080502,1,1
1468091287,2,2
1468148851,1,1
1468156082,2,2
1468174196,1,1
1468181549,2,2
1468274939,1,1
1468285630,0,0
1468296567,1,1
1468300189,3,3
1468307269,4,4
1468318042,3,3
1468332444,4,4
1468375859,2,2
1468379232,1,1
1468390068,2,2
1468400865,3,3
1468408042,2,2
1468415276,1,1
1468426079,2,2
1468433381,1,1
1468436865,2,2
1468451230,2,2
1468458502,3,3
1468480046,2,2
1468487258,3,3
1468555804,2,2
1468566799,1,1
1468574004,2,2
1468599202,3,3
1468635087,2,2
1468638456,3,3
1468688867,2,2
1468692448,3,3
1468732064,2,2
1468739320,1,1
1468746460,2,2
1468757299,1,1
1468760830,0,0
1468768066,2,2
1468782433,1,1
1468786071,2,2
1468789632,1,1
1468796855,3,3
1468800524,2,2
1468811221,0,0
1471162092,1,1
1471172839,2,2
1471176487,3,3
1471180042,2,2
1471216019,3,3
1471230433,2,2
1471237741,1,1
1471241244,0,0
1471244849,1,1
1471252076,2,2
1471255626,3,3
1471291639,4,4
1471295224,5,5
1471306055,6,6
1471309708,4,4
1471313537,5,5
1471316846,3,3
1471352854,1,1
1471356461,2,2
1471360083,3,3
1471403212,0,0
1471464457,1,1
1471468051,2,2
1471478883,3,3
1471489646,2,2
1471496902,1,1
1471500443,2,2
1471504051,3,3
1471507687,2,2
1471522083,3,3
1471597681,2,2
1471601308,3,3
1471615675,2,2
1471622835,1,1
1471626479,1,1
1471630032,2,2
1471640848,2,2
1471651655,3,3
1471658931,2,2
1471662461,3,3
1471666052,2,2
1471680421,3,3
1471691242,2,2
1471694853,2,2
1471702040,1,1
1471705660,2,2
1471709282,1,1
1471720075,2,2
1471723635,3,3
1471734457,1,1
1471748846,2,2
1471766862,1,1
1471770454,1,1
1471774040,2,2
1471784855,1,1
1471813639,0,0
1471914475,3,3
1471918043,6,6
1471932433,5,5
1471936051,6,6
1471950464,5,5
1471957657,4,4
1471961275,3,3
1471964838,1,1
1471968479,4,4
1471975736,5,5
1471982876,5,5
1471986470,3,3
1471993679,4,4
1471997310,3,3
1472004599,5,5
1472008035,6,6
1472040452,5,5
1472044034,5,5
1472051253,4,4
1472054848,6,6
1472062041,5,5
1472065696,6,6
1472080087,4,4
1472087319,5,5
1472094423,2,2
1472098021,3,3
1472101771,4,4
1472105248,6,6
1472119630,5,5
1472123298,4,4
1472126851,3,3
1472130450,4,4
1472134038,3,3
1472144848,4,4
1472148434,5,5
1472162864,4,4
1472166486,5,5
1472171499,4,4
1472180823,3,3
1472224122,2,2
1472227672,3,3
1472245636,5,5
1472249346,6,6
1472267222,5,5
1472274485,6,6
1472296026,5,5
1472303255,6,6
1472314061,5,5
1472328427,6,6
1472342965,5,5
1472357384,4,4
1472364459,5,5
1472371610,5,5
1472386054,6,6
1472422080,5,5
1472425624,6,6
1472432868,5,5
1472440046,3,3
1472447317,1,1
1472450805,0,0
1472454434,1,1
1472468848,1,1
1472472431,3,3
1472476090,5,5
1472486875,4,4
1472490476,3,3
1472494084,5,5
1472497655,6,6
1472512028,5,5
1472526585,3,3
1472533785,1,1
1472537219,3,3
1472558887,2,2
1472566061,3,3
1472587768,2,2
1472591341,2,2
1472602134,3,3
1472713645,2,2
1472720820,2,2
1472735331,2,2
1472756837,4,4
1472760461,6,6
1472771243,5,5
1472775016,4,4
1472785683,2,2
1472792900,4,4
1472807282,3,3
1472810906,5,5
1472814441,4,4
1472818061,5,5
1472825266,6,6
1472832449,5,5
1472836038,6,6
1472846836,4,4
1472850516,5,5
1472854099,4,4
1472857647,5,5
1472864840,4,4
1472872034,2,2
1472875668,3,3
1472911669,2,2
1472915275,3,3
1472922416,2,2
1472926088,3,3
1472990834,6,6
1472998089,5,5
1473005249,6,6
1473034016,5,5
1473037616,7,7
1473044846,8,8
1473052065,6,6
1473055628,7,7
1473059231,7,7
1473066445,6,6
1473070034,7,7
1473073628,8,8
1473080829,7,7
1473084414,6,6
1473088038,7,7
1473091609,7,7
1473098845,8,8
1473102430,7,7
1473106048,7,7
1473109642,8,8
1473124054,8,8
1473127681,8,8
1473131230,6,6
1473138446,5,5
1473142029,6,6
1473149230,5,5
1473160004,6,6
1473178040,5,5
1473185278,6,6
1473203285,4,4
1473210455,6,6
1473232046,3,3
1473239219,6,6
1473242808,5,5
1473250054,6,6
1473260872,5,5
1473264399,6,6
1473329283,3,3
1473332836,6,6
1473347240,4,4
1473358034,6,6
1473361663,5,5
1473365232,4,4
1473379675,5,5
1473383239,7,7
1473397705,5,5
1473401268,7,7
1473404856,5,5
1473408459,6,6
1473412077,4,4
1473415715,3,3
1473419231,7,7
1473422889,6,6
1473426463,9,9
1473440822,8,8
1473444506,5,5
1473448099,6,6
