DateTime,Entries,UniqueIPs
1470823732,10,10
1470838146,9,9
1470841754,10,10
1470856161,9,9
1470859717,10,10
1470881453,9,9
1470892154,8,8
1470895762,8,8
1470899348,9,9
1470920964,8,8
1470924541,9,9
1470938908,8,8
1470953321,10,10
1470967898,8,8
1470971343,9,9
1470982180,8,8
1470985726,7,7
1470992946,8,8
1471000190,10,10
1471018155,9,9
1471028982,8,8
1471032556,8,8
1471039803,10,10
1471083009,9,9
1471086541,8,8
1471090148,9,9
1471093760,10,10
1471129753,8,8
1471136950,10,10
1471144131,9,9
1471151325,8,8
1471162209,7,7
1471176602,8,8
1471194554,7,7
1471198126,7,7
1471208921,9,9
1471216134,8,8
1471219871,9,9
1471230526,10,10
1471237835,9,9
1471244943,8,8
1471252170,7,7
1471255722,9,9
1471263017,10,10
1471270145,9,9
1471277376,10,10
1471291753,9,9
1471295339,10,10
1471298998,9,9
1471313632,9,9
1471320545,10,10
1471338544,9,9
1471345799,8,8
1471352947,9,9
1471363729,10,10
1471385343,9,9
1471392579,8,8
1471396168,10,10
1471410639,9,9
1471414164,9,9
1471428602,8,8
1471432123,9,9
1471435812,8,8
1471439364,9,9
1471442940,10,10
1471457329,9,9
1471460938,10,10
1471475314,8,8
1471478979,10,10
1471486301,11,11
1471529380,10,10
1471532938,9,9
1471550958,10,10
1471558165,11,11
1471576148,10,10
1471594173,8,8
1471597777,9,9
1471608539,9,9
1471612179,10,10
1471640941,9,9
1471644585,10,10
1471662554,9,9
1471669793,8,8
1471673316,10,10
1471684191,9,9
1471687722,8,8
1471705755,9,9
1471712954,10,10
1471734552,9,9
1471738174,10,10
1471741799,11,11
1471748939,10,10
1471756144,11,11
1471770547,10,10
1471774132,11,11
1471846119,10,10
1471849746,10,10
1471856927,11,11
1471892934,10,10
1471903734,9,9
1471907356,9,9
1471910920,10,10
1471914572,11,11
1471921754,10,10
1471936145,9,9
1471943399,10,10
1471946978,9,9
1471950559,10,10
1472015431,9,9
1472018936,10,10
1472022545,9,9
1472072988,10,10
1472083844,11,11
1472087417,10,10
1472098115,9,9
1472108924,10,10
1472119725,9,9
1472123394,8,8
1472126946,9,9
1472134136,11,11
1472162959,10,10
1472171847,11,11
1472184647,10,10
1472195377,9,9
1472198932,10,10
1472202534,11,11
1472216933,10,10
1472220526,9,9
1472224218,11,11
1472238531,10,10
1472245731,10,10
1472256635,11,11
1472260154,10,10
1472263915,12,12
1472267316,11,11
1472278121,9,9
1472299719,10,10
1472314154,8,8
1472317756,9,9
1472321343,8,8
1472324947,9,9
1472335858,10,10
1472339345,11,11
1472382528,10,10
1472389735,11,11
1472418534,10,10
1472429374,11,11
1472436697,11,11
1472440147,12,12
1472483309,11,11
1472494177,10,10
1472497749,12,12
1472526678,11,11
1472533878,12,12
1472602227,13,13
1472612903,10,10
1472616783,11,11
1472620196,12,12
1472623730,11,11
1472627314,10,10
1472630919,13,13
1472656159,12,12
1472666930,13,13
1472677869,11,11
1472681348,11,11
1472684940,13,13
1472688539,14,14
1472695912,13,13
1472699325,12,12
1472710132,13,13
1472738958,12,12
1472749874,12,12
1472764159,13,13
1472771337,12,12
1472778561,13,13
1472792994,12,12
1472796572,12,12
1472814535,13,13
1472825360,12,12
1472836133,13,13
1472861317,16,16
1472868722,15,15
1472872128,13,13
