DateTime,AddedIPs,RemovedIPs
1466204675,2,0
1466255123,0,1
1466265877,1,0
1466269482,0,1
1466273098,1,0
1466294935,0,1
1466298514,0,1
1466302206,1,0
1466316348,0,1
1466323475,1,0
1466327074,1,0
1466330709,0,1
1466334315,1,0
1466366704,0,1
1466373901,1,1
1466377478,1,0
1466409889,0,1
1466413514,1,0
1466442314,0,1
1466467645,1,1
1466481985,1,1
1466489086,1,0
1466525092,0,1
1466528672,1,0
1466543123,0,1
1466550331,1,0
1466564672,0,1
1466568324,1,0
1466571909,0,1
1466575523,1,0
1466582687,0,1
1466589929,1,0
1466622316,0,1
1466625893,0,1
1466640330,1,0
1466643894,1,0
1466651075,0,1
1466669109,1,1
1466697912,0,1
1466705072,1,0
1466712293,1,0
1466726644,0,2
1466730330,2,0
1466751886,0,1
1466755541,0,1
1466759077,1,0
1466766289,1,1
1466769948,1,0
1466773465,0,1
1466780685,1,0
1466795101,0,2
1466798655,1,0
1466809483,1,0
1466845470,0,1
1466849121,0,1
1466852687,2,0
1466867090,0,2
1466877877,1,0
1466885134,1,0
1466892298,0,1
1466913889,1,0
1466928321,0,1
1466935477,1,0
1466960702,0,1
1466964415,1,0
1466975108,0,1
1466978781,0,1
1466982311,2,0
1466989532,0,1
1466996668,1,1
1467003876,1,0
1467029084,0,1
1467032696,1,0
1467097501,0,1
1467104699,0,1
1467108317,2,0
1467122719,0,1
1467144274,0,1
1467147926,2,0
1467158694,0,1
1467162295,1,0
1467183873,0,1
1467187475,1,0
1467219908,0,1
1467223530,0,1
1467227073,1,0
1467230689,0,1
1467237941,1,0
1467252318,1,0
1467284721,0,1
1467288320,0,1
1467291875,2,0
1467324314,0,1
1467342283,1,0
1467356675,0,1
1467360267,1,0
1467374693,0,1
1467378264,0,1
1467381885,2,0
1467407116,0,1
1467417890,1,0
1467428653,0,1
1467435903,0,1
1467439516,1,0
1467443102,0,1
1467446673,1,0
1467453924,1,0
1467464726,0,1
1467468298,1,0
1467475492,0,1
1467482711,1,0
1467486331,0,1
1467489875,1,0
1467504398,0,1
1467515111,1,0
1467529543,0,1
1467533104,1,0
1467554704,0,1
1467561913,0,1
1467569083,1,0
1467583530,1,0
1467608703,0,1
1467612354,1,0
1467615887,0,1
1467623086,1,0
1467655545,0,1
1467662693,1,0
1467666256,0,1
1467677032,0,1
1467687897,1,0
1467691477,1,0
1467702314,0,1
1467709467,1,0
1467727499,0,1
1467741945,1,0
1467752685,0,1
1467756412,1,0
1467767149,0,1
1467770953,0,1
1467778007,1,0
1467785100,1,0
1467817474,0,1
1467831916,1,0
1467835504,0,1
1467839087,1,0
1467849898,0,1
1467857242,1,1
1467871471,0,2
1467875125,2,0
1467885884,1,0
1467889483,0,1
1467893072,1,0
1467900284,0,1
1467903886,0,1
1467907501,0,1
1467954414,1,0
1467972296,0,1
1467983076,1,0
1467997516,0,1
1468015497,1,0
1468033538,1,0
1468076806,0,1
1468087493,1,0
1468105565,0,1
1468109098,1,0
1468148676,0,1
1468152334,1,0
1468195527,0,1
1468206323,1,0
1468271193,0,1
1468274771,1,0
1468281904,0,1
1468292690,1,0
1468328669,0,1
1468332272,1,0
1468353930,0,1
1468379063,1,0
1468397152,0,1
1468400689,1,0
1468429480,0,2
1468433196,1,0
1468436687,1,0
1468476320,0,1
1468497884,1,0
1468512287,0,1
1468530291,0,1
1468533966,1,0
1468573697,0,1
1468577294,0,1
1468584470,0,1
1468588131,1,1
1468595308,1,0
1468602286,1,0
1468605889,1,0
1468616684,1,0
1468631106,0,1
1468634917,0,1
1468649095,1,0
1468659895,1,0
1468674289,0,1
1468677893,1,0
1468710337,0,1
1468713916,1,0
1468767896,0,1
1468778686,0,1
1468782257,1,0
1468789458,1,0
1468836272,0,1
1468839896,1,0
1468854278,0,1
1468868698,1,0
1468883131,0,1
1468897557,1,0
1468929882,0,1
1468951463,1,0
1468969498,0,1
1469001898,1,0
1469016276,0,1
1469048692,1,0
1469099082,0,1
1469120694,1,0
1469127876,0,1
1469135070,1,0
1469217884,0,1
1469221521,1,0
1469271871,0,1
1469275576,1,0
1469311577,0,1
1469315086,1,0
1469329487,0,1
1469336779,1,0
1469351076,0,1
1469354742,1,0
1469387092,1,1
1469397996,1,0
1469405096,0,1
1469408682,1,0
1469444681,0,1
1469466344,1,0
1469498813,0,1
1469502287,1,0
1469505929,0,1
1469513101,1,0
1469523882,0,1
1469531088,1,0
1469563549,0,1
1469570712,1,0
1469664289,0,1
1469689476,1,0
1469721916,0,1
1469739888,1,0
1469754452,0,1
1469757958,1,0
1469840777,0,1
1469851504,1,0
1469916358,0,1
1469938030,1,0
1469952353,0,1
1469973901,1,0
1469977481,0,1
1469981122,1,0
1470017173,0,1
1470035093,1,0
1470139488,0,1
1470146690,1,0
1470150273,0,1
1470161139,1,0
1470175590,0,1
1470179059,1,0
1470204260,0,1
1470207873,1,0
1470233102,0,1
1470236716,1,0
1470251103,0,1
1470258279,1,0
1470269147,0,1
1470276445,1,0
1470319470,0,2
1470323131,1,0
1470359122,1,0
1470373521,0,1
1470387884,1,0
1470402271,0,1
1470409526,1,0
1470434690,0,1
1470438337,0,1
1470441945,1,1
1470456279,2,0
1470524733,0,1
1470535546,1,0
1470549863,0,1
1470553474,1,0
1470557078,0,1
1470560681,1,0
1470567880,0,1
1470593059,1,0
1470632808,0,1
1470636265,1,0
1470650651,0,1
1470654273,1,1
1470665112,1,0
1470668708,0,1
1470672380,1,0
1470690258,0,1
1470711884,1,0
1470722655,0,1
1470726265,0,1
1470733457,2,0
1470747908,0,1
1470758674,1,0
1470812680,0,1
1470816317,1,0
1470834300,0,1
1470845092,1,0
1470881193,0,1
1470884664,1,0
1470924277,0,1
1470956659,2,0
1470981920,0,1
1470996291,1,0
1471003542,0,1
1471007090,1,1
1471010677,1,0
1471014284,0,1
1471021472,1,0
1471043067,0,1
1471046722,1,0
1471082739,0,1
1471086268,1,0
1471133077,0,1
1471136676,1,0
1471158285,0,1
1471187055,1,0
1471201466,0,1
1471212406,0,1
1471215846,1,1
1471219599,2,0
1471241098,0,1
1471248304,1,0
1471255466,0,1
1471262741,0,1
1471266335,1,0
1471277103,1,0
1471356289,0,1
1471374274,1,0
1471428322,0,1
1471431841,1,0
1471446359,0,1
1471457067,1,0
1471489479,0,1
1471493147,1,0
1471507519,0,1
1471511065,1,0
1471572276,0,1
1471586658,1,0
1471601137,0,1
1471615514,1,0
1471633479,0,1
1471647873,1,0
1471662282,0,1
1471665876,1,0
1471727076,0,1
1471734281,0,1
1471737912,2,0
1471755881,0,1
1471759515,1,0
1471773867,0,1
1471784685,1,0
1471809903,0,1
1471824306,1,0
1471845851,1,1
1471849484,1,0
1471867519,0,1
1471885486,1,0
1471903473,0,1
1471925133,1,0
1471961097,0,1
1471979113,1,0
1472000650,0,1
1472004419,1,1
1472007872,1,0
1472025886,0,1
1472029516,1,0
1472043856,0,1
1472047592,1,1
1472054670,1,0
1472123119,0,1
1472238271,0,1
1472241876,1,0
1472263647,0,1
1472418265,0,1
1472429106,1,0
1472555115,1,0
1472605545,0,1
1472616513,1,0
1472627061,0,2
1472713466,1,0
1472731488,0,1
1472735144,1,0
1472803483,1,0
1472817878,0,1
1472940254,0,1
1472958340,0,1
1472961980,1,0
1473073448,0,1
1473077067,1,0
1473109472,1,0
1473123884,0,1
1473177866,1,0
1473235470,1,0
1473239054,1,0
1473293149,0,1
1473296678,1,0
1473321869,0,1
1473336265,0,1
1473347060,1,0
1473397536,0,1
1473401089,1,1
1473408286,1,0
1473426281,0,1
1473487535,0,1
1473491082,1,0
1473494709,1,0
1473505462,0,1
1473509082,0,1
1473512644,1,0
1473599068,0,1
1473602664,1,0
1473757464,0,1
1473764683,1,0
1473804327,0,1
1473807886,1,0
1473851062,1,0
1473890732,0,1
1473897901,0,1
1473905204,1,0
1474203879,0,1
1474207464,1,0
1474344689,1,0
1474358914,0,1
1474388791,0,1
1474401847,1,0
1474419846,0,1
1474423692,1,0
1474453024,0,1
1474463766,0,1
1474466982,1,0
1474499048,1,0
1474513960,0,1
1474532187,0,1
1474535402,1,0
1474547235,1,0
1474560553,0,1
1474675713,0,1
1474679080,1,0
1474711565,0,1
1474715313,2,0
1474729808,0,1
1474870045,1,1
1474873717,1,0
1474885512,0,1
1475035907,1,0
1475050271,0,1
1475075066,1,0
1475089456,0,1
1475208313,1,0
1475222644,0,1
1475249112,1,0
1475252708,0,1
1475255214,1,0
1475262374,0,1
1475324730,0,1
1475327309,1,0
1475367220,0,1
1475370691,1,0
1475385090,1,0
1475399216,0,1
1475420959,1,0
1475435155,0,1
1475445930,0,1
1475456924,1,0
1475489502,0,1
1475493026,1,0
1475561355,1,0
1475576708,0,1
1475597036,1,0
1475611436,0,1
1475708643,0,1
1475712228,1,0
1475730238,1,0
1475744646,0,1
1475777039,1,0
1475791442,0,1
1475921036,1,0
1475935445,0,1
1475949846,0,1
1475953445,1,0
1475964247,1,0
1475967840,0,1
1475978641,1,1
