DateTime,AddedIPs,RemovedIPs
1474121315,1,0
1474124908,2,0
1474128480,2,1
1474132088,0,1
1474135721,2,3
1474139303,2,1
1474142928,1,2
1474146514,2,0
1474150170,0,3
1474153755,3,2
1474157341,4,0
1474160923,1,4
1474164575,0,1
1474168083,2,2
1474171777,1,1
1474175319,0,1
1474178910,0,3
1474182496,2,2
1474186092,4,1
1474189689,1,0
1474193312,0,2
1474196910,3,1
1474200504,3,3
1474204121,2,1
1474207695,1,0
1474211347,2,4
1474214912,3,3
1474218507,2,2
1474222117,1,2
1474225775,3,4
1474229368,1,0
1474232910,0,2
1474236586,2,1
1474240126,1,4
1474243789,3,1
1474247311,3,0
1474250950,2,3
1474254574,3,1
1474261716,2,3
1474265303,0,2
1474268907,3,1
1474276092,0,2
1474279734,0,2
1474283291,0,1
1474288464,0,3
1474292158,4,1
1474294685,4,2
1474298407,2,2
1474302073,1,2
1474306223,5,1
1474309951,1,4
1474313799,1,1
1474316736,3,2
1474319870,1,4
1474323850,2,1
1474327072,2,1
1474331817,3,0
1474334604,1,2
1474337915,1,2
1474341255,2,6
1474344977,3,0
1474348670,1,2
1474352474,4,1
1474355785,1,6
1474359536,3,2
1474363100,4,0
1474366413,1,3
1474369911,3,1
1474374067,3,4
1474376904,1,2
1474380506,2,2
1474385295,2,2
1474389166,0,5
1474391857,4,1
1474394927,0,3
1474398489,7,2
1474402081,1,0
1474405692,0,1
1474409310,1,2
1474412881,1,1
1474416553,1,1
1474420085,7,2
1474423927,0,1
1474427334,1,2
1474431633,1,1
1474435497,2,5
1474439795,2,5
1474442428,7,4
1474446207,3,2
1474449752,6,1
1474458636,0,1
1474460603,2,3
1474464392,2,5
1474467505,1,3
1474471479,2,5
1474475834,0,2
1474477717,5,1
1474482390,2,1
1474487833,2,1
1474489174,3,2
1474493597,3,3
1474497196,2,2
1474499291,3,0
1474502951,2,2
1474506479,2,2
1474510356,1,1
1474515444,0,2
1474517699,2,0
1474521922,0,2
1474525590,1,5
1474528642,0,2
1474532570,2,3
1474536016,1,1
1474539824,3,1
1474543410,5,0
1474547865,2,2
1474550230,1,1
1474553844,1,0
1474557305,1,3
1474561055,2,6
1474565427,5,3
1474568312,1,4
1474571869,3,0
1474575504,2,0
1474578760,0,2
1474582932,2,4
1474585814,2,2
1474589365,2,2
1474592905,3,0
1474596768,3,2
1474600731,1,2
1474604410,1,2
1474607553,2,4
1474611569,3,0
1474615088,2,2
1474618882,1,3
1474622424,2,3
1474625959,3,3
1474632957,2,1
1474636659,2,3
1474640961,2,4
1474643747,3,1
1474647561,3,0
1474650729,0,4
1474654299,1,3
1474658012,2,0
1474661429,2,2
1474665120,4,2
1474669040,2,1
1474672769,0,1
1474675977,4,1
1474679576,3,3
1474684675,4,2
1474686848,1,1
1474690271,1,2
1474694129,0,1
1474697678,1,2
1474701704,1,2
1474704715,2,3
1474708427,5,2
1474711846,2,1
1474715550,2,1
1474719285,0,2
1474722843,1,2
1474726519,1,2
1474730999,1,1
1474733593,1,0
1474737159,3,4
1474740782,1,4
1474744302,3,3
1474748386,5,2
1474751632,3,2
1474755381,0,2
1474758576,1,5
1474762524,6,3
1474765740,5,2
1474769740,1,2
1474773254,2,1
1474776707,0,3
1474780295,2,3
1474783932,5,1
1474787656,3,1
1474791232,1,0
1474794711,1,0
1474798613,0,4
1474801937,3,2
1474805596,1,2
1474809195,0,2
1474812871,2,0
1474816600,2,1
1474820867,3,5
1474823919,2,0
1474827233,2,1
1474830805,1,1
1474835000,0,2
1474837831,2,0
1474841994,2,1
1474845341,2,1
1474849207,2,4
1474852590,1,1
1474856033,3,4
1474859583,0,3
1474863329,1,1
1474866628,1,2
1474870296,3,1
1474874082,0,2
1474879047,4,1
1474882649,2,3
1474886256,2,4
1474889847,4,0
1474892961,2,0
1474899116,0,1
1474906584,1,5
1474910663,3,1
1474914035,2,2
1474917470,1,2
1474920664,6,4
1474924477,3,1
1474928058,0,2
1474932137,1,2
1474935594,1,3
1474938869,6,2
1474942758,2,1
1474946329,0,1
1474949974,1,1
1474953457,0,3
1474957015,0,2
1474960939,1,2
1474964256,4,0
1474967953,4,0
1474972900,0,7
1474975168,4,0
1474978833,0,2
1474982133,2,4
1474986053,1,0
1474989544,3,4
1474993322,4,2
1474996801,2,1
1475000291,2,0
1475004010,2,2
1475007790,1,3
1475011123,1,2
1475014411,3,4
1475018346,2,1
1475021623,2,2
1475025761,2,3
1475028999,5,1
1475032400,1,2
1475036167,1,2
1475039853,2,1
1475043242,2,0
1475046804,1,3
1475050656,1,3
1475053861,1,0
1475057288,2,2
1475060889,1,1
1475064499,3,0
1475068089,3,5
1475071681,2,2
1475075303,1,0
1475078894,1,2
1475082478,4,0
1475086081,1,0
1475089681,0,5
1475093317,0,1
1475096884,4,2
1475100493,1,1
1475104098,0,2
1475107751,1,1
1475111275,2,1
1475115026,2,1
1475119269,3,1
1475122610,1,0
