DateTime,Entries,UniqueIPs
1471583438,66,66
1471651774,79,79
1471662579,60,60
1471666169,59,59
1471738202,80,80
1471745549,81,81
1471748965,62,62
1471759824,61,61
1471799358,62,62
1471813792,61,61
1471824601,79,79
1471828155,80,80
1471831936,81,81
1471835369,53,53
1471838988,54,54
1471842623,53,53
1471849772,52,52
1471853415,51,51
1471856952,52,52
1471860588,53,53
1471889340,52,52
1471914598,59,59
1471925426,50,50
1471939742,49,49
1471950584,49,49
1471957776,50,50
1471961403,49,49
1471968600,50,50
1471990216,49,49
1471997421,75,75
1472000928,76,76
1472004717,74,74
1472008146,55,55
1472011803,53,53
1472015448,52,52
1472018961,52,52
1472022563,53,53
1472033352,52,52
1472036960,51,51
1472040563,52,52
1472044153,53,53
1472047870,52,52
1472054959,53,53
1472058573,52,52
1472076590,50,50
1472083868,71,71
1472087442,72,72
1472090981,72,72
1472094553,57,57
1472105378,55,55
1472119747,56,56
1472123417,55,55
1472141385,57,57
1472144965,56,56
1472171950,78,78
1472177537,79,79
1472180942,73,73
1472184673,67,67
1472191749,66,66
1472216966,65,65
1472220551,67,67
1472234981,66,66
1472238557,67,67
1472242175,66,66
1472252955,66,66
1472256673,98,98
1472267341,79,79
1472271146,80,80
1472278146,79,79
1472288935,80,80
1472303373,79,79
1472310580,79,79
1472321367,80,80
1472324978,79,79
1472339371,79,79
1472343082,92,92
1472346551,94,94
1472353762,72,72
1472375403,71,71
1472378957,70,70
1472382550,70,70
1472393360,71,71
1472396966,72,72
1472404160,71,71
1472411383,70,70
1472414969,72,72
1472418557,71,71
1472429395,88,88
1472432985,89,89
1472440181,69,69
1472443776,68,68
1472458219,68,68
1472461769,69,69
1472468967,68,68
1472472552,69,69
1472479772,69,69
1472486997,70,70
1472501515,69,69
1472504987,70,70
1472512146,70,70
1472515842,92,92
1472519367,93,93
1472522981,92,92
1472526704,59,59
1472530287,58,58
1472533906,59,59
1472541045,57,57
1472551748,58,58
1472555401,59,59
1472559008,59,59
1472566189,58,58
1472573361,57,57
1472576972,58,58
1472584202,57,57
1472602252,68,68
1472605835,69,69
1472612928,62,62
1472616808,60,60
1472620220,61,61
1472623755,61,61
1472627339,60,60
1472634622,59,59
1472638152,59,59
1472648988,59,59
1472652575,60,60
1472659732,59,59
1472663444,60,60
1472684969,59,59
1472688570,74,74
1472692223,76,76
1472695935,75,75
1472699348,59,59
1472703098,60,60
1472713764,60,60
1472717365,61,61
1472724579,60,60
1472728158,60,60
1472735452,60,60
1472738989,61,61
1472742561,59,59
1472749899,58,58
1472753380,58,58
1472756955,60,60
1472764182,59,59
1472767859,58,58
1472771362,58,58
1472775133,79,79
1472778584,80,80
1472782432,79,79
1472785800,59,59
1472800149,58,58
1472814564,56,56
1472818179,57,57
1472821778,58,58
