DateTime,AddedIPs,RemovedIPs
1474243344,4,2
1474246907,2,2
1474250488,0,5
1474254106,3,3
1474257684,4,3
1474261282,2,0
1474264881,0,6
1474268494,3,1
1474272092,1,6
1474275681,5,1
1474279278,3,0
1474282881,1,4
1474286635,5,1
1474291014,4,6
1474293804,1,3
1474297531,0,1
1474301005,3,2
1474304731,1,5
1474308081,0,1
1474311708,6,1
1474315435,3,2
1474319005,3,2
1474322667,3,2
1474326080,0,2
1474329819,1,3
1474333411,1,2
1474337132,2,7
1474340494,7,1
1474344248,3,2
1474347811,3,1
1474351347,1,4
1474355005,4,1
1474358604,5,1
1474362233,2,1
1474365716,5,0
1474369292,1,2
1474372885,2,7
1474376490,2,5
1474380081,2,4
1474383675,0,7
1474387296,0,5
1474391005,3,2
1474394491,4,5
1474398075,1,0
1474401678,7,0
1474405278,7,2
1474408878,2,1
1474412478,5,2
1474416142,2,3
1474419680,0,4
1474423404,1,3
1474426877,2,11
1474430612,11,1
1474434235,1,1
1474437803,1,2
1474441275,2,2
1474445127,1,13
1474448730,5,0
1474452327,8,0
1474455824,0,3
1474459529,7,0
1474463004,0,2
1474466607,3,6
1474470219,1,0
1474473806,1,3
1474477287,6,4
1474481014,1,1
1474484732,3,1
1474488124,5,0
1474491933,0,9
1474495316,10,1
1474498877,2,2
1474502542,0,5
1474506078,2,0
1474509686,2,6
1474513278,7,0
1474516920,4,1
1474520667,2,3
1474524236,1,5
1474527806,7,3
1474531371,1,2
1474534947,1,2
1474538572,4,3
1474542114,2,9
1474545681,1,0
1474549282,1,3
1474552882,3,3
1474556730,5,4
1474560114,3,0
1474563933,3,4
1474567449,2,6
1474570900,0,4
1474574635,9,1
1474578110,3,7
1474581815,3,0
1474585283,1,2
1474588935,3,5
1474592502,4,1
1474596080,4,2
1474599675,3,1
1474603309,3,0
1474606936,0,1
1474610629,1,2
1474614210,3,3
1474617928,1,4
1474621275,0,10
1474624945,11,1
1474629444,0,4
1474632103,7,1
1474635866,3,3
1474640228,2,5
1474646481,0,5
1474650075,7,5
1474653688,8,3
1474657275,1,0
1474660939,1,2
1474664508,5,2
1474668328,0,5
1474671929,6,2
1474675313,1,1
1474678907,3,1
1474683461,3,0
1474686107,0,7
1474689783,1,5
1474693296,1,4
1474696953,2,4
1474700745,1,3
1474704222,10,1
1474707851,5,2
1474711327,3,0
1474714910,4,2
1474718506,1,4
1474722101,2,1
1474725704,3,5
1474729363,3,1
1474732928,3,2
1474736503,3,4
1474740235,4,1
1474743822,1,7
1474747425,1,6
1474750958,5,2
1474754672,4,0
1474758091,2,2
1474761823,3,1
1474765296,2,3
1474769038,2,7
1474772558,3,0
1474776104,0,4
1474779699,5,13
1474783366,6,1
1474786959,4,2
1474790686,1,0
1474794159,4,0
1474797725,1,3
1474801311,3,1
1474805029,2,6
1474808497,4,1
1474812253,4,2
1474815949,1,3
1474819312,4,2
1474823053,4,1
1474826503,0,2
1474830103,1,2
1474833867,2,2
1474837374,0,2
1474840942,0,6
1474844732,2,0
1474848205,5,4
1474851834,7,4
1474855405,3,0
1474859005,0,2
1474862480,1,3
1474866115,3,3
1474869688,1,3
1474873404,0,6
1474877130,9,3
1474880731,1,8
1474884332,8,1
1474887930,2,2
1474891539,2,2
1474894941,3,0
1474898482,0,3
1474902076,1,4
1474905807,6,4
1474909532,2,1
1474913005,3,2
1474916495,5,0
1474920110,1,3
1474923694,4,0
1474927301,0,7
1474931131,1,3
1474934514,6,1
1474938268,2,2
1474941848,3,2
1474945419,0,1
1474948990,5,4
1474952605,2,5
1474956219,2,4
1474959804,3,2
1474963342,1,6
1474966894,2,3
1474971448,2,0
1474974328,1,4
1474977716,3,5
1474981291,6,2
1474984879,3,6
1474988479,9,0
1474992257,0,2
1474995803,4,4
1474999284,4,4
1475003019,2,4
1475006605,1,1
1475010332,6,1
1475013808,2,0
1475017406,3,1
1475020917,3,1
1475024614,0,7
1475028214,3,2
1475031810,6,1
1475035416,2,7
1475039013,3,0
1475042541,3,2
1475046206,3,5
1475049934,1,2
1475053288,1,4
1475056880,6,6
1475060481,6,2
1475064080,2,0
1475067683,2,4
1475071281,1,4
1475074887,1,2
1475078481,2,6
1475082081,4,1
1475085682,2,1
1475089283,1,3
1475092882,1,2
1475096480,3,5
1475100097,7,3
1475103682,3,0
1475107344,4,0
1475110880,0,2
1475114482,2,6
1475118336,2,2
1475121690,2,5
1475125536,6,4
1475129138,2,2
1475132672,3,1
1475136273,3,1
1475139687,2,2
1475143282,2,6
1475146880,3,2
1475150482,1,4
1475154206,4,0
1475157810,1,5
1475161283,3,3
1475164885,2,1
1475168734,1,9
1475172177,2,2
1475175935,5,6
1475179410,3,2
1475183040,7,0
1475186478,7,1
1475190085,1,2
1475193806,0,3
1475197283,3,4
1475201130,2,2
1475204479,2,2
1475208085,5,2
1475211678,1,3
1475215278,0,1
1475218885,6,2
1475222476,4,8
1475226077,2,1
1475229931,4,0
1475233532,1,1
1475237132,5,4
1475240731,2,0
1475244330,0,7
1475247930,4,4
1475251529,3,5
1475254906,1,0
1475258511,4,0
1475262207,3,5
1475265804,2,4
1475269405,1,2
1475272910,2,6
1475276494,3,1
1475280078,1,1
1475283683,6,1
1475287310,0,5
1475290878,4,3
1475294481,3,1
1475298082,1,7
1475301687,7,1
1475305407,4,3
1475309132,4,4
1475312732,1,3
1475316331,3,2
1475319932,2,1
1475323531,2,2
1475326876,6,2
1475330543,1,1
1475335047,5,5
1475337681,2,1
1475341312,0,4
1475344911,6,0
1475348484,0,5
1475352084,0,10
1475355709,3,1
1475359283,4,8
1475362898,8,2
1475366605,7,0
1475373727,1,3
1475377404,1,4
1475380878,3,2
1475384609,4,3
1475388109,3,3
1475391686,1,2
1475395288,1,6
1475398887,3,4
1475402613,6,1
1475406115,2,0
1475409812,2,1
1475413310,1,2
1475416912,2,1
1475420541,0,5
1475424111,5,0
1475427692,1,0
1475431340,0,7
1475434910,3,2
1475438512,3,1
1475442140,3,0
1475445681,2,0
1475449310,4,0
1475453017,0,4
1475456502,1,4
1475460085,2,5
1475463682,1,11
1475467464,6,0
1475470873,7,1
1475474542,7,1
1475478077,1,2
1475481676,1,1
1475485304,1,5
1475488999,1,5
1475492509,1,2
1475496089,4,1
1475499702,2,2
1475503278,2,0
1475506890,0,3
1475510483,7,3
1475514075,4,6
1475517689,2,2
1475521282,6,0
1475524890,2,4
1475528476,2,2
1475532086,1,1
1475535678,1,7
1475539513,3,3
1475542922,0,7
1475546604,7,1
1475550081,5,0
1475553677,3,3
1475557276,2,1
1475560915,2,2
1475564478,2,1
1475568329,2,7
1475571931,4,2
1475575529,0,3
1475579134,0,2
1475582731,2,0
1475586330,4,10
1475589690,3,0
1475593284,8,1
1475596875,5,1
1475600731,2,2
1475604098,1,3
1475607674,2,2
1475611274,4,2
1475614875,2,2
1475618476,3,2
1475622075,2,1
1475625644,0,4
1475629275,1,2
1475632875,2,7
1475636477,3,10
1475640076,4,0
1475643677,0,2
1475647278,2,5
1475650877,1,2
1475654477,6,1
1475661676,7,0
1475665276,4,3
1475668876,4,3
1475672477,6,1
1475676078,4,6
1475679677,0,4
1475683278,6,3
1475686876,0,1
1475690474,2,4
1475694075,5,4
1475697676,7,4
1475704877,1,4
1475708477,2,8
1475712078,2,7
1475715677,11,3
1475719277,3,3
1475722875,1,2
1475726476,4,1
1475730077,2,8
1475733675,2,5
1475737276,6,0
1475740878,4,2
1475744478,2,3
1475748076,5,2
1475751679,0,4
1475755276,1,3
1475758876,3,3
1475762474,1,8
1475766078,4,2
1475769676,1,4
1475773278,1,0
1475776877,6,0
1475780476,6,3
1475784078,2,3
1475787677,2,0
1475791277,8,5
1475794876,0,1
1475798445,0,1
1475802077,2,10
1475805676,7,7
1475809276,2,2
1475812876,1,0
1475816475,5,1
1475820075,6,0
1475823675,3,2
1475827274,2,0
1475830877,1,10
1475834477,4,7
1475838077,5,2
1475841676,2,1
1475845276,9,3
1475848877,1,3
1475852476,1,2
1475856078,3,0
1475859677,0,9
1475863276,2,0
1475866875,2,2
1475870478,9,3
1475874078,2,2
1475877675,1,1
1475881275,2,2
1475884844,0,4
1475888475,4,3
1475892079,5,0
1475895692,2,8
1475899275,4,0
1475902877,0,2
1475906477,3,2
1475910078,4,3
1475913674,6,7
1475917276,1,0
1475920875,2,3
1475924478,1,3
1475928075,5,7
1475931679,3,2
1475935275,0,1
1475938877,2,1
1475942476,3,5
1475946076,5,3
1475949677,1,0
1475953276,0,3
1475956875,3,1
1475960475,4,6
1475964078,4,4
1475967676,2,1
1475971246,0,1
1475974872,4,2
1475978472,3,10
1475982071,5,3
1475985671,6,0
1475989271,1,2
1475992871,4,2
1475996472,3,4
1476000070,5,4
1476003671,3,2
1476007272,1,3
1476010870,1,0
1476014471,1,4
1476018071,4,1
1476021671,2,2
1476025270,0,1
1476028881,2,1
1476032470,1,6
1476036071,7,2
1476039673,1,2
1476043272,7,1
1476046873,2,0
1476050471,0,4
1476054074,0,2
