DateTime,Entries,UniqueIPs
1474930582,1775,1775
1474932498,1775,1775
1474934566,1774,1774
1474936579,1780,1780
1474938504,1770,1770
1474940412,1609,1609
1474942342,1373,1373
1474944257,1378,1378
1474946177,1370,1370
1474948093,1379,1379
1474950028,1384,1384
1474951946,1397,1397
1474953849,1398,1398
1474955784,1414,1414
1474957693,1413,1413
1474959658,1418,1418
1474961553,1427,1427
1474963459,1407,1407
1474965381,1390,1390
1474967306,1391,1391
1474969227,1391,1391
1474971152,1381,1381
1474973058,1379,1379
1474974983,1393,1393
1474976918,1610,1610
1474978831,1753,1753
1474980739,1741,1741
1474982660,1739,1739
1474984615,1747,1747
1474986504,1791,1791
1474988468,1802,1802
1474990347,1803,1803
1474992267,1817,1817
1474994177,1823,1823
1474996105,1827,1827
1474998018,1839,1839
1474999949,1831,1831
1475001858,1833,1833
1475003789,1831,1831
1475005699,1847,1847
1475007613,1842,1842
1475009565,1844,1844
1475011450,1843,1843
1475013414,1851,1851
1475015306,1845,1845
1475017270,1858,1858
1475019148,1853,1853
1475021068,1855,1855
1475022984,1857,1857
1475024903,1863,1863
1475026819,1862,1862
1475028740,1864,1864
1475030649,1865,1865
1475032585,1861,1861
1475034505,1864,1864
1475036428,1844,1844
1475038337,1854,1854
1475040254,1838,1838
1475042198,1846,1846
1475044096,1861,1861
1475046074,1874,1874
1475047969,1869,1869
1475049877,1847,1847
1475051777,1855,1855
1475053707,1856,1856
1475055617,1863,1863
1475057546,1863,1863
1475059457,1862,1862
1475061395,1803,1803
1475063322,1551,1551
1475065231,1358,1358
1475067136,1358,1358
1475069322,1349,1349
1475071293,1348,1348
1475073160,1284,1284
1475075068,1280,1280
1475076989,1284,1284
1475078957,1270,1270
1475080815,1273,1273
1475082767,1271,1271
1475084657,1269,1269
1475086656,1271,1271
1475218639,706,706
1475228198,683,683
1475230106,686,686
1475232023,695,695
1475233953,702,702
1475235861,710,710
1475237784,713,713
1475239703,933,933
1475241611,1048,1048
1475243531,1062,1062
1475245466,1069,1069
1475247387,1077,1077
1475249228,1074,1074
1475252187,1094,1094
1475254100,1116,1116
1475256015,1123,1123
1475257949,1135,1135
1475259864,1132,1132
1475261786,1148,1148
1475263704,1153,1153
1475265697,1166,1166
1475267559,1172,1172
1475269753,1216,1216
1475271718,1236,1236
1475273544,1241,1241
1475275457,1254,1254
1475277414,1262,1262
1475279301,1274,1274
1475281233,1273,1273
1475283161,1289,1289
1475285062,1293,1293
1475286986,1287,1287
1475288911,1282,1282
1475290912,1290,1290
1475292756,1296,1296
1475294670,1315,1315
1475296584,1330,1330
1475298520,1328,1328
1475300415,1338,1338
1475302358,1341,1341
1475304265,1353,1353
1475306206,1358,1358
1475308119,1372,1372
1475310036,1371,1371
1475311950,1382,1382
1475313865,1387,1387
1475315804,1403,1403
1475317716,1401,1401
1475320603,1409,1409
1475322508,1415,1415
