DateTime,Entries,UniqueIPs
1474156576,2456,2463
1474181541,2457,2464
1474183213,2456,2463
1474184654,2455,2462
1474197132,2456,2463
1474198584,2457,2464
1474199302,2456,2463
1474202428,2457,2464
1474205318,2446,2453
1474210344,2445,2452
1474211061,2444,2451
1474212031,2443,2450
1474216352,2444,2451
1474223548,2445,2452
1474228579,2446,2453
1474230757,2447,2454
1474273459,2651,2658
1474275660,2650,2657
1474278499,2651,2658
1474279944,2652,2659
1474282101,2651,2658
1474288600,2652,2659
1474296506,2653,2660
1474297944,2654,2661
1474298655,2653,2660
1474306109,2654,2661
1474311860,2653,2660
1474315462,2654,2661
1474319057,2655,2662
1474319782,2656,2663
1474325544,2657,2664
1474328651,2656,2663
1474331779,2657,2664
1474355304,2767,2775
1474356024,2880,2888
1474357523,2879,2887
1474361048,2878,2886
1474362499,2877,2885
1474368255,3073,3082
1474369705,3072,3081
1474373307,3243,3252
1474381474,3242,3251
1474386503,3241,3250
1474402579,3240,3249
1474420108,3239,3248
1474421544,3238,3247
1474430499,3237,3246
1474435714,3236,3245
1474439306,3235,3244
1474440737,3234,3243
1474441457,3235,3244
1474443627,3237,3246
1474450821,3239,3248
1474451554,3240,3249
1474452252,3239,3248
1474452982,3238,3247
1474453692,3239,3248
1474463298,3240,3249
1474466905,3240,3249
1474467624,3243,3252
1474472171,3242,3251
1474476013,3243,3252
1474481060,3243,3252
1474481778,3242,3251
1474483224,3243,3252
1474483937,3243,3252
1474484652,3244,3253
1474486362,3246,3255
1474489240,3247,3256
1474497854,3246,3255
1474499294,3247,3256
1474500023,3248,3257
1474501454,3248,3257
1474506745,3249,3258
1474509670,3248,3257
1474512319,3247,3256
1474516865,3248,3257
1474527856,3247,3256
1474529304,3226,3235
1474538190,3225,3234
1474539636,3225,3234
1474541053,3226,3235
1474550654,3225,3234
1474564343,3226,3235
1474566503,3227,3236
1474569382,3226,3235
1474580182,3227,3236
1474580895,3228,3237
1474585941,3229,3238
1474591711,3230,3239
1474592456,3231,3240
1474593849,3232,3241
1474597953,3233,3242
1474603710,3232,3241
1474608248,3231,3240
1474609698,3233,3242
1474611852,3232,3241
1474614748,3233,3242
1474616899,3234,3243
1474625793,3233,3242
1474627935,3232,3241
1474633228,3233,3242
1474639706,3234,3243
1474644498,3236,3245
1474645222,3237,3246
1474646660,3236,3245
1474650980,3237,3246
1474652426,3236,3245
1474654585,3237,3246
1474658182,3236,3245
1474666091,3235,3244
1474673091,3234,3243
1474674570,3233,3242
1474677619,3232,3241
