DateTime,AddedIPs,RemovedIPs
1475093535,1,1
1475094272,2,0
1475094977,0,1
1475096459,1,1
1475097849,1,0
1475099292,1,1
1475100077,7,2
1475101449,0,1
1475102177,1,1
1475102906,1,1
1475112254,2,0
1475112981,3,0
1475114464,2,1
1475115141,1,0
1475117297,1,1
1475118057,1,0
1475118737,1,1
1475120191,2,1
1475120900,1,1
1475125260,1,1
1475125946,1,0
1475128103,1,1
1475128862,2,0
1475129538,1,1
1475130981,0,1
1475132476,1,0
1475136056,1,0
1475137451,2,0
1475139661,3,2
1475140342,5,0
1475141047,1,1
1475142496,0,1
1475143296,2,0
1475144190,2,1
1475144892,2,0
1475150655,1,1
1475152819,2,0
1475153533,3,0
1475155937,1,0
1475158110,1,1
1475160041,3,1
1475160746,1,0
1475161453,1,0
1475162185,1,0
1475162902,1,0
1475163619,1,0
1475164280,1,0
1475165058,1,1
1475166500,1,0
1475170108,1,1
1475170811,4,0
1475171538,1,1
1475172257,2,1
1475175149,1,1
1475178017,1,1
1475178742,4,1
1475179462,1,0
1475182334,1,1
1475184495,2,1
1475185942,1,1
1475187629,0,1
1475188341,2,0
1475194818,0,1
1475195548,1,0
1475197698,1,1
1475198412,1,0
1475199142,1,0
1475199851,1,1
1475201305,1,1
1475203453,0,1
1475204179,1,0
1475204901,2,0
1475205610,3,1
1475207784,1,0
1475209943,2,1
1475211380,2,0
1475212109,2,1
1475213538,1,1
1475214256,1,0
1475214985,1,1
1475215703,1,1
1475216419,1,1
1475217857,2,1
1475220015,2,1
1475220734,1,1
1475222184,1,1
1475223610,1,0
1475226503,2,1
1475228649,4,1
1475229380,2,1
1475235145,1,0
1475235854,2,2
1475236606,1,0
1475237302,2,2
1475238040,1,1
1475240181,0,1
1475241855,1,1
1475242583,1,1
1475244738,1,1
1475245458,2,0
1475257695,3,0
1475259143,0,1
1475259846,5,3
1475260582,1,1
1475261298,1,1
1475264189,1,1
1475264906,1,1
1475267051,1,1
1475269272,2,0
1475270209,1,0
1475270903,1,0
1475271615,1,0
1475272336,1,0
1475275217,2,1
1475276655,1,0
1475277394,1,1
1475278824,3,2
1475280263,1,0
1475283148,1,1
1475285292,2,1
1475287465,2,1
1475292742,1,1
1475294198,3,2
1475297062,2,1
1475299211,1,0
1475299941,4,2
1475300652,4,2
1475304252,1,1
1475305719,1,0
1475307846,1,1
1475308606,1,0
1475310020,3,2
1475314350,1,1
1475315051,1,0
1475316505,1,1
1475317934,1,1
1475325381,2,0
1475327552,1,1
1475328974,4,2
1475329694,1,1
1475330468,2,1
1475332592,1,0
1475335716,0,1
1475338574,1,1
1475339298,3,1
1475341485,2,2
1475342173,0,1
1475342895,3,1
1475344353,1,1
1475345792,1,1
1475349463,1,0
1475350157,1,0
1475351531,1,1
1475353058,0,1
1475354420,2,2
1475355865,2,1
1475356837,1,1
1475357544,1,0
1475361148,1,1
1475361851,1,1
1475364023,1,0
1475364744,1,1
1475365450,2,2
1475368358,0,1
1475373385,1,1
1475374810,2,1
1475375544,1,1
1475384183,1,1
1475388733,1,0
1475390895,1,1
1475392346,1,1
1475393775,1,2
1475394493,0,1
1475398333,1,1
1475404092,0,1
1475404828,2,2
1475405535,1,0
1475406250,1,1
1475407699,1,1
1475408421,1,1
1475409133,3,2
1475410847,1,1
1475411536,1,0
1475412249,1,1
1475412975,2,2
1475413695,0,1
1475415147,1,1
1475417301,1,1
1475420914,1,1
1475423786,1,1
1475424510,1,1
1475431695,1,0
1475434594,1,1
1475438178,0,1
1475438894,3,1
1475439626,1,0
1475440346,0,1
1475441775,1,1
1475445387,0,1
1475448249,1,1
1475453538,1,0
1475454249,1,0
1475455705,2,1
1475459301,1,1
1475460811,2,2
1475461455,1,1
1475469379,2,1
1475475666,0,1
1475478531,1,0
1475481374,1,1
1475483573,1,3
1475487147,1,1
1475490743,1,0
1475492897,1,0
1475495052,1,1
1475495777,1,0
1475496495,1,1
1475497246,2,1
1475498656,0,1
1475499372,2,0
1475500099,1,1
1475500824,1,1
1475501545,1,0
1475503705,1,1
1475505854,3,1
1475506607,1,1
1475507297,1,0
1475508279,1,1
1475508979,1,1
1475509705,0,1
1475511847,2,0
1475515456,1,1
1475516188,2,2
1475518344,1,0
1475519779,2,1
1475522178,1,1
1475523612,1,0
1475527214,1,1
1475527943,0,1
1475531539,4,3
1475532252,1,1
1475538986,2,0
1475539700,1,1
1475540417,3,2
1475541138,0,1
1475544021,1,0
1475545457,2,1
1475546206,1,1
1475548345,1,1
1475549059,1,1
1475554108,1,0
1475554814,1,0
1475555532,0,1
1475556256,1,1
1475556978,2,1
1475561554,1,1
1475562982,0,1
1475563700,1,1
1475564483,2,2
1475565141,2,2
1475565858,1,1
1475566572,1,1
1475567301,1,1
1475570195,1,1
1475571661,2,0
1475572332,1,1
1475573064,1,1
1475573776,2,1
1475574499,1,1
1475575950,1,1
1475577380,0,1
1475578099,2,2
1475579564,2,1
