DateTime,Entries,UniqueIPs
1475693052,4337,4337
1475693785,4335,4335
1475694498,4324,4324
1475695219,4325,4325
1475695944,4313,4313
1475696659,4322,4322
1475697390,4329,4329
1475698104,4321,4321
1475698815,4328,4328
1475699541,4326,4326
1475700251,4320,4320
1475700982,4306,4306
1475701704,4302,4302
1475702663,4295,4295
1475703375,4274,4274
1475704102,4268,4268
1475704881,4268,4268
1475705543,4258,4258
1475706249,4245,4245
1475706988,4229,4229
1475707706,4221,4221
1475708461,4212,4212
1475709138,4214,4214
1475709861,4199,4199
1475710573,4194,4194
1475711320,4194,4194
1475712059,4197,4197
1475712857,4191,4191
1475713715,4214,4214
1475714413,4215,4215
1475715140,4215,4215
1475715854,4200,4200
1475716590,4216,4216
1475717297,4210,4210
1475718016,4210,4210
1475718734,4221,4221
1475719464,4204,4204
1475720180,4219,4219
1475720927,4218,4218
1475721607,4207,4207
1475722354,4208,4208
1475723059,4195,4195
1475723791,4201,4201
1475724499,4207,4207
1475725214,4206,4206
1475725933,4210,4210
1475726660,4212,4212
1475727381,4212,4212
1475728109,4212,4212
1475728814,4211,4211
1475729544,4214,4214
1475730258,4203,4203
1475730991,4201,4201
1475731694,4192,4192
1475732420,4197,4197
1475733146,4202,4202
1475733863,4191,4191
1475734583,4180,4180
1475735310,4180,4180
1475736013,4185,4185
1475736737,4187,4187
1475737457,4176,4176
1475738188,4185,4185
1475738906,4199,4199
1475739621,4193,4193
1475740337,4201,4201
1475741065,4190,4190
1475741803,4195,4195
1475742498,4204,4204
1475743218,4202,4202
1475743941,4204,4204
1475744657,4210,4210
1475745387,4222,4222
1475746105,4215,4215
1475746823,4232,4232
1475747577,4237,4237
1475748256,4236,4236
1475748988,4236,4236
1475749701,4232,4232
1475750417,4220,4220
1475751155,4235,4235
1475751863,4235,4235
1475752578,4238,4238
1475753303,4240,4240
1475754012,4235,4235
1475754739,4239,4239
1475755459,4250,4250
1475756183,4263,4263
1475756904,4259,4259
1475757623,4254,4254
1475758343,4257,4257
1475759055,4266,4266
1475759782,4282,4282
1475760495,4282,4282
1475761217,4269,4269
1475761940,4267,4267
1475762670,4270,4270
1475763640,4272,4272
1475764337,4274,4274
1475765051,4278,4278
1475765788,4261,4261
1475766504,4268,4268
1475767218,4255,4255
1475767938,4253,4253
1475768720,4256,4256
1475769389,4256,4256
1475770109,4262,4262
1475770814,4264,4264
1475771548,4261,4261
1475772253,4254,4254
1475773015,4255,4255
1475773699,4266,4266
1475774415,4285,4285
1475775144,4274,4274
1475775851,4271,4271
1475776582,4279,4279
1475777306,4269,4269
1475778023,4291,4291
1475778743,4302,4302
1475779452,4294,4294
1475780187,4302,4302
1475780905,4308,4308
1475781613,4307,4307
1475782345,4317,4317
1475783051,4313,4313
1475783790,4310,4310
1475784501,4309,4309
1475785216,4317,4317
1475785940,4322,4322
1475786653,4308,4308
1475787379,4311,4311
1475788098,4299,4299
1475788816,4296,4296
1475789552,4286,4286
1475790252,4275,4275
1475790983,4282,4282
1475791703,4256,4256
1475792433,4262,4262
1475793147,4259,4259
1475793850,4244,4244
1475794592,4244,4244
1475795310,4237,4237
1475796013,4237,4237
1475796740,4231,4231
1475797451,4217,4217
1475798181,4216,4216
1475798903,4203,4203
1475799616,4208,4208
1475800341,4217,4217
1475801065,4214,4214
1475801782,4226,4226
1475802507,4221,4221
1475803212,4220,4220
1475803950,4216,4216
