DateTime,AddedIPs,RemovedIPs
1475466132,3,0
1475467509,10,4
1475468411,7,0
1475469729,5,14
1475470990,12,8
1475472010,4,0
1475472907,4,7
1475474109,10,4
1475475017,6,6
1475476214,5,9
1475477685,13,0
1475478908,8,7
1475479808,11,9
1475480642,4,5
1475481911,12,2
1475482810,5,1
1475483708,5,7
1475484130,0,3
1475485226,5,6
1475486110,10,2
1475487011,2,9
1475487910,7,2
1475489653,15,6
1475490487,3,1
1475491331,4,7
1475492428,5,6
1475493608,7,0
1475495534,11,11
1475496641,12,4
1475497691,6,1
1475498707,5,12
1475500016,5,6
1475501257,9,0
1475502130,7,7
1475502970,3,1
1475503817,7,3
1475505009,7,10
1475506094,7,3
1475506983,6,7
1475508010,5,1
1475509055,3,8
1475510604,7,8
1475511608,7,0
1475512813,8,12
1475513770,7,1
1475514607,5,10
1475515571,4,0
1475516400,3,22
1475517311,3,1
1475518217,6,5
1475519198,8,0
1475520009,8,12
1475521509,55,5
1475522409,3,1
1475523308,5,11
1475524310,73,1
1475525107,11,6
1475525650,6,0
1475526611,3,5
1475527332,3,1
1475528134,4,0
1475529005,5,4
1475530088,3,0
1475530935,3,12
1475533208,17,5
1475534409,5,12
1475535309,4,0
1475536208,6,8
1475537411,7,7
1475540044,7,9
1475541252,7,4
1475543406,10,9
1475544488,3,0
1475545512,8,10
1475546710,6,4
1475548209,4,4
1475549110,7,3
1475550308,9,5
1475551212,3,2
1475552006,3,9
1475553395,0,5
1475554216,2,4
1475555287,3,0
1475556134,2,6
1475557229,3,7
1475558109,2,0
1475559011,3,7
1475560510,4,4
1475561416,3,8
1475562311,4,0
1475563209,3,13
1475564205,5,0
1475565225,3,4
1475566335,2,13
1475566933,1,3
1475567768,1,0
1475568617,5,8
1475569677,3,0
1475570712,4,10
1475572463,4,18
1475573410,1,10
1475574211,2,3
1475574967,3,0
1475575816,5,2
1475576642,2,1
1475578145,10,15
1475579715,4,6
1475580612,2,8
1475581507,8,0
1475583311,4,10
1475584215,2,10
1475586316,10,9
1475587210,4,0
1475588406,3,8
1475589974,7,7
1475590811,6,0
1475591708,1,9
1475593901,11,18
1475595010,6,11
1475595910,7,4
1475597112,6,11
1475597950,6,0
1475598800,5,9
1475600175,8,4
1475601307,3,8
1475602213,4,5
1475602939,7,4
1475604320,9,5
1475605214,3,0
1475606539,8,11
1475607538,7,9
1475608512,6,1
1475609414,5,8
