DateTime,Entries,UniqueIPs
1475505009,9551,9551
1475506094,9555,9555
1475506983,9554,9554
1475508010,9558,9558
1475509055,9553,9553
1475510604,9552,9552
1475511608,9559,9559
1475512813,9555,9555
1475513770,9561,9561
1475514607,9556,9556
1475515571,9560,9560
1475516400,9541,9541
1475517311,9543,9543
1475518217,9544,9544
1475519198,9552,9552
1475520009,9548,9548
1475521509,9598,9598
1475522409,9600,9600
1475523308,9594,9594
1475524310,9666,9666
1475525107,9671,9671
1475525650,9677,9677
1475526611,9675,9675
1475527332,9677,9677
1475528134,9681,9681
1475529005,9682,9682
1475530088,9685,9685
1475530935,9676,9676
1475533208,9688,9688
1475534409,9681,9681
1475535309,9685,9685
1475536208,9683,9683
1475537411,9683,9683
1475540044,9681,9681
1475541252,9684,9684
1475543406,9685,9685
1475544488,9688,9688
1475545512,9686,9686
1475546710,9688,9688
1475548209,9688,9688
1475549110,9692,9692
1475550308,9696,9696
1475551212,9697,9697
1475552006,9691,9691
1475553395,9686,9686
1475554216,9684,9684
1475555287,9687,9687
1475556134,9683,9683
1475557229,9679,9679
1475558109,9681,9681
1475559011,9677,9677
1475560510,9677,9677
1475561416,9672,9672
1475562311,9676,9676
1475563209,9666,9666
1475564205,9671,9671
1475565225,9670,9670
1475566335,9659,9659
1475566933,9657,9657
1475567768,9658,9658
1475568617,9655,9655
1475569677,9658,9658
1475570712,9652,9652
1475572463,9638,9638
1475573410,9629,9629
1475574211,9628,9628
1475574967,9631,9631
1475575816,9634,9634
1475576642,9635,9635
1475578145,9630,9630
1475579715,9628,9628
1475580612,9622,9622
1475581507,9630,9630
1475583311,9624,9624
1475584215,9616,9616
1475586316,9617,9617
1475587210,9621,9621
1475588406,9616,9616
1475589974,9616,9616
1475590811,9622,9622
1475591708,9614,9614
1475593901,9607,9607
1475595010,9602,9602
1475595910,9605,9605
1475597112,9600,9600
1475597950,9606,9606
1475598800,9602,9602
1475600175,9606,9606
1475601307,9601,9601
