DateTime,AddedIPs,RemovedIPs
1475472012,5,0
1475472909,9,14
1475474112,11,4
1475475019,9,8
1475476215,9,15
1475477687,5,0
1475478913,9,16
1475479812,6,7
1475480644,7,4
1475481913,9,5
1475482813,13,0
1475483710,10,12
1475484132,3,6
1475485230,18,6
1475486116,7,0
1475487015,8,9
1475487912,9,4
1475489656,18,13
1475490489,10,0
1475491333,10,15
1475492434,12,7
1475493614,16,0
1475495536,14,19
1475496643,10,9
1475497693,10,1
1475498709,6,12
1475500018,16,10
1475501259,13,0
1475502133,7,13
1475502972,7,4
1475503819,13,9
1475505013,15,11
1475506096,10,3
1475506985,7,8
1475508015,7,0
1475509056,8,9
1475510606,13,13
1475511614,8,0
1475512820,7,20
1475513772,11,0
1475514609,5,8
1475515573,8,0
1475516404,7,7
1475517312,13,0
1475518219,7,9
1475519200,9,0
1475520017,4,11
1475521510,11,15
1475522416,6,1
1475523310,12,11
1475524311,6,4
1475525109,6,10
1475525652,5,0
1475526613,7,15
1475527340,6,4
1475528136,9,0
1475529009,9,25
1475530090,18,1
1475530943,13,11
1475533215,14,16
1475534417,13,24
1475535312,11,1
1475536210,11,10
1475537414,10,12
1475540046,42,20
1475541254,13,11
1475543408,35,10
1475544489,14,0
1475545516,7,19
1475546712,17,13
1475547250,2,0
1475548215,16,9
1475549115,8,5
1475550311,16,13
1475551220,12,0
1475553397,16,19
1475554218,8,9
1475555289,10,1
1475556139,8,25
1475557234,9,13
1475558114,8,0
1475559015,6,16
1475560512,22,7
1475561418,8,12
1475562313,11,0
1475563214,11,20
1475564207,4,1
1475565227,10,11
1475566338,14,15
1475566938,3,4
1475567769,10,0
1475568619,7,10
1475569679,8,0
1475570718,8,24
1475572465,8,8
1475573416,5,21
1475574222,8,5
1475574969,11,0
1475575818,4,12
1475576650,16,1
1475578146,32,24
1475579717,16,10
1475580618,11,19
1475581509,11,8
1475583316,15,15
1475584220,8,23
1475585115,10,6
1475586319,12,18
1475587218,5,0
1475588412,12,11
1475589976,12,11
1475590818,7,1
1475591711,15,18
1475593903,20,27
1475595015,8,20
1475595912,12,9
1475597117,14,11
1475597952,9,0
1475598802,8,19
1475600177,19,2
1475601309,9,5
1475602217,9,12
1475602950,8,12
1475604334,14,11
1475605225,14,0
1475606550,23,19
1475607540,14,14
1475608517,14,0
1475609418,7,15
1475610324,12,6
1475611527,15,12
1475612423,10,0
1475613625,10,26
1475614569,6,0
1475615412,4,24
1475617523,23,21
1475618437,12,12
1475619310,9,0
1475620216,14,24
1475620939,9,13
1475622232,13,23
1475623196,7,1
1475624549,12,39
1475625369,10,0
1475626218,8,13
1475627419,15,20
1475628334,12,8
1475629527,13,7
1475630423,12,0
1475631310,19,17
1475632640,12,7
1475633649,10,19
1475634614,6,16
1475635351,7,6
1475637249,15,8
1475638948,14,24
1475639771,9,0
1475640618,8,7
1475641817,7,15
1475642734,7,4
1475643569,6,8
1475644452,14,0
1475645418,9,18
1475646156,6,7
1475646971,7,2
1475647819,7,8
1475648741,12,0
1475649623,11,18
1475650511,13,0
