DateTime,Entries,UniqueIPs
1475476215,2206,2206
1475477687,2211,2211
1475478913,2204,2204
1475479812,2203,2203
1475480644,2206,2206
1475481913,2210,2210
1475482813,2223,2223
1475483710,2221,2221
1475484132,2218,2218
1475485230,2230,2230
1475486116,2237,2237
1475487015,2236,2236
1475487912,2241,2241
1475489656,2246,2246
1475490489,2256,2256
1475491333,2251,2251
1475492434,2256,2256
1475493614,2272,2272
1475495536,2267,2267
1475496643,2268,2268
1475497693,2277,2277
1475498709,2271,2271
1475500018,2277,2277
1475501259,2290,2290
1475502133,2284,2284
1475502972,2287,2287
1475503819,2291,2291
1475505013,2295,2295
1475506096,2302,2302
1475506985,2301,2301
1475508015,2308,2308
1475509056,2307,2307
1475510606,2307,2307
1475511614,2315,2315
1475512820,2302,2302
1475513772,2313,2313
1475514609,2310,2310
1475515573,2318,2318
1475516404,2318,2318
1475517312,2331,2331
1475518219,2329,2329
1475519200,2338,2338
1475520017,2331,2331
1475521510,2327,2327
1475522416,2332,2332
1475523310,2333,2333
1475524311,2335,2335
1475525109,2331,2331
1475525652,2336,2336
1475526613,2328,2328
1475527340,2330,2330
1475528136,2339,2339
1475529009,2323,2323
1475530090,2340,2340
1475530943,2342,2342
1475533215,2340,2340
1475534417,2329,2329
1475535312,2339,2339
1475536210,2340,2340
1475537414,2338,2338
1475540046,2360,2360
1475541254,2362,2362
1475543408,2387,2387
1475544489,2401,2401
1475545516,2389,2389
1475546712,2393,2393
1475547250,2395,2395
1475548215,2402,2402
1475549115,2405,2405
1475550311,2408,2408
1475551220,2420,2420
1475553397,2417,2417
1475554218,2416,2416
1475555289,2425,2425
1475556139,2408,2408
1475557234,2404,2404
1475558114,2412,2412
1475559015,2402,2402
1475560512,2417,2417
1475561418,2413,2413
1475562313,2424,2424
1475563214,2415,2415
1475564207,2418,2418
1475565227,2417,2417
1475566338,2416,2416
1475566938,2415,2415
1475567769,2425,2425
1475568619,2422,2422
1475569679,2430,2430
1475570718,2414,2414
1475572465,2414,2414
1475573416,2398,2398
1475574222,2401,2401
1475574969,2412,2412
1475575818,2404,2404
1475576650,2419,2419
1475578146,2427,2427
1475579717,2433,2433
1475580618,2425,2425
1475581509,2428,2428
1475583316,2428,2428
1475584220,2413,2413
1475585115,2417,2417
1475586319,2411,2411
1475587218,2416,2416
1475588412,2417,2417
1475589976,2418,2418
1475590818,2424,2424
1475591711,2421,2421
1475593903,2414,2414
1475595015,2402,2402
1475595912,2405,2405
1475597117,2408,2408
1475597952,2417,2417
1475598802,2406,2406
1475600177,2423,2423
1475601309,2427,2427
1475602217,2424,2424
1475602950,2420,2420
1475604334,2423,2423
1475605225,2437,2437
1475606550,2441,2441
1475607540,2441,2441
1475608517,2455,2455
1475609418,2447,2447
1475610324,2453,2453
1475611527,2456,2456
1475612423,2466,2466
1475613625,2450,2450
1475614569,2456,2456
1475615412,2436,2436
1475617523,2438,2438
1475618437,2438,2438
1475619310,2447,2447
1475620216,2437,2437
1475620939,2433,2433
1475622232,2423,2423
1475623196,2429,2429
1475624549,2402,2402
1475625369,2412,2412
1475626218,2407,2407
1475627419,2402,2402
1475628334,2406,2406
1475629527,2412,2412
1475630423,2424,2424
1475631310,2426,2426
1475632640,2431,2431
1475633649,2422,2422
1475634614,2412,2412
1475635351,2413,2413
1475637249,2420,2420
1475638948,2410,2410
1475639771,2419,2419
1475640618,2420,2420
1475641817,2412,2412
1475642734,2415,2415
1475643569,2413,2413
1475644452,2427,2427
1475645418,2418,2418
1475646156,2417,2417
1475646971,2422,2422
1475647819,2421,2421
1475648741,2433,2433
1475649623,2426,2426
1475650511,2439,2439
1475651409,2441,2441
1475652228,2447,2447
1475653229,2434,2434
1475654109,2437,2437
1475656091,2447,2447
1475656912,2437,2437
1475658190,2436,2436
1475659092,2446,2446
1475660262,2439,2439
1475662842,2446,2446
1475663296,2455,2455
1475664167,2440,2440
1475665045,2449,2449
1475666116,2442,2442
1475666891,2451,2451
1475667940,2440,2440
1475669671,2457,2457
1475670614,2447,2447
1475671556,2449,2449
1475672170,2457,2457
1475673011,2452,2452
1475673455,2456,2456
1475674514,2442,2442
1475674968,2444,2444
1475676345,2446,2446
1475677241,2453,2453
1475678111,2443,2443
1475678575,2446,2446
1475679375,2454,2454
1475680213,2455,2455
1475681268,2463,2463
1475682184,2456,2456
1475684436,2462,2462
1475685310,2463,2463
1475685770,2456,2456
1475686767,2458,2458
1475688531,2476,2476
1475689360,2466,2466
1475690232,2472,2472
1475691318,2479,2479
1475692217,2479,2479
1475693150,2477,2477
1475695231,2496,2496
1475696178,2488,2488
1475697057,2496,2496
1475697935,2493,2493
1475698451,2496,2496
1475699291,2507,2507
1475701113,2497,2497
1475702116,2504,2504
1475703013,2500,2500
1475703862,2511,2511
1475704829,2504,2504
1475705711,2507,2507
1475706616,2506,2506
1475707546,2497,2497
1475708169,2505,2505
1475709008,2488,2488
1475710215,2477,2477
1475711710,2473,2473
1475712915,2470,2470
1475713814,2448,2448
1475714704,2455,2455
