DateTime,AddedIPs,RemovedIPs
1475270979,4,3
1475272654,1,0
1475273719,1,0
1475274580,2,1
1475275354,2,0
1475276712,2,0
1475278950,13,2
1475279797,35,0
1475280620,19,0
1475281608,1,0
1475284213,0,6
1475285416,0,1
1475288114,1,0
1475289016,1,1
1475292022,1,0
1475293257,0,1
1475296225,2,0
1475298851,0,1
1475299817,0,4
1475300720,0,1
1475301914,1,18
1475302452,1,0
1475304210,0,22
1475307014,1,19
1475311462,0,2
1475313250,0,1
1475314163,0,18
1475314948,0,5
1475316315,0,3
1475317227,1,0
1475318114,0,2
1475319542,2,0
1475320825,1,0
1475321618,0,1
1475322915,1,0
1475323821,1,2
1475325758,2,4
1475326571,1,0
1475331224,3,3
1475332182,1,3
1475335221,1,0
1475336426,0,5
1475337310,1,0
1475339358,1,4
1475343755,0,1
1475345127,1,1
1475346031,1,0
1475347353,1,1
1475349626,0,5
1475350510,1,2
1475351773,1,1
1475352919,1,1
1475354968,1,0
1475356510,0,1
1475357522,2,1
1475358915,0,1
1475359820,0,1
1475361759,3,13
1475363120,1,0
1475364032,1,0
1475365226,3,1
1475366218,1,0
1475367020,2,12
1475369471,1,4
1475370612,0,23
1475371698,1,0
1475372558,0,12
1475376158,0,2
1475377812,0,2
1475379759,1,15
1475381117,2,36
1475382030,1,0
1475383231,1,4
1475385012,1,1
1475387120,1,1
1475390434,0,1
1475394159,1,6
1475397018,0,2
1475398738,0,2
1475399651,2,0
1475400618,2,3
1475403634,3,17
1475404512,0,8
1475406323,2,1
1475407218,1,0
1475408408,1,3
1475409939,7,0
1475410831,1,0
1475411711,1,0
1475412167,1,0
1475415929,0,2
1475417719,0,1
1475418620,0,1
1475420854,1,2
1475422214,1,2
1475424620,0,2
1475427470,4,14
1475430160,0,4
1475431296,0,5
1475433019,0,2
1475433939,0,1
1475435129,0,4
1475437222,0,95
1475438743,0,4
1475439637,1,0
1475440972,0,7
1475444563,6,3
1475445568,1,0
1475446509,1,1
1475448322,9,15
1475449263,0,102
1475450118,2,0
1475451017,0,18
1475454014,22,0
1475454915,6,0
1475456713,0,1
1475458217,12,3
1475458934,15,0
1475459773,4,0
1475461814,1,1
1475463260,0,1
1475465497,1,1
1475467513,2,1
1475468414,2,0
1475469732,2,0
1475470994,1,0
1475472911,0,1
1475475021,1,1
1475476217,1,2
1475477689,2,0
1475479814,1,0
1475481915,1,0
1475483712,0,1
1475485234,1,0
1475486118,4,1
1475487017,0,1
1475489114,1,1
1475489658,1,0
1475490491,1,1
1475491335,0,2
1475495538,1,1
1475496645,1,1
1475498712,2,3
1475500020,1,0
1475502135,1,0
1475505017,0,1
1475506098,1,1
1475506986,2,2
1475508019,1,0
1475509058,0,1
1475511619,2,0
1475512823,1,1
1475513773,2,1
1475514610,1,1
1475515575,1,0
1475516405,1,3
1475517314,3,0
1475518221,0,1
1475520019,3,1
1475521512,3,1
1475522420,2,0
1475523313,2,0
1475525111,0,1
1475526616,0,2
1475527342,2,0
1475528138,1,0
1475530948,2,1
1475533221,13,0
1475534422,2,3
1475536212,2,2
1475537417,2,1
1475540048,1,1
1475541256,0,1
1475543410,1,0
1475544491,1,0
1475546714,1,0
1475548217,1,0
1475549117,1,0
1475550312,1,1
1475551225,1,1
1475553399,0,2
1475555291,1,0
1475556146,1,0
1475560513,1,1
1475561420,0,1
1475562315,2,0
1475563220,0,1
1475564209,1,0
1475565229,1,0
1475567771,1,0
1475568621,2,1
1475569681,2,0
1475570720,3,2
1475572467,0,2
1475573418,1,6
1475574971,1,0
1475575820,1,1
1475576658,1,0
1475578149,1,1
1475579719,1,0
1475580620,1,0
1475584222,0,2
1475586321,5,1
1475589978,1,1
1475590823,1,0
1475591713,0,2
1475593905,2,3
1475595017,0,6
1475595914,2,0
1475597119,1,2
1475597954,1,0
1475598804,2,0
1475600180,1,2
1475601313,1,3
1475602220,0,1
1475602956,3,0
1475606564,0,1
1475607542,3,0
1475608519,1,0
1475609420,3,1
1475610328,1,0
1475611534,1,1
1475612427,2,0
1475615414,1,0
1475617525,2,11
1475618461,1,5
1475619312,1,0
1475620218,0,3
1475620947,1,0
1475623198,1,0
1475624558,4,27
1475625371,0,1
1475626220,1,1
1475627421,0,9
1475628342,0,12
1475629537,0,10
1475631312,1,1
1475634618,1,0
1475635359,1,0
1475637250,1,0
1475638957,0,2
1475641819,0,1
1475644454,0,1
1475645420,1,0
1475646166,0,1
1475646973,1,0
1475647821,1,1
1475649635,1,2
1475652233,1,0
1475653241,0,1
1475656093,0,3
1475656925,1,2
1475658205,0,1
1475660264,5,4
1475662856,3,2
1475664186,0,5
1475665047,2,0
1475666118,1,8
1475666893,1,0
1475667949,0,3
1475669673,0,1
1475670616,1,1
1475671570,1,1
1475672172,1,0
1475673013,3,0
1475673457,1,0
1475674516,1,0
1475676357,3,1
1475677255,1,0
1475678115,3,2
1475679906,1,0
1475680806,1,0
1475682003,0,1
1475684450,6,1
1475685312,0,1
1475686769,0,3
1475688533,3,0
1475689373,1,1
1475690234,3,0
1475691320,3,2
1475693162,3,1
1475695244,6,1
1475698453,1,0
1475699293,1,0
1475701115,0,2
1475702118,1,0
1475703015,0,1
1475703875,2,0
1475704856,1,2
1475705715,5,0
1475706617,1,16
1475707559,3,0
1475708171,0,2
1475709010,4,0
1475710217,1,2
1475711712,8,2
1475713816,1,1
1475714719,1,1
1475715528,1,1
1475716514,1,0
1475717414,0,3
1475720458,1,0
1475721646,0,2
1475723415,3,0
1475724615,0,1
1475727316,0,1
1475729180,1,0
1475731152,1,2
1475732021,1,1
1475732594,0,1
1475733463,1,0
1475734311,1,0
1475736205,1,0
1475737930,0,1
1475740026,1,5
1475741023,0,1
1475742053,1,0
1475742918,0,2
1475743865,1,0
1475744821,1,1
1475746405,0,3
1475747001,1,0
1475748149,0,1
1475750065,0,2
1475752228,1,0
1475753831,3,0
1475757792,0,3
1475758756,0,1
1475760615,1,1
1475761554,1,0
1475763666,6,0
1475764865,0,2
1475765716,5,0
1475766668,1,1
1475768332,1,0
1475770522,1,2
1475771540,0,2
1475772206,0,3
1475773573,3,2
1475774456,1,0
1475775312,0,1
1475777175,2,0
1475778061,1,0
1475778983,0,3
1475782273,0,1
1475783188,1,1
1475784095,0,1
1475785868,0,2
1475786598,0,1
1475788279,0,2
1475789367,1,2
1475790183,0,2
1475792481,2,1
1475793312,1,2
1475796060,2,0
1475797381,0,1
1475798493,1,1
1475800268,0,2
1475801457,1,0
1475803833,2,1
1475806295,0,1
1475807711,1,0
1475808911,4,1
1475811047,2,0
1475814684,1,1
1475815581,1,0
1475817646,6,1
1475818852,1,2
1475819715,1,0
1475820671,3,0
1475821567,1,0
1475823230,4,2
1475825737,1,1
1475827306,7,1
1475828058,3,0
1475831166,0,5
1475832066,1,0
1475833575,7,2
1475834918,2,0
1475836176,0,2
1475837006,1,0
1475838858,2,0
1475839862,0,1
1475840781,0,1
1475842754,0,3
1475843664,2,2
1475845626,0,5
1475846471,2,0
1475847312,0,1
1475848176,1,0
1475849069,1,1
1475849873,2,0
1475850911,0,2
1475851931,1,0
1475852784,2,1
1475853664,3,0
1475854513,1,2
1475857880,1,2
1475859372,1,0
1475860286,1,4
1475862386,0,2
1475864417,3,3
1475865312,1,6
1475866516,1,0
1475868693,0,2
1475869567,1,0
1475871637,1,0
1475872882,1,1
1475874857,2,2
1475876112,1,1
1475877374,2,1
1475878304,0,2
1475880669,4,7
1475881555,0,5
1475883094,1,1
1475883963,0,1
1475886016,1,3
1475887419,0,1
1475888626,0,1
1475890515,0,1
1475892922,1,0
1475894190,4,2
1475900120,2,2
1475901092,0,3
1475904068,2,1
1475905249,0,3
1475906271,1,0
1475907319,1,0
1475908243,0,1
1475909200,2,1
1475911882,0,1
1475913375,4,0
1475915418,0,1
1475918363,1,0
1475919954,3,1
1475920931,0,1
1475921674,2,0
1475922492,0,1
1475923435,0,1
1475924715,1,2
1475925709,1,0
1475926817,0,1
1475928233,0,1
1475929136,14,0
1475930099,0,1
1475934014,0,1
1475935870,0,4
1475937987,0,1
1475938576,1,0
1475941413,2,0
1475943614,2,3
1475946313,0,2
1475947268,2,0
1475949084,4,2
1475951291,1,0
1475952403,1,5
1475953515,0,1
1475954462,2,0
1475955314,1,4
1475956573,2,1
1475958492,1,0
1475959434,1,2
1475961252,1,0
1475962493,2,1
1475963714,1,0
1475964591,0,1
1475965508,2,0
1475966327,2,1
1475967315,0,1
1475968294,0,2
1475971820,0,1
1475973920,3,2
1475975719,2,0
1475976616,2,0
1475977591,0,2
1475979252,0,2
1475980180,0,2
1475983818,0,1
1475985760,0,5
1475987828,0,4
1475990155,0,1
1475992571,0,2
1475993420,0,3
1475995505,0,1
1475996634,1,7
1475998885,0,4
1476000621,1,1
1476002534,0,6
1476004548,0,1
1476005419,0,4
1476007857,1,3
1476009024,2,2
1476011129,1,1
1476013298,1,3
1476015316,2,0
1476016937,0,1
