DateTime,AddedIPs,RemovedIPs
1475509050,132,293
1475510600,214,233
1475511603,118,0
1475512805,116,295
1475513763,108,1
1475514602,102,139
1475515565,100,0
1475516396,125,244
1475517303,116,0
1475518203,83,227
1475519193,128,0
1475520003,77,249
1475521503,191,154
1475522402,91,1
1475523304,110,186
1475524302,151,64
1475525103,83,162
1475525643,69,0
1475526603,107,210
1475527324,106,56
1475528130,110,0
1475528999,144,190
1475530083,178,0
1475530925,150,531
1475533203,372,297
1475534402,202,293
1475535303,160,0
1475536203,158,108
1475537405,207,169
1475540040,501,193
1475541248,230,158
1475543402,405,184
1475544483,181,0
1475545503,179,217
1475547243,297,153
1475548204,153,169
1475549103,146,29
1475550303,223,140
1475551203,153,0
1475552002,136,211
1475553391,212,88
1475554203,103,125
1475555283,141,0
1475556126,143,243
1475557222,201,186
1475558103,179,0
1475559004,155,205
1475560503,683,48
1475561403,228,155
1475562303,76,0
1475563203,71,225
1475564200,65,0
1475565221,55,171
1475566331,122,233
1475566925,62,68
1475567763,101,0
1475568603,111,168
1475569672,146,0
1475570703,245,288
1475572459,325,156
1475573403,140,272
1475574201,126,87
1475574963,105,0
1475575803,200,131
1475576631,233,0
1475578140,517,285
1475579711,553,177
1475580605,163,202
1475581503,144,48
1475583303,217,155
1475584203,125,285
1475585104,110,86
1475586306,153,140
1475587203,106,0
1475588400,191,227
1475589970,247,151
1475590803,144,2
1475591703,140,219
1475593896,295,192
1475595004,161,180
1475595903,157,69
1475597104,156,145
1475597945,206,0
1475598794,109,330
1475600170,220,122
1475601303,200,231
1475602205,123,248
1475602929,105,48
1475604306,183,137
1475605206,97,0
1475606527,176,262
1475607534,132,139
1475608504,136,13
1475609404,97,209
1475610304,97,44
1475611504,182,144
1475612403,122,0
1475613606,203,273
1475614563,151,0
1475615402,132,617
1475617510,333,386
1475618420,140,84
1475619303,155,1
1475620203,151,125
1475620924,131,47
1475622213,238,83
1475623190,185,0
1475624525,240,191
1475625363,173,1
1475626203,151,93
1475628306,401,171
1475629508,218,93
1475630406,160,1
1475631304,144,103
1475632634,243,36
1475633643,177,95
1475634604,163,112
1475635328,143,52
1475637243,325,87
1475638928,297,148
1475639763,151,1
1475640603,126,72
1475642708,343,152
1475643563,120,105
1475644443,141,8
1475645406,130,109
1475646127,97,43
1475646963,143,1
1475647803,77,186
1475648710,92,0
1475649604,126,600
1475650503,134,0
1475651402,165,802
1475652202,151,0
1475653206,223,1187
1475654103,142,0
1475656083,320,272
1475656887,84,604
1475658155,167,226
1475659082,101,0
1475660254,157,258
1475662808,372,318
1475663283,77,0
1475664129,92,370
1475665038,126,0
1475666103,188,191
1475666883,145,0
1475667909,190,341
1475669665,293,209
1475670603,212,231
1475671513,219,76
1475672163,156,0
1475673448,250,154
1475674503,169,218
1475674931,86,54
1475676311,313,189
1475677208,197,0
1475678103,723,246
1475678536,669,73
1475679369,823,0
1475680203,176,185
1475681249,239,0
1475682140,257,282
1475684407,542,135
1475685303,191,455
1475685732,40,103
1475686545,115,0
1475687376,107,139
1475688525,127,0
1475689330,98,261
1475690222,113,0
1475691304,151,124
1475692204,88,187
1475693113,127,67
1475694316,157,166
1475695207,110,0
1475696172,88,213
1475697046,102,80
1475697910,171,173
1475698443,133,0
1475699284,179,0
1475701107,458,559
1475702103,232,20
1475703003,221,265
1475703829,115,100
1475704799,131,206
1475705703,112,17
1475706604,154,340
1475707515,145,119
1475708163,100,0
1475708999,122,218
1475710204,142,308
1475711703,119,101
1475712904,98,239
1475713803,75,271
1475714676,102,100
1475715520,98,202
1475716503,93,13
1475717403,91,261
1475718307,98,100
1475719515,113,188
1475720407,102,0
1475721604,132,370
1475722503,83,0
1475723403,74,169
1475723643,24,2
1475724605,92,200
1475725741,119,81
1475727304,146,224
1475728204,90,316
1475729115,75,260
1475730308,151,568
1475731141,83,0
1475732012,139,153
1475732534,30,42
1475733455,104,0
1475734300,76,71
1475736147,190,200
1475737916,151,143
1475738861,61,0
1475739971,94,381
1475740990,97,187
1475742003,103,2
1475742903,122,257
1475743856,106,83
1475744769,131,149
1475746397,218,345
1475746931,67,192
1475748904,345,570
1475749804,204,490
1475750708,243,106
1475751908,310,146
1475752808,235,0
1475753816,175,195
1475754903,174,70
1475755816,124,143
1475757730,353,279
1475758746,213,178
1475759704,230,19
1475760604,198,253
1475761507,137,80
1475762707,203,161
1475763603,152,0
1475764809,218,345
1475765703,165,0
1475766611,134,176
1475767435,141,0
1475768323,166,273
1475769224,160,111
1475770504,232,192
1475771511,186,264
1475772137,140,102
1475773507,188,196
1475774403,108,1
1475775303,115,233
1475776299,86,71
1475777116,121,168
1475778009,91,0
1475778970,64,193
1475779942,73,56
1475781018,94,189
1475783118,198,314
1475784027,99,193
1475784843,62,0
1475785819,92,277
1475786541,70,89
1475787363,102,1
1475788220,96,189
1475789295,142,0
1475790115,115,396
1475792410,314,218
1475793303,132,301
1475793733,58,105
1475795117,207,238
1475796004,145,0
1475797330,194,410
1475798426,176,219
1475799243,114,0
1475800219,149,267
1475801449,188,106
1475803813,374,486
1475804531,115,131
1475805363,123,0
1475806215,138,227
1475807703,241,346
1475808903,231,103
1475811010,356,456
1475811944,203,84
1475813643,463,184
1475814617,235,250
1475815519,202,84
1475816710,177,183
1475817603,128,0
1475818803,167,232
1475819704,109,0
1475820608,82,174
1475821518,82,0
1475823222,156,456
1475825728,196,334
1475827228,140,239
1475828043,78,0
1475829043,155,264
1475831082,252,259
1475832003,82,0
1475833512,177,289
1475834308,151,146
1475835303,129,18
1475836101,103,0
1475836938,80,287
1475838843,1768,166
1475839822,148,373
1475840718,122,158
1475841916,139,320
1475842738,65,2
1475843655,159,388
1475845547,257,446
1475846403,122,0
1475847304,93,403
1475848130,83,837
1475848981,114,1111
1475849863,152,0
1475850903,148,479
1475851862,90,186
1475852718,94,335
1475853603,81,0
1475854503,78,404
1475855544,101,87
1475856903,153,144
1475857824,184,201
1475859363,376,72
1475860217,206,151
1475861246,275,0
1475862322,248,313
1475863513,205,147
1475864403,120,0
1475865304,106,194
1475866503,191,49
1475867422,182,193
1475869512,378,522
1475870711,139,256
1475871529,71,0
1475872810,122,291
