DateTime,AddedIPs,RemovedIPs
1475430144,69,6
1475431279,8,2
1475432113,12,0
1475433017,10,5
1475433925,10,0
1475435115,13,3
1475436006,2,0
1475437210,7,4
1475438724,16,2
1475439621,2,1
1475440953,8,5
1475441770,4,0
1475442610,4,1
1475444548,4,2
1475445565,7,1
1475446503,2,0
1475447293,4,0
1475448319,8,1
1475449235,5,3
1475450114,3,0
1475451909,2,1
1475453111,2,0
1475454011,2,0
1475454912,1,0
1475455835,2,0
1475456711,2,0
1475458211,2,1
1475458932,1,0
1475459771,1,0
1475460850,1,0
1475461810,0,1
1475463257,2,0
1475464436,1,1
1475465494,2,1
1475466134,2,2
1475467510,4,0
1475468412,2,0
1475469730,2,2
1475470991,7,3
1475472011,3,0
1475472908,6,1
1475474111,1,0
1475475018,2,3
1475476214,5,3
1475477686,2,0
1475478909,4,3
1475479810,4,37
1475480643,2,1
1475481912,4,2
1475482812,3,1
1475483709,3,3
1475484131,0,2
1475485227,4,2
1475486113,4,1
1475487015,5,1
1475487911,4,0
1475489655,11,1
1475490488,4,0
1475491332,4,4
1475492431,11,2
1475493611,6,0
1475495535,29,4
1475496642,8,3
1475497692,11,3
1475498709,12,8
1475500017,12,9
1475501258,16,2
1475502132,8,12
1475502972,6,3
1475503819,9,13
1475505011,18,20
1475506095,9,7
1475506984,6,15
1475508013,14,1
1475509056,8,106
1475510605,21,54
1475511612,19,0
1475512816,15,39
1475513771,17,0
1475514608,12,13
1475515572,10,1
1475516402,14,22
1475517312,14,0
1475518218,5,21
1475519199,13,0
1475520013,4,27
1475521510,15,8
1475522413,6,1
1475523310,9,19
1475524310,3,10
1475525108,1,41
1475525651,1,0
1475526612,7,17
1475527336,2,4
1475528135,6,0
1475529007,2,5
1475530089,2,1
1475530939,2,14
1475533212,6,3
1475534413,3,13
1475535311,1,0
1475536209,4,3
1475537414,3,3
1475540045,5,3
1475541253,2,4
1475543407,2,30
1475544489,3,0
1475545516,0,6
1475546711,1,4
1475547249,2,0
1475548213,1,2
1475549113,0,2
1475550310,5,7
1475551216,1,0
1475552007,5,6
1475553397,6,2
1475554218,3,8
1475555288,8,0
1475556136,3,14
1475557231,6,3
1475558112,6,1
1475559014,8,10
1475560511,11,3
1475561417,1,6
1475562312,6,0
1475563210,5,14
1475564206,6,1
1475565226,2,13
1475566337,9,20
1475566936,4,7
1475567769,6,1
1475568618,10,9
1475569678,7,0
1475570717,12,16
1475572464,8,13
1475573413,8,20
1475574217,6,6
1475574968,12,0
1475575817,11,10
1475576645,12,0
1475578146,11,25
1475579716,16,19
1475580617,5,23
1475581508,16,5
1475583316,18,19
1475584219,13,24
1475585114,16,11
1475586318,13,10
1475587213,12,1
1475588409,26,29
1475589976,26,18
1475590814,19,0
1475591710,14,23
1475593902,38,29
1475595014,23,25
1475595911,21,9
1475597116,16,20
1475597951,15,1
1475598801,11,52
1475600176,15,29
1475601308,15,14
1475602217,10,32
1475602943,10,4
1475604326,15,27
1475605219,9,1
1475606543,10,24
1475607539,4,15
1475608515,14,2
1475609417,6,18
1475610318,4,4
1475611518,6,13
1475612416,3,0
1475613621,9,10
1475614568,0,2
1475615412,3,6
1475617522,6,22
1475618431,3,9
