DateTime,Entries,UniqueIPs
1475470991,1928,1928
1475472011,1931,1931
1475472908,1936,1936
1475474111,1937,1937
1475475018,1936,1936
1475476214,1938,1938
1475477686,1940,1940
1475478909,1941,1941
1475479810,1908,1908
1475480643,1909,1909
1475481912,1911,1911
1475482812,1913,1913
1475483709,1913,1913
1475484131,1911,1911
1475485227,1913,1913
1475486113,1916,1916
1475487015,1920,1920
1475487911,1924,1924
1475489655,1934,1934
1475490488,1938,1938
1475491332,1938,1938
1475492431,1947,1947
1475493611,1953,1953
1475495535,1978,1978
1475496642,1983,1983
1475497692,1991,1991
1475498709,1995,1995
1475500017,1998,1998
1475501258,2012,2012
1475502132,2008,2008
1475502972,2011,2011
1475503819,2007,2007
1475505011,2005,2005
1475506095,2007,2007
1475506984,1998,1998
1475508013,2011,2011
1475509056,1913,1913
1475510605,1880,1880
1475511612,1899,1899
1475512816,1875,1875
1475513771,1892,1892
1475514608,1891,1891
1475515572,1900,1900
1475516402,1892,1892
1475517312,1906,1906
1475518218,1890,1890
1475519199,1903,1903
1475520013,1880,1880
1475521510,1887,1887
1475522413,1892,1892
1475523310,1882,1882
1475524310,1875,1875
1475525108,1835,1835
1475525651,1836,1836
1475526612,1826,1826
1475527336,1824,1824
1475528135,1830,1830
1475529007,1827,1827
1475530089,1828,1828
1475530939,1816,1816
1475533212,1819,1819
1475534413,1809,1809
1475535311,1810,1810
1475536209,1811,1811
1475537414,1811,1811
1475540045,1813,1813
1475541253,1811,1811
1475543407,1783,1783
1475544489,1786,1786
1475545516,1780,1780
1475546711,1777,1777
1475547249,1779,1779
1475548213,1778,1778
1475549113,1776,1776
1475550310,1774,1774
1475551216,1775,1775
1475552007,1774,1774
1475553397,1778,1778
1475554218,1773,1773
1475555288,1781,1781
1475556136,1770,1770
1475557231,1773,1773
1475558112,1778,1778
1475559014,1776,1776
1475560511,1784,1784
1475561417,1779,1779
1475562312,1785,1785
1475563210,1776,1776
1475564206,1781,1781
1475565226,1770,1770
1475566337,1759,1759
1475566936,1756,1756
1475567769,1761,1761
1475568618,1762,1762
1475569678,1769,1769
1475570717,1765,1765
1475572464,1760,1760
1475573413,1748,1748
1475574217,1748,1748
1475574968,1760,1760
1475575817,1761,1761
1475576645,1773,1773
1475578146,1759,1759
1475579716,1756,1756
1475580617,1738,1738
1475581508,1749,1749
1475583316,1748,1748
1475584219,1737,1737
1475585114,1742,1742
1475586318,1745,1745
1475587213,1756,1756
1475588409,1753,1753
1475589976,1761,1761
1475590814,1780,1780
1475591710,1771,1771
1475593902,1780,1780
1475595014,1778,1778
1475595911,1790,1790
1475597116,1786,1786
1475597951,1800,1800
1475598801,1759,1759
1475600176,1745,1745
1475601308,1746,1746
1475602217,1724,1724
1475602943,1730,1730
1475604326,1718,1718
1475605219,1726,1726
1475606543,1712,1712
1475607539,1701,1701
1475608515,1713,1713
1475609417,1701,1701
1475610318,1701,1701
1475611518,1694,1694
1475612416,1697,1697
1475613621,1696,1696
1475614568,1694,1694
1475615412,1691,1691
1475617522,1675,1675
1475618431,1669,1669
1475619309,1671,1671
1475620214,1674,1674
1475620939,1671,1671
1475622226,1667,1667
1475624543,1664,1664
1475626218,1661,1661
1475628326,1658,1658
1475629521,1654,1654
1475631309,1653,1653
1475632639,1652,1652
1475633649,1651,1651
1475634612,1645,1645
1475635347,1644,1644
1475637248,1641,1641
1475638941,1638,1638
1475640617,1632,1632
1475642726,1622,1622
1475643568,1620,1620
1475644451,1618,1618
1475645417,1612,1612
1475646149,1611,1611
1475646970,1612,1612
1475647818,1605,1605
1475649616,1601,1601
1475651409,1597,1597
1475653221,1591,1591
1475656090,1589,1589
1475656908,1582,1582
1475658179,1577,1577
1475660261,1572,1572
1475662833,1566,1566
1475664157,1556,1556
1475666114,1549,1549
1475667933,1532,1532
1475669670,1522,1522
1475670613,1507,1507
1475671547,1502,1502
1475673454,1495,1495
1475674513,1480,1480
1475676337,1477,1477
1475678110,1461,1461
1475678565,1456,1456
1475679375,1457,1457
1475680212,1443,1443
1475682168,1419,1419
1475684427,1401,1401
1475685309,1356,1356
1475685756,1346,1346
1475687381,1331,1331
1475689348,1310,1310
1475691317,1292,1292
1475692216,1274,1274
1475693138,1268,1268
1475695226,1262,1262
1475696178,1246,1246
1475697056,1243,1243
1475697926,1238,1238
1475701112,1248,1248
1475702112,1253,1253
1475703012,1250,1250
1475703854,1251,1251
1475704823,1248,1248
1475706614,1204,1204
1475707540,1194,1194
1475709006,1189,1189
1475710213,1186,1186
1475712912,1183,1183
1475713813,1184,1184
1475714695,1185,1185
1475715526,1186,1186
1475716510,1187,1187
1475717410,1189,1189
1475718327,1194,1194
1475720435,1202,1202
1475721622,1191,1191
1475722508,1196,1196
1475723412,1193,1193
1475723649,1192,1192
1475724612,1191,1191
1475725748,1197,1197
1475727311,1196,1196
1475728214,1197,1197
1475729151,1203,1203
1475731149,1204,1204
1475732018,1206,1206
1475732570,1207,1207
1475733460,1217,1217
1475734307,1214,1214
1475736177,1206,1206
1475737922,1210,1210
1475738887,1214,1214
1475740005,1204,1204
1475741010,1211,1211
1475742024,1221,1221
1475742915,1222,1222
1475743862,1231,1231
1475744796,1233,1233
1475746402,1235,1235
1475746964,1236,1236
1475748130,1233,1233
1475749213,1244,1244
1475750062,1237,1237
1475751306,1237,1237
1475752218,1240,1240
1475753822,1242,1242
1475754911,1249,1249
1475755858,1242,1242
1475757759,1229,1229
1475758753,1223,1223
1475759714,1229,1229
1475760613,1214,1214
1475761532,1214,1214
1475762729,1209,1209
1475763633,1217,1217
1475764834,1192,1192
1475765713,1215,1215
1475766641,1204,1204
1475767470,1215,1215
1475768329,1194,1194
1475769231,1191,1191
1475770518,1182,1182
1475771530,1154,1154
1475772169,1145,1145
1475773545,1131,1131
1475774423,1146,1146
1475775309,1111,1111
1475776305,1107,1107
1475777156,1103,1103
1475778036,1115,1115
1475778980,1108,1108
1475779949,1109,1109
1475781066,1100,1100
1475782258,1100,1100
1475783152,1102,1102
1475784072,1096,1096
1475784851,1104,1104
1475785847,1107,1107
1475786575,1110,1110
1475787369,1113,1113
1475788253,1107,1107
1475789323,1109,1109
1475790148,1100,1100
1475792450,1103,1103
1475793309,1102,1102
1475795156,1104,1104
1475797358,1103,1103
1475798465,1102,1102
1475799252,1103,1103
1475801454,1107,1107
1475803830,1110,1110
1475805368,1112,1112
1475807708,1121,1121
1475808908,1123,1123
1475811044,1130,1130
1475811977,1133,1133
1475813650,1138,1138
1475814649,1139,1139
1475815554,1138,1138
1475816745,1148,1148
1475817625,1151,1151
1475818821,1156,1156
1475819712,1158,1158
1475820646,1161,1161
1475821543,1165,1165
1475823227,1169,1169
1475825733,1177,1177
1475827275,1187,1187
1475828055,1192,1192
1475829074,1200,1200
1475831134,1209,1209
1475832031,1215,1215
1475833548,1223,1223
1475834896,1227,1227
1475836134,1241,1241
1475836977,1246,1246
1475838855,1267,1267
1475839835,1276,1276
1475840752,1283,1283
1475842749,1305,1305
1475843661,1314,1314
1475845586,1338,1338
1475846434,1345,1345
1475847309,1355,1355
1475848153,1361,1361
1475849038,1369,1369
1475849870,1381,1381
1475850909,1396,1396
1475851899,1402,1402
1475852744,1411,1411
1475853628,1424,1424
1475854511,1439,1439
1475855549,1453,1453
1475856915,1471,1471
1475857858,1478,1478
1475859369,1497,1497
1475860253,1509,1509
1475861298,1521,1521
1475862360,1527,1527
1475864414,1541,1541
1475865309,1543,1543
1475866513,1548,1548
1475867460,1553,1553
1475868663,1562,1562
1475869537,1567,1567
1475871612,1578,1578
1475872851,1583,1583
1475874071,1586,1586
1475874854,1589,1589
1475876109,1605,1605
1475877371,1608,1608
1475878267,1610,1610
1475880644,1615,1615
1475881512,1616,1616
1475882052,1617,1617
1475883052,1617,1617
1475883948,1616,1616
1475886013,1614,1614
1475887381,1612,1612
1475888594,1610,1610
1475890512,1608,1608
1475890976,1609,1609
1475891833,1610,1610
1475892918,1609,1609
1475894187,1609,1609
1475895310,1608,1608
1475896257,1608,1608
1475898362,1609,1609
1475900117,1615,1615
1475901054,1613,1613
1475901964,1617,1617
1475904028,1618,1618
1475905219,1617,1617
1475905387,1618,1618
1475906269,1629,1629
1475907316,1626,1626
1475908220,1631,1631
1475909173,1641,1641
1475910073,1645,1645
1475910916,1650,1650
1475911857,1647,1647
1475912683,1651,1651
1475913372,1653,1653
1475914275,1655,1655
1475914490,1657,1657
1475915412,1658,1658
1475916360,1665,1665
1475916972,1674,1674
1475917810,1667,1667
1475918360,1671,1671
1475919950,1672,1672
1475920888,1672,1672
1475921671,1678,1678
1475922489,1685,1685
1475923391,1676,1676
1475924712,1681,1681
1475925653,1693,1693
1475926934,1695,1695
1475928180,1695,1695
1475929133,1706,1706
1475930096,1694,1694
1475931294,1706,1706
1475932383,1705,1705
1475934011,1692,1692
1475934819,1698,1698
1475935851,1693,1693
1475937013,1691,1691
1475937950,1691,1691
1475938572,1699,1699
1475939411,1690,1690
1475940538,1696,1696
1475941410,1671,1671
1475943611,1676,1676
1475944992,1666,1666
1475946310,1645,1645
1475947227,1658,1658
1475949080,1656,1656
1475950062,1651,1651
1475951032,1658,1658
1475951288,1661,1661
1475952366,1638,1638
1475953512,1635,1635
1475954422,1647,1647
1475955311,1633,1633
1475956570,1636,1636
1475958489,1641,1641
1475959394,1645,1645
1475961249,1648,1648
1475962490,1644,1644
1475963711,1647,1647
1475964588,1645,1645
1475965474,1647,1647
1475966324,1643,1643
1475967312,1645,1645
1475968260,1647,1647
1475969109,1648,1648
1475970020,1646,1646
1475970910,1648,1648
1475972935,1649,1649
1475973917,1645,1645
1475975715,1645,1645
1475976614,1642,1642
1475977556,1643,1643
1475979249,1642,1642
1475980932,1636,1636
1475981769,1637,1637
1475982910,1633,1633
1475983813,1632,1632
1475984598,1628,1628
1475985757,1627,1627
1475987823,1623,1623
1475988130,1622,1622
1475990147,1621,1621
1475992568,1619,1619
1475993417,1617,1617
1475995500,1618,1618
1475996594,1616,1616
1475997610,1618,1618
1475998841,1608,1608
1475999768,1610,1610
1476000618,1605,1605
1476001563,1607,1607
1476002531,1598,1598
1476003698,1589,1589
1476004494,1591,1591
1476005415,1560,1560
1476007854,1559,1559
1476008982,1562,1562
1476011097,1611,1611
1476012322,1638,1638
1476013250,1633,1633
1476014508,1638,1638
1476015313,1646,1646
1476016933,1650,1650
1476018257,1660,1660
1476019213,1674,1674
1476020109,1661,1661
1476020600,1658,1658
1476021914,1659,1659
1476022732,1665,1665
1476023783,1669,1669
1476024132,1664,1664
1476025979,1675,1675
1476026889,1694,1694
1476029167,1681,1681
1476030055,1694,1694
1476031215,1686,1686
1476032114,1693,1693
1476033075,1698,1698
1476034216,1698,1698
1476035206,1703,1703
1476036312,1709,1709
1476037253,1721,1721
1476038145,1715,1715
1476039696,1722,1722
1476040562,1730,1730
1476041414,1725,1725
1476043017,1711,1711
1476043818,1704,1704
1476045731,1695,1695
1476047146,1696,1696
1476048012,1712,1712
