DateTime,Entries,UniqueIPs
1475485220,33352,33352
1475486103,33578,33578
1475487004,33692,33692
1475487904,33878,33878
1475489643,34036,34036
1475490483,34179,34179
1475491324,34117,34117
1475492421,34241,34241
1475493604,34425,34425
1475495529,34511,34511
1475496636,34523,34523
1475497683,34678,34678
1475498703,34600,34600
1475500012,34675,34675
1475501253,34845,34845
1475502124,34715,34715
1475502964,34823,34823
1475503804,34765,34765
1475505003,34731,34731
1475506090,34802,34802
1475506979,34771,34771
1475508003,34919,34919
1475509050,34758,34758
1475510600,34739,34739
1475511603,34857,34857
1475512805,34678,34678
1475513763,34785,34785
1475514602,34748,34748
1475515565,34848,34848
1475516396,34729,34729
1475517303,34845,34845
1475518203,34701,34701
1475519193,34829,34829
1475520003,34657,34657
1475521503,34694,34694
1475522402,34784,34784
1475523304,34708,34708
1475524302,34795,34795
1475525103,34716,34716
1475525643,34785,34785
1475526603,34682,34682
1475527324,34732,34732
1475528130,34842,34842
1475528999,34796,34796
1475530083,34974,34974
1475530925,34593,34593
1475533203,34668,34668
1475534402,34577,34577
1475535303,34737,34737
1475536203,34787,34787
1475537405,34825,34825
1475540040,35133,35133
1475541248,35205,35205
1475543402,35426,35426
1475544483,35607,35607
1475545503,35569,35569
1475547243,35713,35713
1475548204,35697,35697
1475549103,35814,35814
1475550303,35897,35897
1475551203,36050,36050
1475552002,35975,35975
1475553391,36099,36099
1475554203,36077,36077
1475555283,36218,36218
1475556126,36118,36118
1475557222,36133,36133
1475558103,36312,36312
1475559004,36262,36262
1475560503,36897,36897
1475561403,36970,36970
1475562303,37046,37046
1475563203,36892,36892
1475564200,36957,36957
1475565221,36841,36841
1475566331,36730,36730
1475566925,36724,36724
1475567763,36825,36825
1475568603,36768,36768
1475569672,36914,36914
1475570703,36871,36871
1475572459,37040,37040
1475573403,36908,36908
1475574201,36947,36947
1475574963,37052,37052
1475575803,37121,37121
1475576631,37354,37354
1475578140,37586,37586
1475579711,37962,37962
1475580605,37923,37923
1475581503,38019,38019
1475583303,38081,38081
1475584203,37921,37921
1475585104,37945,37945
1475586306,37958,37958
1475587203,38064,38064
1475588400,38028,38028
1475589970,38124,38124
1475590803,38266,38266
1475591703,38187,38187
1475593896,38290,38290
1475595004,38271,38271
1475595903,38359,38359
1475597104,38370,38370
1475597945,38576,38576
1475598794,38355,38355
1475600170,38453,38453
1475601303,38422,38422
1475602205,38297,38297
1475602929,38354,38354
1475604306,38400,38400
1475605206,38497,38497
1475606527,38411,38411
1475607534,38404,38404
1475608504,38527,38527
1475609404,38415,38415
1475610304,38468,38468
1475611504,38506,38506
1475612403,38628,38628
1475613606,38558,38558
1475614563,38709,38709
1475615402,38224,38224
1475617510,38171,38171
1475618420,38227,38227
1475619303,38381,38381
1475620203,38407,38407
1475620924,38491,38491
1475622213,38646,38646
1475623190,38831,38831
1475624525,38880,38880
1475625363,39052,39052
1475626203,39110,39110
1475628306,39340,39340
1475629508,39465,39465
1475630406,39624,39624
1475631304,39665,39665
1475632634,39872,39872
1475633643,39954,39954
1475634604,40005,40005
1475635328,40096,40096
1475637243,40334,40334
1475638928,40483,40483
1475639763,40633,40633
1475640603,40687,40687
1475642708,40878,40878
1475643563,40893,40893
1475644443,41026,41026
1475645406,41047,41047
1475646127,41101,41101
1475646963,41243,41243
1475647803,41134,41134
1475648710,41226,41226
1475649604,40752,40752
1475650503,40886,40886
1475651402,40249,40249
1475652202,40400,40400
1475653206,39436,39436
1475654103,39578,39578
1475656083,39626,39626
1475656887,39106,39106
1475658155,39047,39047
1475659082,39148,39148
1475660254,39047,39047
1475662808,39101,39101
1475663283,39178,39178
1475664129,38900,38900
1475665038,39026,39026
1475666103,39023,39023
1475666883,39168,39168
1475667909,39017,39017
1475669665,39101,39101
1475670603,39082,39082
1475671513,39225,39225
1475672163,39381,39381
1475673448,39477,39477
1475674503,39428,39428
1475674931,39460,39460
1475676311,39584,39584
1475677208,39781,39781
1475678103,40258,40258
1475678536,40854,40854
1475679369,41677,41677
1475680203,41668,41668
1475681249,41907,41907
1475682140,41882,41882
1475684407,42289,42289
1475685303,42025,42025
1475685732,41962,41962
1475686545,42077,42077
1475687376,42045,42045
1475688525,42172,42172
1475689330,42009,42009
1475690222,42122,42122
1475691304,42149,42149
1475692204,42050,42050
1475693113,42110,42110
1475694316,42101,42101
1475695207,42211,42211
1475696172,42086,42086
1475697046,42108,42108
1475697910,42106,42106
1475698443,42239,42239
1475699284,42418,42418
1475701107,42317,42317
1475702103,42529,42529
1475703003,42485,42485
1475703829,42500,42500
1475704799,42425,42425
1475705703,42520,42520
1475706604,42334,42334
1475707515,42360,42360
1475708163,42460,42460
1475708999,42364,42364
1475710204,42198,42198
1475711703,42216,42216
1475712904,42075,42075
1475713803,41879,41879
1475714676,41881,41881
1475715520,41777,41777
1475716503,41857,41857
1475717403,41687,41687
1475718307,41685,41685
1475719515,41610,41610
1475720407,41712,41712
1475721604,41474,41474
1475722503,41557,41557
1475723403,41462,41462
1475723643,41484,41484
