DateTime,AddedIPs,RemovedIPs
1475491332,11,8
1475492431,8,10
1475493610,15,4
1475495534,15,18
1475496641,13,17
1475497691,9,10
1475498708,6,9
1475500017,13,8
1475501258,9,2
1475502132,7,16
1475502971,6,3
1475503818,18,8
1475505010,7,6
1475506095,18,3
1475506983,16,12
1475508012,19,4
1475509055,8,17
1475510605,14,7
1475511610,6,3
1475512815,13,9
1475513770,13,5
1475514607,13,8
1475515571,19,1
1475516401,9,11
1475517311,8,9
1475518218,8,8
1475519199,5,2
1475520012,9,22
1475521509,7,9
1475522411,7,4
1475523309,5,19
1475524309,4,4
1475525108,3,2
1475525650,3,2
1475526612,9,12
1475527334,7,5
1475528135,4,3
1475529006,6,6
1475530089,14,1
1475530937,8,9
1475533210,9,9
1475534411,6,6
1475535310,8,3
1475536209,7,10
1475537412,8,6
1475540044,24,14
1475541253,9,7
1475543407,8,10
1475544488,8,4
1475545514,7,8
1475546711,3,8
1475547248,1,1
1475548211,2,10
1475549111,4,9
1475550308,2,15
1475551214,1,5
1475552007,6,4
1475553396,8,10
1475554217,8,8
1475555288,4,5
1475556134,8,17
1475557230,14,13
1475558110,8,4
1475559012,4,18
1475560510,14,7
1475561417,14,6
1475562311,5,2
1475563210,7,13
1475564206,9,3
1475565226,7,13
1475566336,12,15
1475566934,1,8
1475567768,8,3
1475568618,9,10
1475569677,6,3
1475570715,8,14
1475572464,14,14
1475573411,7,21
1475574214,8,3
1475574967,6,4
1475575817,9,7
1475576643,9,1
1475578145,7,15
1475579716,13,11
1475580614,13,7
1475581508,12,4
1475583314,18,15
1475584217,11,16
1475585112,7,24
1475586317,11,17
1475587211,9,3
1475588407,15,9
1475589975,11,10
1475590812,8,3
1475591710,5,14
1475593902,22,18
1475595013,11,13
1475595911,15,8
1475597114,11,13
1475597951,9,5
1475598800,6,15
1475600176,15,8
1475601308,12,20
1475602215,14,21
1475602941,10,7
1475604323,11,16
1475605216,7,3
1475606540,15,19
1475607539,8,13
1475608513,11,4
1475609417,4,19
1475610316,8,4
1475611516,10,8
1475612413,11,3
1475613618,6,20
1475614568,7,5
1475615411,9,19
1475617522,12,29
1475618430,11,12
1475619308,5,0
1475620211,11,8
1475620936,9,4
1475622223,9,10
1475623195,10,2
1475624539,9,19
1475625368,8,4
1475626217,6,12
1475628324,13,27
1475629520,10,22
