DateTime,Entries,UniqueIPs
1475474110,1401,1401
1475475017,1401,1401
1475476213,1406,1406
1475477686,1421,1421
1475478909,1420,1420
1475479808,1416,1416
1475480642,1421,1421
1475481912,1424,1424
1475482811,1428,1428
1475483708,1427,1427
1475484131,1422,1422
1475485227,1430,1430
1475486111,1436,1436
1475487013,1432,1432
1475487911,1435,1435
1475489654,1445,1445
1475490488,1457,1457
1475491332,1460,1460
1475492431,1458,1458
1475493610,1469,1469
1475495534,1466,1466
1475496641,1462,1462
1475497691,1461,1461
1475498708,1458,1458
1475500017,1463,1463
1475501258,1470,1470
1475502132,1461,1461
1475502971,1464,1464
1475503818,1474,1474
1475505010,1475,1475
1475506095,1490,1490
1475506983,1494,1494
1475508012,1509,1509
1475509055,1500,1500
1475510605,1507,1507
1475511610,1510,1510
1475512815,1514,1514
1475513770,1522,1522
1475514607,1527,1527
1475515571,1545,1545
1475516401,1543,1543
1475517311,1542,1542
1475518218,1542,1542
1475519199,1545,1545
1475520012,1532,1532
1475521509,1530,1530
1475522411,1533,1533
1475523309,1519,1519
1475524309,1519,1519
1475525108,1520,1520
1475525650,1521,1521
1475526612,1518,1518
1475527334,1520,1520
1475528135,1521,1521
1475529006,1521,1521
1475530089,1534,1534
1475530937,1533,1533
1475533210,1533,1533
1475534411,1533,1533
1475535310,1538,1538
1475536209,1535,1535
1475537412,1537,1537
1475540044,1547,1547
1475541253,1549,1549
1475543407,1547,1547
1475544488,1551,1551
1475545514,1550,1550
1475546711,1545,1545
1475547248,1545,1545
1475548211,1537,1537
1475549111,1532,1532
1475550308,1519,1519
1475551214,1515,1515
1475552007,1517,1517
1475553396,1515,1515
1475554217,1515,1515
1475555288,1514,1514
1475556134,1505,1505
1475557230,1506,1506
1475558110,1510,1510
1475559012,1496,1496
1475560510,1503,1503
1475561417,1511,1511
1475562311,1514,1514
1475563210,1508,1508
1475564206,1514,1514
1475565226,1508,1508
1475566336,1505,1505
1475566934,1498,1498
1475567768,1503,1503
1475568618,1502,1502
1475569677,1505,1505
1475570715,1499,1499
1475572464,1499,1499
1475573411,1485,1485
1475574214,1490,1490
1475574967,1492,1492
1475575817,1494,1494
1475576643,1502,1502
1475578145,1494,1494
1475579716,1496,1496
1475580614,1502,1502
1475581508,1510,1510
1475583314,1513,1513
1475584217,1508,1508
1475585112,1491,1491
1475586317,1485,1485
1475587211,1491,1491
1475588407,1497,1497
1475589975,1498,1498
1475590812,1503,1503
1475591710,1494,1494
1475593902,1498,1498
1475595013,1496,1496
1475595911,1503,1503
1475597114,1501,1501
1475597951,1505,1505
1475598800,1496,1496
1475600176,1503,1503
1475601308,1495,1495
1475602215,1488,1488
1475602941,1491,1491
1475604323,1486,1486
1475605216,1490,1490
1475606540,1486,1486
1475607539,1481,1481
1475608513,1488,1488
1475609417,1473,1473
1475610316,1477,1477
1475611516,1479,1479
1475612413,1487,1487
1475613618,1473,1473
1475614568,1475,1475
1475615411,1465,1465
1475617522,1448,1448
1475618430,1447,1447
1475619308,1452,1452
1475620211,1455,1455
1475620936,1460,1460
1475622223,1459,1459
1475623195,1467,1467
1475624539,1457,1457
1475625368,1461,1461
1475626217,1455,1455
1475628324,1441,1441
1475629520,1429,1429
1475630419,1431,1431
1475631309,1420,1420
1475632638,1427,1427
1475633648,1419,1419
1475634612,1411,1411
1475635343,1421,1421
1475637247,1421,1421
1475638940,1415,1415
1475639769,1420,1420
1475640617,1419,1419
1475642721,1422,1422
1475643568,1409,1409
1475644451,1407,1407
1475645415,1397,1397
1475646146,1390,1390
1475646970,1397,1397
1475647817,1396,1396
