DateTime,AddedIPs,RemovedIPs
1475498705,128,169
1475500014,160,88
1475501255,117,0
1475502127,59,151
1475502968,83,0
1475503815,63,109
1475505007,82,115
1475506093,94,50
1475506981,80,94
1475508007,105,0
1475509053,80,128
1475510602,141,115
1475511606,68,0
1475512810,68,178
1475513768,61,1
1475514605,66,83
1475515569,61,0
1475516399,80,137
1475517308,59,1
1475518215,49,99
1475519196,83,0
1475520007,39,157
1475521507,89,100
1475522407,63,0
1475523307,72,110
1475524306,58,37
1475525105,52,80
1475525648,47,0
1475526608,83,134
1475527330,82,30
1475528132,77,0
1475529003,117,119
1475530086,138,0
1475530931,123,419
1475533206,302,217
1475534405,163,153
1475535306,136,0
1475536207,127,70
1475537409,184,108
1475540042,400,122
1475541250,188,104
1475543405,324,107
1475544486,132,0
1475545509,131,141
1475547245,235,74
1475548206,114,129
1475549107,114,15
1475550306,165,100
1475551208,126,0
1475552005,108,136
1475553394,179,57
1475554215,83,87
1475555285,101,0
1475556132,113,148
1475557226,170,96
1475558106,133,0
1475559008,126,148
1475560508,629,33
1475561414,200,107
1475562308,36,0
1475563207,39,131
1475564203,35,0
1475565223,24,91
1475566333,84,153
1475566930,52,45
1475567766,67,0
1475568615,80,112
1475569675,100,0
1475570709,210,160
1475572461,279,97
1475573406,112,123
1475574208,100,54
1475574965,69,1
1475575815,151,83
1475576638,199,0
1475578143,433,172
1475579713,499,112
1475580609,129,128
1475581505,97,30
1475583309,165,79
1475584212,89,139
1475585109,68,54
1475586312,99,78
1475587207,73,1
1475588404,128,147
1475589973,172,109
1475590808,101,2
1475591706,93,139
1475593899,190,90
1475595008,100,112
1475595907,105,49
1475597109,109,96
1475597948,161,0
1475598798,75,233
1475600173,159,84
1475601305,152,182
1475602209,88,165
1475602934,60,22
1475604315,126,80
1475605211,57,2
1475606533,107,169
1475607536,79,85
1475608509,72,10
1475609411,63,125
1475610312,59,24
1475611510,139,77
1475612406,81,0
1475613611,160,159
1475614565,130,0
1475615408,114,69
1475617516,271,93
1475618426,110,33
1475619306,121,1
1475620208,115,50
1475620931,110,17
1475622218,205,34
1475623192,162,0
1475624532,202,83
1475625366,145,1
1475626215,129,44
1475628314,324,78
1475629515,188,37
1475630412,121,0
1475631306,109,60
1475632636,206,11
1475633646,146,44
1475634610,139,61
1475635334,122,25
1475637245,282,49
1475638933,251,70
1475639766,121,1
1475640615,106,33
1475642716,280,64
1475643565,99,55
1475644448,111,6
1475645409,102,46
1475646137,79,16
1475646967,114,0
1475647815,54,120
1475648720,61,0
1475649611,93,522
1475650507,108,0
1475651405,141,759
1475652209,136,1
