DateTime,AddedIPs,RemovedIPs
1474821972,0,1
1474824593,0,1
1474825390,1,0
1474826761,1,0
1474827604,0,1
1474828726,0,1
1474830031,1,0
1474831882,1,1
1474834810,0,1
1474835958,0,1
1474837511,1,1
1474841175,1,1
1474843222,0,1
1474844712,1,0
1474848618,1,0
1474850713,1,0
1474853415,1,0
1474855153,0,2
1474863027,2,1
1474866027,0,1
1474867811,0,1
1474872314,1,0
1474873117,1,0
1474874111,1,0
1474880865,1,0
1474882214,0,1
1474886716,1,0
1474890131,0,2
1474891817,0,1
1474893013,0,1
1474896488,1,0
1474897395,0,1
1474906516,1,0
1474907415,0,1
1474909287,0,2
1474911897,2,0
1474913069,0,2
1474919113,3,2
1474924448,1,1
1474926314,1,0
1474927229,1,1
1474929910,1,2
1474934154,2,0
1474936215,0,1
1474939815,1,1
1474940533,2,0
1474942217,0,1
1474944014,0,1
1474945781,0,1
1474946887,1,0
1474957813,0,1
1474963265,1,0
1474972209,1,0
1474974311,1,2
1474975212,2,0
1474983732,1,1
1474984831,1,0
1474985717,1,0
1474986516,0,1
1474989309,3,0
1474992617,0,1
1474994529,1,0
1475003108,0,1
1475004609,5,0
1475012530,2,0
1475015289,1,0
1475016133,0,2
1475017510,2,0
1475019013,1,0
1475023514,2,0
1475026509,0,1
1475028617,0,1
1475029507,1,0
1475030710,0,2
1475031907,1,0
1475033411,0,1
1475037735,1,0
1475038704,0,3
1475042934,1,0
1475045709,1,1
1475048414,1,0
1475050453,2,0
1475051288,1,0
1475054116,1,0
1475057114,0,2
1475059124,1,0
1475062140,1,0
1475070451,0,3
1475073737,1,0
1475075109,1,0
1475076908,0,1
1475079018,2,0
1475081116,1,1
1475082309,0,1
1475085126,1,1
1475087109,1,0
1475088139,0,2
1475089400,1,0
1475091310,0,1
1475094618,0,1
1475095509,0,1
1475096712,0,1
1475098463,0,1
1475099768,0,1
1475102535,0,1
1475104449,1,1
1475105291,1,0
1475106308,2,0
1475107103,2,0
1475108116,1,0
1475110510,2,0
1475113333,1,2
1475116811,0,1
1475118310,0,1
1475119212,1,0
1475124315,1,0
1475132393,1,1
1475133311,2,0
1475139845,0,2
1475141710,0,1
1475142600,2,0
1475143512,1,1
1475145016,2,1
1475145915,1,0
1475147112,1,1
1475148488,1,0
1475150175,2,0
1475151314,1,0
1475152215,0,1
1475155905,1,0
1475158219,0,3
1475164572,2,0
1475166353,1,0
1475169010,1,1
1475174155,1,5
1475178960,1,0
1475183112,1,0
1475184012,1,0
1475185398,1,1
1475187249,0,2
1475190310,1,0
1475193310,2,0
1475195368,0,1
1475198213,0,1
1475201418,1,1
1475202616,0,2
1475205011,0,1
1475207110,0,1
1475214132,0,1
1475215239,0,1
1475217909,0,1
1475220909,1,2
1475225392,1,0
1475228536,0,1
1475229911,0,1
1475233885,0,1
1475237112,2,0
1475243108,0,1
1475243924,0,1
1475244915,1,0
1475245810,1,0
1475246712,1,1
1475248813,1,0
1475249711,0,2
1475253908,0,1
1475255407,0,1
1475257338,0,1
1475258391,1,0
1475262913,1,0
1475266514,1,0
1475267288,0,1
1475269511,1,0
1475270977,1,0
1475274577,1,1
1475276710,0,1
1475278939,1,1
1475279795,1,0
1475280617,1,0
1475281606,3,0
1475282418,0,1
1475284211,1,0
1475285412,1,0
1475288110,3,1
1475289012,0,1
1475289864,1,0
1475292020,0,2
1475293249,1,1
1475295313,1,0
1475301912,1,1
1475303289,1,0
1475304205,0,1
1475307009,0,1
1475309089,1,0
1475311460,0,1
1475313248,3,2
1475314157,0,1
1475314939,0,1
1475316313,1,1
1475318112,0,1
1475320815,1,1
1475321616,0,1
1475325746,0,3
1475326568,1,0
1475332942,1,0
1475334324,1,1
1475336415,0,1
1475339341,0,1
1475341813,1,0
1475342888,2,0
1475349614,2,0
1475350508,2,0
1475353812,1,1
1475354965,1,1
1475358913,1,0
1475359817,0,2
1475361748,0,1
1475363118,0,2
1475364019,1,0
1475365217,1,0
1475371696,1,0
1475372546,0,1
1475375288,1,0
1475376968,1,0
1475379747,1,0
1475383219,1,0
1475388326,0,1
1475390421,0,1
1475392211,1,0
1475394147,0,1
1475396054,1,0
1475399648,2,1
1475400615,1,0
1475415925,0,3
1475417716,3,0
1475418617,1,1
1475420852,0,1
1475422210,0,1
1475424617,1,0
1475425662,1,1
1475430147,0,1
1475431282,0,2
1475433017,0,1
1475433926,0,1
1475435116,0,1
1475438727,0,1
1475439624,0,1
1475440956,1,1
1475444550,1,1
1475445565,0,1
1475446504,1,0
1475449236,0,3
1475451015,1,4
1475451909,1,0
1475454912,0,2
1475456711,0,1
1475460617,1,1
1475461812,0,1
1475464436,0,1
1475468412,4,0
1475470991,0,1
1475472908,0,1
1475474111,1,0
1475477686,1,0
1475480643,1,0
1475482812,1,0
1475487015,0,1
1475491332,1,1
1475493612,1,0
1475502133,1,0
1475512818,0,4
1475516402,1,1
1475518218,0,1
1475520015,1,0
1475523310,0,1
1475524310,0,1
1475525651,1,0
1475526612,1,0
1475527337,0,2
1475530089,1,0
1475530941,0,1
1475533213,1,0
1475534414,0,3
1475535311,1,0
1475540045,1,0
1475541253,0,1
1475543407,0,1
1475546712,1,1
1475548214,1,0
1475549114,1,1
1475551217,1,0
1475552008,0,1
1475553397,0,1
1475555288,0,1
1475563212,1,1
1475564206,1,0
1475565226,1,1
1475566337,0,1
1475568618,0,1
1475570717,0,2
1475574219,1,0
1475575818,0,2
1475576647,2,0
1475578146,1,0
1475579716,1,0
1475585114,2,0
1475587215,1,0
1475588411,1,2
1475589976,1,0
1475593902,3,3
1475595014,1,0
1475597116,1,0
1475600177,1,0
1475602946,1,0
1475606546,4,0
1475607540,1,0
1475608516,1,0
1475613624,2,1
1475614568,0,1
