DateTime,Entries,UniqueIPs
1474835958,90,90
1474837511,90,90
1474841175,90,90
1474843222,89,89
1474844712,90,90
1474848618,91,91
1474850713,92,92
1474853415,93,93
1474855153,91,91
1474863027,92,92
1474866027,91,91
1474867811,90,90
1474872314,91,91
1474873117,92,92
1474874111,93,93
1474880865,94,94
1474882214,93,93
1474886716,94,94
1474890131,92,92
1474891817,91,91
1474893013,90,90
1474896488,91,91
1474897395,90,90
1474906516,91,91
1474907415,90,90
1474909287,88,88
1474911897,90,90
1474913069,88,88
1474919113,89,89
1474924448,89,89
1474926314,90,90
1474927229,90,90
1474929910,89,89
1474934154,91,91
1474936215,90,90
1474939815,90,90
1474940533,92,92
1474942217,91,91
1474944014,90,90
1474945781,89,89
1474946887,90,90
1474957813,89,89
1474963265,90,90
1474972209,91,91
1474974311,90,90
1474975212,92,92
1474983732,92,92
1474984831,93,93
1474985717,94,94
1474986516,93,93
1474989309,96,96
1474992617,95,95
1474994529,96,96
1475003108,95,95
1475004609,100,100
1475012530,102,102
1475015289,103,103
1475016133,101,101
1475017510,103,103
1475019013,104,104
1475023514,106,106
1475026509,105,105
1475028617,104,104
1475029507,105,105
1475030710,103,103
1475031907,104,104
1475033411,103,103
1475037735,104,104
1475038704,101,101
1475042934,102,102
1475045709,102,102
1475048414,103,103
1475050453,105,105
1475051288,106,106
1475054116,107,107
1475057114,105,105
1475059124,106,106
1475062140,107,107
1475070451,104,104
1475073737,105,105
1475075109,106,106
1475076908,105,105
1475079018,107,107
1475081116,107,107
1475082309,106,106
1475085126,106,106
1475087109,107,107
1475088139,105,105
1475089400,106,106
1475091310,105,105
1475094618,104,104
1475095509,103,103
1475096712,102,102
1475098463,101,101
1475099768,100,100
1475102535,99,99
1475104449,99,99
1475105291,100,100
1475106308,102,102
1475107103,104,104
1475108116,105,105
1475110510,107,107
1475113333,106,106
1475116811,105,105
1475118310,104,104
1475119212,105,105
1475124315,106,106
1475132393,106,106
1475133311,108,108
1475139845,106,106
1475141710,105,105
1475142600,107,107
1475143512,107,107
1475145016,108,108
1475145915,109,109
1475147112,109,109
1475148488,110,110
1475150175,112,112
1475151314,113,113
1475152215,112,112
1475155905,113,113
1475158219,110,110
1475164572,112,112
1475166353,113,113
1475169010,113,113
1475174155,109,109
1475178960,110,110
1475183112,111,111
1475184012,112,112
1475185398,112,112
1475187249,110,110
1475190310,111,111
1475193310,113,113
1475195368,112,112
1475198213,111,111
1475201418,111,111
1475202616,109,109
1475205011,108,108
1475207110,107,107
1475214132,106,106
1475215239,105,105
1475217909,104,104
1475220909,103,103
1475225392,104,104
1475228536,103,103
1475229911,102,102
1475233885,101,101
1475237112,103,103
1475243108,102,102
1475243924,101,101
1475244915,102,102
1475245810,103,103
1475246712,103,103
1475248813,104,104
1475249711,102,102
1475253908,101,101
1475255407,100,100
1475257338,99,99
1475258391,100,100
1475262913,101,101
1475266514,102,102
1475267288,101,101
1475269511,102,102
1475270977,103,103
1475274577,103,103
1475276710,102,102
1475278939,102,102
1475279795,103,103
1475280617,104,104
1475281606,107,107
1475282418,106,106
1475284211,107,107
1475285412,108,108
1475288110,110,110
1475289012,109,109
1475289864,110,110
1475292020,108,108
1475293249,108,108
1475295313,109,109
1475301912,109,109
1475303289,110,110
1475304205,109,109
1475307009,108,108
1475309089,109,109
1475311460,108,108
1475313248,109,109
1475314157,108,108
1475314939,107,107
1475316313,107,107
1475318112,106,106
1475320815,106,106
1475321616,105,105
1475325746,102,102
1475326568,103,103
1475332942,104,104
1475334324,104,104
1475336415,103,103
1475339341,102,102
1475341813,103,103
1475342888,105,105
1475349614,107,107
1475350508,109,109
1475353812,109,109
1475354965,109,109
1475358913,110,110
1475359817,108,108
1475361748,107,107
1475363118,105,105
1475364019,106,106
1475365217,107,107
1475371696,108,108
1475372546,107,107
1475375288,108,108
1475376968,109,109
1475379747,110,110
1475383219,111,111
1475388326,110,110
1475390421,109,109
1475392211,110,110
1475394147,109,109
1475396054,110,110
1475399648,111,111
1475400615,112,112
1475415925,109,109
1475417716,112,112
1475418617,112,112
1475420852,111,111
1475422210,110,110
1475424617,111,111
1475425662,111,111
1475430147,110,110
1475431282,108,108
1475433017,107,107
1475433926,106,106
1475435116,105,105
1475438727,104,104
1475439624,103,103
1475440956,103,103
1475444550,103,103
1475445565,102,102
1475446504,103,103
1475449236,100,100
1475451015,97,97
1475451909,98,98
1475454912,96,96
1475456711,95,95
1475460617,95,95
1475461812,94,94
1475464436,93,93
1475468412,97,97
1475470991,96,96
1475472908,95,95
1475474111,96,96
1475477686,97,97
1475480643,98,98
1475482812,99,99
1475487015,98,98
1475491332,98,98
1475493612,99,99
1475502133,100,100
1475512818,96,96
1475516402,96,96
1475518218,95,95
1475520015,96,96
1475523310,95,95
1475524310,94,94
1475525651,95,95
1475526612,96,96
1475527337,94,94
1475530089,95,95
1475530941,94,94
1475533213,95,95
1475534414,92,92
1475535311,93,93
1475540045,94,94
1475541253,93,93
1475543407,92,92
1475546712,92,92
1475548214,93,93
1475549114,93,93
1475551217,94,94
1475552008,93,93
1475553397,92,92
1475555288,91,91
1475563212,91,91
1475564206,92,92
1475565226,92,92
1475566337,91,91
1475568618,90,90
1475570717,88,88
1475574219,89,89
1475575818,87,87
1475576647,89,89
1475578146,90,90
1475579716,91,91
1475585114,93,93
1475587215,94,94
1475588411,93,93
1475589976,94,94
1475593902,94,94
1475595014,95,95
1475597116,96,96
1475600177,97,97
1475602946,98,98
1475606546,102,102
1475607540,103,103
1475608516,104,104
1475613624,105,105
1475614568,104,104
1475617523,104,104
1475618434,105,105
1475619309,104,104
1475620215,103,103
1475620939,102,102
1475622229,104,104
1475624546,106,106
1475626218,105,105
1475631310,104,104
1475632639,105,105
1475633649,106,106
1475635347,107,107
1475638944,103,103
1475643568,102,102
1475644451,103,103
1475646971,104,104
1475647818,104,104
1475649619,104,104
1475652223,105,105
1475653224,105,105
1475658183,106,106
1475662837,105,105
1475665044,106,106
1475666116,107,107
1475666890,108,108
1475669670,109,109
1475673010,109,109
1475678110,109,109
1475678570,110,110
1475682173,109,109
1475684431,111,111
1475695230,114,114
1475696178,115,115
1475698450,116,116
1475701113,117,117
1475704827,116,116
1475706615,117,117
1475707541,116,116
1475708168,119,119
1475710214,121,121
1475711709,123,123
1475712914,124,124
1475713813,125,125
1475717410,125,125
1475718331,126,126
1475721626,125,125
1475724612,126,126
1475725748,127,127
1475727311,128,128
1475732574,127,127
1475736183,126,126
1475742915,128,128
1475743862,128,128
1475744797,127,127
1475746402,124,124
1475750063,123,123
1475751307,124,124
1475753824,125,125
1475754911,124,124
1475755864,125,125
1475757764,124,124
1475758753,125,125
1475761537,127,127
1475762735,124,124
1475764840,123,123
1475766646,123,123
1475771531,124,124
1475777158,121,121
1475781066,122,122
1475782263,123,123
1475784852,124,124
1475787370,125,125
1475788259,126,126
1475789329,125,125
1475792457,126,126
1475793309,125,125
1475793771,124,124
1475795162,126,126
1475797363,125,125
1475798470,127,127
1475803830,127,127
1475807708,126,126
1475811983,127,127
1475814657,126,126
1475817625,126,126
1475818827,125,125
1475820653,124,124
1475823227,122,122
1475825734,124,124
1475827281,121,121
1475831134,122,122
1475833555,123,123
1475836983,120,120
1475838855,118,118
1475839841,117,117
1475840759,118,118
1475842750,119,119
1475843661,118,118
1475845586,119,119
1475846442,120,120
1475848159,118,118
1475849038,120,120
1475851901,121,121
1475852750,120,120
1475854511,119,119
1475857858,118,118
1475862366,114,114
1475864414,114,114
1475865310,111,111
1475866513,111,111
1475868670,110,110
1475869545,109,109
1475871619,110,110
1475872858,109,109
1475874073,108,108
1475876110,107,107
1475877371,110,110
1475880651,107,107
1475881522,104,104
1475882052,105,105
1475883065,106,106
1475883954,107,107
1475887388,106,106
1475888594,107,107
1475889611,108,108
1475891833,109,109
1475892919,110,110
1475894188,110,110
1475895310,112,112
1475898369,111,111
1475900117,114,114
1475901061,113,113
1475901971,114,114
1475904029,113,113
1475905226,112,112
1475910073,113,113
1475912683,111,111
1475913372,112,112
1475915412,111,111
1475916368,112,112
1475917811,111,111
1475919951,112,112
1475920895,111,111
1475922490,112,112
1475924712,111,111
1475926934,110,110
1475929133,109,109
1475931294,108,108
1475932383,109,109
1475934011,109,109
1475937014,109,109
1475938573,108,108
1475940546,110,110
1475943611,109,109
1475946310,118,118
1475949080,118,118
1475951288,119,119
1475958489,120,120
1475959403,117,117
1475961249,116,116
1475962490,115,115
1475963711,114,114
1475964588,114,114
1475967313,114,114
1475968267,113,113
1475969109,114,114
1475973917,114,114
1475975716,116,116
1475979249,117,117
1475980140,118,118
1475980932,119,119
1475982910,118,118
1475983815,118,118
1475985758,119,119
1475987823,118,118
1475993417,119,119
1475995500,117,117
1476002531,118,118
1476004510,119,119
1476005415,118,118
1476011099,117,117
1476013258,117,117
1476014510,116,116
1476016933,115,115
1476018268,114,114
1476020109,115,115
1476021914,115,115
1476025980,116,116
1476030064,118,118
1476031215,118,118
1476032114,119,119
