DateTime,Entries,UniqueIPs
1475510601,4825,4825
1475511604,4840,4840
1475512808,4817,4817
1475513765,4829,4829
1475514603,4819,4819
1475515567,4836,4836
1475516397,4803,4803
1475517305,4830,4830
1475518214,4759,4759
1475519195,4771,4771
1475520004,4748,4748
1475521505,4743,4743
1475522405,4758,4758
1475523305,4736,4736
1475524303,4736,4736
1475525104,4725,4725
1475525645,4733,4733
1475526606,4700,4700
1475527327,4698,4698
1475528131,4712,4712
1475529000,4686,4686
1475530085,4704,4704
1475530929,4641,4641
1475533204,4618,4618
1475534403,4545,4545
1475535304,4556,4556
1475536204,4547,4547
1475537407,4513,4513
1475540041,4517,4517
1475541249,4503,4503
1475543403,4510,4510
1475544484,4539,4539
1475545506,4534,4534
1475547244,4508,4508
1475548205,4499,4499
1475549105,4513,4513
1475550304,4525,4525
1475551206,4539,4539
1475552003,4510,4510
1475553392,4505,4505
1475554213,4499,4499
1475555284,4516,4516
1475556129,4483,4483
1475557223,4430,4430
1475558104,4460,4460
1475559006,4448,4448
1475560505,4465,4465
1475561413,4458,4458
1475562306,4477,4477
1475563205,4443,4443
1475564202,4460,4460
1475565222,4423,4423
1475566332,4405,4405
1475566928,4399,4399
1475567764,4416,4416
1475568613,4400,4400
1475569673,4425,4425
1475570706,4362,4362
1475572460,4366,4366
1475573405,4282,4282
1475574205,4272,4272
1475574964,4283,4283
1475575813,4293,4293
1475576634,4302,4302
1475578141,4275,4275
1475579712,4263,4263
1475580607,4255,4255
1475581504,4261,4261
1475583307,4245,4245
1475584208,4169,4169
1475585106,4167,4167
1475586309,4161,4161
1475587205,4174,4174
1475588401,4165,4165
1475589971,4188,4188
1475590805,4201,4201
1475591704,4188,4188
1475593897,4195,4195
1475595006,4206,4206
1475595905,4222,4222
1475597107,4228,4228
1475597947,4239,4239
1475598796,4233,4233
1475600171,4249,4249
1475601304,4246,4246
1475602206,4226,4226
1475602932,4238,4238
1475604310,4242,4242
1475605208,4260,4260
1475606530,4246,4246
1475607535,4255,4255
1475608506,4284,4284
1475609407,4258,4258
1475610309,4269,4269
1475611507,4245,4245
1475612404,4264,4264
1475613608,4217,4217
1475614564,4230,4230
1475615405,3723,3723
1475617513,3524,3524
1475618422,3512,3512
1475619305,3529,3529
1475620205,3508,3508
1475620927,3505,3505
1475622215,3503,3503
1475623191,3514,3514
1475624528,3496,3496
1475625364,3510,3510
1475626213,3496,3496
1475628309,3494,3494
1475629512,3482,3482
1475630410,3503,3503
1475631305,3499,3499
1475632635,3502,3502
1475633644,3497,3497
1475634606,3486,3486
1475635331,3481,3481
1475637244,3480,3480
1475638930,3467,3467
1475639764,3483,3483
1475640613,3479,3479
1475642711,3471,3471
1475643564,3447,3447
1475644445,3459,3459
1475645407,3441,3441
1475646132,3437,3437
1475646966,3452,3452
1475647813,3423,3423
1475648715,3438,3438
1475649606,3415,3415
1475650504,3424,3424
1475651404,3412,3412
1475652205,3423,3423
1475653208,3391,3391
1475654104,3402,3402
1475656084,3410,3410
1475656891,3380,3380
1475658160,3380,3380
1475659083,3399,3399
1475660256,3401,3401
1475662813,3438,3438
1475663286,3445,3445
1475664136,3410,3410
1475665039,3418,3418
1475666104,3410,3410
1475666884,3420,3420
1475667913,3384,3384
1475669666,3381,3381
1475670605,3373,3373
1475671518,3366,3366
1475672164,3372,3372
1475673449,3376,3376
1475674505,3352,3352
1475674934,3347,3347
1475676320,3350,3350
1475677214,3365,3365
1475678105,3336,3336
1475678541,3329,3329
1475679370,3346,3346
1475680205,3328,3328
1475681254,3339,3339
1475682147,3316,3316
1475684409,3326,3326
1475685305,3315,3315
1475685737,3308,3308
1475686546,3326,3326
1475687377,3311,3311
1475688526,3325,3325
1475689337,3283,3283
1475690225,3297,3297
1475691307,3311,3311
1475692206,3302,3302
1475693120,3328,3328
1475694321,3321,3321
1475695212,3327,3327
1475696173,3318,3318
1475697048,3318,3318
1475697914,3307,3307
1475698445,3318,3318
1475699285,3328,3328
1475701108,3299,3299
1475702105,3314,3314
1475703005,3302,3302
1475703833,3296,3296
1475704800,3302,3302
1475705704,3324,3324
1475706605,3365,3365
1475707520,3411,3411
1475708164,3420,3420
1475709000,3422,3422
1475710205,3430,3430
1475711704,3443,3443
1475712906,3447,3447
1475713806,3439,3439
1475714681,3461,3461
1475715521,3474,3474
1475716506,3519,3519
1475717404,3520,3520
1475718313,3552,3552
1475719520,3573,3573
1475720416,3599,3599
1475721607,3634,3634
1475722504,3657,3657
1475723406,3662,3662
1475723644,3669,3669
1475724608,3681,3681
1475725742,3707,3707
1475727306,3729,3729
1475728206,3737,3737
1475729125,3753,3753
1475730314,3752,3752
1475731142,3764,3764
1475732014,3762,3762
1475732540,3760,3760
1475733456,3785,3785
1475734302,3793,3793
1475736153,3809,3809
1475737918,3814,3814
1475738866,3829,3829
1475739981,3819,3819
1475740991,3838,3838
1475742008,3843,3843
1475742907,3853,3853
1475743857,3859,3859
1475744775,3863,3863
1475746398,3864,3864
1475746936,3866,3866
1475748906,3902,3902
1475749805,3928,3928
1475750713,3937,3937
1475751913,3955,3955
1475752814,3973,3973
1475753817,3977,3977
1475754905,4006,4006
1475755826,4008,4008
1475757736,4020,4020
1475758747,4020,4020
1475759706,4032,4032
1475760605,4039,4039
1475761514,4048,4048
1475762714,4067,4067
1475763609,4080,4080
1475764816,4079,4079
1475765705,4102,4102
1475766617,4110,4110
1475767442,4121,4121
1475768324,4122,4122
1475769226,4136,4136
1475770507,4155,4155
1475771513,4152,4152
1475772144,4158,4158
1475773516,4177,4177
1475774408,4191,4191
1475775304,4191,4191
1475776299,4195,4195
1475777126,4203,4203
1475778011,4226,4226
1475778971,4211,4211
1475779944,4210,4210
1475781025,4217,4217
1475783124,4254,4254
1475784039,4258,4258
1475784845,4264,4264
1475785826,4261,4261
1475786548,4270,4270
1475787365,4282,4282
1475788226,4285,4285
1475789302,4302,4302
1475790122,4299,4299
1475792417,4323,4323
1475793305,4323,4323
1475793739,4332,4332
1475795128,4349,4349
1475796009,4369,4369
1475797339,4360,4360
1475798431,4364,4364
1475799245,4374,4374
1475800226,4365,4365
1475801450,4384,4384
1475803820,4410,4410
1475804537,4427,4427
1475805364,4446,4446
1475806226,4469,4469
1475807704,4478,4478
1475808904,4504,4504
1475811017,4524,4524
1475811951,4537,4537
1475813645,4568,4568
1475814623,4572,4572
1475815526,4590,4590
1475816717,4601,4601
1475817609,4614,4614
1475818804,4626,4626
1475819706,4639,4639
1475820619,4642,4642
1475821520,4663,4663
1475823223,4686,4686
1475825729,4718,4718
1475827234,4737,4737
1475828046,4759,4759
1475829050,4764,4764
1475831090,4796,4796
1475832009,4818,4818
1475833521,4847,4847
1475834857,4867,4867
1475836107,4902,4902
1475836953,4908,4908
1475838847,6491,6491
1475839821,6483,6483
1475840724,6500,6500
1475841923,6511,6511
1475842739,6523,6523
1475843657,6508,6508
1475845553,6520,6520
1475846410,6546,6546
1475847305,6539,6539
1475848136,6545,6545
1475848996,6538,6538
1475849864,6550,6550
1475850904,6545,6545
1475851882,6549,6549
1475852724,6548,6548
1475853605,6558,6558
1475854505,6556,6556
1475855545,6568,6568
1475856905,6573,6573
1475857832,6568,6568
1475859364,6584,6584
1475860224,6578,6578
1475861262,6592,6592
1475862330,6562,6562
1475863522,6583,6583
1475864407,6597,6597
1475865305,6594,6594
1475866505,6620,6620
1475867430,6664,6664
1475869514,6698,6698
1475870720,6698,6698
1475871530,6710,6710
1475872819,6703,6703
1475874028,6700,6700
1475874846,6705,6705
1475876105,6680,6680
1475877365,7062,7062
1475878233,7341,7341
1475880613,7922,7922
1475881473,7918,7918
1475882046,7922,7922
1475883023,7912,7912
1475883922,7936,7936
1475885124,7936,7936
1475886486,7947,7947
1475887350,7916,7916
1475888561,7912,7912
1475889605,7914,7914
1475890504,7894,7894
1475890947,7883,7883
1475891826,7888,7888
1475892907,7884,7884
1475894183,7892,7892
1475895305,7917,7917
1475896221,7928,7928
1475898329,7947,7947
1475900106,7949,7949
1475901031,7767,7767
1475901932,7636,7636
1475903123,7546,7546
1475904010,7552,7552
1475905205,7549,7549
1475906264,7559,7559
1475907306,7565,7565
1475908183,7565,7565
1475909134,7569,7569
1475910068,7569,7569
1475910907,7571,7571
1475911832,7565,7565
1475912676,7574,7574
1475913366,7580,7580
1475914220,7572,7572
1475914472,7574,7574
1475915406,7559,7559
1475916329,7555,7555
1475916966,7565,7565
1475917804,7566,7566
1475918355,7570,7570
1475919945,7523,7523
1475920836,7515,7515
1475921660,7525,7525
1475922485,7529,7529
1475923344,7514,7514
1475924705,7529,7529
1475925620,7535,7535
1475926927,7528,7528
1475928956,7546,7546
1475929806,7539,7539
1475931283,7552,7552
1475932378,7558,7558
1475934005,7536,7536
1475934814,7545,7545
1475935829,7542,7542
1475937921,7546,7546
1475938565,7554,7554
1475939405,7557,7557
1475940501,7574,7574
1475941404,7555,7555
1475943605,7558,7558
1475944956,7554,7554
1475946304,7539,7539
1475947205,7543,7543
1475949075,7534,7534
1475950036,7446,7446
1475950843,7448,7448
1475951284,7470,7470
1475952325,6922,6922
1475953505,6916,6916
1475954404,6925,6925
1475955305,6914,6914
1475956565,6864,6864
1475958485,6338,6338
1475959351,6302,6302
1475961245,6298,6298
1475962486,6297,6297
1475963704,6298,6298
1475964583,6287,6287
1475965449,6297,6297
1475966319,6272,6272
1475967306,6278,6278
1475968234,6271,6271
1475969105,6281,6281
1475970004,6269,6269
1475970904,6285,6285
1475971813,6284,6284
1475972909,6294,6294
1475973906,6259,6259
1475975706,6245,6245
1475976606,6218,6218
1475977531,6218,6218
1475979245,6211,6211
1475980099,6226,6226
1475980926,6201,6201
1475981765,6228,6228
1475982904,6228,6228
1475983807,6214,6214
1475984559,6221,6221
1475985753,6231,6231
1475986805,6244,6244
1475987819,6234,6234
1475988124,6229,6229
1475989061,6245,6245
1475990132,6237,6237
1475990884,6252,6252
1475992564,6243,6243
1475993413,6234,6234
1475995495,6217,6217
1475996564,6209,6209
1475997604,6229,6229
1475998811,6186,6186
1475999764,6208,6208
1476000613,6154,6154
1476001528,6168,6168
1476002526,6135,6135
1476003666,6116,6116
1476004464,6127,6127
1476005406,6105,6105
1476007849,5078,5078
1476008933,5098,5098
1476011059,5097,5097
1476012318,5130,5130
1476013211,5124,5124
1476014502,5133,5133
1476015306,5148,5148
1476016404,5134,5134
1476016926,5138,5138
1476018217,5149,5149
1476019205,5172,5172
1476020104,5167,5167
1476020558,5172,5172
1476021905,5185,5185
1476022727,5202,5202
1476023766,5209,5209
1476024126,5206,5206
1476025947,5217,5217
1476026885,5238,5238
1476029162,5235,5235
1476030011,5246,5246
1476031205,5250,5250
1476032107,5263,5263
1476033037,5258,5258
1476034206,5250,5250
1476035153,5256,5256
1476036306,5240,5240
1476037223,5267,5267
1476038107,5250,5250
1476039641,5260,5260
1476040531,5276,5276
1476041405,5298,5298
1476042994,5317,5317
1476043813,5331,5331
1476045725,5306,5306
1476047123,4844,4844
