DateTime,AddedIPs,RemovedIPs
1473339882,0,1
1473341703,0,1
1473342629,2,0
1473343545,0,4
1473350712,1,0
1473360133,0,1
1473370098,1,0
1473383932,2,0
1473385213,0,1
1473386871,1,0
1473391490,0,1
1473396973,0,1
1473411520,1,0
1473420611,0,1
1473427214,0,1
1473429876,2,0
1473461761,1,0
1473464532,2,0
1473466218,0,1
1473477249,1,0
1473480618,0,1
1473488893,1,0
1473494427,1,1
1473496212,0,1
1473502724,1,0
1473504130,0,1
1473507612,1,0
1473509658,1,0
1473512427,0,1
1473520513,1,0
1473529212,0,1
1473536412,0,2
1473539109,1,0
1473543731,1,1
1473545419,0,1
1473554709,0,1
1473571227,0,1
1473572113,0,1
1473577894,0,2
1473579673,0,1
1473581421,0,3
1473590410,0,2
1473592491,0,1
1473597731,0,1
1473598988,0,1
1473603317,0,1
1473604270,1,0
1473608451,0,1
1473631260,1,2
1473632116,2,1
1473633074,0,1
1473633733,0,1
1473657315,1,0
1473662414,0,1
1473667514,0,1
1473672042,1,0
1473675616,0,1
1473680414,2,0
1473682220,0,1
1473687735,0,15
1473689112,0,1
1473692110,1,0
1473693012,0,2
1473698711,0,1
1473702184,1,0
1473704119,1,0
1473710308,0,1
1473718515,0,1
1473722963,0,1
1473723914,1,0
1473726014,1,0
1473731111,1,0
1473732620,0,1
1473738312,0,1
1473747615,1,0
1473750688,1,0
1473759734,1,0
1473762016,1,0
1473764710,0,1
1473768854,1,1
1473777019,1,0
1473783020,3,0
1473786850,0,1
1473812415,0,1
1473819616,1,0
1473824109,0,1
1473828130,0,1
1473874933,0,1
1473878538,2,1
1473886570,0,1
1473887414,1,0
1473889219,1,0
1473891608,1,0
1473892939,0,1
1473902420,1,0
1473915911,1,1
1473920115,1,0
1473933369,1,0
1473942618,0,1
1473948911,1,0
1473949818,0,1
1473951660,0,1
1473954138,0,1
1473972906,1,0
1473979510,0,1
1473981444,1,0
1473993740,0,1
1474012580,1,0
1474017484,2,0
1474048367,0,1
1474054090,1,0
1474058716,0,1
1474071250,1,0
1474077369,1,0
1474079328,1,0
1474082967,2,0
1474083745,1,0
1474085419,2,1
1474089622,2,0
1474090943,0,1
1474093228,1,0
1474094710,1,0
1474096266,3,0
1474099512,2,0
1474101310,1,0
1474102839,0,1
1474104617,1,0
1474105740,1,0
1474110612,0,1
1474116285,0,1
1474119014,1,0
1474121952,1,0
1474137625,1,1
1474139110,1,0
1474140910,0,1
1474144216,0,1
1474149914,1,0
1474154112,0,1
1474155744,1,0
1474179868,1,0
1474182311,0,1
1474188310,1,0
1474190429,1,0
1474194492,1,0
1474201221,2,0
1474202545,0,1
1474211713,0,1
1474220944,1,1
1474221901,1,0
1474226392,1,2
1474227629,9,0
1474229126,15,0
1474230025,15,0
1474231228,1,0
1474232367,1,0
1474236332,1,1
1474237218,1,1
1474238716,3,0
1474240822,3,0
1474242309,10,0
1474243327,2,1
1474244413,2,0
1474245734,9,0
1474248015,1,0
1474249215,7,1
1474251315,1,0
1474257910,1,0
1474275913,1,0
1474279820,1,0
1474285260,2,1
1474286657,1,0
1474292112,1,2
1474304436,1,1
1474306216,3,0
1474320663,0,1
1474327216,1,0
1474342216,1,0
1474343915,0,1
1474353888,0,1
1474360218,1,1
1474391098,1,1
1474395019,1,0
1474398849,1,0
1474407939,0,1
1474410772,0,6
1474414834,0,17
1474416917,0,1
1474417813,0,4
1474418743,0,12
1474422334,0,16
1474424423,0,3
1474426483,1,0
1474451970,1,0
1474467640,1,0
1474471837,1,0
1474474513,2,0
1474475412,0,8
1474476535,0,3
1474479625,0,12
1474483384,1,0
1474490447,0,1
1474496429,1,0
1474497772,1,0
1474524850,0,1
1474538753,1,0
1474543811,0,2
1474545885,0,1
1474548375,0,1
1474550448,0,3
1474551633,0,2
1474555554,2,0
1474560354,0,2
1474561251,1,0
1474564836,0,3
1474571712,1,0
1474573559,2,0
1474574766,2,0
1474575650,1,0
1474583417,1,0
1474585552,1,0
1474597812,1,0
1474606569,1,0
1474617165,19,0
1474618451,1,0
1474623323,1,0
1474624419,0,1
1474626583,0,1
1474628170,0,3
1474630294,1,0
1474632686,2,1
1474634510,0,4
1474637718,0,1
1474643162,1,0
1474645704,1,0
1474648179,0,1
1474650550,1,0
1474652253,0,1
1474654338,0,1
1474659477,1,0
1474688765,0,1
1474694398,1,1
1474695310,0,1
1474696370,0,1
1474712145,1,0
1474714709,1,0
1474725310,0,1
1474726219,1,0
1474728317,1,0
1474731987,1,0
1474738933,0,1
1474740960,2,0
1474742801,0,1
1474748164,0,1
1474759866,0,1
1474761309,0,1
1474763416,0,2
1474767914,8,1
1474774533,0,1
1474778469,0,1
1474782131,0,1
1474793043,0,1
1474800325,0,2
1474815911,1,0
1474817801,0,1
1474819909,1,0
1474821994,0,1
1474823112,0,1
1474828728,0,5
1474835960,0,1
1474841198,2,1
1474843233,1,1
1474844714,1,0
1474845671,1,0
1474846600,1,0
1474863029,1,1
1474875014,3,1
1474876925,1,0
1474878013,1,1
1474885215,1,0
1474889281,1,0
1474893015,1,0
1474895114,1,0
1474896012,1,0
1474900514,0,2
1474902612,2,0
1474904718,1,0
1474911016,0,1
1474915935,0,1
1474919115,0,1
1474921104,3,0
1474922164,4,0
1474924450,20,0
1474925291,17,0
1474926315,1,0
1474928112,5,0
1474929016,4,0
1474931113,0,1
1474932015,2,0
