DateTime,Entries,UniqueIPs
1473306979,137,137
1473308050,138,138
1473315636,139,139
1473317124,138,138
1473320428,137,137
1473325532,140,140
1473331021,139,139
1473334839,138,138
1473337569,139,139
1473338431,135,135
1473339882,134,134
1473341703,133,133
1473342629,135,135
1473343545,131,131
1473350712,132,132
1473360133,131,131
1473370098,132,132
1473383932,134,134
1473385213,133,133
1473386871,134,134
1473391490,133,133
1473396973,132,132
1473411520,133,133
1473420611,132,132
1473427214,131,131
1473429876,133,133
1473461761,134,134
1473464532,136,136
1473466218,135,135
1473477249,136,136
1473480618,135,135
1473488893,136,136
1473494427,136,136
1473496212,135,135
1473502724,136,136
1473504130,135,135
1473507612,136,136
1473509658,137,137
1473512427,136,136
1473520513,137,137
1473529212,136,136
1473536412,134,134
1473539109,135,135
1473543731,135,135
1473545419,134,134
1473554709,133,133
1473571227,132,132
1473572113,131,131
1473577894,129,129
1473579673,128,128
1473581421,125,125
1473590410,123,123
1473592491,122,122
1473597731,121,121
1473598988,120,120
1473603317,119,119
1473604270,120,120
1473608451,119,119
1473631260,118,118
1473632116,119,119
1473633074,118,118
1473633733,117,117
1473657315,118,118
1473662414,117,117
1473667514,116,116
1473672042,117,117
1473675616,116,116
1473680414,118,118
1473682220,117,117
1473687735,102,102
1473689112,101,101
1473692110,102,102
1473693012,100,100
1473698711,99,99
1473702184,100,100
1473704119,101,101
1473710308,100,100
1473718515,99,99
1473722963,98,98
1473723914,99,99
1473726014,100,100
1473731111,101,101
1473732620,100,100
1473738312,99,99
1473747615,100,100
1473750688,101,101
1473759734,102,102
1473762016,103,103
1473764710,102,102
1473768854,102,102
1473777019,103,103
1473783020,106,106
1473786850,105,105
1473812415,104,104
1473819616,105,105
1473824109,104,104
1473828130,103,103
1473874933,102,102
1473878538,103,103
1473886570,102,102
1473887414,103,103
1473889219,104,104
1473891608,105,105
1473892939,104,104
1473902420,105,105
1473915911,105,105
1473920115,106,106
1473933369,107,107
1473942618,106,106
1473948911,107,107
1473949818,106,106
1473951660,105,105
1473954138,104,104
1473972906,105,105
1473979510,104,104
1473981444,105,105
1473993740,104,104
1474012580,105,105
1474017484,107,107
1474048367,106,106
1474054090,107,107
1474058716,106,106
1474071250,107,107
1474077369,108,108
1474079328,109,109
1474082967,111,111
1474083745,112,112
1474085419,113,113
1474089622,115,115
1474090943,114,114
1474093228,115,115
1474094710,116,116
1474096266,119,119
1474099512,121,121
1474101310,122,122
1474102839,121,121
1474104617,122,122
1474105740,123,123
1474110612,122,122
1474116285,121,121
1474119014,122,122
1474121952,123,123
1474137625,123,123
1474139110,124,124
1474140910,123,123
