DateTime,Entries,UniqueIPs
1475745302,7905,7905
1475745902,7903,7903
1475746501,7904,7904
1475747102,7904,7904
1475747703,7919,7919
1475748303,7938,7938
1475748903,7939,7939
1475749502,7944,7944
1475749804,7923,7923
1475750404,7888,7888
1475751003,7902,7902
1475751602,7893,7893
1475752201,7895,7895
1475752503,7883,7883
1475753104,7890,7890
1475753703,7884,7884
1475754303,7883,7883
1475754903,7874,7874
1475755501,7881,7881
1475755803,7880,7880
1475756404,7876,7876
1475757003,7875,7875
1475757602,7876,7876
1475757905,7857,7857
1475758503,7755,7755
1475758805,7726,7726
1475759403,7725,7725
1475760002,7721,7721
1475760303,7711,7711
1475760903,7757,7757
1475761504,7757,7757
1475762103,7746,7746
1475762701,7745,7745
1475763305,7740,7740
1475763901,7744,7744
1475764205,7730,7730
1475764803,7725,7725
1475765406,7647,7647
1475766002,7651,7651
1475766603,7638,7638
1475766904,7606,7606
1475767503,7624,7624
1475768103,7628,7628
1475768704,7628,7628
1475769303,7665,7665
1475769904,7694,7694
1475770503,7682,7682
1475770804,7751,7751
1475771405,7698,7698
1475772006,7691,7691
1475772603,7679,7679
1475773203,7678,7678
1475773506,7684,7684
1475774105,7779,7779
1475774410,7777,7777
1475775004,7769,7769
1475775305,7791,7791
1475775903,7800,7800
1475776506,7796,7796
1475777107,7812,7812
1475777703,7812,7812
1475778005,7806,7806
1475778605,7799,7799
1475779204,7779,7779
1475779804,7778,7778
1475780402,7743,7743
1475780704,7728,7728
1475781302,7733,7733
1475781605,7720,7720
1475782202,7719,7719
1475782503,7718,7718
1475783103,7714,7714
1475783704,7711,7711
1475784307,7663,7663
1475784904,7710,7710
1475785502,7712,7712
1475786102,7713,7713
1475786405,7709,7709
1475787005,7684,7684
1475787606,7684,7684
1475788202,7682,7682
1475788801,7694,7694
1475789402,7693,7693
1475790004,7698,7698
1475790602,7695,7695
1475790906,7711,7711
1475791503,7705,7705
1475792406,7723,7723
1475793002,7716,7716
1475793602,7714,7714
1475793906,7712,7712
1475794502,7704,7704
1475795102,7708,7708
1475795701,7747,7747
1475796003,7746,7746
1475796604,7718,7718
1475797204,7672,7672
1475797802,7676,7676
1475798103,7681,7681
1475798704,7682,7682
1475799303,7685,7685
1475799903,7715,7715
1475800206,7720,7720
1475800801,7712,7712
1475801105,7693,7693
1475801703,7696,7696
1475802305,7705,7705
1475802902,7710,7710
1475803502,7711,7711
1475804103,7708,7708
1475804702,7717,7717
1475805302,7717,7717
1475806203,7711,7711
1475806803,7713,7713
1475807402,7724,7724
1475808002,7723,7723
1475808308,7624,7624
1475808902,7623,7623
1475810102,7625,7625
1475810702,7621,7621
1475811302,7662,7662
1475811904,7650,7650
1475812502,7645,7645
1475813104,7651,7651
1475813701,7648,7648
1475814003,7639,7639
1475814604,7616,7616
1475815204,7639,7639
1475815804,7716,7716
1475816403,7816,7816
1475817002,7814,7814
1475817602,7817,7817
1475818203,7815,7815
1475818802,7845,7845
1475819401,7846,7846
1475820003,7856,7856
1475820601,7864,7864
1475820903,7949,7949
1475821503,7914,7914
1475822102,7945,7945
1475822703,8002,8002
1475823303,8056,8056
1475823903,8055,8055
1475824502,8072,8072
1475825102,8155,8155
1475825703,8371,8371
1475826302,8395,8395
1475826902,8569,8569
1475827204,8568,8568
1475827802,8673,8673
1475828104,8671,8671
1475828705,8648,8648
1475829303,8646,8646
1475829902,8655,8655
1475830501,8666,8666
1475831104,8769,8769
1475831702,8769,8769
1475832302,8777,8777
1475832903,8776,8776
1475833502,8770,8770
1475834103,8751,8751
1475834703,8739,8739
1475835302,8730,8730
1475835904,8744,8744
1475836502,8813,8813
1475837103,8822,8822
1475837702,8847,8847
1475838303,8855,8855
1475838903,8876,8876
1475839504,8882,8882
1475840102,8892,8892
1475840703,8896,8896
1475841303,8885,8885
1475841903,8881,8881
1475842502,8883,8883
1475843102,8886,8886
1475843702,9014,9014
1475844003,9043,9043
1475844602,9140,9140
1475845202,9139,9139
1475845803,9237,9237
1475846402,9228,9228
1475847002,9247,9247
1475847304,9205,9205
1475847905,9260,9260
1475848504,9261,9261
1475849102,9254,9254
1475849703,9250,9250
1475850302,9245,9245
1475850903,9283,9283
1475851503,9312,9312
1475852104,9301,9301
1475852701,9295,9295
1475853303,9287,9287
1475853905,9287,9287
1475854505,9290,9290
1475855103,9277,9277
1475855704,9266,9266
1475856304,9212,9212
1475856905,9209,9209
1475857207,9138,9138
1475857802,9141,9141
1475858401,9160,9160
1475859005,9268,9268
1475859603,9268,9268
1475860207,9196,9196
1475860801,9214,9214
1475861106,9217,9217
1475861706,9231,9231
1475862301,9228,9228
1475862603,9251,9251
1475863204,9266,9266
1475863806,9245,9245
1475864403,9380,9380
1475865306,9379,9379
1475865906,9394,9394
1475866505,9458,9458
1475867105,9464,9464
1475867704,9461,9461
