DateTime,AddedIPs,RemovedIPs
1473303605,75,76
1473305522,67,85
1473311764,143,155
1473317526,113,84
1473323283,52,45
1473327124,73,81
1473335044,105,82
1473340802,47,48
1473346562,86,84
1473354243,105,88
1473361923,101,82
1473367686,54,79
1473371526,67,66
1473375366,71,135
1473381125,83,65
1473386885,100,114
1473390726,65,82
1473394564,87,94
1473400323,70,66
1473406086,123,88
1473409925,56,52
1473414015,85,79
1473419763,58,51
1473423612,48,45
1473429609,44,46
1473431522,65,54
1473437524,103,74
1473443283,58,52
1473447123,93,91
1473456722,92,107
1473460804,47,74
1473466563,126,122
1473472324,49,73
1473478083,128,139
1473484084,135,142
1473491762,105,77
1473495604,60,46
1473501363,97,79
1473508082,96,95
1473517682,103,79
1473519608,49,56
1473527283,87,95
1473531124,44,45
1473535203,53,53
1473539043,61,58
1473546723,75,105
1473550570,53,70
1473554405,68,55
1473560403,94,120
1473568083,130,148
1473574083,125,121
1473581764,91,68
1473589443,83,85
1473595209,109,73
1473600962,45,41
1473604804,64,44
1473610563,86,71
1473614403,47,64
1473621122,103,94
1473624962,42,80
1473632642,83,107
1473636482,39,70
1473640323,74,74
1473644163,44,61
1473648003,135,132
1473657843,148,149
1473664563,79,59
1473666482,93,76
1473676083,73,77
1473679923,49,46
1473683763,58,42
1473687844,65,54
1473693603,75,86
1473701283,117,96
1473707043,57,49
1473708970,94,87
1473716642,91,102
1473726245,97,118
1473732008,94,128
1473737771,66,80
1473739685,102,92
1473745444,76,82
1473751449,110,69
1473757212,99,78
1473762963,46,52
1473768724,91,72
1473776405,72,83
1473782164,46,48
1473786008,120,90
1473793685,107,102
1473799444,78,77
1473805204,89,121
1473810963,56,76
1473812887,70,62
1473818643,59,75
1473822485,129,163
1473830163,151,149
1473837845,109,91
1473841683,103,79
1473849604,90,89
1473857523,88,72
1473865212,45,57
1473867124,44,48
1473871205,53,53
1473875044,108,89
1473884644,108,101
1473888484,66,63
1473894243,54,76
1473898085,99,115
1473903843,60,72
1473909604,137,143
1473915364,153,179
1473924964,109,81
1473930724,106,77
1473938403,88,84
1473944414,87,56
1473952084,82,91
1473959763,92,102
1473963607,68,54
1473969364,102,100
1473975124,66,68
1473978963,52,65
1473982812,114,140
1473990484,45,70
1473994325,146,155
1474002006,156,145
1474009685,105,85
1474013524,52,46
1474021204,87,89
1474025043,66,54
1474030808,82,73
1474034650,63,46
1474040411,45,60
1474046163,102,98
1474051926,80,47
1474057684,101,111
1474063444,84,103
1474067285,51,90
1474071125,74,65
1474078803,97,136
1474082645,78,78
1474086484,106,105
1474092243,58,71
1474094165,72,54
1474098011,108,79
1474105683,107,75
1474113364,104,92
1474119123,58,61
1474124885,79,84
1474128964,63,56
1474132804,46,56
1474138564,110,95
1474146243,82,92
1474152004,79,113
1474157764,81,78
1474163524,113,115
1474169283,63,89
1474173124,86,91
1474176965,120,110
1474184644,55,48
1474188483,41,39
1474194245,114,71
1474200007,104,90
1474203844,70,43
1474209604,59,59
1474215364,86,103
1474219204,57,56
1474226884,104,92
1474230725,101,114
1474238404,85,167
1474246084,124,115
1474253764,134,125
1474261443,137,146
1474267204,75,53
1474272008,86,93
1474279684,117,81
1474285442,108,101
1474295044,84,83
1474298883,63,52
1474304884,112,98
1474312562,89,92
1474320244,108,93
1474324083,72,145
1474333686,71,59
1474335603,44,53
1474341364,133,146
1474349285,144,139
1474353126,77,51
1474356964,53,50
1474358883,52,52
1474364644,52,50
1474368485,63,57
1474372325,106,96
1474378084,57,48
1474382884,60,41
1474386964,85,83
1474394656,117,89
1474398485,71,62
1474404244,99,111
1474410004,49,62
1474415764,118,142
1474421523,45,67
1474425363,73,78
1474429204,145,173
1474435203,68,76
1474440964,83,46
1474442884,56,69
1474446726,69,40
1474450564,49,46
1474454404,58,56
1474458244,91,86
1474466171,49,42
1474470014,72,73
1474475763,68,46
1474479604,60,57
1474485364,108,96
1474493045,85,94
1474496883,57,61
1474500723,48,78
1474502884,79,71
1474508644,100,123
1474516567,155,172
1474522324,64,67
1474526646,118,93
1474533604,54,49
1474535525,56,54
1474543203,105,98
1474547043,48,55
1474554724,84,85
1474560483,100,81
1474566243,105,92
1474575844,115,112
1474579683,73,85
1474583523,62,85
1474587363,61,64
1474593123,110,128
1474599363,143,134
1474605122,92,99
1474610884,118,102
1474616643,53,58
1474622403,90,81
1474628163,94,73
1474635843,86,78
1474643763,87,78
1474647603,62,49
1474653363,95,73
1474661042,94,105
1474668723,103,117
1474674483,104,125
1474682162,45,61
1474686005,127,129
1474693684,148,160
1474701603,98,88
1474707363,50,42
1474711216,104,78
1474718884,119,98
1474726564,101,84
1474730403,44,56
1474734244,41,45
1474740013,83,95
1474745763,60,62
1474747684,46,57
1474753442,53,46
1474757282,63,67
1474763043,114,133
1474766883,41,60
1474770733,118,143
1474780323,136,147
1474786083,112,92
1474793763,50,33
1474795683,57,37
1474799532,63,61
1474805284,111,97
1474813203,91,86
1474819210,54,53
1474823043,109,86
1474828803,67,55
1474830725,57,92
1474836482,104,111
1474842247,52,74
1474848009,115,138
1474853766,111,121
1474860725,63,69
1474867445,147,162
1474873210,124,88
1474880885,95,88
1474886644,49,48
1474890484,100,80
1474900084,87,81
1474905844,110,88
1474913525,113,103
1474919284,63,73
1474923124,96,132
1474928884,51,82
1474932724,65,86
1474936804,132,108
1474944484,79,77
1474946403,70,83
1474952164,86,102
1474956016,70,68
1474957924,72,58
1474961764,73,57
1474963684,54,55
1474969443,62,51
1474975204,82,81
1474985764,79,65
1474989604,86,94
1474995363,124,88
1475001125,73,59
1475003043,77,69
1475008805,86,114
1475016484,91,160
1475022245,77,68
1475026083,60,70
1475031844,128,141
1475035687,85,85
1475039526,74,79
1475045283,125,100
1475054884,98,84
1475060644,98,87
1475068324,82,92
1475076010,96,92
1475081764,115,99
1475089446,125,104
1475095203,102,114
1475100964,46,65
1475106723,116,143
1475116324,100,119
1475120164,82,92
1475125924,138,142
1475131684,67,63
1475137443,111,93
1475143221,100,73
1475150886,48,55
1475152805,80,72
1475162406,85,92
1475168407,106,89
1475178003,103,109
1475181843,108,112
1475191446,84,150
1475197215,130,111
1475202963,75,75
1475206811,87,90
1475208723,87,95
1475215444,148,118
1475221217,98,79
1475229849,88,70
1475233684,49,47
1475239447,56,57
1475245204,88,108
1475250964,107,85
1475258642,58,58
1475260564,69,59
1475265363,89,105
1475272084,85,125
1475279764,62,66
1475284571,142,110
1475288408,91,87
1475292247,80,100
1475296084,149,155
1475306650,121,96
1475309523,61,62
1475317202,110,73
1475322969,70,67
1475324889,54,46
1475330884,101,110
1475335685,72,55
1475342402,96,95
1475350082,97,94
1475353923,90,112
1475361603,79,111
1475368326,85,77
1475374086,43,59
1475377927,130,152
1475381766,94,81
1475385605,72,80
1475391374,101,82
1475399044,118,70
1475406724,104,94
1475410812,52,58
1475416563,72,45
1475421362,98,106
1475425203,56,61
1475430962,100,84
1475436723,54,46
1475442484,53,61
1475444404,52,72
1475446324,48,65
1475454003,106,125
1475459771,111,111
1475464563,82,100
1475472245,147,164
1475478012,130,74
1475483767,48,69
1475489525,96,81
1475497211,103,100
1475501045,47,47
1475508244,117,104
1475515203,107,90
1475520976,66,68
1475526722,93,111
1475530562,84,63
1475534412,48,63
1475538242,56,93
1475543044,79,71
1475544964,53,79
1475550725,149,142
1475556485,137,151
1475563442,71,55
1475567282,53,55
1475569203,47,38
1475574963,77,46
1475578810,49,59
1475580723,51,43
1475585524,59,44
1475591284,91,99
1475596082,59,50
1475598003,54,48
1475605683,99,94
1475609523,59,47
1475613363,78,103
1475621043,48,87
1475622963,47,74
