DateTime,Entries,UniqueIPs
1473276723,6980,6980
1473284413,6953,6953
1473290162,6906,6906
1473294003,6928,6928
1473299762,6926,6926
1473303605,6925,6925
1473305522,6907,6907
1473311764,6895,6895
1473317526,6924,6924
1473323283,6931,6931
1473327124,6923,6923
1473335044,6946,6946
1473340802,6945,6945
1473346562,6947,6947
1473354243,6964,6964
1473361923,6983,6983
1473367686,6958,6958
1473371526,6959,6959
1473375366,6895,6895
1473381125,6913,6913
1473386885,6899,6899
1473390726,6882,6882
1473394564,6875,6875
1473400323,6879,6879
1473406086,6914,6914
1473409925,6918,6918
1473414015,6924,6924
1473419763,6931,6931
1473423612,6934,6934
1473429609,6932,6932
1473431522,6943,6943
1473437524,6972,6972
1473443283,6978,6978
1473447123,6980,6980
1473456722,6965,6965
1473460804,6938,6938
1473466563,6942,6942
1473472324,6918,6918
1473478083,6907,6907
1473484084,6900,6900
1473491762,6928,6928
1473495604,6942,6942
1473501363,6960,6960
1473508082,6961,6961
1473517682,6985,6985
1473519608,6978,6978
1473527283,6970,6970
1473531124,6969,6969
1473535203,6969,6969
1473539043,6972,6972
1473546723,6942,6942
1473550570,6925,6925
1473554405,6938,6938
1473560403,6912,6912
1473568083,6894,6894
1473574083,6898,6898
1473581764,6921,6921
1473589443,6919,6919
1473595209,6955,6955
1473600962,6959,6959
1473604804,6979,6979
1473610563,6994,6994
1473614403,6977,6977
1473621122,6986,6986
1473624962,6948,6948
1473632642,6924,6924
1473636482,6893,6893
1473640323,6893,6893
1473644163,6876,6876
1473648003,6879,6879
1473657843,6878,6878
1473664563,6898,6898
1473666482,6915,6915
1473676083,6911,6911
1473679923,6914,6914
1473683763,6930,6930
1473687844,6941,6941
1473693603,6930,6930
1473701283,6951,6951
1473707043,6959,6959
1473708970,6966,6966
1473716642,6955,6955
1473726245,6934,6934
1473732008,6900,6900
1473737771,6886,6886
1473739685,6896,6896
1473745444,6890,6890
1473751449,6931,6931
1473757212,6952,6952
1473762963,6946,6946
1473768724,6965,6965
1473776405,6954,6954
1473782164,6952,6952
1473786008,6982,6982
1473793685,6987,6987
1473799444,6988,6988
1473805204,6956,6956
1473810963,6936,6936
1473812887,6944,6944
1473818643,6928,6928
1473822485,6894,6894
1473830163,6896,6896
1473837845,6914,6914
1473841683,6938,6938
1473849604,6939,6939
1473857523,6955,6955
1473865212,6943,6943
1473867124,6939,6939
1473871205,6939,6939
1473875044,6958,6958
1473884644,6965,6965
1473888484,6968,6968
1473894243,6946,6946
1473898085,6930,6930
1473903843,6918,6918
1473909604,6912,6912
1473915364,6886,6886
1473924964,6914,6914
1473930724,6943,6943
1473938403,6947,6947
1473944414,6978,6978
1473952084,6969,6969
1473959763,6959,6959
1473963607,6973,6973
1473969364,6975,6975
1473975124,6973,6973
1473978963,6960,6960
1473982812,6934,6934
1473990484,6909,6909
1473994325,6900,6900
1474002006,6911,6911
1474009685,6931,6931
1474013524,6937,6937
1474021204,6935,6935
1474025043,6947,6947
1474030808,6956,6956
1474034650,6973,6973
1474040411,6958,6958
1474046163,6962,6962
1474051926,6995,6995
1474057684,6985,6985
1474063444,6966,6966
1474067285,6927,6927
1474071125,6936,6936
1474078803,6897,6897
1474082645,6897,6897
1474086484,6898,6898
1474092243,6885,6885
1474094165,6903,6903
1474098011,6932,6932
1474105683,6964,6964
1474113364,6976,6976
1474119123,6973,6973
1474124885,6968,6968
1474128964,6975,6975
1474132804,6965,6965
1474138564,6980,6980
1474146243,6970,6970
1474152004,6936,6936
1474157764,6939,6939
1474163524,6937,6937
1474169283,6911,6911
1474173124,6906,6906
1474176965,6916,6916
1474184644,6923,6923
1474188483,6925,6925
1474194245,6968,6968
1474200007,6982,6982
1474203844,7009,7009
1474209604,7009,7009
1474215364,6992,6992
1474219204,6993,6993
1474226884,7005,7005
1474230725,6992,6992
1474238404,6910,6910
1474246084,6919,6919
1474253764,6928,6928
1474261443,6919,6919
1474267204,6941,6941
1474272008,6934,6934
1474279684,6970,6970
1474285442,6977,6977
1474295044,6978,6978
1474298883,6989,6989
1474304884,7003,7003
1474312562,7000,7000
1474320244,7015,7015
1474324083,6942,6942
1474333686,6954,6954
1474335603,6945,6945
1474341364,6932,6932
1474349285,6937,6937
1474353126,6963,6963
1474356964,6966,6966
1474358883,6966,6966
1474364644,6968,6968
1474368485,6974,6974
1474372325,6984,6984
1474378084,6993,6993
1474382884,7012,7012
1474386964,7014,7014
1474394656,7042,7042
1474398485,7051,7051
1474404244,7039,7039
1474410004,7026,7026
1474415764,7002,7002
1474421523,6980,6980
1474425363,6975,6975
1474429204,6947,6947
1474435203,6939,6939
1474440964,6976,6976
1474442884,6963,6963
1474446726,6992,6992
1474450564,6995,6995
1474454404,6997,6997
1474458244,7002,7002
1474466171,7009,7009
1474470014,7008,7008
1474475763,7030,7030
1474479604,7033,7033
1474485364,7045,7045
1474493045,7036,7036
1474496883,7032,7032
1474500723,7002,7002
1474502884,7010,7010
1474508644,6987,6987
1474516567,6970,6970
1474522324,6967,6967
1474526646,6992,6992
1474533604,6997,6997
1474535525,6999,6999
1474543203,7006,7006
1474547043,6999,6999
1474554724,6998,6998
1474560483,7017,7017
1474566243,7030,7030
1474575844,7033,7033
1474579683,7021,7021
1474583523,6998,6998
1474587363,6995,6995
1474593123,6977,6977
1474599363,6986,6986
1474605122,6979,6979
1474610884,6995,6995
1474616643,6990,6990
1474622403,6999,6999
1474628163,7020,7020
1474635843,7028,7028
1474643763,7037,7037
1474647603,7050,7050
1474653363,7072,7072
1474661042,7061,7061
1474668723,7047,7047
1474674483,7026,7026
1474682162,7010,7010
1474686005,7008,7008
1474693684,6996,6996
1474701603,7006,7006
1474707363,7014,7014
1474711216,7040,7040
1474718884,7061,7061
1474726564,7078,7078
1474730403,7066,7066
1474734244,7062,7062
1474740013,7050,7050
1474745763,7048,7048
1474747684,7037,7037
1474753442,7044,7044
1474757282,7040,7040
1474763043,7021,7021
1474766883,7002,7002
1474770733,6977,6977
1474780323,6966,6966
1474786083,6986,6986
1474793763,7003,7003
1474795683,7023,7023
1474799532,7025,7025
1474805284,7039,7039
1474813203,7044,7044
1474819210,7045,7045
1474823043,7068,7068
1474828803,7080,7080
1474830725,7045,7045
1474836482,7038,7038
1474842247,7016,7016
1474848009,6993,6993
1474853766,6983,6983
1474860725,6977,6977
1474867445,6962,6962
1474873210,6998,6998
1474880885,7005,7005
1474886644,7006,7006
1474890484,7026,7026
1474900084,7032,7032
1474905844,7054,7054
1474913525,7064,7064
1474919284,7054,7054
1474923124,7018,7018
1474928884,6987,6987
1474932724,6966,6966
1474936804,6990,6990
1474944484,6992,6992
1474946403,6979,6979
1474952164,6963,6963
1474956016,6965,6965
1474957924,6979,6979
1474961764,6995,6995
1474963684,6994,6994
1474969443,7005,7005
1474975204,7006,7006
1474985764,7020,7020
1474989604,7012,7012
1474995363,7048,7048
1475001125,7062,7062
1475003043,7070,7070
1475008805,7042,7042
1475016484,6973,6973
1475022245,6982,6982
1475026083,6972,6972
1475031844,6959,6959
1475035687,6959,6959
1475039526,6954,6954
1475045283,6979,6979
1475054884,6993,6993
1475060644,7004,7004
1475068324,6994,6994
1475076010,6998,6998
1475081764,7014,7014
1475089446,7035,7035
1475095203,7023,7023
1475100964,7004,7004
1475106723,6977,6977
1475116324,6958,6958
1475120164,6948,6948
1475125924,6944,6944
1475131684,6948,6948
1475137443,6966,6966
1475143221,6993,6993
1475150886,6986,6986
1475152805,6994,6994
1475162406,6987,6987
1475168407,7004,7004
1475178003,6998,6998
1475181843,6994,6994
1475191446,6928,6928
1475197215,6947,6947
1475202963,6947,6947
1475206811,6944,6944
1475208723,6936,6936
1475215444,6966,6966
1475221217,6985,6985
1475229849,7003,7003
1475233684,7005,7005
1475239447,7004,7004
1475245204,6984,6984
1475250964,7006,7006
1475258642,7006,7006
1475260564,7016,7016
1475265363,7000,7000
1475272084,6960,6960
1475279764,6956,6956
1475284571,6988,6988
1475288408,6992,6992
1475292247,6972,6972
1475296084,6966,6966
1475306650,6991,6991
1475309523,6990,6990
1475317202,7027,7027
1475322969,7030,7030
1475324889,7038,7038
1475330884,7029,7029
1475335685,7046,7046
1475342402,7047,7047
1475350082,7050,7050
1475353923,7028,7028
1475361603,6996,6996
1475368326,7004,7004
1475374086,6988,6988
1475377927,6966,6966
1475381766,6979,6979
1475385605,6971,6971
1475391374,6990,6990
1475399044,7038,7038
1475406724,7048,7048
1475410812,7042,7042
1475416563,7069,7069
1475421362,7061,7061
1475425203,7056,7056
1475430962,7072,7072
1475436723,7080,7080
1475442484,7072,7072
1475444404,7052,7052
