DateTime,Entries,UniqueIPs
1475046750,16947,17469
1475048649,16955,17478
1475050579,16953,17476
1475052494,16969,17492
1475054419,16971,17494
1475056350,16958,17480
1475058254,16960,17483
1475060219,16963,17486
1475062103,16976,17499
1475064059,16976,17498
1475065939,16969,17491
1475067855,16967,17488
1475069784,16956,17477
1475071745,16958,17479
1475073641,16962,17484
1475075551,16976,17499
1475077449,16988,17513
1475079380,16986,17511
1475081301,16985,17510
1475083210,16988,17513
1475085139,16983,17506
1475087069,16979,17504
1475088989,16962,17487
1475090902,16966,17492
1475092856,16967,17494
1475094750,16955,17483
1475096658,16955,17483
1475098586,16948,17476
1475100501,16940,17468
1475102418,16932,17460
1475104341,16915,17443
1475106254,16916,17444
1475108178,16917,17445
1475110100,16915,17442
1475112024,16911,17438
1475113935,16903,17430
1475115850,16910,17437
1475117775,16906,17433
1475119701,16898,17427
1475121662,16881,17411
1475123537,16866,17396
1475125456,16860,17390
1475127382,16851,17381
1475129303,16853,17383
1475131216,16846,17377
1475133134,16840,17371
1475135052,16840,17371
1475136982,16837,17368
1475138902,16839,17369
1475140822,16844,17374
1475142745,16843,17373
1475144652,16836,17365
1475146586,16836,17364
1475148539,16828,17356
1475150466,16825,17353
1475152354,16815,17342
1475154266,16810,17337
1475156191,16796,17324
1475158109,16803,17331
1475160040,16776,17304
1475161938,16786,17316
1475163848,16783,17315
1475165793,16766,17297
1475167700,16782,17314
1475169616,16793,17325
1475171537,16796,17328
1475173453,16796,17328
1475175382,16789,17321
1475177333,16778,17309
1475179264,16775,17307
1475181142,16782,17315
1475183056,16778,17312
1475184982,16775,17309
1475186897,16780,17315
1475188815,16772,17307
1475190744,16772,17307
1475192656,16760,17295
1475194581,16743,17277
1475196511,16741,17273
1475198410,16737,17269
1475200336,16733,17265
1475202247,16723,17256
1475204177,16704,17238
1475206101,16704,17238
1475208059,16697,17232
1475209941,16688,17224
1475211861,16674,17210
1475213783,16665,17201
1475215702,16660,17197
1475217618,16657,17194
1475219542,16648,17184
1475221449,16654,17192
1475223389,16644,17182
1475225303,16650,17190
1475227212,16655,17195
1475229147,16648,17187
1475231053,16643,17183
1475232981,16646,17186
1475234902,16654,17195
1475236857,16648,17189
1475238736,16637,17178
1475240655,16628,17169
1475242582,16622,17163
1475244501,16614,17155
1475246667,16615,17155
1475248580,16619,17159
1475250504,16612,17153
1475252411,16619,17160
1475254344,16620,17165
1475256253,16629,17176
1475258183,16629,17176
1475260102,16628,17177
1475262061,16625,17177
1475263946,16628,17180
1475266114,16618,17170
1475268022,16617,17169
1475270207,16619,17173
1475272121,16624,17178
1475274032,16623,17177
1475275951,16617,17171
1475277866,16614,17171
1475279814,16609,17166
1475281715,16607,17165
1475283670,16606,17163
1475285576,16605,17162
1475287463,16598,17155
1475289388,16590,17147
1475291346,16584,17141
1475293219,16579,17135
1475295154,16576,17132
1475297060,16579,17134
1475298994,16574,17129
1475300916,16569,17125
1475302829,16563,17119
1475304755,16556,17112
1475306666,16565,17119
1475308605,16566,17119
1475310515,16567,17123
1475312489,16558,17114
1475314348,16552,17108
1475316262,16545,17100
1475318196,16538,17093
1475320126,16526,17081
1475322029,16521,17076
1475323972,16509,17064
1475325856,16510,17065
1475328038,16505,17060
1475329963,16496,17051
1475331865,16491,17046
1475333818,16485,17040
1475335714,16485,17040
1475337687,16478,17033
1475339558,16476,17030
1475341483,16467,17022
1475343382,16456,17011
1475345312,16450,17006
1475347232,16447,17002
1475349162,16453,17008
