DateTime,AddedIPs,RemovedIPs
1472481065,2,5
1472492113,10,0
1472503198,10,7
1472514067,9,3
1472524854,9,3
1472535776,4,2
1472546665,5,10
1472557604,4,6
1472568570,10,2
1472579513,8,6
1472590262,6,8
1472601066,8,7
1472612084,1,5
1472622829,7,3
1472633284,4,5
1472644284,3,3
1472655273,4,1
1472666208,8,2
1472677186,6,5
1472687907,6,3
1472698823,7,5
1472709793,3,6
1472720911,5,4
1472731870,4,4
1472742923,7,4
1472753353,5,5
1472763962,2,6
1472774611,5,1
1472784969,3,5
1472795989,4,7
1472805576,4,6
1472816206,1,3
1472827181,5,4
1472837978,0,10
1472848995,1,5
1472859918,1,6
1472870812,2,4
1472881744,6,3
1472892651,3,7
1472903132,2,4
1472913751,5,3
1472924197,5,2
1472934867,9,7
1472945793,3,2
1472956792,4,4
1472967787,4,1
1472978897,4,3
1472989908,7,3
1473000974,11,3
1473011564,6,4
1473022478,6,5
1473033467,5,4
1473044445,1,0
1473055679,3,5
1473066584,4,11
1473076605,3,4
1473087581,3,3
1473098223,8,3
1473109083,8,4
1473119989,4,5
1473130925,7,4
1473141275,8,4
1473152240,6,5
1473163045,8,6
1473173958,5,3
1473184967,6,6
1473195669,4,2
1473206458,6,4
1473217168,10,4
1473228513,3,3
1473239317,4,5
1473250106,7,6
1473261034,3,6
1473272079,4,2
1473283171,9,2
1473294018,8,2
1473304717,3,2
1473315836,0,6
1473326794,4,3
1473337834,9,1
1473348888,4,3
1473359655,12,1
1473370334,7,2
1473381274,5,3
1473391901,2,3
1473402890,4,6
1473413773,4,3
1473424548,7,7
1473435452,7,6
1473446320,5,7
1473457379,3,5
1473468213,7,8
1473479249,8,2
1473490146,3,8
1473500935,3,3
1473511879,5,5
1473522869,10,4
1473533789,8,7
1473544654,9,8
1473555561,5,7
1473566420,2,10
1473576929,5,4
1473587999,6,4
1473599054,2,5
1473609901,4,7
1473620614,2,4
1473631623,7,4
1473642708,3,5
1473653430,2,4
1473664591,3,1
1473675330,3,4
1473686334,7,5
1473697256,6,7
1473708183,6,4
1473719545,5,7
1473729977,1,4
1473741142,5,3
1473752177,3,2
1473762264,4,5
1473773241,3,5
1473784114,3,4
1473794911,11,3
1473803447,1,34
1473807199,0,1
1473810858,0,1
1473814593,3,2
1473818380,1,1
1473822081,3,4
1473825779,2,3
1473829415,1,3
1473832982,2,0
1473836479,4,0
1473840309,2,1
1473843816,3,3
1473847585,2,0
1473851108,1,5
1473854553,2,2
1473857743,1,3
1473861589,3,2
1473865423,1,3
1473869018,4,2
1473872788,4,2
1473876496,2,4
1473880234,2,2
1473884368,3,1
1473888173,0,2
1473891733,0,2
1473895113,1,1
1473898956,0,1
1473902869,2,0
1473906188,0,1
1473909674,0,1
1473918355,4,3
1473929483,2,3
1473932406,1,1
1473935991,1,1
1473939801,0,3
1473943534,0,2
1473945828,0,1
1473949698,1,2
1473953536,0,3
1473957231,2,2
1473960920,3,3
1473964666,2,1
1473971538,2,0
1473974854,0,2
1473978457,1,1
1473982332,2,0
1473985707,1,3
1473989352,2,0
1473992790,2,3
1473996691,1,2
1473999720,1,1
1474003208,1,1
1474006800,1,1
1474010086,1,1
1474013272,3,4
1474016907,1,1
1474020182,1,3
1474024086,2,2
1474027424,1,4
1474031298,4,1
1474035002,3,6
1474038703,2,2
1474042539,1,4
1474045957,3,3
1474049639,0,4
1474053052,1,4
1474055822,1,2
1474059425,0,2
1474063231,1,3
1474065944,2,3
1474069313,1,2
1474073048,1,3
1474076653,1,4
1474080044,1,2
1474083680,2,2
1474087195,1,1
1474091047,1,0
1474094382,2,4
1474097955,0,2
1474101382,1,5
1474104761,2,2
1474108535,1,0
1474112063,0,3
1474115106,1,3
1474118778,0,3
1474122244,0,3
1474126020,2,1
1474129699,0,3
1474133337,2,3
1474136919,2,1
1474140645,1,2
1474144547,2,0
1474148310,2,4
1474152217,2,2
1474156117,1,2
1474159834,0,5
1474163465,2,4
1474167347,2,2
1474171173,1,3
1474174898,1,5
1474178247,1,1
1474181658,2,1
1474184841,2,1
1474188676,1,2
1474192335,3,0
1474195843,1,3
1474199768,2,4
1474203630,2,1
1474207145,2,1
1474211023,3,2
1474214795,2,11
1474218703,3,6
1474221798,1,4
1474225246,1,3
1474229272,2,6
1474232925,1,2
1474236728,1,4
1474240833,2,2
1474244654,2,2
1474248283,4,1
1474251401,0,2
1474254496,0,3
1474258219,2,5
1474261766,0,1
1474265099,1,0
1474268713,0,2
1474272356,2,3
1474275873,1,3
1474279492,2,4
1474283251,2,1
1474287003,1,0
1474290723,0,1
1474294800,3,3
1474298864,4,1
1474302155,3,2
1474305406,2,2
1474309014,0,2
1474312687,0,7
1474320116,2,5
1474323773,1,3
1474325500,2,3
1474329041,1,0
1474332650,1,2
1474336309,2,1
1474340093,3,3
1474343942,4,1
1474347399,3,2
1474350547,1,2
1474352475,2,3
1474356050,0,3
1474362649,1,2
1474366282,3,3
1474370105,1,1
1474374174,1,1
1474377921,3,5
1474381536,0,2
1474385263,0,2
1474388878,4,4
1474392541,0,1
1474395925,0,2
1474399181,1,4
1474403028,2,2
1474406895,0,3
1474410535,3,2
1474417920,2,4
1474421723,2,3
1474425299,1,2
1474429191,1,5
1474433006,2,2
1474436881,4,2
1474440709,1,3
1474444466,5,6
1474448184,2,0
1474452080,1,2
1474455735,4,2
1474459033,0,1
1474462567,2,1
1474466423,3,2
1474470190,2,4
1474473515,1,5
1474477235,1,1
1474480697,1,2
1474484337,0,1
1474487998,1,2
1474491839,0,1
1474495581,3,8
1474499011,1,1
1474502575,1,4
1474506433,0,4
1474510256,2,3
1474517646,2,1
1474520648,1,2
1474524085,1,4
1474527671,1,2
1474531019,1,2
1474534493,0,1
1474538003,2,2
