DateTime,Entries,UniqueIPs
1472425955,1202,1202
1472436667,1205,1205
1472447998,1203,1203
1472458984,1202,1202
1472470024,1204,1204
1472481065,1201,1201
1472492113,1211,1211
1472503198,1214,1214
1472514067,1220,1220
1472524854,1226,1226
1472535776,1228,1228
1472546665,1223,1223
1472557604,1221,1221
1472568570,1229,1229
1472579513,1231,1231
1472590262,1229,1229
1472601066,1230,1230
1472612084,1226,1226
1472622829,1230,1230
1472633284,1229,1229
1472644284,1229,1229
1472655273,1232,1232
1472666208,1238,1238
1472677186,1239,1239
1472687907,1242,1242
1472698823,1244,1244
1472709793,1241,1241
1472720911,1242,1242
1472731870,1242,1242
1472742923,1245,1245
1472753353,1245,1245
1472763962,1241,1241
1472774611,1245,1245
1472784969,1243,1243
1472795989,1240,1240
1472805576,1238,1238
1472816206,1236,1236
1472827181,1237,1237
1472837978,1227,1227
1472848995,1223,1223
1472859918,1218,1218
1472870812,1216,1216
1472881744,1219,1219
1472892651,1215,1215
1472903132,1213,1213
1472913751,1215,1215
1472924197,1218,1218
1472934867,1220,1220
1472945793,1221,1221
1472956792,1221,1221
1472967787,1224,1224
1472978897,1225,1225
1472989908,1229,1229
1473000974,1237,1237
1473011564,1239,1239
1473022478,1240,1240
1473033467,1241,1241
1473044445,1242,1242
1473055679,1240,1240
1473066584,1233,1233
1473076605,1232,1232
1473087581,1232,1232
1473098223,1237,1237
1473109083,1241,1241
1473119989,1240,1240
1473130925,1243,1243
1473141275,1247,1247
1473152240,1248,1248
1473163045,1250,1250
1473173958,1252,1252
1473184967,1252,1252
1473195669,1254,1254
1473206458,1256,1256
1473217168,1262,1262
1473228513,1262,1262
1473239317,1261,1261
1473250106,1262,1262
1473261034,1259,1259
1473272079,1261,1261
1473283171,1268,1268
1473294018,1274,1274
1473304717,1275,1275
1473315836,1269,1269
1473326794,1270,1270
1473337834,1278,1278
1473348888,1279,1279
1473359655,1290,1290
1473370334,1295,1295
1473381274,1297,1297
1473391901,1296,1296
1473402890,1294,1294
1473413773,1295,1295
1473424548,1295,1295
1473435452,1296,1296
1473446320,1294,1294
1473457379,1292,1292
1473468213,1291,1291
1473479249,1297,1297
1473490146,1292,1292
1473500935,1292,1292
1473511879,1292,1292
1473522869,1298,1298
1473533789,1299,1299
1473544654,1300,1300
1473555561,1298,1298
1473566420,1290,1290
1473576929,1291,1291
1473587999,1293,1293
1473599054,1290,1290
1473609901,1287,1287
1473620614,1285,1285
1473631623,1288,1288
1473642708,1286,1286
1473653430,1284,1284
1473664591,1286,1286
1473675330,1285,1285
1473686334,1287,1287
1473697256,1286,1286
1473708183,1288,1288
1473719545,1286,1286
1473729977,1283,1283
1473741142,1285,1285
1473752177,1286,1286
1473762264,1285,1285
1473773241,1283,1283
1473784114,1282,1282
1473794911,1290,1290
1473803447,1257,1257
1473807199,1256,1256
1473810858,1255,1255
1473814593,1256,1256
1473818380,1256,1256
1473822081,1255,1255
1473825779,1254,1254
1473829415,1252,1252
1473832982,1254,1254
1473836479,1258,1258
1473840309,1259,1259
1473843816,1259,1259
1473847585,1261,1261
1473851108,1257,1257
1473854553,1257,1257
1473857743,1255,1255
1473861589,1256,1256
1473865423,1254,1254
1473869018,1256,1256
1473872788,1258,1258
1473876496,1256,1256
1473880234,1256,1256
1473884368,1258,1258
1473888173,1256,1256
1473891733,1254,1254
1473895113,1254,1254
1473898956,1253,1253
1473902869,1255,1255
1473906188,1254,1254
1473909674,1253,1253
1473918355,1254,1254
1473929483,1253,1253
1473932406,1253,1253
1473935991,1253,1253
1473939801,1250,1250
1473943534,1248,1248
1473945828,1247,1247
1473949698,1246,1246
1473953536,1243,1243
1473957231,1243,1243
1473960920,1243,1243
1473964666,1244,1244
1473971538,1246,1246
1473974854,1244,1244
1473978457,1244,1244
1473982332,1246,1246
1473985707,1244,1244
1473989352,1246,1246
1473992790,1245,1245
1473996691,1244,1244
1473999720,1244,1244
1474003208,1244,1244
1474006800,1244,1244
1474010086,1244,1244
1474013272,1243,1243
1474016907,1243,1243
1474020182,1241,1241
1474024086,1241,1241
1474027424,1238,1238
1474031298,1241,1241
1474035002,1238,1238
1474038703,1238,1238
1474042539,1235,1235
1474045957,1235,1235
1474049639,1231,1231
1474053052,1228,1228
1474055822,1227,1227
1474059425,1225,1225
1474063231,1223,1223
1474065944,1222,1222
1474069313,1221,1221
1474073048,1219,1219
1474076653,1216,1216
1474080044,1215,1215
1474083680,1215,1215
1474087195,1215,1215
1474091047,1216,1216
1474094382,1214,1214
1474097955,1212,1212
1474101382,1208,1208
