DateTime,Entries,UniqueIPs
1469161079,1415,1415
1469171715,1440,1440
1469182534,1479,1479
1469193337,1512,1512
1469204160,1527,1527
1469214936,1551,1551
1469225769,1575,1575
1469236531,1381,1381
1469244360,1396,1396
1469251823,1411,1411
1469261800,1491,1491
1469272552,1550,1550
1469283332,1618,1618
1469294193,1709,1709
1469304941,1814,1814
1469315740,1920,1920
1469322937,1804,1804
1469330307,1894,1894
1469340976,2063,2063
1469351735,2207,2207
1469362521,2383,2383
1469373343,2458,2458
1469384135,2560,2560
1469394941,2658,2658
1469405741,2564,2564
1469416548,2690,2690
1469427335,2831,2831
1469438135,2927,2927
1469448940,3028,3028
1469459736,3148,3148
1469470535,3254,3254
1469481340,3345,3345
1469492141,3195,3195
1469502994,3296,3296
1469513735,3413,3413
1469524535,3532,3532
1469535336,3687,3687
1469546137,3849,3849
1469556936,3979,3979
1469567736,4092,4092
1469578536,3959,3959
1469589427,4078,4078
1469600136,4217,4217
1469610936,4373,4373
1469621736,4532,4532
1469632537,4679,4679
1469643337,4806,4806
1469654136,4935,4935
1469664936,4795,4795
1469675933,4944,4944
1469686536,5117,5117
1469697336,5286,5286
1469708137,5465,5465
1469718936,5643,5643
1469729737,5807,5807
1469740536,5965,5965
1469751337,5929,5929
1469762362,6086,6086
1469772936,6280,6280
1469783736,6411,6411
1469794537,6560,6560
1469805345,6681,6681
1469816137,6805,6805
1469826912,6937,6937
1469837965,6490,6490
1469848661,6497,6497
1469859620,6599,6599
1469880858,6986,6986
1469891712,7132,7132
1469902537,7295,7295
1469913337,7440,7440
1469924137,6570,6570
1469935105,6757,6757
1469945737,6926,6926
1469956538,7098,7098
1469967337,7252,7252
1469978137,7413,7413
1469988937,7560,7560
1469999738,7697,7697
1470010537,6913,6913
1470021394,7056,7056
1470032331,7183,7183
1470042940,7301,7301
1470053740,7435,7435
1470064538,7565,7565
1470075337,7689,7689
1470086139,7808,7808
1470096940,6866,6866
1470107760,6985,6985
1470118513,7094,7094
1470129341,7223,7223
1470140139,7333,7333
1470150938,7454,7454
1470161738,7519,7519
1470172539,7615,7615
1470183343,6838,6838
1470194277,6912,6912
1470204946,6986,6986
1470215747,7066,7066
1470226541,7142,7142
