DateTime,AddedIPs,RemovedIPs
1475572344,16,76
1475573295,16,62
1475574250,16,95
1475575277,64,36
1475576430,15,53
1475577391,15,96
1475578341,22,64
1475579307,43,59
1475580262,16,55
1475581221,20,52
1475582183,12,101
1475583157,55,34
1475584126,16,51
1475585060,13,43
1475586099,20,109
1475587496,58,118
1475588427,21,108
1475589491,11,68
1475590592,70,65
1475591540,14,58
1475592494,12,77
1475593464,8,25
1475594707,45,69
1475595621,9,31
1475596584,15,88
1475597552,66,67
1475598509,6,54
1475599453,13,106
1475600465,14,33
1475601410,64,30
1475602343,3,81
1475603313,2,29
1475604269,19,104
1475605222,38,57
1475606184,6,32
1475607148,15,92
1475608110,10,38
1475609063,63,49
1475610031,11,57
1475610979,22,88
1475611948,5,81
1475612907,51,45
1475613852,14,74
1475614856,11,52
1475615788,6,16
1475616741,54,51
1475617694,6,48
1475618675,19,96
1475619622,12,67
1475620580,40,57
1475621547,20,78
1475622508,6,41
1475623454,8,79
1475624430,56,41
1475625380,19,84
1475626352,23,99
1475627312,65,64
1475628258,25,94
1475629291,18,70
1475630425,26,43
1475631385,55,107
1475632349,27,71
1475633314,24,109
1475634251,21,74
1475635212,53,49
1475636194,19,85
1475637144,8,41
1475638100,23,72
1475639067,40,55
1475640060,23,73
1475640985,11,78
1475641954,12,105
1475642899,48,71
1475643864,20,87
1475644827,13,53
1475645785,50,54
1475646739,18,112
1475647712,21,77
1475648656,4,54
1475649621,10,90
1475650616,54,82
1475651565,9,73
1475652511,4,74
1475653453,36,42
1475654470,20,115
1475655392,7,58
1475656342,2,52
1475657310,54,120
1475658259,13,53
1475659217,27,79
1475660193,26,70
1475661146,43,104
1475662103,9,47
1475663050,4,2
1475664015,4,19
1475665002,53,49
1475665954,17,58
1475666924,8,57
1475667864,53,129
1475668862,11,1
1475669784,22,142
1475670752,17,95
1475671704,2,0
1475672661,56,191
1475673872,15,73
1475674822,11,95
1475675784,63,63
1475677003,26,51
1475677945,21,83
1475678904,37,59
1475679896,15,106
1475680814,19,112
1475681839,17,72
1475682747,56,111
1475683709,15,81
1475684657,28,125
1475685620,16,87
1475686583,17,92
1475687548,54,103
1475688506,14,59
1475689460,9,83
1475690478,23,95
1475691641,74,33
1475692583,10,74
1475693557,7,44
1475694506,14,93
1475695460,52,75
1475696417,23,54
1475697397,15,115
1475698344,61,41
1475699310,17,99
1475700260,19,72
1475701274,49,64
1475702195,11,83
1475703157,19,47
1475704109,27,65
1475705071,31,119
1475706021,5,44
1475706996,7,84
1475707940,12,34
1475708916,15,129
1475709869,33,93
1475710833,19,76
1475711784,77,113
1475712865,6,18
1475713945,17,88
1475714906,18,80
1475715863,23,28
1475716816,57,96
1475717781,9,45
1475718742,11,56
1475719712,15,121
1475720653,65,115
1475721615,14,85
1475722593,32,206
1475723546,32,0
1475724507,15,62
1475725450,17,69
1475726462,32,117
1475727389,11,33
1475728343,80,66
1475729306,15,62
1475730266,21,176
1475731219,6,0
1475732179,49,65
1475733153,42,187
1475734105,39,1
1475735051,8,61
1475736020,37,108
1475736993,23,149
1475737946,3,1
1475738914,12,68
1475739854,50,0
1475740856,21,76
1475741812,10,112
1475742743,45,1
1475743686,5,55
1475744665,24,154
1475745621,6,1
1475746586,61,155
1475747584,13,128
1475748505,3,0
1475749453,10,62
1475750426,58,88
1475751389,15,142
1475752345,4,1
1475753311,12,50
1475754255,57,68
1475755259,23,89
1475756192,27,137
1475757143,12,52
1475758095,54,90
1475759063,32,132
1475760019,9,44
1475760981,11,86
1475761947,52,37
1475762904,26,126
1475763858,17,81
1475764822,48,61
1475765795,15,127
1475766750,15,44
1475767706,8,81
1475768754,57,43
1475769660,18,50
1475770588,25,122
1475771556,11,54
1475772502,52,88
1475773457,21,92
1475774423,9,41
1475775381,17,70
1475776340,68,41
1475777314,12,105
1475778511,14,120
1475779460,19,73
1475780463,56,2
1475781386,8,37
1475782353,16,170
1475783307,67,4
1475784268,7,62
1475785224,5,72
1475786189,12,63
1475787142,47,66
1475788105,26,127
1475789054,1,0
1475790022,19,100
1475790990,66,149
1475791937,4,1
1475792896,14,74
1475793858,25,140
1475794858,51,0
1475795787,10,84
1475796748,13,50
1475797695,6,77
1475798686,66,152
1475799624,4,1
1475800587,14,56
1475801541,69,55
1475802516,18,80
1475803453,16,77
1475804421,7,113
1475805398,48,76
1475806346,16,78
1475807307,17,111
1475808265,11,65
1475809263,63,86
1475810187,7,84
1475811144,11,57
1475812410,21,161
1475813311,52,45
1475814265,17,100
1475815229,13,2
1475816184,66,168
1475817153,10,1
1475818098,10,66
1475819051,15,47
1475820077,56,104
1475821224,21,137
1475822200,8,55
1475823137,9,43
1475824104,52,90
1475825056,21,64
1475826013,17,91
1475826985,57,38
1475827957,17,112
1475828904,9,74
1475829852,13,63
1475830867,68,73
1475832026,18,129
1475832994,17,85
1475833942,19,109
1475834910,57,95
1475835860,16,47
1475836816,17,92
1475837794,10,78
1475838741,73,58
1475839700,13,82
1475840650,15,48
1475841661,71,116
1475842843,18,88
1475843815,12,61
1475844760,16,85
1475845716,72,87
1475846666,10,92
1475847630,11,60
1475848587,22,137
1475849552,70,110
1475850504,12,63
1475851473,14,109
1475852473,17,95
1475853400,79,65
1475854341,29,78
1475855321,12,43
1475856288,24,126
1475857227,79,85
1475858186,13,54
1475859155,22,105
1475860134,80,61
1475861064,15,91
1475862018,20,86
1475863029,11,85
1475863956,122,84
1475864900,7,65
1475865855,12,82
1475866874,20,116
1475867790,129,77
1475868746,11,101
1475869720,3,62
1475870675,16,129
1475871629,148,76
1475872599,8,66
1475873552,12,101
1475874515,17,40
1475875462,128,91
1475876424,18,74
1475877384,8,42
1475878361,175,76
1475879304,17,73
1475880257,23,81
1475881277,20,67
1475882190,222,79
1475883149,21,121
1475884125,7,37
1475885066,29,108
1475886111,187,119
1475887229,12,62
1475888176,15,103
1475889141,18,122
1475890108,232,91
1475891050,9,84
1475892071,16,86
1475892989,266,73
1475893946,18,89
1475894899,12,48
1475895863,12,91
1475896818,256,95
1475897775,12,56
1475898748,15,83
1475899780,10,68
1475900895,265,50
1475901857,12,53
1475902861,6,52
1475903782,10,40
1475904789,208,65
1475905702,16,83
1475906664,14,100
1475907638,244,96
1475908592,23,82
1475909546,12,88
1475910518,13,107
1475911453,208,129
1475912418,16,131
1475913395,10,94
1475914352,12,128
1475915300,140,66
1475916260,10,102
1475917265,8,84
1475918184,17,77
1475919146,98,85
1475920103,13,124
1475921065,3,4
1475922026,63,105
1475922993,4,39
1475923947,9,31
1475924916,8,10
1475925860,40,52
1475926822,2,29
1475927787,2,24
1475928746,3,11
1475929706,63,140
1475930658,17,136
1475931669,24,157
1475932614,14,104
1475933545,67,78
1475934495,8,84
1475935462,9,87
1475936426,76,103
1475937390,7,82
1475938449,15,96
1475939558,14,82
1475940504,55,55
1475941474,29,119
1475942463,7,41
1475943449,14,83
1475944583,85,114
1475945544,8,59
1475946505,24,108
1475947454,12,108
1475948440,104,77
1475949398,16,116
1475950341,11,74
1475951310,73,103
1475952264,9,81
1475953268,14,99
1475954195,11,119
1475955151,74,59
1475956097,11,102
1475957065,10,84
1475958014,10,70
1475958993,93,81
1475959941,10,37
1475960907,15,103
1475961863,16,76
1475962828,86,69
1475964751,23,147
1475965700,83,98
1475966663,11,61
1475967667,17,91
1475968584,13,100
1475969555,92,69
1475970504,12,86
1475971468,9,103
1475972430,16,55
1475973392,104,100
1475974337,9,55
1475975314,16,90
1475976257,6,115
1475977215,85,70
1475978197,4,42
1475979151,10,53
1475980107,16,74
1475981062,90,78
1475982067,18,63
1475982990,20,107
1475983960,19,73
1475984915,95,119
1475985869,16,113
1475987129,16,186
1475988259,93,67
1475989269,11,125
1475990185,8,71
1475991402,82,65
1475992335,5,116
1475993301,14,1291
1475994273,12,82
1475995213,94,65
1475996187,13,38
1475997146,12,124
1475998105,6,39
1475999065,91,54
1476000069,11,53
1476000987,7,72
1476001948,9,39
1476002905,98,94
1476003859,3,6
1476004821,13,46
1476005782,8,72
1476006746,60,63
1476007713,21,136
1476008650,13,58
1476009624,57,48
1476010582,13,48
1476011546,8,62
1476012493,12,71
1476013460,56,47
1476014466,11,91
1476015378,4,1
1476016355,7,53
1476017302,39,46
1476018258,18,63
1476019229,29,129
1476020181,5,2
1476021150,70,72
1476022106,33,94
1476023057,22,113
1476024024,2,24
1476024991,57,75
1476025935,15,114
1476026906,11,63
1476027859,9,51
1476028874,50,87
1476029790,17,153
1476030815,14,63
1476031935,50,80
1476032908,10,73
1476033849,17,103
1476034813,15,98
1476035793,60,37
1476036748,16,81
1476037712,18,143
