DateTime,Entries,UniqueIPs
1475554825,17896,17896
1475555790,17847,17847
1475556745,17855,17855
1475557716,17906,17906
1475558656,17905,17905
1475559617,17845,17845
1475560597,17891,17891
1475561565,17892,17892
1475562513,17889,17889
1475563469,17833,17833
1475564494,17866,17866
1475565621,17864,17864
1475566584,17864,17864
1475567541,17818,17818
1475568501,17862,17862
1475569458,17863,17863
1475570422,17864,17864
1475571381,17834,17834
1475572344,17827,17827
1475573295,17830,17830
1475574250,17757,17757
1475575277,17822,17822
1475576430,17816,17816
1475577391,17742,17742
1475578341,17765,17765
1475579307,17791,17791
1475580262,17789,17789
1475581221,17765,17765
1475582183,17768,17768
1475583157,17808,17808
1475584126,17825,17825
1475585060,17830,17830
1475586099,17767,17767
1475587496,17806,17806
1475588427,17816,17816
1475589491,17775,17775
1475590592,17839,17839
1475591540,17856,17856
1475592494,17812,17812
1475593464,17810,17810
1475594707,17845,17845
1475595621,17847,17847
1475596584,17788,17788
1475597552,17846,17846
1475598509,17837,17837
1475599453,17832,17832
1475600465,17779,17779
1475601410,17827,17827
1475602343,17823,17823
1475603313,17818,17818
1475604269,17769,17769
1475605222,17796,17796
1475606184,17799,17799
1475607148,17797,17797
1475608110,17691,17691
1475609063,17740,17740
1475610031,17738,17738
1475610979,17638,17638
1475611948,17638,17638
1475612907,17679,17679
1475613852,17666,17666
1475614856,17601,17601
1475615788,17589,17589
1475616741,17628,17628
1475617694,17624,17624
1475618675,17563,17563
1475619622,17575,17575
1475620580,17602,17602
1475621547,17630,17630
1475622508,17565,17565
1475623454,17570,17570
1475624430,17626,17626
1475625380,17598,17598
1475626352,17606,17606
1475627312,17654,17654
1475628258,17659,17659
1475629291,17611,17611
1475630425,17617,17617
1475631385,17681,17681
1475632349,17678,17678
1475633314,17626,17626
1475634251,17637,17637
1475635212,17713,17713
1475636194,17632,17632
1475637144,17652,17652
1475638100,17658,17658
1475639067,17642,17642
1475640060,17670,17670
1475640985,17676,17676
1475641954,17684,17684
1475642899,17710,17710
1475643864,17639,17639
1475644827,17637,17637
1475645785,17675,17675
1475646739,17623,17623
1475647712,17633,17633
1475648656,17633,17633
1475649621,17631,17631
1475650616,17619,17619
1475651565,17617,17617
1475652511,17627,17627
1475653453,17661,17661
1475654470,17616,17616
1475655392,17610,17610
1475656342,17629,17629
1475657310,17618,17618
1475658259,17625,17625
1475659217,17637,17637
1475660193,17644,17644
1475661146,17693,17693
1475662103,17646,17646
1475663050,17650,17650
1475664015,17651,17651
1475665002,17710,17710
1475665954,17663,17663
1475666924,17660,17660
1475667864,17693,17693
1475668862,17704,17704
1475669784,17651,17651
1475670752,17646,17646
1475671704,17638,17638
1475672661,17612,17612
1475673872,17615,17615
1475674822,17620,17620
1475675784,17603,17603
1475677003,17616,17616
1475677945,17625,17625
1475678904,17649,17649
1475679896,17619,17619
1475680814,17627,17627
1475681839,17630,17630
1475682747,17672,17672
1475683709,17634,17634
1475684657,17649,17649
1475685620,17647,17647
1475686583,17650,17650
1475687548,17660,17660
1475688506,17674,17674
1475689460,17672,17672
1475690478,17640,17640
1475691641,17713,17713
1475692583,17715,17715
1475693557,17719,17719
1475694506,17687,17687
1475695460,17723,17723
1475696417,17737,17737
1475697397,17740,17740
1475698344,17737,17737
1475699310,17742,17742
1475700260,17740,17740
1475701274,17775,17775
1475702195,17741,17741
1475703157,17750,17750
1475704109,17768,17768
1475705071,17782,17782
1475706021,17733,17733
1475706996,17724,17724
1475707940,17730,17730
1475708916,17694,17694
1475709869,17712,17712
1475710833,17727,17727
1475711784,17774,17774
1475712865,17738,17738
1475713945,17745,17745
1475714906,17741,17741
1475715863,17759,17759
1475716816,17765,17765
1475717781,17763,17763
1475718742,17763,17763
1475719712,17752,17752
1475720653,17764,17764
1475721615,17774,17774
1475722593,17766,17766
1475723546,17807,17807
1475724507,17764,17764
1475725450,17764,17764
1475726462,17785,17785
1475727389,17743,17743
1475728343,17806,17806
1475729306,17815,17815
1475730266,17814,17814
1475731219,17781,17781
1475732179,17816,17816
1475733153,17843,17843
1475734105,17878,17878
1475735051,17851,17851
1475736020,17879,17879
1475736993,17883,17883
1475737946,17884,17884
1475738914,17825,17825
1475739854,17874,17874
1475740856,17878,17878
1475741812,17813,17813
1475742743,17856,17856
1475743686,17851,17851
1475744665,17847,17847
1475745621,17794,17794
1475746586,17837,17837
1475747584,17838,17838
1475748505,17834,17834
1475749453,17783,17783
1475750426,17835,17835
1475751389,17834,17834
1475752345,17834,17834
1475753311,17790,17790
1475754255,17833,17833
1475755259,17846,17846
1475756192,17807,17807
1475757143,17815,17815
1475758095,17864,17864
1475759063,17859,17859
1475760019,17810,17810
1475760981,17811,17811
1475761947,17859,17859
1475762904,17864,17864
1475763858,17808,17808
1475764822,17847,17847
1475765795,17847,17847
1475766750,17849,17849
1475767706,17800,17800
1475768754,17848,17848
1475769660,17855,17855
1475770588,17860,17860
1475771556,17821,17821
1475772502,17862,17862
1475773457,17861,17861
1475774423,17811,17811
1475775381,17814,17814
1475776340,17880,17880
1475777314,17887,17887
1475778511,17843,17843
1475779460,17843,17843
1475780463,17898,17898
1475781386,17894,17894
1475782353,17854,17854
1475783307,17916,17916
1475784268,17911,17911
1475785224,17908,17908
1475786189,17855,17855
1475787142,17890,17890
1475788105,17895,17895
1475789054,17889,17889
1475790022,17867,17867
1475790990,17902,17902
1475791937,17896,17896
1475792896,17877,17877
1475793858,17876,17876
1475794858,17916,17916
1475795787,17920,17920
1475796748,17878,17878
1475797695,17878,17878
1475798686,17913,17913
1475799624,17914,17914
1475800587,17888,17888
1475801541,17946,17946
1475802516,17960,17960
1475803453,17969,17969
1475804421,17944,17944
1475805398,17983,17983
1475806346,17984,17984
1475807307,17987,17987
1475808265,17959,17959
1475809263,18000,18000
1475810187,18000,18000
1475811144,17965,17965
1475812410,17968,17968
1475813311,18011,18011
1475814265,18010,18010
1475815229,18004,18004
1475816184,18043,18043
1475817153,18054,18054
1475818098,18057,18057
1475819051,18039,18039
1475820077,18084,18084
1475821224,18082,18082
1475822200,18046,18046
1475823137,18051,18051
1475824104,18094,18094
1475825056,18092,18092
1475826013,18104,18104
1475826985,18111,18111
1475827957,18114,18114
1475828904,18117,18117
1475829852,18119,18119
1475830867,18117,18117
1475832026,18118,18118
1475832994,18120,18120
1475833942,18084,18084
1475834910,18131,18131
1475835860,18133,18133
1475836816,18094,18094
1475837794,18094,18094
1475838741,18167,18167
1475839700,18159,18159
1475840650,18112,18112
1475841661,18162,18162
1475842843,18167,18167
1475843815,18176,18176
1475844760,18126,18126
1475845716,18191,18191
1475846666,18194,18194
1475847630,18200,18200
1475848587,18163,18163
1475849552,18207,18207
1475850504,18209,18209
1475851473,18158,18158
1475852473,18155,18155
1475853400,18230,18230
1475854341,18238,18238
1475855321,18221,18221
1475856288,18220,18220
1475857227,18293,18293
1475858186,18300,18300
1475859155,18260,18260
1475860134,18322,18322
1475861064,18325,18325
1475862018,18326,18326
1475863029,18282,18282
1475863956,18395,18395
1475864900,18399,18399
1475865855,18401,18401
1475866874,18369,18369
1475867790,18487,18487
1475868746,18483,18483
1475869720,18436,18436
1475870675,18437,18437
1475871629,18574,18574
1475872599,18573,18573
1475873552,18522,18522
1475874515,18531,18531
1475875462,18638,18638
