DateTime,AddedIPs,RemovedIPs
1475544258,79,79
1475545227,117,117
1475546217,167,138
1475547150,106,112
1475548100,93,87
1475549070,66,65
1475550069,157,135
1475550992,66,67
1475551964,91,91
1475552915,118,116
1475553863,136,109
1475554825,131,129
1475555790,66,66
1475556745,129,128
1475557716,159,145
1475558656,59,59
1475559617,85,85
1475560597,129,127
1475561565,88,88
1475562513,81,80
1475563469,77,77
1475564494,130,155
1475565621,110,118
1475566584,88,87
1475567541,106,100
1475568501,136,160
1475569458,60,56
1475570422,73,77
1475571381,96,129
1475572344,116,116
1475573295,55,58
1475574250,119,121
1475575277,180,186
1475576430,134,136
1475577391,103,100
1475578341,153,157
1475579307,121,163
1475580262,69,69
1475581221,99,102
1475582183,68,67
1475583157,148,161
1475584126,96,95
1475585060,74,74
1475586099,105,106
1475587496,142,145
1475588427,98,98
1475589491,110,114
1475590592,137,112
1475591540,117,124
1475592494,76,69
1475593464,116,123
1475594707,153,171
1475595621,114,113
1475596584,59,60
1475597552,174,156
1475598509,79,78
1475599453,112,112
1475600465,139,139
1475601410,148,176
1475602343,80,80
1475603313,95,87
1475604269,76,84
1475605222,116,160
1475606184,93,96
1475607148,118,115
1475608110,140,143
1475609063,115,132
1475610031,111,111
1475610979,95,95
1475611948,128,128
1475612907,105,125
1475613852,102,102
1475614856,91,92
1475615788,79,78
1475616741,140,146
1475617694,98,98
1475618675,124,124
1475619622,120,121
1475620580,106,115
1475621547,89,89
1475622508,69,69
1475623454,76,76
1475624430,163,166
1475625380,75,76
1475626352,110,109
1475627312,129,125
1475628258,91,91
1475629291,116,116
1475630425,83,83
1475631385,123,118
1475632349,97,97
1475633314,42,42
1475634251,113,115
1475635212,163,174
1475636194,64,66
1475637144,114,112
1475638100,88,84
1475639067,178,178
1475640060,144,160
1475640985,115,96
1475641954,128,150
1475642899,137,166
1475643864,79,81
1475644827,117,114
1475645785,140,134
1475646739,85,85
1475647712,102,101
1475648656,82,84
1475649621,138,138
1475650616,91,95
1475651565,128,126
1475652511,115,117
1475653453,103,98
1475654470,133,132
1475655392,87,87
1475656342,129,129
1475657310,91,125
1475658259,108,108
1475659217,146,147
1475660193,87,88
1475661146,151,161
1475662103,128,127
1475663050,78,78
1475664015,121,120
1475665002,127,116
1475665954,148,148
1475666924,99,101
1475667864,141,145
1475668862,117,115
1475669784,79,79
1475670752,103,103
