DateTime,Entries,UniqueIPs
1475514510,2879,2879
1475515468,2879,2879
1475516427,2897,2897
1475517388,2914,2914
1475518355,2915,2915
1475519307,2935,2935
1475520354,2935,2935
1475521274,2935,2935
1475522189,2936,2936
1475523140,2983,2983
1475524112,2993,2993
1475525069,2993,2993
1475526030,2983,2983
1475526989,3007,3007
1475527953,3007,3007
1475528904,3014,3014
1475529861,3014,3014
1475530827,3027,3027
1475531793,3027,3027
1475532746,3024,3024
1475533707,3025,3025
1475534665,3032,3032
1475535674,3031,3031
1475536584,3031,3031
1475537558,3031,3031
1475538509,3037,3037
1475539471,3040,3040
1475540427,3037,3037
1475541390,3037,3037
1475542348,3047,3047
1475543315,3048,3048
1475544258,3048,3048
1475545227,3048,3048
1475546217,3077,3077
1475547150,3071,3071
1475548100,3077,3077
1475549070,3078,3078
1475550069,3100,3100
1475550992,3099,3099
1475551964,3099,3099
1475552915,3101,3101
1475553863,3128,3128
1475554825,3130,3130
1475555790,3130,3130
1475556745,3131,3131
1475557716,3145,3145
1475558656,3145,3145
1475559617,3145,3145
1475560597,3147,3147
1475561565,3147,3147
1475562513,3148,3148
1475563469,3148,3148
1475564494,3123,3123
1475565621,3115,3115
1475566584,3116,3116
1475567541,3122,3122
1475568501,3098,3098
1475569458,3102,3102
1475570422,3098,3098
1475571381,3065,3065
1475572344,3065,3065
1475573295,3062,3062
1475574250,3060,3060
1475575277,3054,3054
1475576430,3052,3052
1475577391,3055,3055
1475578341,3051,3051
1475579307,3009,3009
1475580262,3009,3009
1475581221,3006,3006
1475582183,3007,3007
1475583157,2994,2994
1475584126,2995,2995
1475585060,2995,2995
1475586099,2994,2994
1475587496,2991,2991
1475588427,2991,2991
1475589491,2987,2987
1475590592,3012,3012
1475591540,3005,3005
1475592494,3012,3012
1475593464,3005,3005
1475594707,2987,2987
1475595621,2988,2988
1475596584,2987,2987
1475597552,3005,3005
1475598509,3006,3006
1475599453,3006,3006
1475600465,3006,3006
1475601410,2978,2978
1475602343,2978,2978
1475603313,2986,2986
