DateTime,AddedIPs,RemovedIPs
1475151879,54,0
1475154755,0,60
1475155699,31,0
1475157674,0,62
1475159542,33,0
1475161461,0,40
1475163383,55,0
1475165300,0,44
1475167225,47,0
1475169137,0,41
1475170116,42,0
1475172062,0,51
1475173943,40,0
1475175860,0,47
1475177782,21,0
1475179701,0,46
1475181628,38,0
1475183541,0,41
1475185456,44,0
1475187637,0,49
1475188582,38,0
1475190504,0,30
1475192427,49,0
1475194343,0,39
1475196256,50,0
1475198181,0,43
1475200103,51,0
1475202024,0,37
1475203958,45,0
1475205854,0,48
1475206833,42,0
1475208748,0,42
1475210663,43,0
1475212585,0,32
1475214515,34,0
1475216426,0,27
1475218355,47,0
1475220251,0,54
1475222190,61,0
1475223141,0,59
1475226059,56,0
1475226990,0,58
1475229865,53,0
1475230824,0,55
1475232753,34,0
1475234648,0,51
1475236612,37,0
1475237547,0,56
1475240455,39,0
1475241411,0,48
1475244263,52,0
1475245242,0,58
1475247147,30,0
1475249070,0,50
1475250998,38,0
1475252921,0,41
1475254880,42,0
1475256009,0,57
1475258904,57,0
1475259854,0,49
1475262757,89,0
1475263698,0,49
1475265671,62,0
1475267550,0,38
1475269747,56,0
1475271622,0,29
1475273538,51,0
1475274508,0,18
1475276456,44,0
1475278355,0,38
1475280271,45,0
1475282179,0,33
1475284103,45,0
1475286032,0,28
1475287949,32,0
1475289852,0,32
1475291791,31,0
1475292750,0,38
1475294662,38,0
1475296577,0,25
1475298512,30,0
1475300408,0,28
1475302352,42,0
1475304259,0,32
1475306197,33,0
1475308112,0,46
1475310029,40,0
1475311944,0,58
1475313854,51,0
1475315798,0,42
1475316739,43,0
1475318656,0,41
1475320597,45,0
1475322502,0,53
1475324440,60,0
1475326351,0,39
1475328261,39,0
1475330177,0,33
1475332108,36,0
1475333061,0,47
1475334999,36,0
1475336909,0,37
1475338823,51,0
1475340741,0,48
1475342663,30,0
1475344582,0,45
1475346513,30,0
1475348468,0,35
1475350585,48,0
1475351539,0,48
1475353447,36,0
1475355389,0,45
1475357302,32,0
1475359256,0,47
1475361156,35,0
1475362095,0,39
1475364988,46,0
1475365949,0,48
1475368822,32,0
1475369792,0,57
1475371698,37,0
1475373687,0,42
1475375553,42,0
1475377458,0,58
1475379386,36,0
1475380344,0,46
1475383225,27,0
1475384191,0,53
1475387055,33,0
1475388066,0,35
1475389947,37,0
1475391857,0,38
1475393782,53,0
1475395714,0,33
1475397622,48,0
1475399542,0,31
1475401450,37,0
1475402462,0,45
1475405304,47,0
1475406258,0,36
1475409140,36,0
1475410360,0,58
1475412256,40,0
1475414433,0,43
1475416352,39,0
1475418251,0,28
1475419221,54,0
1475421135,0,24
1475423059,56,0
1475424985,0,50
1475426908,53,0
1475428829,0,35
1475430984,43,0
1475431951,0,121
1475434881,36,0
1475436758,0,57
1475437705,48,0
1475439634,0,63
1475441550,46,0
1475443459,0,49
1475445395,46,0
1475447309,0,52
1475449278,37,0
1475451148,0,53
1475452122,37,0
1475454994,0,42
1475455946,32,0
1475457866,0,33
1475459787,46,0
1475461946,0,34
1475462901,38,0
