DateTime,Entries,UniqueIPs
1475120902,1953,1980
1475122816,1990,2017
1475124732,1923,1950
1475126651,1948,1975
1475128592,1901,1928
1475130503,1929,1956
1475132478,1890,1916
1475134346,1926,1953
1475135296,1869,1894
1475137223,1904,1929
1475139137,1857,1882
1475141049,1899,1924
1475143016,1852,1877
1475145162,1899,1925
1475147069,1854,1880
1475148983,1886,1912
1475150942,1830,1855
1475151879,1884,1909
1475154755,1829,1849
1475155699,1860,1880
1475157674,1798,1818
1475159542,1829,1851
1475161461,1789,1811
1475163383,1844,1866
1475165300,1800,1822
1475167225,1847,1869
1475169137,1807,1828
1475170116,1849,1870
1475172062,1798,1819
1475173943,1838,1859
1475175860,1795,1812
1475177782,1816,1833
1475179701,1770,1787
1475181628,1808,1825
1475183541,1767,1784
1475185456,1811,1828
1475187637,1762,1779
1475188582,1800,1817
1475190504,1770,1787
1475192427,1817,1836
1475194343,1778,1797
1475196256,1828,1847
1475198181,1785,1804
1475200103,1836,1855
1475202024,1799,1818
1475203958,1844,1863
1475205854,1796,1815
1475206833,1837,1857
1475208748,1796,1815
1475210663,1839,1858
1475212585,1807,1826
1475214515,1839,1860
1475216426,1813,1833
1475218355,1860,1880
1475220251,1806,1826
1475222190,1867,1887
1475223141,1808,1828
1475226059,1863,1884
1475226990,1805,1826
1475229865,1857,1879
1475230824,1802,1824
1475232753,1836,1858
1475234648,1785,1807
1475236612,1822,1844
1475237547,1766,1788
1475240455,1805,1827
1475241411,1758,1779
1475244263,1810,1831
1475245242,1754,1773
1475247147,1783,1803
1475249070,1733,1753
1475250998,1770,1791
1475252921,1730,1750
1475254880,1771,1792
1475256009,1714,1735
1475258904,1771,1792
1475259854,1727,1743
1475262757,1816,1832
1475263698,1767,1783
1475265671,1829,1845
1475267550,1793,1807
1475269747,1849,1863
1475271622,1821,1834
1475273538,1872,1885
1475274508,1854,1867
1475276456,1898,1911
1475278355,1860,1873
1475280271,1905,1918
1475282179,1872,1885
1475284103,1917,1930
1475286032,1889,1902
1475287949,1921,1934
1475289852,1889,1902
1475291791,1919,1933
1475292750,1882,1895
1475294662,1920,1933
1475296577,1897,1908
1475298512,1927,1938
1475300408,1899,1910
1475302352,1941,1952
1475304259,1911,1920
1475306197,1944,1953
1475308112,1901,1907
1475310029,1941,1947
1475311944,1883,1889
1475313854,1934,1940
1475315798,1892,1898
1475316739,1934,1941
1475318656,1893,1900
1475320597,1938,1945
1475322502,1885,1892
1475324440,1945,1952
1475326351,1906,1913
1475328261,1945,1952
1475330177,1912,1919
1475332108,1948,1955
1475333061,1901,1908
1475334999,1937,1944
1475336909,1900,1907
1475338823,1951,1958
1475340741,1903,1910
1475342663,1933,1940
1475344582,1888,1895
1475346513,1917,1925
1475348468,1882,1890
1475350585,1930,1938
1475351539,1883,1890
1475353447,1919,1926
1475355389,1874,1881
1475357302,1906,1913
1475359256,1859,1866
1475361156,1894,1901
1475362095,1855,1862
1475364988,1901,1908
1475365949,1853,1860
1475368822,1884,1892
1475369792,1827,1835
1475371698,1864,1872
1475373687,1822,1830
1475375553,1864,1872
1475377458,1807,1814
1475379386,1843,1850
1475380344,1798,1804
1475383225,1825,1831
1475384191,1773,1778
1475387055,1806,1811
1475388066,1771,1776
1475389947,1807,1813
1475391857,1769,1775
1475393782,1822,1828
1475395714,1789,1795
1475397622,1837,1843
1475399542,1806,1812
1475401450,1843,1849
1475402462,1799,1804
1475405304,1846,1851
1475406258,1810,1815
1475409140,1846,1851
1475410360,1789,1793
1475412256,1829,1833
1475414433,1786,1790
1475416352,1824,1829
1475418251,1796,1801
1475419221,1850,1855
1475421135,1826,1831
1475423059,1882,1887
1475424985,1832,1837
1475426908,1884,1890
1475428829,1849,1855
1475430984,1892,1898
1475431951,1773,1777
1475434881,1808,1813
1475436758,1751,1756
1475437705,1799,1804
1475439634,1736,1741
1475441550,1782,1787
1475443459,1733,1738
1475445395,1779,1784
1475447309,1727,1732
1475449278,1763,1769
1475451148,1710,1716
1475452122,1747,1753
1475454994,1705,1711
1475455946,1736,1743
1475457866,1703,1710
1475459787,1749,1756
1475461946,1715,1722
1475462901,1752,1760
1475465786,1714,1722
1475466743,1751,1759
1475468657,1718,1726
1475470580,1751,1759
1475473447,1719,1727
1475475674,1727,1735
1475476606,1748,1756
1475478539,1777,1785
1475479454,1739,1747
1475481382,1758,1766
1475482344,1782,1790
1475483295,1764,1772
1475487155,1779,1788
1475489054,1815,1824
1475490973,1770,1778
1475491943,1805,1815
1475493851,1830,1841
1475494817,1827,1838
1475497700,1866,1881
1475498664,1845,1864
1475500579,1870,1893
1475502497,1865,1888
1475504674,1841,1864
1475505622,1882,1906
1475507846,1902,1926
1475508749,1866,1889
1475511626,1904,1927
1475512606,1865,1887
1475513545,1883,1905
1475516424,1920,1942
1475517386,1910,1932
1475519304,1954,1976
1475520352,1921,1943
1475523138,2009,2033
1475524109,1969,1993
1475526986,2027,2051
1475527950,1988,2012
1475528901,1995,2019
1475530823,2008,2032
1475532743,2018,2042
1475534662,2033,2058
1475537554,1997,2022
1475538506,2051,2077
1475539469,2062,2088
1475542346,2089,2115
1475544255,2096,2122
1475546215,2114,2141
1475549067,2070,2097
1475550066,2122,2149
1475552909,2081,2108
1475553859,2140,2167
1475554822,2143,2170
1475556742,2105,2132
1475557714,2159,2189
1475560593,2150,2181
1475562510,2127,2158
1475564490,2142,2172
1475565614,2143,2173
1475567539,2123,2153
1475568497,2141,2171
1475571378,2175,2205
1475572341,2155,2185
1475573292,2137,2167
1475575274,2168,2198
1475576427,2144,2174
1475577388,2116,2146
1475579303,2144,2175
1475580259,2122,2153
1475581219,2131,2162
1475583155,2122,2153
