DateTime,AddedIPs,RemovedIPs
1475519307,0,36
1475520354,6,147
1475521274,13,34
1475522189,9,0
1475523140,6,43
1475524112,2,102
1475525069,8,57
1475526030,13,28
1475526989,7,0
1475527953,3,122
1475528904,3,0
1475529861,2,49
1475530827,8,46
1475531793,5,62
1475532746,0,32
1475533707,4,48
1475534665,5,66
1475535674,6,30
1475536584,3,62
1475537558,8,27
1475538509,2,82
1475539471,6,43
1475540427,5,43
1475541390,4,53
1475542348,4,67
1475543315,8,44
1475544258,0,76
1475545227,8,46
1475546217,3,65
1475547150,5,62
1475548100,4,43
1475549070,2,66
1475550069,14,42
1475550992,2,46
1475551964,7,56
1475552915,8,54
1475553863,6,52
1475554825,12,53
1475555790,5,42
1475556745,6,97
1475557716,9,27
1475558656,4,55
1475559617,3,22
1475560597,6,74
1475561565,2,49
1475562513,3,43
1475563469,5,30
1475564494,5,91
1475565621,4,46
1475566584,7,36
1475567541,11,100
1475568501,2,50
1475569458,4,49
1475570422,4,22
1475571381,3,101
1475572344,4,77
1475573295,5,49
1475574250,9,93
1475575277,10,33
1475576430,11,49
1475577391,7,78
1475578341,16,63
1475579307,9,56
1475580262,9,45
1475581221,6,46
1475582183,3,86
1475583157,14,37
1475584126,9,30
1475585060,8,39
1475586099,4,136
1475587496,9,103
1475588427,21,98
1475589491,6,53
1475590592,10,44
1475591540,15,48
1475592494,3,73
1475593464,8,24
1475594707,5,55
1475595621,8,29
1475596584,2,83
1475597552,5,56
1475598509,3,41
1475599453,3,93
1475600465,11,26
1475601410,3,32
1475602343,0,62
1475603313,2,16
1475604269,2,113
1475605222,5,35
1475606184,1,21
1475607148,3,98
1475608110,6,40
1475609063,6,54
1475610031,9,54
1475610979,6,109
1475611948,3,72
1475612907,0,41
1475613852,1,79
1475614856,2,50
1475615788,3,17
1475616741,5,71
1475617694,6,40
1475618675,6,114
1475619622,8,48
1475620580,3,54
1475621547,8,88
1475622508,4,45
1475623454,4,59
1475624430,8,30
1475625380,8,89
1475626352,10,85
1475627312,12,51
1475628258,8,100
1475629291,3,62
1475630425,7,46
1475631385,5,118
1475632349,15,71
1475633314,0,100
1475634251,8,61
1475635212,11,43
1475636194,5,86
1475637144,5,40
1475638100,5,71
1475639067,6,30
1475640060,11,76
1475640985,5,75
1475641954,3,74
1475642899,5,71
1475643864,0,91
1475644827,5,50
1475645785,7,70
1475646739,3,98
1475647712,6,71
1475648656,3,38
1475649621,3,69
1475650616,2,92
1475651565,3,49
1475652511,2,51
1475653453,3,33
1475654470,9,106
1475655392,2,50
1475656342,3,21
1475657310,4,110
1475658259,6,50
1475659217,12,93
1475660193,8,69
1475661146,7,89
1475662103,4,23
1475663050,6,0
1475664015,4,0
1475665002,7,0
1475665954,7,48
1475666924,2,53
1475667864,4,123
1475668862,5,0
1475669784,3,130
1475670752,4,80
1475671704,2,0
1475672661,5,197
1475673872,3,63
1475674822,1,97
1475675784,4,76
1475677003,2,59
1475677945,7,84
1475678904,3,69
1475679896,5,97
1475680814,8,99
1475681839,5,86
1475682747,8,94
1475683709,6,80
1475684657,5,112
1475685620,6,82
1475686583,4,98
1475687548,8,96
1475688506,9,58
1475689460,2,77
1475690478,10,87
1475691641,7,47
1475692583,4,59
1475693557,4,51
1475694506,5,97
1475695460,8,82
1475696417,4,43
1475697397,1,108
1475698344,6,44
1475699310,9,84
1475700260,12,68
1475701274,9,73
1475702195,4,80
1475703157,15,42
1475704109,3,66
1475705071,1,117
1475706021,5,41
1475706996,3,59
1475707940,5,27
1475708916,3,130
1475709869,3,91
1475710833,10,77
1475711784,4,119
1475712865,6,10
1475713945,5,79
1475714906,1,73
1475715863,3,19
1475716816,5,89
1475717781,4,45
1475718742,11,46
1475719712,4,128
1475720653,5,116
1475721615,7,60
1475722593,3,209
1475723546,5,0
1475724507,4,52
1475725450,7,64
1475726462,3,108
1475727389,3,34
1475728343,8,64
1475729306,7,66
1475730266,3,153
1475731219,6,0
1475732179,5,51
1475733153,6,168
1475734105,9,0
1475735051,4,48
1475736020,5,93
1475736993,4,145
1475737946,4,0
1475738914,1,99
1475739854,4,0
1475740856,9,98
1475741812,2,101
1475742743,3,0
1475743686,2,34
1475744665,2,143
1475745621,7,0
1475746586,1,131
1475747584,2,117
1475748505,3,0
1475749453,7,42
1475750426,7,65
1475751389,1,101
1475752345,5,0
1475753311,8,28
1475754255,9,70
1475755259,13,91
1475756192,8,127
1475757143,9,36
1475758095,3,72
1475759063,12,121
1475760019,7,38
1475760981,6,67
1475761947,3,32
1475762904,6,109
1475763858,5,80
1475764822,4,47
1475765795,3,107
1475766750,11,46
1475767706,4,64
1475768754,6,36
1475769660,13,40
1475770588,7,142
1475771556,6,42
1475772502,7,91
1475773457,8,92
1475774423,4,44
1475775381,6,75
1475776340,14,39
1475777314,8,90
1475778511,4,107
1475779460,7,91
1475780463,8,0
1475781386,6,35
1475782353,10,133
1475783307,8,0
1475784268,3,57
1475785224,5,61
1475786189,2,56
1475787142,5,53
1475788105,10,129
1475789054,1,0
1475790022,7,86
1475790990,2,168
1475791937,5,0
1475792896,9,73
1475793858,2,152
1475794858,5,0
1475795787,5,44
1475796748,8,59
1475797695,4,45
1475798686,9,151
1475799624,5,0
1475800587,7,42
1475801541,9,31
1475802516,10,64
1475803453,11,66
1475804421,3,111
1475805398,3,69
1475806346,6,81
1475807307,7,95
1475808265,7,51
1475809263,3,94
1475810187,2,77
1475811144,5,42
1475812410,4,126
1475813311,4,39
1475814265,5,86
1475815229,15,0
1475816184,2,139
1475817153,11,0
1475818098,7,58
1475819051,10,54
1475820077,11,78
1475821224,4,122
1475822200,7,24
1475823137,5,37
1475824104,9,55
1475825056,8,52
1475826013,7,80
1475826985,5,38
1475827957,8,122
1475828904,6,33
1475829852,3,60
1475830867,4,59
1475832026,9,103
1475832994,8,67
1475833942,11,97
1475834910,8,84
1475835860,6,54
1475836816,8,72
1475837794,7,64
1475838741,6,55
1475839700,5,70
1475840650,8,43
1475841661,6,105
1475842843,14,71
1475843815,5,58
1475844760,4,103
1475845716,7,71
1475846666,5,76
1475847630,7,47
1475848587,5,145
1475849552,3,103
1475850504,6,52
1475851473,7,102
1475852473,5,94
1475853400,8,54
1475854341,16,83
1475855321,12,37
1475856288,10,123
1475857227,13,68
1475858186,7,58
1475859155,10,115
1475860134,13,61
1475861064,3,85
1475862018,6,80
1475863029,4,86
1475863956,10,87
1475864900,7,47
1475865855,7,75
1475866874,6,125
1475867790,3,73
1475868746,5,84
1475869720,3,44
1475870675,5,141
1475871629,6,62
1475872599,3,80
1475873552,8,88
1475874515,8,54
1475875462,3,88
1475876424,8,79
1475877384,2,65
1475878361,3,60
1475879304,6,58
1475880257,6,94
1475881277,9,72
1475882190,10,78
1475883149,7,120
1475884125,4,37
1475885066,6,113
1475886111,3,91
1475887229,8,61
1475888176,5,93
1475889141,6,117
1475890108,6,96
1475891050,3,65
1475892071,5,77
1475892989,9,63
1475893946,8,87
1475894899,9,43
1475895863,4,93
1475896818,7,99
1475897775,3,52
1475898748,2,95
1475899780,6,75
1475900895,4,41
1475901857,3,39
1475902861,4,18
1475903782,7,39
1475904789,7,56
1475905702,4,87
1475906664,3,102
1475907638,7,74
1475908592,3,83
1475909546,4,98
1475910518,11,91
1475911453,7,115
1475912418,6,94
1475913395,5,43
1475914352,5,85
1475915300,8,35
1475916260,2,55
1475917265,2,77
1475918184,7,80
1475919146,6,53
1475920103,5,67
1475921065,3,0
1475922026,7,83
1475922993,3,0
1475923947,10,0
1475924916,8,0
1475925860,1,0
1475926822,2,0
1475927787,2,0
