DateTime,AddedIPs,RemovedIPs
1475550069,106,106
1475550992,64,64
1475551964,91,91
1475552915,115,115
1475553863,78,78
1475554825,129,129
1475555790,66,66
1475556745,129,129
1475557716,103,103
1475558656,59,59
1475559617,85,85
1475560597,83,83
1475561565,88,88
1475562513,79,79
1475563469,77,77
1475564494,96,96
1475565621,110,110
1475566584,88,88
1475567541,99,99
1475568501,92,92
1475569458,53,53
1475570422,70,70
1475571381,63,63
1475572344,116,116
1475573295,51,51
1475574250,121,121
1475575277,129,129
1475576430,136,136
1475577391,102,102
1475578341,156,156
1475579307,91,91
1475580262,69,69
1475581221,92,92
1475582183,58,58
1475583157,100,100
1475584126,92,92
1475585060,74,74
1475586099,107,107
1475587496,104,104
1475588427,98,98
1475589491,106,106
1475590592,69,69
1475591540,112,112
1475592494,64,64
1475593464,111,111
1475594707,103,103
1475595621,116,116
1475596584,62,62
1475597552,119,119
1475598509,79,79
1475599453,113,113
1475600465,140,140
1475601410,89,89
1475602343,81,81
1475603313,84,84
1475604269,73,73
1475605222,86,86
1475606184,89,89
1475607148,111,111
1475608110,135,135
1475609063,64,64
1475610031,111,111
1475610979,96,96
1475611948,129,129
1475612907,58,58
1475613852,102,102
1475614856,93,93
1475615788,80,80
1475616741,101,101
1475617694,98,98
1475618675,124,124
1475619622,121,121
1475620580,73,73
1475621547,89,89
1475622508,69,69
1475623454,76,76
1475624430,112,112
1475625380,70,70
1475626352,104,104
1475627312,83,83
1475628258,91,91
1475629291,116,116
1475630425,74,74
1475631385,86,86
1475632349,97,97
1475633314,42,42
1475634251,115,115
1475635212,129,129
1475636194,66,66
1475637144,114,114
1475638100,82,82
1475639067,148,148
1475640060,141,141
1475640985,93,93
1475641954,128,128
1475642899,104,104
1475643864,73,73
1475644827,117,117
1475645785,99,99
1475646739,85,85
1475647712,99,99
1475648656,84,84
1475649621,138,138
1475650616,56,56
1475651565,128,128
1475652511,117,117
1475653453,73,73
1475654470,133,133
1475655392,87,87
1475656342,129,129
1475657310,58,58
1475658259,108,108
1475659217,147,147
1475660193,82,82
1475661146,120,120
1475662103,124,124
1475663050,78,78
1475664015,121,121
1475665002,79,79
1475665954,148,148
1475666924,89,89
1475667864,95,95
1475668862,110,110
1475669784,79,79
1475670752,103,103
1475671704,111,111
1475672661,84,84
1475673872,101,101
1475674822,107,107
1475675784,60,60
1475677003,129,129
1475677945,101,101
1475678904,65,65
1475679896,121,121
1475680814,113,113
1475681839,68,68
1475682747,102,102
1475683709,115,115
1475684657,94,94
1475685620,111,111
1475686583,91,91
1475687548,112,112
1475688506,102,102
1475689460,76,76
1475690478,135,135
1475691641,115,115
1475692583,69,69
1475693557,91,91
1475694506,114,114
1475695460,91,91
1475696417,86,86
1475697397,65,65
1475698344,106,106
1475699310,115,115
1475700260,68,68
1475701274,89,89
1475702195,93,93
1475703157,165,165
1475704109,116,116
1475705071,76,76
1475706021,141,141
1475706996,91,91
1475707940,124,124
1475708916,102,102
1475709869,63,63
1475710833,99,99
1475711784,49,49
1475712865,93,93
1475713945,152,152
1475714906,92,92
1475715863,57,57
1475716816,142,142
1475717781,107,107
1475718742,156,156
1475719712,112,112
1475720653,95,95
1475721615,128,128
1475722593,89,89
1475723546,95,95
1475724507,113,113
1475725450,85,85
1475726462,89,89
1475727389,90,90
1475728343,119,119
1475729306,93,93
1475730266,94,94
1475731219,107,107
1475732179,85,85
1475733153,108,108
1475734105,89,89
1475735051,80,80
1475736020,112,112
1475736993,50,50
1475737946,98,98
1475738914,98,98
1475739854,96,96
1475740856,100,100
1475741812,80,80
1475742743,103,103
1475743686,46,46
1475744665,108,108
1475745621,115,115
1475746586,71,71
1475747584,105,105
1475748505,54,54
1475749453,115,115
1475750426,128,128
1475751389,58,58
1475752345,106,106
1475753311,96,96
1475754255,102,102
1475755259,91,91
1475756192,109,109
1475757143,107,107
1475758095,75,75
1475759063,85,85
1475760019,102,102
1475760981,69,69
1475761947,95,95
1475762904,75,75
1475763858,62,62
1475764822,97,97
1475765795,53,53
1475766750,109,109
1475767706,66,66
1475768754,80,80
1475769660,98,98
1475770588,56,56
1475771556,80,80
1475772502,70,70
