DateTime,Entries,UniqueIPs
1474185621,325,325
1474192822,324,324
1474196422,323,323
1474200021,325,325
1474203622,324,324
1474207226,326,326
1474210821,325,325
1474214421,323,323
1474221622,323,323
1474225223,322,322
1474228823,322,322
1474236021,322,322
1474239622,321,321
1474243224,322,322
1474246826,323,323
1474250420,325,325
1474254024,325,325
1474264821,326,326
1474272022,327,327
1474279221,326,326
1474282822,324,324
1474286423,323,323
1474290022,322,322
1474293621,321,321
1474300824,322,322
1474304423,323,323
1474308021,319,319
1474311621,317,317
1474315222,315,315
1474318821,314,314
1474322423,314,314
1474326021,313,313
1474336822,313,313
1474344021,311,311
1474347619,297,297
1474351221,296,296
1474354823,296,296
1474358420,295,295
1474362022,295,295
1474372820,294,294
1474376419,291,291
1474380021,290,290
1474383619,290,290
1474387221,289,289
1474390821,289,289
1474408822,291,291
1474412424,293,293
1474416018,293,293
1474419617,291,291
1474426824,292,292
1474434017,293,293
1474437620,295,295
1474444820,295,295
1474452018,295,295
1474455618,296,296
1474459226,296,296
1474466419,299,299
1474484420,302,302
1474495221,302,302
1474498820,303,303
1474502421,302,302
1474506043,304,304
1474509622,307,307
1474513221,306,306
1474516821,306,306
1474520421,307,307
1474524024,308,308
1474527622,309,309
1474531220,308,308
1474534820,307,307
1474538426,307,307
1474542022,309,309
1474545622,308,308
1474549220,307,307
1474552819,305,305
1474556424,303,303
1474560024,303,303
1474563621,302,302
1474567222,301,301
1474578020,300,300
1474581619,300,300
1474585219,297,297
1474588821,296,296
1474596020,297,297
1474599620,297,297
1474603219,296,296
1474606822,297,297
1474610424,299,299
1474614020,297,297
1474617619,300,300
1474621221,301,301
1474624820,300,300
1474628421,301,301
1474632022,304,304
1474635619,306,306
1474639222,307,307
1474646421,306,306
1474650020,308,308
1474653622,306,306
1474657222,306,306
1474660822,308,308
1474664419,307,307
1474668020,308,308
1474671621,309,309
1474675221,308,308
1474682420,308,308
1474686020,308,308
1474689622,309,309
1474693220,307,307
1474700419,306,306
1474704021,309,309
1474711220,307,307
1474714821,306,306
1474725622,305,305
1474729219,305,305
1474732820,306,306
1474736420,306,306
1474740022,308,308
1474743622,307,307
1474750820,304,304
1474754421,304,304
1474758021,305,305
1474761630,304,304
1474765218,302,302
1474772418,302,302
1474776020,303,303
1474779625,303,303
1474790418,302,302
1474794023,304,304
1474797621,303,303
1474801218,303,303
1474808421,298,298
1474815620,300,300
1474819218,298,298
1474822821,296,296
1474826422,294,294
1474830023,295,295
1474833617,294,294
1474840822,295,295
1474844421,294,294
1474848022,295,295
1474851624,296,296
1474855219,296,296
1474862420,298,298
1474866019,296,296
1474869619,297,297
1474873222,311,311
1474880045,313,313
1474885054,314,314
1474894828,312,312
1474898419,314,314
1474902019,315,315
1474905618,314,314
1474909226,314,314
1474912823,315,315
1474916419,316,316
1474920032,315,315
1474923620,315,315
1474930823,319,319
1474934423,320,320
1474938021,320,320
1474941624,319,319
1474945225,321,321
1474952418,320,320
1474959625,321,321
1474963222,321,321
1474970421,322,322
1474974023,324,324
1474981220,325,325
1474984820,324,324
1474988421,324,324
1474992024,327,327
1474999220,329,329
1475006425,332,332
1475010024,334,334
1475013623,335,335
1475017221,337,337
1475020826,340,340
1475024426,339,339
1475028025,340,340
1475031621,340,340
1475035221,340,340
1475038824,342,342
1475042422,340,340
1475049622,342,342
1475053222,343,343
1475064023,342,342
1475067622,343,343
1475071223,344,344
1475074824,342,342
1475078424,343,343
1475082022,344,344
1475085623,346,346
1475089223,346,346
1475092824,345,345
1475096422,344,344
1475100023,344,344
1475103624,344,344
1475107223,342,342
1475110824,341,341
1475114422,341,341
1475118022,340,340
1475121625,339,339
1475125223,339,339
1475128824,338,338
1475132421,337,337
1475136022,338,338
1475139623,339,339
1475146823,340,340
1475157624,340,340
1475161222,341,341
1475168424,342,342
1475172025,343,343
1475175633,343,343
1475179224,342,342
1475182837,341,341
1475186434,354,354
1475190024,356,356
1475193624,358,358
1475200835,359,359
1475204425,360,360
1475215222,359,359
1475218827,358,358
1475222425,355,355
1475226023,356,356
1475231367,357,357
1475248582,356,356
1475254872,357,357
1475258431,358,358
1475262026,358,358
1475265621,358,358
1475269233,360,360
1475272834,359,359
1475276425,362,362
1475280026,363,363
1475283621,367,367
1475287223,369,369
1475294424,371,371
1475298021,370,370
1475301622,368,368
1475305227,367,367
1475312670,365,365
1475322362,365,365
1475326868,364,364
1475330427,365,365
1475334021,367,367
1475337621,367,367
1475341221,368,368
1475344831,366,366
1475352021,365,365
1475355622,366,366
1475359229,367,367
1475362827,368,368
1475366434,368,368
1475370037,368,368
1475373634,368,368
1475377236,368,368
1475380835,367,367
1475384422,367,367
1475388023,366,366
1475391625,365,365
1475398823,364,364
1475402422,364,364
1475406023,366,366
1475409636,365,365
1475413225,365,365
1475416823,367,367
1475420421,364,364
1475427626,362,362
1475431225,363,363
1475434823,362,362
1475442025,363,363
1475445630,367,367
1475449225,370,370
1475452823,371,371
1475456426,371,371
1475460026,371,371
1475463624,370,370
1475470823,368,368
1475474425,367,367
1475478024,365,365
1475481623,353,353
1475485221,353,353
1475488823,350,350
1475492425,347,347
1475496023,348,348
1475499622,350,350
1475503222,348,348
1475514024,347,347
1475517624,347,347
1475528426,347,347
1475532025,353,353
1475535623,354,354
1475539226,354,354
1475542830,353,353
1475546425,353,353
1475550025,352,352
1475557225,353,353
1475560824,354,354
1475564425,355,355
1475570118,354,354
1475576393,356,356
1475586931,352,352
1475589634,348,348
1475593222,346,346
1475596821,347,347
1475600420,346,346
1475604021,345,345
1475611220,343,343
1475618420,344,344
1475622020,343,343
1475625620,340,340
1475629220,341,341
1475632819,340,340
1475636420,339,339
1475640019,340,340
1475643620,339,339
1475647220,340,340
1475650819,341,341
1475654420,341,341
1475658019,340,340
1475665219,342,342
1475672420,341,341
1475676020,341,341
1475679620,341,341
1475683220,340,340
1475686820,339,339
1475690420,339,339
1475694019,337,337
1475697619,339,339
1475701220,343,343
1475708419,345,345
1475712021,348,348
1475715620,348,348
1475726421,348,348
1475730020,349,349
1475733621,348,348
1475737220,348,348
1475740820,348,348
1475744420,347,347
1475748020,345,345
1475751620,344,344
1475755220,345,345
1475758820,346,346
1475762420,348,348
1475766021,358,358
1475769621,366,366
1475773221,371,371
1475776821,372,372
1475780421,376,376
1475787622,375,375
1475791221,371,371
1475794820,362,362
1475798421,362,362
1475802022,361,361
1475805620,359,359
1475809220,358,358
1475812821,357,357
1475816420,355,355
1475820021,357,357
1475823622,358,358
1475827220,359,359
1475830822,359,359
1475834422,358,358
1475838020,359,359
1475841621,358,358
1475845221,358,358
1475848821,359,359
1475852421,362,362
1475859621,363,363
