DateTime,AddedIPs,RemovedIPs
1474196467,10,4
1474200066,6,6
1474203666,9,5
1474207268,11,2
1474210867,7,3
1474214468,5,3
1474218068,11,6
1474221668,3,3
1474225268,7,6
1474228869,5,5
1474232469,5,3
1474236067,6,3
1474239668,9,3
1474243269,6,5
1474246873,2,6
1474250470,5,3
1474254067,4,5
1474257669,3,2
1474264867,9,15
1474268468,3,8
1474272068,9,4
1474275668,8,10
1474279267,6,7
1474282868,4,3
1474286468,5,6
1474290069,3,3
1474293667,2,6
1474297268,9,8
1474300868,15,9
1474304468,9,5
1474308067,4,5
1474311668,13,3
1474315270,11,3
1474318869,4,4
1474322469,3,2
1474326070,14,2
1474329670,4,4
1474333270,9,3
1474336870,11,6
1474340471,13,2
1474344072,16,5
1474347675,11,4
1474351272,10,6
1474354875,16,5
1474358476,4,3
1474362074,11,3
1474365673,5,4
1474369284,10,3
1474372874,6,5
1474376473,2,2
1474380079,4,3
1474383675,2,6
1474387275,8,6
1474390874,8,8
1474394500,10,5
1474398071,4,4
1474401670,8,3
1474405271,7,3
1474408883,7,1
1474412477,5,3
1474416074,7,2
1474419671,4,7
1474423278,7,7
1474426882,9,4
1474430471,4,6
1474434071,4,3
1474437674,4,4
1474441286,6,3
1474444877,15,5
1474448473,9,2
1474452074,2,7
1474455681,5,4
1474459278,3,4
1474462873,14,5
1474466473,4,5
1474470079,8,5
1474473681,3,4
1474477275,7,4
1474480880,5,4
1474484477,2,2
1474488084,4,2
1474491678,3,5
1474495273,1,3
1474498875,1,3
1474502481,9,4
1474506095,3,2
1474509674,0,7
1474513274,2,5
1474516880,2,7
1474520478,2,6
1474524075,4,3
1474527673,4,5
1474531276,3,2
1474534879,2,3
1474538477,1,1
1474542073,2,1
1474545675,2,8
1474549281,2,2
1474552876,3,6
1474556484,3,3
1474560073,2,4
1474563681,5,2
1474567283,4,3
1474570876,1,3
1474574474,5,4
1474578076,7,3
1474581677,3,4
1474585276,2,3
1474588874,7,3
1474592475,6,3
1474596078,2,6
1474599678,6,4
1474603274,8,2
1474606875,6,4
1474610478,7,1
1474614078,1,3
1474617677,32,3
1474621277,4,5
1474624878,7,4
1474628478,4,5
1474632078,8,4
1474635677,4,4
1474639278,7,3
1474642879,6,2
1474646481,3,3
1474650077,4,4
1474653680,4,4
1474657281,4,4
1474660880,4,1
1474664481,4,1
1474668078,2,3
1474671680,4,0
1474675281,3,3
1474678880,0,3
1474682478,4,6
1474686079,2,6
1474689679,2,3
1474693279,2,2
1474696878,2,4
1474700479,4,5
1474704079,2,8
1474707679,7,7
1474711278,3,0
1474714879,5,3
1474718479,3,6
1474722078,5,6
1474725679,4,4
1474729279,7,1
1474732879,6,4
1474736479,3,2
1474740081,12,6
1474743680,7,2
1474747280,6,4
1474750880,5,3
1474754482,5,2
1474758081,7,4
1474761708,3,1
1474765275,3,4
1474768876,11,4
1474772477,7,2
1474776090,1,2
1474779682,3,6
1474783276,1,10
1474786877,5,5
1474790482,4,7
1474794088,4,4
1474797675,2,10
1474801275,3,7
1474804878,4,4
1474808486,3,7
1474812078,3,12
1474815675,3,8
1474819275,3,4
1474822883,2,7
1474826481,6,5
1474830075,2,3
1474833674,7,7
1474837280,4,6
1474840901,6,3
1474844476,2,6
1474848078,5,2
1474851680,7,6
1474855281,7,4
1474858878,5,6
1474862474,5,4
1474866077,3,4
1474869682,6,5
1474873279,7,6
1474878835,1,10
1474893072,6,7
1474894889,23,15
1474898477,2,5
1474902075,4,8
1474905674,7,2
1474909296,6,3
1474912876,7,4
1474916474,5,9
1474920100,6,8
1474923687,6,6
1474927282,4,3
1474930874,3,19
1474934475,1,7
1474938081,4,10
1474941682,6,12
1474945273,0,19
1474948871,5,21
1474952471,0,13
1474956080,5,13
1474959673,3,14
1474963269,3,4
1474966871,2,11
1474970475,6,11
1474974075,6,13
1474977668,1,12
1474981268,6,2
1474984874,7,9
1474988476,6,5
1474992069,3,9
1474995667,4,8
1474999270,8,11
1475002875,7,5
1475006472,2,4
1475010068,2,15
1475013668,1,8
1475017272,2,4
1475020873,4,8
1475024468,3,7
1475028067,3,10
1475031670,6,11
1475035270,3,4
1475038866,2,11
1475042465,2,5
1475046068,3,7
1475049670,5,13
1475053266,5,10
1475056865,2,10
1475060464,2,14
1475064067,2,9
1475067665,4,8
1475071263,4,7
1475074866,6,6
1475078467,3,6
1475082066,5,3
1475085663,2,5
1475089264,7,2
1475092865,4,3
1475096466,7,3
1475100065,4,2
1475103664,3,1
1475107267,5,3
1475110871,2,4
1475114468,16,1
1475118070,3,1
1475121666,6,1
1475125269,0,2
1475128868,7,4
1475132465,7,5
1475136066,7,5
1475139666,3,2
1475143269,3,1
1475146866,3,4
1475150465,4,3
1475154067,3,2
1475157669,4,4
1475161268,5,4
1475164867,3,0
1475168471,8,4
1475172069,10,3
1475175685,5,1
1475179271,4,3
1475182893,8,4
1475186491,4,3
1475190073,3,6
1475193669,6,6
1475197267,4,7
1475200887,2,1
1475204470,6,2
1475208068,4,7
1475211668,4,3
1475215269,7,9
1475218869,5,3
1475222469,4,3
1475226068,8,6
1475242270,7,4
1475254910,17,22
1475258480,26,19
1475262066,3,3
1475265666,7,2
1475269289,2,4
1475272887,6,7
1475276467,6,3
1475280066,5,4
1475283666,5,3
1475287278,4,7
1475290870,2,2
1475294467,9,3
1475298067,10,3
1475301673,9,1
1475305276,6,3
1475311390,8,4
1475315955,9,5
1475326886,7,1
1475330482,45,14
1475334071,8,5
1475337671,10,7
1475341272,7,8
1475344888,7,9
1475348471,10,7
1475352069,4,6
1475355672,15,3
1475359281,5,6
1475362876,12,4
1475366489,9,6
1475370093,10,4
1475373702,8,1
1475377304,7,5
1475380893,3,1
1475384473,5,2
1475388076,6,4
1475391683,4,2
1475395280,4,5
1475398877,5,4
1475402477,3,1
1475406081,11,3
1475409684,6,2
1475413277,9,2
1475416874,4,5
1475420480,4,1
1475424081,8,4
1475427677,2,3
1475431278,5,6
1475434879,4,7
1475438480,2,2
1475442077,6,3
1475445675,6,7
1475449279,2,2
1475452883,3,3
1475456480,3,4
1475460078,4,3
1475463675,5,3
1475467281,7,4
1475470880,2,3
1475474479,6,7
1475478078,4,5
1475481679,4,4
1475485280,9,6
1475488879,1,5
1475492477,5,9
1475496077,4,6
1475499680,1,6
1475503281,5,5
1475506877,11,5
1475510480,3,4
1475514084,4,7
1475517685,9,6
1475521282,8,3
1475524879,6,4
1475528483,8,9
1475532088,5,1
1475535681,5,2
1475539283,7,3
1475542885,10,6
1475546491,8,4
1475550086,9,1
1475553680,8,3
1475557282,8,1
1475560882,6,6
1475564482,7,5
1475578238,7,1
1475589690,27,24
1475593278,9,9
1475596878,4,5
1475600477,3,3
1475604079,4,4
1475607680,8,8
1475611276,6,5
1475614878,4,2
1475618480,3,7
1475622077,2,1
1475625679,6,4
