DateTime,Entries,UniqueIPs
1474185665,1014,1014
1474189266,1019,1019
1474192866,1021,1021
1474196467,1027,1027
1474200066,1027,1027
1474203666,1031,1031
1474207268,1040,1040
1474210867,1044,1044
1474214468,1046,1046
1474218068,1051,1051
1474221668,1051,1051
1474225268,1052,1052
1474228869,1052,1052
1474232469,1054,1054
1474236067,1057,1057
1474239668,1063,1063
1474243269,1064,1064
1474246873,1060,1060
1474250470,1062,1062
1474254067,1061,1061
1474257669,1062,1062
1474264867,1056,1056
1474268468,1051,1051
1474272068,1056,1056
1474275668,1054,1054
1474279267,1053,1053
1474282868,1054,1054
1474286468,1053,1053
1474290069,1053,1053
1474293667,1049,1049
1474297268,1050,1050
1474300868,1056,1056
1474304468,1060,1060
1474308067,1059,1059
1474311668,1069,1069
1474315270,1077,1077
1474318869,1077,1077
1474322469,1078,1078
1474326070,1090,1090
1474329670,1090,1090
1474333270,1096,1096
1474336870,1101,1101
1474340471,1112,1112
1474344072,1123,1123
1474347675,1130,1130
1474351272,1134,1134
1474354875,1145,1145
1474358476,1146,1146
1474362074,1154,1154
1474365673,1155,1155
1474369284,1162,1162
1474372874,1163,1163
1474376473,1163,1163
1474380079,1164,1164
1474383675,1160,1160
1474387275,1162,1162
1474390874,1162,1162
1474394500,1167,1167
1474398071,1167,1167
1474401670,1172,1172
1474405271,1176,1176
1474408883,1182,1182
1474412477,1184,1184
1474416074,1189,1189
1474419671,1186,1186
1474423278,1186,1186
1474426882,1191,1191
1474430471,1189,1189
1474434071,1190,1190
1474437674,1190,1190
1474441286,1193,1193
1474444877,1203,1203
1474448473,1210,1210
1474452074,1205,1205
1474455681,1206,1206
1474459278,1205,1205
1474462873,1214,1214
1474466473,1213,1213
1474470079,1216,1216
1474473681,1215,1215
1474477275,1218,1218
1474480880,1219,1219
1474484477,1219,1219
1474488084,1221,1221
1474491678,1219,1219
1474495273,1217,1217
1474498875,1215,1215
1474502481,1220,1220
1474506095,1221,1221
1474509674,1214,1214
1474513274,1211,1211
1474516880,1206,1206
1474520478,1202,1202
1474524075,1203,1203
1474527673,1202,1202
1474531276,1203,1203
1474534879,1202,1202
1474538477,1202,1202
1474542073,1203,1203
1474545675,1197,1197
1474549281,1197,1197
1474552876,1194,1194
1474556484,1194,1194
1474560073,1192,1192
1474563681,1195,1195
1474567283,1196,1196
1474570876,1194,1194
1474574474,1195,1195
1474578076,1199,1199
1474581677,1198,1198
1474585276,1197,1197
1474588874,1201,1201
1474592475,1204,1204
1474596078,1200,1200
1474599678,1202,1202
1474603274,1208,1208
1474606875,1210,1210
1474610478,1216,1216
1474614078,1214,1214
1474617677,1243,1243
1474621277,1242,1242
1474624878,1245,1245
1474628478,1244,1244
1474632078,1248,1248
1474635677,1248,1248
1474639278,1252,1252
1474642879,1256,1256
1474646481,1256,1256
1474650077,1256,1256
1474653680,1256,1256
1474657281,1256,1256
1474660880,1259,1259
1474664481,1262,1262
1474668078,1261,1261
1474671680,1265,1265
1474675281,1265,1265
1474678880,1262,1262
1474682478,1260,1260
1474686079,1256,1256
1474689679,1255,1255
1474693279,1255,1255
1474696878,1253,1253
1474700479,1252,1252
1474704079,1246,1246
1474707679,1246,1246
1474711278,1249,1249
1474714879,1251,1251
1474718479,1248,1248
1474722078,1247,1247
1474725679,1247,1247
1474729279,1253,1253
1474732879,1255,1255
1474736479,1256,1256
1474740081,1262,1262
1474743680,1267,1267
1474747280,1269,1269
1474750880,1271,1271
1474754482,1274,1274
1474758081,1277,1277
1474761708,1279,1279
1474765275,1278,1278
1474768876,1285,1285
1474772477,1290,1290
1474776090,1289,1289
1474779682,1286,1286
1474783276,1277,1277
1474786877,1277,1277
1474790482,1274,1274
1474794088,1274,1274
1474797675,1266,1266
1474801275,1262,1262
1474804878,1262,1262
1474808486,1258,1258
1474812078,1249,1249
1474815675,1244,1244
1474819275,1243,1243
1474822883,1238,1238
1474826481,1239,1239
1474830075,1238,1238
1474833674,1238,1238
1474837280,1236,1236
1474840901,1239,1239
1474844476,1235,1235
1474848078,1238,1238
1474851680,1239,1239
1474855281,1242,1242
1474858878,1241,1241
1474862474,1242,1242
1474866077,1241,1241
1474869682,1242,1242
1474873279,1243,1243
1474878835,1234,1234
1474893072,1233,1233
1474894889,1241,1241
1474898477,1238,1238
1474902075,1234,1234
1474905674,1239,1239
1474909296,1242,1242
1474912876,1245,1245
1474916474,1241,1241
1474920100,1239,1239
1474923687,1239,1239
1474927282,1240,1240
1474930874,1224,1224
1474934475,1218,1218
1474938081,1212,1212
1474941682,1206,1206
1474945273,1187,1187
1474948871,1171,1171
1474952471,1158,1158
1474956080,1150,1150
1474959673,1139,1139
1474963269,1138,1138
1474966871,1129,1129
1474970475,1124,1124
1474974075,1117,1117
1474977668,1106,1106
1474981268,1110,1110
1474984874,1108,1108
1474988476,1109,1109
1474992069,1103,1103
1474995667,1099,1099
1474999270,1096,1096
1475002875,1098,1098
1475006472,1096,1096
1475010068,1083,1083
1475013668,1076,1076
1475017272,1074,1074
1475020873,1070,1070
1475024468,1066,1066
1475028067,1059,1059
1475031670,1054,1054
1475035270,1053,1053
1475038866,1044,1044
1475042465,1041,1041
1475046068,1037,1037
1475049670,1029,1029
1475053266,1024,1024
1475056865,1016,1016
1475060464,1004,1004
1475064067,997,997
1475067665,993,993
1475071263,990,990
1475074866,990,990
1475078467,987,987
1475082066,989,989
1475085663,986,986
1475089264,991,991
1475092865,992,992
1475096466,996,996
1475100065,998,998
1475103664,1000,1000
1475107267,1002,1002
1475110871,1000,1000
1475114468,1015,1015
1475118070,1017,1017
1475121666,1022,1022
1475125269,1020,1020
1475128868,1023,1023
1475132465,1025,1025
1475136066,1027,1027
1475139666,1028,1028
1475143269,1030,1030
1475146866,1029,1029
1475150465,1030,1030
1475154067,1031,1031
1475157669,1031,1031
1475161268,1032,1032
1475164867,1035,1035
1475168471,1039,1039
1475172069,1046,1046
1475175685,1050,1050
1475179271,1051,1051
1475182893,1055,1055
1475186491,1056,1056
1475190073,1053,1053
1475193669,1053,1053
1475197267,1050,1050
1475200887,1051,1051
1475204470,1055,1055
1475208068,1052,1052
1475211668,1053,1053
1475215269,1051,1051
1475218869,1053,1053
1475222469,1054,1054
1475226068,1056,1056
1475242270,1059,1059
1475254910,1054,1054
1475258480,1061,1061
1475262066,1061,1061
1475265666,1066,1066
1475269289,1064,1064
1475272887,1063,1063
1475276467,1066,1066
1475280066,1067,1067
1475283666,1069,1069
1475287278,1066,1066
1475290870,1066,1066
1475294467,1072,1072
1475298067,1079,1079
1475301673,1087,1087
1475305276,1090,1090
1475311390,1094,1094
1475315955,1098,1098
1475326886,1104,1104
1475330482,1135,1135
1475334071,1138,1138
1475337671,1141,1141
1475341272,1140,1140
1475344888,1138,1138
1475348471,1141,1141
1475352069,1139,1139
1475355672,1151,1151
1475359281,1150,1150
1475362876,1158,1158
1475366489,1161,1161
1475370093,1167,1167
1475373702,1174,1174
1475377304,1176,1176
1475380893,1178,1178
1475384473,1181,1181
1475388076,1183,1183
