DateTime,Entries,UniqueIPs
1474188482,6949,6949
1474192324,6963,6963
1474196162,6980,6980
1474200005,6977,6977
1474201922,7004,7004
1474205763,7004,7004
1474209603,6994,6994
1474213443,6987,6987
1474217283,6988,6988
1474221123,7004,7004
1474224963,6998,6998
1474228805,6988,6988
1474230724,6988,6988
1474234562,6970,6970
1474238402,6906,6906
1474242243,6922,6922
1474246083,6915,6915
1474249924,6943,6943
1474253763,6924,6924
1474257605,6922,6922
1474259523,6915,6915
1474263363,6937,6937
1474267203,6937,6937
1474271042,6930,6930
1474274883,6961,6961
1474278723,6966,6966
1474282562,6971,6971
1474286405,6973,6973
1474288322,6983,6983
1474292163,6974,6974
1474297923,6985,6985
1474299842,6986,6986
1474303924,6999,6999
1474308006,7005,7005
1474309923,6996,6996
1474313763,7006,7006
1474317602,7011,7011
1474321443,6977,6977
1474325283,6938,6938
1474329123,6950,6950
1474332963,6941,6941
1474336805,6941,6941
1474338722,6928,6928
1474342564,6927,6927
1474346403,6933,6933
1474350243,6959,6959
1474354083,6962,6962
1474357923,6962,6962
1474363683,6964,6964
1474365605,6970,6970
1474369442,6971,6971
1474371364,6980,6980
1474375203,6989,6989
1474379042,7008,7008
1474382883,7009,7009
1474386963,7010,7010
1474390805,7034,7034
1474392722,7038,7038
1474396562,7047,7047
1474400402,7037,7037
1474404243,7035,7035
1474408082,7022,7022
1474411924,6988,6988
1474415763,6998,6998
1474419605,6976,6976
1474421522,6971,6971
1474425362,6947,6947
1474429203,6943,6943
1474433283,6935,6935
1474437124,6972,6972
1474440963,6959,6959
1474444805,6988,6988
1474446724,6991,6991
1474450563,6993,6993
1474454403,7005,7005
1474458242,6998,6998
1474462323,7005,7005
1474466170,7004,7004
1474470005,7004,7004
1474471923,7026,7026
1474475762,7029,7029
1474479603,7037,7037
1474483443,7041,7041
1474485362,7038,7038
1474491122,7032,7032
1474496882,7028,7028
1474498805,6997,6997
1474500722,7005,7005
1474504805,6979,6979
1474508643,6982,6982
1474512723,6979,6979
1474516566,6965,6965
1474520405,6962,6962
1474522323,6987,6987
1474526645,6987,6987
1474530484,6992,6992
1474534325,6994,6994
1474538166,6997,6997
1474542008,7001,7001
1474543922,6994,6994
1474547762,6988,6988
1474551603,6993,6993
1474555682,7008,7008
1474559524,7012,7012
1474563362,7031,7031
1474567214,7025,7025
1474569126,7028,7028
1474572966,7028,7028
1474576804,7016,7016
1474580644,6993,6993
1474584486,6990,6990
1474588325,7005,7005
1474592165,6972,6972
1474597923,6981,6981
1474601762,6974,6974
1474605602,6971,6971
1474609442,6990,6990
1474613283,6985,6985
1474617123,6984,6984
1474620963,6994,6994
1474624816,6993,6993
1474626736,7015,7015
1474630565,7032,7032
1474634405,7023,7023
1474638244,7030,7030
1474642084,7032,7032
1474646163,7045,7045
1474650005,7068,7068
1474651924,7067,7067
1474655764,7052,7052
1474659603,7056,7056
1474663442,7058,7058
1474667283,7042,7042
1474671124,7002,7002
1474674963,7021,7021
1474678804,7005,7005
1474680724,7014,7014
1474684803,7003,7003
1474688642,6951,6951
1474692482,6991,6991
1474698244,7000,7000
1474700163,7001,7001
1474704243,7009,7009
1474706163,7031,7031
1474710003,7035,7035
1474713842,7054,7054
1474717924,7055,7055
1474721763,7072,7072
1474725614,7073,7073
1474727533,7061,7061
1474731364,7057,7057
1474735203,7040,7040
1474740963,7045,7045
1474742882,7043,7043
1474746724,7032,7032
1474750562,7039,7039
1474754415,7035,7035
1474756334,7002,7002
1474760162,7018,7018
1474764003,6999,6999
1474767843,6986,6986
1474771682,6974,6974
1474775523,6972,6972
1474777444,6963,6963
1474783214,6970,6970
1474785134,6983,6983
1474788963,7000,7000
1474792803,7020,7020
1474796643,7022,7022
1474802402,7015,7015
1474804324,7036,7036
1474808163,7037,7037
1474812013,7041,7041
1474813932,7041,7041
1474818002,7055,7055
1474821842,7064,7064
1474825682,7076,7076
1474829524,7041,7041
1474833363,7035,7035
1474837206,7035,7035
1474839122,7013,7013
1474842963,6978,6978
1474846803,6990,6990
1474850643,6966,6966
1474854483,6980,6980
1474858324,6974,6974
1474863604,6967,6967
1474865523,6957,6957
1474869363,6974,6974
1474873205,6993,6993
1474875123,6993,6993
1474878962,7001,7001
1474882803,7002,7002
1474886643,7014,7014
1474890482,7023,7023
1474894323,7029,7029
1474898164,7029,7029
1474902005,7039,7039
1474903923,7050,7050
1474907762,7066,7066
1474911603,7060,7060
1474915442,7050,7050
1474917363,7045,7045
1474923123,7015,7015
1474926963,6984,6984
1474930806,6963,6963
1474934883,6977,6977
1474936803,6987,6987
1474940643,6989,6989
1474944483,6974,6974
1474948323,6959,6959
1474952163,6961,6961
1474956012,6975,6975
1474957923,6990,6990
1474961763,6989,6989
1474965603,7000,7000
1474969442,6992,6992
1474973282,7002,7002
1474977124,6999,6999
1474980963,7017,7017
1474984812,7004,7004
1474986723,7009,7009
1474990563,7026,7026
1474994403,7044,7044
1474998243,7059,7059
1475002082,7067,7067
1475005924,7044,7044
1475009763,7039,7039
1475013615,7044,7044
1475015523,6969,6969
1475019363,6978,6978
1475023202,6968,6968
1475027043,6964,6964
1475030882,6955,6955
1475034724,6955,6955
1475038563,6950,6950
1475042412,6980,6980
1475044322,1141,1141
1475046242,6975,6975
1475048163,6987,6987
1475052003,6989,6989
1475055843,6992,6992
1475059683,7001,7001
1475063524,7003,7003
1475067363,6991,6991
1475071211,6995,6995
1475075044,6995,6995
1475076962,7005,7005
1475080803,7010,7010
1475084643,7033,7033
1475088492,7032,7032
1475092324,7035,7035
1475096163,7020,7020
1475100015,7001,7001
1475101923,6965,6965
1475105764,6974,6974
1475109606,6962,6962
1475113442,6954,6954
1475117535,6943,6943
1475121363,6940,6940
1475125205,6940,6940
1475129042,6943,6943
1475130962,6952,6952
1475134802,6961,6961
1475138643,6976,6976
1475142482,6987,6987
1475146333,6981,6981
1475150405,6980,6980
1475152323,6989,6989
1475156162,6981,6981
1475160244,6983,6983
1475164083,6983,6983
1475167924,6999,6999
1475171762,7002,7002
1475175604,6994,6994
1475177522,6992,6992
1475181363,6991,6991
1475185203,6954,6954
1475189042,6925,6925
1475192882,6968,6968
1475196724,6944,6944
1475200562,6943,6943
1475204405,6940,6940
1475206323,6932,6932
1475210164,6943,6943
1475214004,6962,6962
1475217843,6968,6968
1475221683,6981,6981
1475225523,6987,6987
1475229363,6999,6999
1475233205,7002,7002
1475235123,7001,7001
1475238963,6996,6996
1475242803,6981,6981
1475246885,6998,6998
1475250725,7002,7002
1475254564,7001,7001
1475258412,7011,7011
1475262244,7005,7005
1475264162,6996,6996
1475268002,6977,6977
1475272083,6956,6956
1475275933,6952,6952
1475279763,6991,6991
1475283605,6984,6984
1475285526,6989,6989
1475289365,6969,6969
1475293204,6973,6973
1475297044,6963,6963
1475300884,6974,6974
1475304736,6988,6988
1475308565,6987,6987
1475312405,7018,7018
1475314322,5204,5204
1475316244,7024,7024
1475318164,7027,7027
1475322004,7035,7035
1475325842,7022,7022
1475329923,7026,7026
1475333773,7043,7043
1475339524,7044,7044
1475343366,7043,7043
1475347205,7047,7047
1475351044,7026,7026
1475354884,7025,7025
1475358725,7012,7012
1475362574,6993,6993
1475366406,7001,7001
1475368322,6985,6985
1475374085,6994,6994
1475376003,6963,6963
1475379842,6975,6975
1475383682,6966,6966
1475387524,6982,6982
1475391373,6986,6986
1475395205,6998,6998
1475397124,7034,7034
1475400965,7043,7043
1475404805,7043,7043
1475408645,7037,7037
1475412724,7064,7064
1475416562,7058,7058
1475420405,7056,7056
1475422323,7051,7051
1475426163,7061,7061
1475430004,7068,7068
1475433843,7076,7076
1475437683,7069,7069
1475441523,7049,7049
1475445363,7032,7032
1475449205,7009,7009
1475451122,7013,7013
1475454963,7008,7008
1475460722,7012,7012
1475462642,6993,6993
1475466482,6987,6987
1475470323,6976,6976
1475474162,7021,7021
1475478005,7032,7032
1475479923,7011,7011
1475483762,7011,7011
1475489524,7027,7027
1475491443,7046,7046
1475495283,7031,7031
1475499124,7031,7031
1475502963,7032,7032
1475506805,7042,7042
1475508723,7044,7044
1475512563,7058,7058
1475516403,7056,7056
1475520242,7033,7033
1475524083,7039,7039
1475527924,7060,7060
1475531763,7045,7045
1475535606,7008,7008
1475537522,7016,7016
1475541362,6990,6990
1475545204,6999,6999
1475549043,6997,6997
1475552883,6988,6988
1475556724,6983,6983
1475560562,6999,6999
1475564405,6997,6997
1475566323,7006,7006
1475572084,7037,7037
1475574004,7027,7027
1475577843,7036,7036
1475581682,7051,7051
1475585523,7041,7041
1475589363,7043,7043
1475593205,7051,7051
1475595123,7056,7056
1475598963,7051,7051
1475602803,7061,7061
1475608562,7061,7061
1475614324,7049,7049
1475618162,7010,7010
1475622006,6983,6983
1475623924,6993,6993
1475627766,6968,6968
1475631604,6977,6977
1475635444,6974,6974
1475639522,6964,6964
1475643363,6966,6966
1475647204,6985,6985
1475651042,6984,6984
1475652963,6995,6995
1475656803,7013,7013
1475660643,6991,6991
1475664724,7017,7017
1475668563,7026,7026
1475672404,7018,7018
1475674325,7016,7016
1475678164,7023,7023
1475682004,7029,7029
1475685844,7041,7041
1475689684,7040,7040
1475693525,7030,7030
1475697365,7019,7019
1475701205,7030,7030
1475703123,7002,7002
1475706964,6958,6958
1475710803,6970,6970
1475714644,6929,6929
1475720404,6948,6948
1475722324,6942,6942
1475726163,6952,6952
1475730005,6945,6945
1475731924,6960,6960
1475735770,6967,6967
1475739606,6978,6978
1475743503,6989,6989
1475747284,6993,6993
1475751127,7003,7003
1475754965,7008,7008
1475760722,7013,7013
1475762644,7019,7019
1475764570,7033,7033
1475768403,7026,7026
1475772243,7034,7034
1475776083,7033,7033
1475781845,7032,7032
1475783763,7027,7027
1475787605,6988,6988
1475791442,6966,6966
1475793374,6935,6935
1475797205,6954,6954
1475801045,6944,6944
1475804884,6952,6952
1475808725,6936,6936
1475814723,6917,6917
1475818563,6942,6942
1475822403,6950,6950
1475824325,6955,6955
1475830323,6970,6970
1475834163,6962,6962
1475838005,6957,6957
1475839924,6956,6956
1475843764,6967,6967
1475847604,6969,6969
1475851444,6978,6978
1475855284,6970,6970
1475859125,6984,6984
1475862965,6994,6994
1475866805,6976,6976
1475870644,6984,6984
1475872562,6959,6959
1475876403,6959,6959
1475880243,6942,6942
1475884083,6972,6972
1475887924,6956,6956
1475891763,6943,6943
1475895605,6954,6954
1475897524,6946,6946
1475901364,6939,6939
1475905204,6941,6941
1475909044,6960,6960
1475912884,6980,6980
1475916725,6989,6989
1475920564,7000,7000
1475924405,7022,7022
1475926322,7026,7026
1475930162,7025,7025
1475934003,7015,7015
1475938082,7036,7036
1475941922,7029,7029
1475947686,7029,7029
1475949606,7011,7011
1475951524,7006,7006
1475955364,7006,7006
1475959205,7004,7004
1475963044,6981,6981
1475967123,6955,6955
1475970962,6974,6974
1475974804,6955,6955
1475976722,6945,6945
1475980570,6935,6935
1475984403,6940,6940
1475988243,6935,6935
1475992083,6941,6941
