DateTime,AddedIPs,RemovedIPs
1473070208,58,3
1473070507,2,0
1473070808,1,0
1473071110,0,1
1473075009,0,1
1473079207,0,1
1473080408,0,1
1473084308,0,1
1473085208,0,1
1473098407,1,0
1473108307,0,1
1473108608,0,1
1473116407,1,0
1473120007,0,1
1473129909,0,1
1473147009,4,0
1473147607,43,0
1473150007,0,1
1473150608,0,1
1473159607,0,1
1473159907,0,1
1473175208,0,1
1473175508,0,1
1473208808,1,0
1473209107,1,0
1473210308,1,0
1473231307,1,0
1473231908,0,1
1473232808,0,1
1473233708,18,0
1473234308,21,0
1473235207,13,0
1473235508,22,1
1473235809,2,0
1473236108,4,0
1473236408,42,0
1473238808,1,0
1473246608,0,1
1473251408,0,1
1473252007,0,2
1473252309,0,1
1473255607,0,1
1473271208,0,1
1473271508,0,1
1473274207,0,1
1473300008,1,0
1473320709,49,0
1473328208,23,0
1473328507,34,0
1473328808,178,0
1473329109,125,0
1473332408,0,1
1473340207,0,1
1473352207,0,1
1473368407,0,1
1473377407,0,1
1473378008,0,1
1473379208,0,1
1473387308,0,1
1473389707,0,1
1473405608,0,1
1473406807,225,0
1473407108,6,0
1473407407,29,0
1473407707,92,0
1473408008,8,0
1473409207,28,0
1473411608,1,0
1473416713,0,1
1473440408,1,0
1473454807,2,0
1473462008,1,0
1473472507,0,1
1473477307,0,1
1473479707,0,1
1473491707,0,1
1473501608,1,0
1473507607,0,1
1473510307,0,1
1473515707,0,1
1473526808,1,0
1473527707,0,1
1473530409,2,0
1473531907,0,1
1473570907,0,1
1473573608,1,0
1473576907,0,1
1473579307,0,1
1473626407,0,1
1473627908,0,1
1473631508,0,1
1473634808,1,0
1473638408,2,0
1473650708,0,1
1473663608,0,1
1473671107,106,1
1473671707,136,1
1473672607,38,0
1473672907,2,0
1473673208,44,0
1473673508,11,0
1473673808,15,0
1473674107,7,0
1473678608,0,29
1473679208,3,37
1473681308,0,1
1473685209,0,1
1473698107,0,1
1473719407,0,1
1473741908,0,1
1473755707,0,1
1473766508,73,0
1473766808,120,0
1473767408,23,0
1473767708,2,0
1473768308,3,0
1473768608,22,0
1473798308,0,1
1473799208,0,1
1473801608,0,1
1473810607,0,1
1473812707,0,1
1473818408,1,1
1473828908,0,1
1473839408,65,0
1473839708,85,0
1473840309,12,0
1473840608,48,0
