DateTime,Entries,UniqueIPs
1473070208,242882,252673
1473070507,242884,252675
1473070808,242884,252676
1473071110,242883,252675
1473075009,242882,252674
1473079207,242881,252673
1473080408,242880,252672
1473084308,242879,252671
1473085208,242878,252670
1473098407,242879,252671
1473108307,242878,252670
1473108608,242877,252669
1473116407,242878,252670
1473120007,242877,252669
1473129909,242876,252668
1473147009,242880,252672
1473147607,242923,252715
1473150007,242922,252714
1473150608,242921,252713
1473159607,242920,252712
1473159907,242919,252711
1473175208,242918,252710
1473175508,242917,252709
1473208808,242918,252710
1473209107,242919,252711
1473210308,242920,252712
1473231307,242921,252713
1473231908,242920,252712
1473232808,242919,252711
1473233708,242936,252729
1473234308,242957,252750
1473235207,242970,252763
1473235508,242989,252784
1473235809,242991,252786
1473236108,242995,252790
1473236408,243036,252832
1473238808,243037,252833
1473246608,243036,252832
1473251408,243035,252831
1473252007,243033,252829
1473252309,243032,252828
1473255607,243031,252827
1473271208,243030,252826
1473271508,243029,252825
1473274207,243028,252824
1473300008,243029,252825
1473320709,243069,252874
1473328208,243091,252897
1473328507,243124,252931
1473328808,243298,253109
1473329109,243420,253234
1473332408,243419,253233
1473340207,243418,253232
1473352207,243417,253231
1473368407,243416,253230
1473377407,243415,253229
1473378008,243415,253228
1473379208,243414,253227
1473387308,243413,253226
1473389707,243412,253225
1473405608,243411,253224
1473406807,243633,253449
1473407108,243639,253455
1473407407,243663,253484
1473407707,243755,253576
1473408008,243763,253584
1473409207,243791,253612
1473411608,243792,253613
1473416713,243791,253612
1473440408,243792,253613
1473454807,243794,253615
1473462008,243794,253616
1473472507,243793,253615
1473477307,243792,253614
1473479707,243791,253613
1473491707,243790,253612
1473501608,243791,253613
1473507607,243790,253612
1473510307,243789,253611
1473515707,243788,253610
1473526808,243789,253611
1473527707,243788,253610
1473530409,243790,253612
1473531907,243789,253611
1473570907,243788,253610
1473573608,243789,253611
1473576907,243788,253610
1473579307,243787,253609
1473626407,243786,253608
1473627908,243785,253607
1473631508,243784,253606
1473634808,243784,253607
1473638408,243786,253609
1473650708,243786,253608
1473663608,243785,253607
1473671107,243888,253712
1473671707,244021,253847
1473672607,244059,253885
