DateTime,AddedIPs,RemovedIPs
1460205310,1,0
1460225711,0,1
1460245810,1,0
1460299511,1,0
1460314813,0,1
1460324413,1,0
1460328309,1,0
1460379612,1,0
1460380511,0,2
1460381110,1,0
1460384109,1,0
1460387110,1,0
1460395213,1,0
1460398511,0,1
1460399410,0,1
1460414711,0,1
1460435112,1,0
1460451613,0,1
1460472010,1,0
1460496911,1,0
1460522411,1,0
1460526911,0,1
1460532910,0,1
1460533211,1,0
1460544012,4,0
1460576410,1,0
1460613314,0,1
1460615109,1,0
1460616011,1,0
1460616611,0,1
1460625312,1,0
1460625912,1,0
1460635509,1,0
1460696712,0,1
1460705112,0,1726
1460713807,1,0
1460717408,1,0
1460720709,1,0
1460723408,0,1
1460728508,1,0
1460739610,0,1
1460743508,1,0
1460745909,1,0
1460750409,1,0
1460756108,0,1
1460849110,1,0
1460864710,1,0
1460884207,1,0
1460923208,1,0
1460939109,0,1
1460946909,1,0
1460947210,1,0
1460952909,1,0
1460953507,0,1
1460954111,1,0
1460957408,0,1
1460958308,1,0
1460961309,0,1
1460987107,1,0
1460987409,1,0
1461041407,1,0
1461042608,0,1
1461046509,1,0
1461047410,0,1
1461059408,1,0
1461089107,0,1
1461126907,0,1
1461127208,1,0
1461137707,1,0
1461161707,1,1
1461170707,0,3
1461173407,1,1
1461174907,1,0
1461217807,1,0
1461220506,0,1
1461235507,1,0
1461236407,0,1
1461249306,0,1
1461257407,2,1
1461283806,1,0
1461298806,1,0
1461300007,1,0
1461307807,0,1
1461308406,1,0
1461315606,0,1
1461322507,1,0
1461335107,1,0
1461341407,1,0
1461349207,0,1
1461358207,1,0
1461416107,1,0
1461591607,0,1
1461594608,0,1
1461600607,0,1
1461602107,0,1
1461654007,0,1
1461732007,1,0
1461746707,1,0
1461749707,1,0
1461750308,0,1
1461752408,1,0
1461757807,1,0
1461758407,0,1
1461774007,1,0
1461786907,1,0
1461791706,1,0
1461792907,1,0
1461797107,1,0
1461819007,1,0
1461830107,0,1
1461837907,1,0
1461839706,1,0
1461846007,1,0
1461846908,0,1
1461870608,2,0
1461871507,0,1
1461885907,1,0
1461904508,1,0
1461917407,1,0
1461922207,0,1
1461922808,1,0
1461929407,1,0
1461932107,1,0
1461952207,0,1
1461956108,1,0
1461962407,1,0
1461975008,1,0
1462023907,1,0
1462121707,0,1
1462143907,1,0
1462169708,1,0
1462177807,1,0
1462190107,0,1
1462195207,1,0
1462200906,1,0
1462202106,1,0
1462248607,1,0
1462259107,1,0
1462261207,0,1
1462269006,1,0
