DateTime,Entries,UniqueIPs
1473707109,86712,87104
1473710408,86748,87141
1473714008,86772,87165
1473714908,86771,87164
1473716408,86770,87163
1473717608,86797,87190
1473721208,86822,87216
1473724807,86838,87232
1473728408,86859,87253
1473732011,86873,87267
1473734408,86872,87266
1473735608,86886,87280
1473735908,86887,87281
1473739208,86889,87283
1473742807,86900,87294
1473746408,86908,87302
1473750008,86916,87310
1473753608,86924,87318
1473754208,86923,87317
1473756908,86922,87316
1473757208,86934,87328
1473760808,86945,87339
1473764408,86962,87356
1473768008,86986,87380
1473769808,86985,87379
1473770408,86984,87378
1473771608,87015,87409
1473775209,87052,87446
1473777607,87051,87445
1473778808,87090,87484
1473781808,87089,87483
1473782407,87135,87529
1473786008,87175,87569
1473789608,87218,87612
1473793208,87250,87644
1473796808,87278,87672
1473800408,87303,87697
1473802807,87303,87696
1473803108,87302,87695
1473803407,87300,87692
1473804010,87330,87722
1473805809,87329,87721
1473807608,87353,87745
1473811207,87366,87758
1473814807,87380,87772
1473816008,87379,87771
1473818408,87398,87790
1473819607,87397,87789
1473822008,87413,87807
1473822607,87417,87811
1473823508,87416,87810
1473824709,87415,87809
1473825008,87414,87808
1473825608,87427,87821
1473828008,87426,87820
1473829208,87438,87833
1473832808,87447,87842
1473836409,87455,87850
1473839107,87454,87849
1473840007,87462,87857
1473843608,87466,87861
1473846007,87465,87860
1473847208,87473,87868
1473850508,87472,87867
1473850808,87484,87879
1473854408,87513,87908
1473858008,87546,87942
1473861608,87580,87976
1473865208,87623,88019
1473868808,87667,88063
1473872107,87666,88062
1473872410,87700,88096
1473876008,87735,88131
1473879307,87734,88130
1473879607,87776,88172
1473879908,87778,88174
1473880509,87777,88173
1473883208,87803,88201
1473886808,87831,88229
1473890408,87857,88255
1473891607,87856,88254
1473893108,87855,88253
1473894010,87877,88275
1473895208,87876,88274
1473897608,87901,88299
1473900308,87900,88298
1473901207,87913,88311
1473904807,87933,88332
1473908408,87946,88345
1473909007,87945,88344
1473912008,87952,88351
1473915307,87951,88350
1473915608,87961,88360
1473917707,87960,88359
1473919208,87970,88369
1473922808,87978,88378
1473926407,87986,88386
1473930009,87991,88391
1473930610,87991,88390
1473933608,87998,88397
1473937209,88013,88413
1473940207,88011,88411
1473940808,88029,88429
1473942907,88028,88428
1473944408,88048,88448
1473945007,88047,88447
1473948008,88075,88475
1473951608,88114,88514
1473951908,88115,88515
1473954307,88114,88514
1473955208,88152,88552
1473955508,88151,88551
1473956412,88150,88550
1473956707,88149,88549
1473958207,88148,88548
1473958808,88179,88580
1473962408,88210,88611
1473964208,88209,88610
1473966007,88243,88644
1473969610,88284,88685
1473969908,88287,88688
1473970808,88286,88687
1473973208,88315,88717
1473973508,88314,88716
1473976807,88340,88742
1473980408,88363,88765
1473984007,88384,88786
1473984307,88383,88785
1473984908,88382,88784
1473987608,88404,88806
1473991207,88424,88826
1473991808,88423,88825
1473994807,88436,88838
1473997208,88435,88837
1473998408,88451,88853
1474001107,88450,88852
1474002008,88459,88861
1474003510,88458,88860
1474005608,88459,88861
1474009208,88468,88870
1474012808,88483,88885
1474013108,88482,88884
1474016408,88491,88893
1474020008,88496,88898
1474023608,88508,88910
1474027208,88538,88940
1474027508,88537,88939
1474029308,88536,88938
1474029607,88535,88937
1474030809,88566,88968
1474033207,88564,88966
1474034408,88603,89005
1474034708,88605,89007
1474036808,88604,89006
1474038008,88641,89044
1474038309,88657,89060
1474039809,88656,89059
1474041608,88693,89097
1474041908,88706,89110
1474045207,88727,89131
1474048808,88766,89170
1474050607,88765,89168
1474052408,88800,89203
1474052708,88811,89214
1474056008,88847,89251
1474056307,88859,89263
1474057207,88858,89262
1474059607,88897,89301
1474059907,88899,89303
1474060507,88898,89302
1474063208,88929,89334
1474066808,88954,89360
1474070407,88977,89384
1474071907,88976,89383
1474073108,88975,89382
1474074008,89008,89415
1474077608,89029,89436
1474081208,89048,89455
1474082708,89047,89454
1474084808,89062,89469
1474086007,89061,89468
1474088407,89080,89487
1474092008,89095,89502
1474094707,89094,89501
1474095608,89109,89516
1474099208,89129,89536
1474099808,89128,89535
1474101307,89127,89534
1474102808,89156,89563
1474104008,89155,89562
1474106408,89186,89593
1474110007,89215,89622
1474110308,89214,89621
1474113007,89213,89619
1474113607,89241,89649
1474116008,89240,89648
1474117207,89271,89679
1474120808,89306,89715
1474121108,89321,89730
1474123208,89320,89729
1474124408,89356,89765
1474124708,89368,89777
1474127407,89367,89776
1474128008,89403,89812
1474128308,89415,89824
1474128907,89414,89823
1474130108,89413,89822
1474131007,89412,89821
1474131608,89447,89856
1474131908,89460,89869
1474133707,89459,89868
1474135208,89492,89901
1474135507,89506,89915
1474138808,89535,89944
1474139108,89562,89972
1474141807,89561,89971
1474142408,89593,90004
1474142708,89613,90024
1474146008,89647,90059
1474147808,89646,90058
1474149608,89681,90093
1474149907,89688,90100
1474152008,89687,90099
1474153208,89721,90134
1474155008,89720,90133
1474156808,89745,90158
1474160408,89773,90186
1474164008,89799,90212
1474166107,89798,90211
1474166407,89797,90210
1474167608,89826,90239
1474171209,89851,90264
1474172708,89850,90263
1474174807,89871,90284
1474176310,89870,90283
1474181108,89870,90282
1474182008,89869,90281
1474182907,89879,90291
1474188308,89878,90290
1474192507,89877,90289
1474198507,89875,90287
1474201208,89874,90286
1474206608,89873,90285
1474206908,89872,90284
1474208408,89871,90283
1474209608,89871,90282
1474215908,89870,90281
1474216808,89869,90280
1474229408,89868,90279
1474229708,89867,90278
1474230908,89866,90277
1474233908,89865,90276
1474237808,89864,90275
1474242308,89863,90274
1474242607,89862,90273
1474248907,89861,90272
1474255808,89860,90271
1474256108,89859,90270
1474261207,89857,90268
1474264808,89856,90267
1474274708,89855,90266
1474286408,89853,90264
1474293008,89852,90263
1474296007,89851,90262
1474299008,89850,90261
1474300208,89849,90260
1474301109,89848,90259
1474305907,89847,90258
1474306208,89846,90257
1474307707,89845,90256
1474308308,89844,90255
1474312208,89844,90254
1474319707,89843,90253
1474321808,89842,90252
1474322108,89841,90251
1474323607,89840,90250
1474328707,89838,90248
1474332007,89843,90253
1474332308,89857,90267
1474332907,89858,90268
1474333808,89857,90267
1474338007,89856,90266
1474350007,89855,90265
1474353008,89854,90264
1474358107,89853,90263
1474359607,89852,90262
1474362308,89851,90261
1474365308,89850,90260
1474375208,89849,90259
1474377308,89848,90258
1474389608,89847,90257
1474390808,89846,90256
1474391707,89845,90255
1474393807,89844,90254
1474396208,89845,90255
1474396508,89846,90256
1474397407,89845,90255
1474398007,89846,90256
1474403407,89845,90255
1474408507,89844,90254
1474409413,89843,90253
1474410308,89842,90252
1474413307,89841,90251
1474417808,89840,90250
1474430107,89839,90249
1474434607,89838,90248
1474452009,89837,90247
1474470608,89835,90244
1474488010,89834,90243
1474489809,89833,90242
1474490408,89832,90241
1474496708,89831,90240
1474498807,89830,90239
1474504508,89829,90238
1474505407,89828,90237
1474507808,89827,90236
1474510808,89826,90235
1474524008,89825,90234
1474527908,89824,90233
1474528208,89823,90232
1474537208,89822,90231
1474546508,89821,90230
1474565407,89820,90229
1474567508,89820,90228
1474568707,89819,90227
1474572907,89818,90226
1474574407,89817,90225
1474576808,89816,90224
1474577408,89815,90223
1474587307,89814,90222
1474589107,89813,90221
1474591508,89814,90222
1474597807,89813,90221
1474599908,89812,90220
1474606508,89811,90219
1474608608,89810,90218
1474617307,89809,90217
1474623008,89808,90216
1474627507,89807,90215
1474630208,89806,90214
1474634707,89805,90213
1474647608,89804,90212
1474657208,89803,90211
1474662007,89802,90210
1474666508,89801,90209
1474674008,89800,90208
1474685408,89799,90207
1474688407,89798,90206
1474689908,89806,90214
1474690207,89805,90213
1474696808,89804,90212
1474713908,89803,90211
1474716009,89802,90210
1474716308,89801,90209
1474722308,89800,90208
1474722907,89798,90206
1474726507,89797,90205
1474727407,89796,90204
1474729207,89795,90203
1474734007,89794,90202
1474734308,89793,90201
1474746008,89792,90200
1474749908,89791,90199
1474751408,89790,90198
1474756507,89789,90197
1474758008,89788,90196
1474760108,89787,90195
1474761307,89786,90194
1474764908,89785,90193
1474768207,89784,90192
1474770007,89783,90191
1474773908,89782,90190
1474774808,89781,90189
1474775707,89780,90188
1474776008,89778,90186
1474776607,89777,90185
1474782908,89776,90184
1474787408,89775,90183
1474790709,89774,90182
1474799111,89773,90181
1474800608,89771,90179
1474822808,89770,90178
1474825507,89769,90177
1474826708,89768,90176
1474828208,89767,90175
1474830309,89766,90174
1474834808,89765,90173
1474854007,89764,90172
1474863008,89764,90171
1474863608,89763,90170
1474865707,89762,90169
1474872008,89761,90168
1474879807,89760,90167
