DateTime,Entries,UniqueIPs
1474937777,1827,479488
1474940498,1821,477952
1474942311,1816,476672
1474944108,1813,475904
1474945907,1810,475136
1474947705,1804,473600
1474949862,1799,472320
1474951300,1797,471808
1474953115,1796,471296
1474954204,1792,470272
1474956700,1789,469504
1474958503,1785,468480
1474964268,1782,467712
1474965694,1780,467200
1474966580,1778,466688
1474968403,1773,465408
1474971624,1772,465152
1474972941,1768,464128
1474975068,1767,463872
1474976553,1764,463104
1474978795,1760,462336
1474980125,1757,461568
1474980972,1754,460800
1474983725,1754,460544
1474985507,1750,459520
1474987335,1748,459008
1474988178,1747,458752
1474990882,1745,458240
1474992691,1743,457728
1474993600,1739,456448
1474996286,1735,455424
1474997177,1734,455168
1474998115,1734,455424
1474999886,1731,454656
1475000816,1730,454144
1475003485,1729,453632
1475005291,1726,452864
1475007084,1725,452608
1475008904,1722,451840
1475009787,1718,450560
1475011655,1716,450048
1475013376,1714,449536
1475014305,1715,449792
1475016104,1711,448768
1475017903,1706,447488
1475018210,1700,445952
1475021502,1695,444416
1475022445,1692,443648
1475025111,1688,442624
1475025494,1679,440320
1475028695,1674,439040
1475030495,1673,438784
1475031389,1667,437248
1475034091,1659,435200
1475035910,1651,433152
1475036775,1647,432128
1475038597,1643,431104
1475041304,1639,430080
1475042174,1635,429056
1475044899,1630,427776
1475046694,1621,425472
1475048509,1618,424704
1475050306,1611,422656
1475052094,1607,421632
1475053896,1603,420608
1475055699,1598,419328
1475057563,1593,418048
1475058659,1591,417536
1475061567,1586,416256
1475065091,1585,416000
1475066526,1580,414720
1475068295,1577,413952
1475070096,1576,413440
1475070982,1572,412416
1475073707,1569,411392
1475075943,1567,410624
1475076376,1562,409344
1475079094,1559,408576
1475080901,1556,407808
1475081774,1555,407552
1475083601,1551,406528
1475086636,1549,406016
1475088086,1547,405504
1475088974,1546,405248
1475090821,1543,404480
1475091685,1544,404992
1475093480,1541,404224
1475095287,1539,403712
1475097082,1538,403456
1475098025,1537,403200
1475100700,1534,402432
1475102495,1531,401664
1475104304,1529,401152
1475105238,1523,399616
1475107917,1522,399360
1475109698,1518,398336
1475111507,1517,398080
1475113301,1516,397824
1475114175,1512,396800
1475116056,1510,396288
1475117781,1507,395520
1475119083,1506,395264
1475119577,1504,394752
1475122319,1495,392448
1475124100,1493,391936
1475124981,1485,389888
1475126234,1482,389120
1475128572,1479,388352
1475131298,1473,386816
1475133098,1467,385280
1475133413,1466,385024
1475134903,1462,384000
1475135778,1456,382464
1475138506,1454,381952
1475139379,1447,380160
1475141198,1443,379136
1475142974,1439,378112
1475144818,1441,378624
1475145742,1438,377856
1475146694,1431,376064
1475149349,1430,375808
1475150236,1426,374784
1475152883,1423,374016
1475153772,1417,372224
1475156484,1413,370688
1475157378,1413,370176
1475160093,1411,369664
1475161882,1408,368896
1475163085,1406,368384
1475167281,1399,366592
1475168177,1398,366336
1475170211,1396,365824
1475173675,1392,364800
1475175400,1391,364544
1475178140,1387,363520
1475179919,1385,363008
