DateTime,AddedIPs,RemovedIPs
1473254324,0,512
1473254771,0,512
1473257480,0,2048
1473259286,0,512
1473261081,0,1024
1473261991,0,512
1473263777,0,256
1473266496,0,512
1473267380,0,768
1473270091,0,1024
1473272781,0,1536
1473275500,0,1024
1473276422,0,512
1473280976,0,256
1473284503,0,256
1473286303,0,512
1473288975,0,512
1473291697,0,768
1473292575,0,512
1473294433,0,1024
1473296170,0,1792
1473297986,0,768
1473300716,0,512
1473301574,0,256
1473303369,0,768
1473305174,0,256
1473307908,0,1280
1473309708,0,512
1473311523,768,1024
1473312373,0,768
1473315110,0,1280
1473316905,0,256
1473317787,0,768
1473320511,0,768
1473321375,0,768
1473324973,0,256
1473328573,0,1280
1473331333,0,768
1473332173,0,1280
1473334968,0,1024
1473335842,0,1024
1473337378,768,0
1473338537,0,256
1473339370,0,768
1473342099,0,1536
1473343883,0,768
1473345880,0,256
1473347482,0,1024
1473349290,0,256
1473351433,0,512
1473352892,256,0
1473354718,256,256
1473357443,0,256
1473360145,0,1024
1473360972,0,768
1473362639,0,768
1473362855,0,2048
1473364599,0,512
1473367339,0,1024
1473370901,0,1280
1473372700,0,512
1473373660,0,1536
1473375373,0,512
1473378093,256,512
1473378973,0,256
1473380787,0,512
1473382575,0,512
1473383507,0,1536
1473386175,0,768
1473388891,0,256
1473389770,0,1024
1473392507,0,768
1473396097,256,1024
1473398250,0,2048
1473399712,0,1536
1473401507,0,1024
1473403307,0,512
1473405104,0,512
1473407777,0,1024
1473410497,0,512
1473412313,0,512
1473414111,0,1536
1473415918,0,512
1473420090,0,1536
1473420450,0,2304
1473422207,0,768
1473423697,256,0
1473423981,0,256
1473425776,0,2816
1473427586,0,2304
1473428489,512,0
1473430285,0,256
1473431208,0,768
1473433891,0,1024
1473435689,0,512
1473437490,0,512
1473439300,0,1280
1473441496,0,768
1473442940,0,512
1473444716,0,768
1473445619,0,256
1473447380,0,1280
1473448745,0,2048
1473451901,0,768
1473452803,0,512
1473454578,0,256
1473457309,0,768
1473459107,0,1536
1473459997,0,256
1473461772,0,256
1473464527,0,1792
1473465373,0,1024
1473467218,0,256
1473468975,0,768
1473471703,0,1024
1473473506,0,1024
1473475316,0,512
1473477118,0,1024
1473478008,0,2048
1473479774,0,1024
1473482501,0,256
1473483370,0,1536
1473486106,0,256
1473487907,0,768
1473489707,256,512
1473491509,0,2048
1473493317,0,1536
1473495120,0,768
1473496909,0,256
1473498717,0,1024
1473500508,0,1792
1473501376,0,768
1473503200,0,512
1473504974,0,768
1473506505,1280,0
1473507701,0,1024
1473509514,0,1024
1473512178,0,256
1473513400,0,1536
1473516690,0,1280
1473518527,0,256
1473520301,0,1536
1473522123,256,1024
1473524000,0,768
1473524915,0,256
1473525722,256,0
1473527907,256,512
1473528377,0,1536
1473530174,0,2048
1473532902,0,2560
1473533771,0,1024
1473535606,0,512
1473538307,0,1536
1473539448,0,768
1473541904,0,1024
1473543693,0,2048
1473544575,0,1280
1473547313,0,512
1473549107,0,1536
1473550907,0,1024
1473552719,0,1536
1473553699,0,512
1473556305,0,2048
1473558114,0,768
1473559908,0,1792
1473563517,0,1536
1473565321,0,256
1473567484,0,1280
1473568925,0,768
1473569774,0,1280
1473574690,0,768
1473576110,0,256
1473576972,0,1024
1473578804,0,512
1473580574,0,1024
1473583310,0,768
1473585504,0,1792
1473586908,0,768
1473587808,0,1536
1473590518,0,1024
1473591377,0,1536
1473594146,0,768
1473595921,0,1280
1473597715,0,512
1473598578,0,1280
1473600388,0,1024
1473603123,0,1792
1473604923,0,256
1473607059,0,256
1473608537,0,1280
1473610921,0,1792
1473611192,0,768
1473612966,0,256
1473615722,0,256
1473617523,0,512
1473619314,0,256
1473621532,768,1280
1473624718,256,1536
1473625721,0,256
1473628306,0,512
1473630092,0,768
1473630978,0,1792
1473632807,0,768
1473633704,256,0
1473635493,0,2048
1473638169,0,1280
1473639103,256,0
1473640148,0,768
1473641774,0,768
1473643568,0,512
1473646294,0,1024
1473646715,0,256
1473649908,0,1024
1473651708,0,512
1473652576,0,256
1473653890,0,1792
1473655315,0,512
1473657118,0,768
1473658906,0,768
1473660699,0,256
1473662551,0,1024
1473663376,0,768
1473666105,0,512
1473666973,0,256
1473668786,0,512
1473671506,0,768
1473672383,0,512
1473673318,0,1792
1473676914,0,256
1473677775,0,1280
1473680598,0,256
1473682305,0,1536
1473684108,0,1280
1473686451,768,0
1473686776,0,1024
1473689795,0,512
1473691287,0,512
1473693091,0,1792
1473693978,0,768
1473696691,0,1792
1473698490,0,512
1473700288,0,1536
1473702102,0,512
1473703899,0,1024
1473704780,0,1280
1473721900,0,3840
1473722790,0,2304
1473724569,0,512
1473727303,0,1024
1473729496,0,1280
1473729977,0,768
1473731776,0,1280
1473734511,0,768
1473736312,0,1024
1473737172,0,512
1473740259,0,1792
1473741701,0,768
1473742568,0,1536
1473745314,0,512
1473747098,0,1024
1473747989,0,768
1473749770,0,1024
1473752504,0,512
1473754297,0,1024
1473756098,0,768
1473757908,0,512
1473759710,0,512
1473761953,0,768
1473763332,0,1536
1473764174,0,1280
1473766372,0,768
1473769180,0,2304
1473770504,0,256
1473771379,0,1024
1473772634,256,0
1473774089,0,512
1473775883,0,1536
1473777705,0,768
1473779483,0,256
1473781283,0,1024
1473783096,0,1792
1473784921,0,768
1473786689,0,1024
1473787607,0,512
1473790311,0,512
1473792096,0,256
1473793920,0,2560
1473795759,0,256
1473798210,0,512
1473798488,0,1280
1473801407,0,512
1473802907,0,256
1473804703,0,2304
1473806506,0,768
1473807376,0,512
1473809200,0,1024
1473812314,0,512
1473813707,0,512
1473814579,0,1536
1473816384,0,1024
1473819100,0,1024
1473820917,0,1536
1473822703,0,1792
1473824507,0,1280
1473826737,0,2816
1473828115,0,2304
1473830295,0,768
1473830797,0,512
1473831805,0,256
1473832691,0,2304
1473834379,0,512
1473837103,0,1792
1473838067,0,768
1473840090,0,1536
1473841898,0,512
1473844360,0,1280
1473846108,0,768
1473847909,0,1536
1473848427,768,0
1473849690,0,1024
1473851485,0,2048
1473853339,0,1792
1473855107,0,2304
1473856083,0,2304
1473857774,0,3584
1473858680,0,256
1473865884,256,0
1473867692,0,256
1473880601,0,256
1473916659,0,1280
1473925304,0,256
1473942390,0,1024
1473948703,0,256
1473949374,512,0
1473952661,256,0
1473963997,0,512
1473968498,256,512
1473975680,0,256
1473982056,0,512
1473986489,0,256
1473998173,0,256
1473999980,0,256
1474002696,0,512
1474028451,768,768
1474035084,256,0
1474044085,0,256
1474047710,256,0
1474056982,256,0
1474074704,256,0
1474080975,0,256
1474109781,0,1024
1474114969,768,0
1474115197,0,256
1474116083,256,0
1474117882,256,0
1474121489,256,0
1474130522,0,256
1474131376,0,256
1474137823,256,0
1474204632,1024,0
1474207886,256,0
1474211486,256,0
1474224976,0,1024
1474228576,0,256
1474229495,256,0
1474238492,0,256
1474240306,256,0
1474274506,256,0
1474291377,512,768
1474301518,0,256
1474313320,0,256
1474324914,256,0
1474366640,768,0
1474369877,256,0
1474377456,0,512
1474378886,256,0
1474391551,512,0
1474393294,256,0
1474418506,256,0
1474453008,0,512
1474454507,0,256
1474481518,256,0
1474492321,256,0
1474553964,0,512
1474570634,0,256
1474582317,0,256
1474584971,0,256
1474586312,256,0
1474587731,0,256
1474632775,0,256
1474644036,768,0
1474658174,0,256
1474662422,0,256
1474668688,256,0
1474693912,0,256
1474716019,512,0
1474719400,0,1536
1474726290,256,0
1474732573,0,256
1474738883,512,0
1474740688,256,0
1474742479,0,256
1474746096,256,0
1474758699,0,256
1474805801,512,0
1474809086,256,256
1474812692,256,0
1474818978,0,256
1474823484,0,512
