DateTime,AddedIPs,RemovedIPs
1472890277,2560,2560
1472891861,3072,3072
1472893881,3840,3840
1472895687,3584,3584
1472897486,3328,3328
1472898654,2560,2560
1472901115,3072,3072
1472902123,256,256
1472902876,3328,3328
1472904672,3072,3072
1472906493,2560,2560
1472908278,3584,3584
1472909723,3584,3584
1472911877,4096,4096
1472913557,3584,3584
1472915484,4096,4096
1472917049,3072,3072
1472919073,2560,2560
1472920875,2304,2304
1472922680,3584,3584
1472924472,3584,3584
1472926283,3328,3328
1472928341,3840,3840
1472929975,3584,3584
1472931794,3584,3584
1472933474,4352,4352
1472935277,3328,3328
1472937077,3584,3584
1472939086,4096,4096
1472941290,3840,3840
1472942482,3328,3328
1472944278,3328,3328
1472946314,3328,3328
1472947878,3584,3584
1472949688,2816,2816
1472951480,2816,2816
1472953681,3328,3328
1472955502,3328,3328
1472956877,3072,3072
1472958682,3840,3840
1472960480,3328,3328
1472962302,3072,3072
1472964076,3584,3584
1472965874,3328,3328
1472967694,3840,3840
1472969987,3328,3328
1472971282,2048,2048
1472973076,2304,2304
1472974891,3328,3328
1472976677,3328,3328
1472978487,2816,2816
1472980277,3072,3072
1472982082,3584,3584
1472983885,3328,3328
1472984824,256,256
1472985689,3328,3328
1472987892,3584,3584
1472989300,3840,3840
1472990179,256,256
1472991079,3072,3072
1472992882,3328,3328
1472995041,3072,3072
1472996477,3840,3840
1472998278,3584,3584
1473000072,768,768
1473001875,1792,1792
1473003673,3328,3328
1473005480,3328,3328
1473007272,1536,1536
1473009074,1792,1792
1473010923,3840,3840
1473012680,3584,3584
1473014480,2304,2304
1473016272,1792,1792
1473018081,3840,3840
1473019877,4096,4096
1473021687,3328,3328
1473023546,3584,3584
1473025288,3840,3840
1473027455,3840,3840
1473028888,3072,3072
1473030679,3072,3072
1473031889,3328,3328
1473034705,3328,3328
1473036076,3072,3072
1473038327,2560,2560
1473039676,3328,3328
1473041475,3328,3328
1473042918,3072,3072
1473045076,2816,2816
1473046878,3584,3584
1473047775,256,256
1473048727,3584,3584
1473050602,2816,2816
1473052286,3584,3584
1473054077,3584,3584
1473055879,3328,3328
1473057678,2816,2816
1473059478,3328,3328
1473061287,3584,3584
1473063080,3072,3072
1473064877,3072,3072
1473066674,3584,3584
1473068477,3840,3840
1473070284,4096,4096
1473072079,2816,2816
1473074512,3072,3072
1473075744,3328,3328
1473077498,3584,3584
1473079276,3840,3840
1473081073,4096,4096
1473082875,3840,3840
1473084696,3584,3584
1473086480,2816,2816
1473088276,3840,3840
1473090083,3840,3840
1473091905,3072,3072
1473093677,2816,2816
1473095487,2816,2816
1473097276,1792,1792
1473099159,2048,2048
1473115298,5120,5120
1473117106,4864,4864
1473118880,4096,4096
1473120679,3328,3328
1473122489,2816,2816
1473124278,2816,2816
1473125414,2816,2816
1473128227,2816,2816
1473129676,3072,3072
1473131476,2560,2560
1473133279,3328,3328
1473135089,3328,3328
1473136878,3584,3584
1473138677,3072,3072
1473140518,2816,2816
1473142282,2304,2304
1473144077,2560,2560
1473145872,2304,2304
1473147677,2816,2816
1473149477,3584,3584
1473151273,3072,3072
1473153080,2816,2816
1473154872,3072,3072
1473156701,3584,3584
1473158500,4096,4096
1473160298,3328,3328
1473162118,3840,3840
1473163889,3840,3840
1473165675,3072,3072
1473167839,2816,2816
1473169274,3584,3584
1473171769,3328,3328
1473172876,1792,1792
1473174679,1280,1280
1473176475,3584,3584
1473177370,512,512
1473178273,3584,3584
1473180075,2304,2304
1473182214,1792,1792
1473183705,2816,2816
1473185509,2560,2560
1473187336,3072,3072
1473189117,3072,3072
1473190884,2816,2816
1473192675,2560,2560
1473194474,2048,2048
1473196274,2304,2304
1473198076,3328,3328
1473199875,3072,3072
1473201680,2560,2560
1473203475,2048,2048
1473205288,3328,3328
1473207076,2816,2816
1473208876,2048,2048
1473211076,2816,2816
1473212481,3328,3328
1473214287,3328,3328
1473216091,3072,3072
1473217890,2560,2560
1473219685,3584,3584
1473221499,3584,3584
1473223273,2560,2560
1473225080,2560,2560
1473226897,3072,3072
1473227774,256,256
1473228682,3840,3840
1473230477,3328,3328
1473232278,2816,2816
1473234081,3328,3328
1473236337,3072,3072
1473237679,2048,2048
1473239484,1792,1792
1473241273,3072,3072
1473243078,3072,3072
1473244884,2304,2304
1473246685,2560,2560
1473248501,3328,3328
1473250280,3584,3584
1473252085,3072,3072
1473253172,4096,4096
1473253883,256,256
1473257480,256,256
1473262883,256,256
1473275500,256,256
1473284503,512,512
1473311523,3840,3840
1473320511,256,256
1473337378,2048,2048
1473343883,256,256
1473352892,256,256
1473354718,256,256
1473360145,512,512
1473363790,512,512
1473370901,256,256
1473378093,512,512
1473381738,512,512
1473394681,256,256
1473396097,256,256
1473398250,2560,2560
1473403307,256,256
1473406911,256,256
1473423697,2304,2304
1473428489,512,512
1473439300,256,256
1473448292,256,256
1473453710,256,256
1473468120,256,256
1473477118,256,256
1473486106,256,256
1473489707,256,256
1473506505,2560,2560
1473511298,256,256
1473516690,256,256
1473520301,256,256
1473522123,256,256
1473525722,256,256
1473527907,256,256
1473532902,256,256
1473534703,256,256
1473538307,256,256
1473621532,2304,2304
1473624718,256,256
1473628306,256,256
1473630092,256,256
1473633704,256,256
1473637313,256,256
1473639103,256,256
1473682305,256,256
1473686451,2304,2304
1473693091,256,256
1473696691,256,256
1473700288,256,256
1473707496,256,256
1473709295,256,256
1473716493,512,512
1473727303,256,256
1473730918,256,256
1473772634,2304,2304
1473783096,512,512
1473792096,256,256
1473848427,2560,2560
1473849690,256,256
1473864091,256,256
1473865884,256,256
1473867692,256,256
1473871293,256,256
1473876794,256,256
1473882115,256,256
1473883897,256,256
1473949374,2048,2048
1473952661,512,512
1473961288,256,256
1473964883,256,256
1473966995,256,256
1473968498,256,256
1473972111,256,256
1473977485,512,512
1473981085,256,256
1473982884,256,256
1473986489,256,256
1473988298,256,256
1474006288,256,256
1474028451,2048,2048
1474033284,256,256
1474035084,256,256
1474036898,256,256
1474040485,256,256
1474047710,256,256
1474049490,256,256
1474051351,512,512
1474053752,256,256
1474056982,256,256
1474058490,256,256
1474074704,256,256
1474078316,256,256
1474089113,256,256
1474114969,3072,3072
1474116083,256,256
1474117882,256,256
1474121489,256,256
1474128694,512,512
1474130522,256,256
1474136072,256,256
1474137823,256,256
1474141294,256,256
1474154195,256,256
1474204632,2048,2048
1474207886,256,256
1474211486,256,256
1474215410,256,256
1474218693,768,768
1474224092,256,256
1474225893,256,256
1474227693,256,256
1474229495,256,256
1474234921,256,256
1474240306,256,256
1474263709,256,256
1474265825,256,256
1474274506,256,256
1474291377,2304,2304
1474294286,256,256
1474296086,256,256
1474301518,256,256
1474303286,256,256
1474305088,256,256
1474310523,256,256
1474314130,256,256
