DateTime,AddedIPs,RemovedIPs
1475570422,3,36
1475571381,39,98
1475572344,13,76
1475573295,11,56
1475574250,10,88
1475575277,60,35
1475576430,13,47
1475577391,12,93
1475578341,12,70
1475579307,39,52
1475580262,9,57
1475581221,14,53
1475582183,6,102
1475583157,53,30
1475584126,15,49
1475585060,8,54
1475586099,4,106
1475587496,1195,1589
1475588427,16,104
1475589491,6,65
1475590592,63,60
1475591540,10,48
1475592494,6,72
1475593464,7,23
1475594707,44,62
1475595621,10,25
1475596584,13,84
1475597552,61,81
1475598509,6,46
1475599453,2,107
1475600465,11,38
1475601410,62,34
1475602343,0,70
1475603313,2,25
1475604269,7,119
1475605222,35,55
1475606184,6,28
1475607148,8,97
1475608110,5,39
1475609063,57,48
1475610031,8,56
1475610979,8,92
1475611948,3,81
1475612907,48,47
1475613852,14,78
1475614856,11,52
1475615788,2,16
1475616741,47,52
1475617694,6,41
1475618675,7,98
1475619622,17,57
1475620580,41,46
1475621547,15,84
1475622508,3,39
1475623454,4,78
1475624430,57,37
1475625380,14,87
1475626352,14,105
1475627312,63,57
1475627779,34,35
1475628258,21,140
1475629291,10,79
1475630425,17,66
1475631385,100,144
1475632349,23,77
1475633314,14,133
1475634251,9,82
1475635212,51,48
1475636194,14,88
1475637144,3,41
1475638100,21,69
1475639067,35,54
1475640060,20,63
1475640985,14,75
1475641954,6,98
1475642899,41,65
1475643137,6,2
1475643864,9,88
1475644827,10,50
1475645785,51,52
1475646739,6,112
1475647712,16,75
1475648656,3,49
1475649621,6,84
1475650616,37,90
1475651565,3,78
1475652511,1,71
1475653453,34,32
1475654470,27,102
1475655392,2,55
1475656342,1,52
1475657310,36,123
1475658259,9,65
1475659217,16,76
1475660193,25,63
1475661146,36,95
1475662103,8,43
1475663050,5,3
1475664015,3,19
1475665002,56,43
1475665954,7,58
1475666924,8,53
1475667864,42,119
1475668862,16,0
1475669784,10,144
1475670752,13,96
1475671704,2,0
1475672661,46,180
1475673872,1018,1744
1475674822,7,88
1475675784,57,62
1475677003,20,46
1475677945,8,95
1475678904,29,59
1475679896,10,94
1475680814,8,117
1475681839,7,70
1475682747,42,101
1475683709,7,73
1475684657,24,99
1475685620,9,86
1475686583,9,90
1475687548,42,96
1475688506,11,54
1475689460,1,81
1475690478,12,105
1475691641,67,39
1475692583,7,68
1475693557,4,41
1475694506,5,94
1475695460,51,76
1475696417,22,48
1475697397,5,118
1475698344,53,36
1475699310,11,91
1475700260,16,71
1475701274,46,62
1475702195,6,80
1475703157,14,46
1475704109,23,61
1475705071,26,115
1475706021,5,40
1475706996,6,87
1475707940,10,30
1475708916,13,122
1475709869,26,92
1475710833,10,68
1475711784,58,109
1475712865,5,18
1475713214,20,24
1475713945,14,83
1475714656,23,44
1475714906,6,79
1475715863,22,32
1475716816,51,95
1475717781,76,75
1475718742,11,51
1475719712,7,115
1475720653,54,111
1475721615,7,93
1475722593,25,202
1475723546,29,0
1475724507,10,69
1475725450,13,65
1475726462,24,121
1475727389,3,38
1475728343,70,73
1475729306,11,61
1475730266,24,168
1475731219,6,0
1475732179,45,61
1475733153,29,174
1475734105,41,0
1475735051,4,53
1475736020,28,98
1475736993,9,151
1475737946,4,0
1475738914,8,64
1475739854,50,0
1475740856,9,79
1475741812,4,102
1475742743,45,2
1475743686,4,50
1475744665,10,148
1475745621,7,0
1475746586,50,147
1475747584,4,122
1475748505,3,0
1475749453,6,56
1475750426,57,80
1475751389,7,148
1475752345,5,0
1475753311,8,49
1475754255,51,70
1475755259,19,92
1475756192,11,146
1475757143,8,52
1475758095,53,81
1475759063,16,129
1475760019,903,1400
1475760981,7,76
1475761947,43,35
1475762904,9,127
1475763858,14,70
1475764822,42,58
1475765795,2,116
1475766750,14,41
