DateTime,Entries,UniqueIPs
1475541611,269011,299958
1475542348,269011,299946
1475543315,268977,299908
1475544258,268933,299867
1475545227,268911,299843
1475546217,268925,299847
1475547150,268872,299787
1475548100,268843,299753
1475549070,268779,299678
1475550069,268784,299681
1475550992,268751,299648
1475551964,268705,299598
1475552915,268663,299541
1475553863,268666,299543
1475554825,268620,299494
1475555790,268581,299453
1475556493,268573,299445
1475556745,268490,299351
1475557716,268526,299389
1475558656,268469,299327
1475559617,268441,299296
1475560597,268420,299271
1475561565,268371,299218
1475562513,268318,299162
1475563469,268295,299137
1475564494,268247,299072
1475565621,268205,299024
1475566584,268176,298993
1475567541,268108,298902
1475568501,268119,298911
1475569458,268081,298869
1475570422,268051,298836
1475571381,268007,298777
1475572344,267951,298714
1475573295,267908,298669
1475574250,267839,298591
1475575277,267867,298616
1475576430,267835,298582
1475577391,267763,298501
1475578341,267715,298443
1475579307,267700,298430
1475580262,267657,298382
1475581221,267622,298343
1475582183,267535,298247
1475583157,267559,298270
1475584126,267523,298236
1475585060,267492,298190
1475586099,267408,298088
1475587496,267109,297694
1475588427,267031,297606
1475589491,266976,297547
1475590592,266983,297550
1475591540,266945,297512
1475592494,266885,297446
1475593464,266869,297430
1475594707,266852,297412
1475595621,266835,297397
1475596584,266772,297326
1475597552,266771,297306
1475598509,266733,297266
1475599453,266642,297161
1475600465,266625,297134
1475601410,266659,297162
1475602343,266592,297092
1475603313,266569,297069
1475604269,266484,296957
1475605222,266462,296937
1475606184,266441,296915
1475607148,266361,296826
1475608110,266332,296792
1475609063,266349,296801
1475610031,266308,296753
1475610979,266241,296669
1475611948,266168,296591
1475612907,266170,296592
1475613852,266117,296528
1475614856,266078,296487
1475615788,266067,296473
1475616741,266068,296468
1475617694,266033,296433
1475618675,265956,296342
1475619622,265916,296302
1475620580,265911,296297
1475621547,265850,296228
1475622508,265816,296192
1475623454,265747,296118
1475624430,265763,296138
1475625380,265707,296065
1475626352,265643,295974
1475627312,265656,295980
1475627779,265656,295979
1475628258,265565,295860
1475629291,265514,295791
1475630425,265507,295742
1475631385,265473,295698
1475632349,265424,295644
1475633314,265339,295525
1475634251,265285,295452
1475635212,265293,295455
1475636194,265238,295381
1475637144,265210,295343
