DateTime,Entries,UniqueIPs
1475038802,17075,664635669
1475041446,17076,664635671
1475044802,17079,664635674
1475048402,17078,664635671
1475050511,17079,664635672
1475052205,17077,664635669
1475055909,17075,664635671
1475058902,17076,664635670
1475061606,17076,664635674
1475065040,17078,664635676
1475065502,17078,664635676
1475068603,17075,664635670
1475072185,17074,664635670
1475074091,17075,664635671
1475074502,17076,664635672
1475076019,17076,664635671
1475077505,17075,664635670
1475079408,17076,664635669
1475082002,17078,664079893
1475083202,17086,664079900
1475086802,17087,664080156
1475088602,17087,664080156
1475090118,17086,664080155
1475090412,17082,664080152
1475092332,17081,664080152
1475093859,17079,664080149
1475094252,17076,664076053
1475095202,17075,664076052
1475097602,17079,664076053
1475099403,17079,664076053
1475100907,17078,664076052
1475100955,17076,664076054
1475104803,17074,664076054
1475105102,17074,664076054
1475108402,17087,664076067
1475111764,17086,664076066
1475115610,17084,664076066
1475123293,17073,664076050
1475126109,17078,664076055
1475129500,17076,664076053
1475131508,17074,664076049
1475135402,17074,664076049
1475136910,17076,664076050
1475139902,17075,664076051
1475141284,17074,664076050
1475142062,17078,664076054
1475142485,17079,664076055
1475144172,17078,664076051
1475144818,17079,664075796
1475146335,17079,664075796
1475147498,17079,664075796
1475147708,17078,664075795
1475148002,17078,664075796
1475149803,17078,664075796
1475151692,17076,664075797
1475153107,17077,664075798
1475154907,17078,664075799
1475157002,17076,664075797
1475158088,17074,664070677
1475158286,17074,664070677
1475160306,17073,664070676
1475161444,17074,664070677
1475162164,17073,664070676
1475162403,17072,664070674
1475164502,17071,664070673
1475165707,17070,664070672
1475167064,17070,664070670
1475168402,17068,663985166
1475169305,17067,663985165
1475169846,17067,663985165
1475173439,17067,663985165
1475174707,17060,663985160
1475175002,17060,663985160
1475178602,17060,663985160
1475178902,17058,663985159
1475183487,17060,663985161
1475185802,17069,663985166
1475187126,17069,663985166
1475189402,17070,663985167
1475190002,17069,663985166
1475190703,17071,663985170
1475192885,17070,663985169
1475193007,17069,663985167
1475194313,17069,663985167
1475196726,17069,663985167
1475197502,17086,663985185
1475199906,17087,663985185
1475204415,17092,663985191
1475206802,17079,663985176
1475209246,17079,663985176
1475211302,17077,663985176
1475213402,17072,663985171
1475216108,17073,663985172
1475216239,17073,663985172
1475216859,17072,663985170
1475220015,17074,663985174
1475221685,17073,663985173
1475221802,17072,663984917
1475223902,17073,663984919
1475227008,17078,663984924
1475227683,17079,663984925
1475230567,17079,663984925
1475234402,17080,663984926
1475236802,17078,663984923
1475238243,17079,663984924
1475239202,17079,663984924
1475240417,17079,663984924
1475243106,17078,663984923
1475244907,17077,663984922
1475247902,17073,663984916
1475248654,17074,663985172
1475249748,17077,663985174
1475252446,17077,663985174
1475253602,17075,663985172
1475254802,17073,663965204
1475255289,17073,663965204
1475255866,17073,663965204
1475258102,17075,663965207
1475259775,17075,663965207
1475260203,17076,663965208
1475261402,17076,663965208
1475263124,17071,663965204
1475264102,17070,663965203
1475264885,17071,663965204
1475265002,17072,663965460
1475268727,17072,663965460
1475268902,17075,663965463
1475271958,17075,663965460
1475275506,17076,663965461
1475275802,17076,663965461
1475278802,17073,663965459
1475279402,17073,663965459
1475280246,17077,663965463
1475282706,17076,663965462
1475283002,17076,663965462
1475283602,17097,663965484
1475284090,17096,663965483
1475286007,17094,663965483
1475289845,17094,663965482
1475292602,17074,663965462
1475295902,17074,663965464
1475301002,17073,663965461
1475302507,17072,663965460
1475303286,17073,663965461
1475305502,17075,663965465
1475307694,17072,663965463
1475308576,17073,663965464
1475314327,17071,663965462
1475315108,17081,663965472
1475316908,17082,663965473
1475318265,17079,663965466
1475321774,17078,663965465
1475323802,17079,663965466
1475324106,17078,663965465
1475325430,17073,663965462
1475327289,17072,663965465
1475330702,17079,663965470
1475333106,17079,663965472
1475335298,17079,663965472
1475337002,17079,663965472
1475338806,17078,663965470
1475339247,17078,663965470
1475340726,17078,663965470
1475341202,17075,663919388
1475342646,17075,663919388
1475345706,17072,663919383
1475347802,17072,663919383
1475349080,17072,663919383
1475350202,17070,663919381
1475352695,17070,663919381
1475353802,17067,663919378
1475357527,17070,663919381
1475360808,17073,663919383
1475362203,17073,663919383
1475363706,17072,663919382
1475364603,17075,663919385
1475366402,17076,663919386
1475369702,17101,663919413
1475372403,17103,663919417
1475375402,17107,663919420
1475378885,17091,663919405
1475382376,17088,663919402
1475387108,17087,663919401
1475387702,17091,663919402
1475390708,17090,663919401
1475392918,17092,663919403
1475396477,17093,663919404
1475397129,17094,663919405
1475402102,17093,663919401
1475405110,17092,663919400
1475405784,17093,663919402
1475406906,17093,663919402
1475407252,17093,663919402
1475408611,17093,663919402
1475410291,17094,663919404
1475412603,17094,663919404
1475413444,17088,663919400
1475415905,17087,663919400
1475416201,17087,663919400
1475417706,17087,663919400
1475421124,17085,663919398
1475423112,17082,663919397
1475424965,17083,663919398
1475425803,17088,663919403
1475427125,17089,663919404
1475427602,17091,663922476
1475429102,17093,663922478
1475430213,17092,663922222
1475430306,17093,663922223
1475432105,17092,663921967
1475432702,17091,663921965
1475433765,17091,663921965
1475435501,17091,663921965
1475435765,17090,663921964
1475436121,17091,663921964
1475439096,17091,663921964
1475439797,17093,663921965
1475442695,17093,663921965
1475442905,17094,663921966
1475443575,17091,663921965
1475445125,17092,663922221
1475446298,17092,663922221
1475447176,17094,663922224
1475448602,17094,663922224
1475450402,17093,663921968
1475452502,17094,663921969
1475455803,17094,663921969
1475456403,17109,663921984
1475458802,17107,663921982
1475461803,17107,663921981
1475462706,17106,663921980
1475465288,17086,663921955
1475468608,17084,663921955
1475472302,17083,663921957
1475476090,17083,663921960
1475479279,17088,663921965
1475480888,17087,663921965
1475482806,17087,663921962
1475486646,17088,663921962
1475490485,17089,663921963
1475492102,17084,663921956
1475494522,17086,663921959
1475495402,17087,663922215
1475498709,17083,663922213
1475501402,17088,663922218
1475504107,17089,663922219
1475504572,17088,663922218
1475508252,17086,663921959
1475510178,17087,663921960
1475511086,17087,663921960
1475511679,17086,663921962
1475513402,17086,663921962
1475514006,17089,663917610
1475514302,17088,663917609
1475515502,17085,663917607
1475517133,17085,663917607
1475517902,17086,663917608
1475518299,17086,663917608
1475518701,17088,663917611
1475520602,17087,663917610
1475522295,17093,663917616
1475524503,17093,663917616
1475525764,17092,663917615
1475525867,17090,663917610
1475529605,17094,663917614
1475531527,17094,663917614
1475533050,17094,663917613
1475535003,17094,663917613
1475538312,17093,663917612
1475538602,17089,663917605
1475539503,17090,663917606
1475539896,17090,663917606
1475542098,17089,663917605
1475542203,17089,663917605
1475543508,17104,663917620
1475545925,17101,663917615
1475551206,17103,663917622
1475553602,17089,663917609
1475555704,17088,663917612
1475558702,17085,663917609
1475559913,17086,663917610
1475561710,17087,663917611
1475563802,17085,663917609
1475566089,17086,663917610
1475566202,17089,663917613
1475567112,17089,663910445
1475568964,17090,663910446
1475570885,17090,663910446
1475573765,17089,663910445
1475574002,17089,663910445
1475575687,17084,663910439
1475577602,17088,663910442
1475580228,17088,663910442
1475581005,17089,663910442
1475584978,17083,663910436
1475588405,17081,663910435
1475592246,17084,663910439
1475592601,17084,663910439
1475594165,17086,663910441
1475594779,17086,663910441
1475596502,17091,663910448
1475599505,17094,663910451
1475600703,17090,663885619
1475601307,17090,663885619
1475603767,17086,663885616
1475604704,17088,663885618
1475605685,17087,663885617
1475605802,17086,663885616
1475606707,17086,663885616
1475607002,17086,663885616
1475608800,17086,663885613
1475609704,17085,663885612
1475611901,17085,663885612
1475612409,17088,663885614
1475616245,17086,663885615
1475618165,17087,663885616
1475618402,17086,663885615
1475619496,17088,663885617
1475621402,17088,663885617
1475623125,17092,663885621
1475624707,17091,663885620
1475625846,17092,663885621
1475626673,17088,663885618
1475630302,17115,663885645
1475633852,17116,663885642
1475637610,17105,663885629
1475641203,17080,663885607
1475642102,17082,663885609
1475642707,17085,663885615
1475643002,17084,663885614
1475644802,17080,663885608
1475646310,17079,663885607
1475646602,17075,663885600
1475648263,17082,663885601
1475649910,17083,663885602
1475650201,17082,663885601
1475650502,17085,663885604
1475652002,17083,663885602
1475653801,17083,663885602
1475655455,17080,663885603
1475659017,17084,663885607
1475662822,17080,663885604
1475666243,17084,663885608
1475669843,17082,663885608
1475673606,17087,663885615
1475675702,17088,663885616
1475677203,17086,663885616
1475680711,17080,663885610
1475684106,17078,663885608
1475684409,17083,663885613
1475686806,17087,663863341
1475687907,17086,663863336
1475691610,17085,663863332
1475692506,17084,663863331
1475692802,17085,663863332
1475694984,17082,663863337
1475696706,17081,663863336
1475698602,17084,663863338
1475698625,17084,663863338
1475700306,17083,663863337
1475701888,17083,663863337
1475702402,17084,663863338
1475703302,17084,663863338
1475705841,17084,663863338
1475709437,17082,663863332
1475712002,17084,663863334
1475713012,17090,663863336
1475716648,17103,663863360
1475720411,17105,663863362
1475722331,17105,663863362
1475723821,17104,663863357
1475726700,17103,663863356
1475727403,17092,663863345
1475731041,17095,663863342
1475732709,17096,663863343
1475734606,17091,663863338
1475736307,17092,663863339
1475738241,17092,663863341
1475742002,17094,663863341
1475745368,17093,663863340
1475746082,17094,663863341
1475748011,17093,663863340
1475749216,17095,663863348
1475752549,17095,663863347
1475755502,17095,663863347
1475756401,17094,663863346
1475757603,17093,663863345
1475759839,17094,663863347
1475763480,17095,663863345
1475767053,17092,663863341
1475767577,17092,663863341
1475770763,17090,663863334
1475773202,17095,663830566
1475774205,17096,663830569
1475776086,17097,663896105
1475776202,17097,663896105
1475778008,17096,663896103
1475779932,17096,663896103
1475781420,17091,663896104
1475783409,17091,663896104
1475785024,17090,663896103
1475786706,17091,663896104
1475787002,17091,663896104
1475788631,17092,663896105
1475791202,17091,663896104
1475792412,17100,663896112
1475795848,17100,663896114
1475797506,17099,663896113
1475798702,17101,663896115
1475799445,17103,663896117
1475803034,17126,663896133
1475806810,17128,663896133
1475810236,17121,663896129
1475810782,17122,663896130
1475811906,17121,663896129
1475814302,17106,663896112
1475817429,17109,663896116
1475821035,17108,663896119
1475824531,17107,663896118
1475824642,17108,663896119
1475828413,17110,663896121
1475831495,17111,663896122
1475831876,17109,663896116
1475835453,17111,663896116
1475839014,17110,663896115
1475840889,17111,663896116
1475842818,17110,663896115
1475846240,17112,663896124
1475847907,17111,663896123
1475850002,17108,663896122
1475850486,17108,663896122
1475853469,17110,663896124
1475853978,17110,663896124
1475857077,17107,663896121
1475859602,17101,663859769
1475860802,17102,663859765
1475862602,17102,663859765
1475864215,17101,663859764
1475867766,17102,663859765
1475868002,17105,663859764
1475872006,17102,663859768
1475872502,17102,663859768
1475874717,17102,663859768
1475875004,17101,663859767
1475878802,17101,663859764
1475880605,17101,663859764
1475882401,17109,663859769
1475886011,17111,663859773
1475889386,17120,663859785
1475893027,17124,663859787
1475896624,17117,663859781
1475898306,17116,663859780
1475900403,17094,663859761
1475903766,17092,663859759
1475907602,17089,663859758
1475911202,17089,663859759
1475912891,17088,663859758
1475914811,17089,663859756
1475918281,17092,663859758
1475922002,17093,663859759
1475925428,17093,663859758
1475927404,17093,663859758
1475929044,17088,663859751
1475932607,17093,663859756
1475936185,17092,663859755
1475940009,17092,663860013
1475943852,17093,663860013
1475946002,17100,663825965
1475947064,17095,663825965
1475949002,17095,663825965
1475950657,17093,663825965
1475954405,17091,663825961
1475958002,17094,663825964
1475961453,17097,663825964
1475961749,17097,663825964
1475965205,17097,663825962
1475965619,17097,663825962
1475967127,17097,663825962
1475968604,17098,663825963
1475969047,17098,663825963
1475972245,17104,663825969
1475973906,17103,663825968
1475975850,17116,663825985
1475979607,17114,663825982
1475983033,17111,663825978
1475986611,17096,663825960
1475990206,17099,663825963
1475993721,17099,663825963
1475997902,17103,663825963
1475999286,17104,663825964
1476000714,17103,663825963
1476001213,17098,663825961
1476004648,17093,663825957
1476008403,17092,663825956
1476012002,17094,663825958
1476015619,17092,663825956
1476019030,17093,663825960
1476022802,17095,663825962
1476024305,17093,663823914
1476026403,17090,663823911
