DateTime,AddedIPs,RemovedIPs
1475763722,0,8
1475764321,9,0
1475764922,1,0
1475765522,2,0
1475765762,4,2
1475766122,3,12
1475766722,33,4
1475767321,7,0
1475769122,2,28
1475769362,8,5
1475769721,3,0
1475770322,1,11
1475770921,0,23
1475771521,3,3
1475772121,1,15
1475772963,10,1
1475773321,1,10
1475773922,0,1
1475774522,1,16
1475775721,1,9
1475776563,4,16
1475776922,5,11
1475777522,4,2
1475778121,6,6
1475779322,8,0
1475779922,4,5
1475780162,0,1
1475780521,14,0
1475781722,2,18
1475782922,14,8
1475783522,3,0
1475783763,0,2
1475784122,1,6
1475784722,4,0
1475785322,8,33
1475786522,2,0
1475787362,3,4
1475787721,3,5
1475788321,3,14
1475788922,3,0
1475789521,4,4
1475790122,11,0
1475790721,30,1
1475790963,1,6
1475791322,11,3
1475792522,5,5
1475793122,1,3
1475793722,2,4
1475794321,4,5
1475794563,2,0
1475794922,0,1
1475795521,17,3
1475796122,3,5
1475797322,5,6
1475797922,5,2
1475798162,0,4
1475798521,1,0
1475799121,0,3
1475799721,33,26
1475800321,0,23
1475800381,0,1
1475800921,15,19
1475801763,2,0
1475802122,5,0
1475803321,3,6
1475803923,2,6
1475804521,1,3
1475805362,0,12
1475805722,3,2
1475806322,0,8
1475806922,5,24
1475807521,2,0
1475807581,0,1
1475808122,10,6
1475808722,4,6
1475808962,5,5
1475809322,7,15
1475809922,1,0
1475810522,9,7
1475811121,4,0
1475811721,4,12
1475812562,5,3
1475812921,3,2
1475813521,1,16
1475814122,4,9
1475814721,12,1
1475815322,3,0
1475815921,2,2
1475816522,9,13
1475817121,4,0
1475817722,2,1
1475818327,6,5
1475818921,7,1
1475819762,1,4
1475820121,7,5
1475820726,11,0
1475821322,15,2
1475821921,19,5
1475821981,8,0
1475822522,6,0
1475823122,1,12
1475823363,2,6
1475823721,9,0
1475824323,6,0
1475824922,8,3
1475825521,0,7
1475825581,1,0
1475826121,3,3
1475826721,5,0
1475826963,5,1
1475827321,4,0
1475827921,2,8
1475828522,3,10
1475829121,4,2
1475829181,0,1
1475829722,4,16
1475830322,1,1
1475830563,1,2
1475830921,5,0
1475831522,1,0
1475832122,4,4
1475832722,2,0
1475832781,2,0
1475833321,8,0
1475833922,1,0
1475834162,2,0
1475834522,7,9
1475835121,4,9
1475835722,2,0
1475836322,4,0
1475836922,11,10
1475837522,3,0
1475837762,6,9
1475838122,10,6
1475839321,5,12
1475840522,2,0
1475841122,1,0
1475841721,21,18
1475842321,5,22
1475842922,4,13
1475844121,7,4
1475844721,1,9
1475844962,1,6
1475845321,8,8
1475846522,20,32
1475847121,4,0
1475847722,2,2
1475848322,13,7
1475848562,3,2
1475848922,3,0
1475849522,6,19
1475850123,4,1
1475850721,3,1
1475851322,4,1
1475852169,4,4
1475852522,15,28
1475853721,10,2
1475854321,12,3
1475854381,2,1
1475854922,15,4
1475855522,3,4
1475856122,19,13
1475856722,4,0
1475857321,5,9
1475857922,2,11
1475858522,1,6
1475859122,16,5
1475859363,7,0
1475859722,6,29
1475860322,0,8
1475860921,2,0
1475861522,0,3
1475862122,4,16
1475862722,2,0
1475862962,5,2
1475863322,7,0
1475863922,0,9
1475864521,8,15
1475865181,1,1
1475865722,2,4
1475866562,4,0
1475866922,1,2
1475867521,3,0
1475868122,2,19
1475868722,0,1
1475869323,1,0
1475869922,10,6
1475870162,9,9
1475870522,5,2
1475871121,1,4
1475871721,0,3
1475872321,1,1
1475872381,0,1
1475872921,28,7
