DateTime,AddedIPs,RemovedIPs
1475008106,15,21
1475010059,16,25
1475011938,11,27
1475013852,10,56
1475015782,17,44
1475017707,477,0
1475019621,8,11
1475021538,7,12
1475023452,11,19
1475025376,10,18
1475027300,10,11
1475029208,13,14
1475031141,16,22
1475033049,19,17
1475035003,13,19
1475037150,23,26
1475040984,23,33
1475042905,14,25
1475044830,16,24
1475046751,19,21
1475048650,14,18
1475050580,101,26
1475052495,10,17
1475054419,24,39
1475056351,16,51
1475058255,8,783
1475060220,20,17
1475062104,337,0
1475064060,9,10
1475065940,19,8
1475067855,38,24
1475071746,31,17
1475073642,50,25
1475075552,19,7
1475077450,24,17
1475079381,26,12
1475081302,24,21
1475083211,10,6
1475085140,20,16
1475087071,17,9
1475088990,25,14
1475090903,26,15
1475092857,32,25
1475094751,16,18
1475096659,16,19
1475098587,22,13
1475100502,13,14
1475102419,8,17
1475104342,310,0
1475106255,13,15
1475108179,36,7
1475110101,8,12
1475112025,9,8
1475113936,12,15
1475115851,5,9
1475117776,13,9
1475119702,8,5
1475121663,7,11
1475123538,12,12
1475125457,8,21
1475127383,20,18
1475131217,32,28
1475133135,20,16
1475135053,4,13
1475136983,27,17
1475138903,17,20
1475140823,9,14
1475142746,22,14
1475144653,19,804
1475146588,33,24
1475148540,365,0
1475150467,24,8
1475152355,36,8
1475154267,27,11
1475156192,32,14
1475158110,55,27
1475160041,21,17
1475161939,25,17
1475163849,32,16
1475165794,34,19
1475167701,24,12
1475169617,14,11
1475171538,16,10
1475173454,37,15
1475175383,26,18
1475177334,22,6
1475179265,27,10
1475181143,86,41
1475183056,32,16
1475184983,18,14
1475186898,25,16
1475190744,325,0
1475192656,24,12
1475194582,16,7
1475196512,28,10
1475198411,9,12
1475200337,7,7
1475202248,15,16
1475204178,23,19
1475206102,20,10
1475208060,28,21
1475209942,18,13
1475211862,18,11
1475213784,24,20
1475215702,14,12
1475219543,64,22
1475221450,28,15
1475223391,18,22
1475225305,21,18
1475227213,13,18
1475229148,10,9
1475231054,24,778
1475232982,12,11
1475234903,334,0
1475236858,30,18
1475238737,22,10
1475240656,27,11
1475242583,18,11
1475244502,31,19
1475246668,20,12
1475248581,38,12
1475250505,17,6
1475252412,13,10
1475254345,22,12
1475256254,21,11
1475258184,18,15
1475260103,15,11
1475262062,13,7
1475263947,18,17
1475266115,32,25
1475268023,13,24
1475270208,29,17
1475272122,69,21
1475274033,20,22
1475275952,9,16
1475277867,320,0
1475279815,18,9
1475281716,13,10
1475283671,14,13
1475285577,31,17
1475287465,10,8
1475289389,19,15
1475291347,8,10
1475293220,22,6
1475295155,8,10
1475297061,11,10
1475298995,17,12
1475300917,11,13
1475302830,30,15
1475304756,13,11
1475306667,15,19
1475308606,17,7
1475310516,12,12
1475312490,17,20
1475314349,18,20
1475316263,19,19
1475318198,21,1106
1475320127,16,23
1475322030,467,0
1475323973,22,31
1475325857,18,20
1475328039,12,9
1475329964,18,12
1475331866,13,13
1475333819,15,20
1475335715,23,22
1475337688,41,22
1475339559,32,12
1475341484,52,32
1475345313,60,23
1475347233,30,39
1475357785,182,120
1475361623,46,35
1475363548,436,0
1475365450,25,22
1475367404,11,21
1475369299,11,20
1475371222,22,11
1475373145,14,7
1475375056,14,25
1475376998,13,11
1475378912,12,16
1475380870,15,22
1475382747,13,16
1475384658,17,13
1475386593,17,12
1475388515,106,26
1475390425,19,35
1475392345,18,20
1475394252,14,28
1475396210,28,21
1475398109,13,13
1475400015,28,22
1475401937,24,10
1475403854,71,944
1475405797,26,12
1475407695,415,0
1475419220,190,120
1475421134,33,11
1475423051,34,23
1475424984,28,12
1475426907,35,13
1475428821,22,12
1475430741,24,14
1475432648,33,28
1475434594,17,9
1475436494,30,15
1475438459,65,34
1475442253,30,24
1475444178,13,11
1475446103,19,20
1475448021,38,30
1475449941,379,0
1475451848,9,21
1475453787,14,13
1475455704,11,14
1475457615,17,12
1475459547,18,13
1475461454,9,7
1475463396,6,20
1475465304,12,17
1475467272,10,12
1475469142,21,13
1475471052,23,23
1475474907,33,41
1475476849,18,10
1475479025,30,16
1475480899,62,23
1475482820,17,10
1475484745,23,20
1475486657,38,17
1475488577,22,18
1475490495,16,905
1475492465,26,34
1475494350,455,0
1475496259,25,14
1475498182,75,34
1475502026,72,39
1475503949,25,12
1475505853,41,10
1475507844,47,20
1475509705,30,9
1475511625,24,11
1475513543,27,18
1475515456,26,14
1475517384,22,16
1475519303,24,17
1475521270,35,19
1475523137,23,12
1475525058,34,13
1475526985,52,40
1475530815,47,38
1475532741,23,58
1475534655,16,24
1475536579,409,0
1475538505,9,17
1475540416,12,14
1475542344,8,8
1475544253,5,14
1475546206,14,17
1475548096,12,11
1475550065,17,18
1475553858,18,24
1475555786,39,19
1475559613,22,26
1475561553,18,22
1475563455,9,12
1475565379,17,16
1475567300,14,14
1475569215,12,23
1475571145,6,8
1475573064,21,26
1475574986,10,14
1475576907,29,1237
1475578858,28,33
1475580746,482,0
1475582667,22,21
1475584592,20,20
1475586508,33,30
1475588421,15,28
1475590339,20,10
1475592254,21,13
1475594185,8,7
1475596106,17,18
1475598024,12,17
1475599937,25,20
1475601858,21,15
1475603789,16,9
1475605704,15,19
1475607662,13,16
1475609543,18,23
1475611470,39,55
1475613382,12,23
1475617219,36,56
1475619152,28,21
1475621053,6,21
1475622989,437,0
1475624901,18,18
1475626839,16,17
1475628740,8,9
1475630666,12,23
1475632587,5,18
1475634510,13,13
1475636474,18,19
1475638339,17,13
1475640267,9,21
1475644097,11,19
1475646020,15,15
1475647941,66,27
1475649855,14,19
1475652023,7,18
1475653944,13,36
1475655853,13,20
1475657785,10,19
1475659705,19,36
1475661675,9,30
1475663540,11,1159
1475665456,9,22
1475667384,370,0
1475669303,13,13
1475671211,42,29
1475673397,11,4
1475675302,10,11
1475677470,21,16
1475679404,11,6
1475681306,13,9
1475683266,11,10
1475685139,15,11
1475687057,27,38
1475690910,8,16
1475692817,37,23
1475694751,11,12
1475696657,9,19
1475698582,9,18
1475700501,9,13
1475702660,6,23
1475704581,7,16
1475706510,13,19
1475708459,15,42
1475710350,345,0
1475712266,13,10
1475714184,8,18
1475716099,10,18
1475718014,10,14
1475719937,5,11
1475721857,12,8
1475723788,17,8
1475725705,8,9
1475727615,17,11
1475729542,7,17
1475731459,16,23
1475733386,8,6
1475735307,13,15
1475737265,9,10
1475739137,11,14
1475741062,38,33
1475744908,38,28
1475746820,21,23
1475748737,13,1005
1475750656,17,12
1475752576,333,0
1475754498,25,17
1475756441,43,19
1475758340,30,14
