DateTime,Entries,UniqueIPs
1475019621,1678,1678
1475021538,1673,1673
1475023452,1665,1665
1475025376,1657,1657
1475027300,1656,1656
1475029208,1655,1655
1475031141,1649,1649
1475033049,1651,1651
1475035003,1645,1645
1475037150,1642,1642
1475040984,1632,1632
1475042905,1621,1621
1475044830,1613,1613
1475046751,1611,1611
1475048650,1607,1607
1475050580,1682,1682
1475052495,1675,1675
1475054419,1660,1660
1475056351,1625,1625
1475058255,850,850
1475060220,853,853
1475062104,1190,1190
1475064060,1189,1189
1475065940,1200,1200
1475067855,1214,1214
1475071746,1228,1228
1475073642,1253,1253
1475075552,1265,1265
1475077450,1272,1272
1475079381,1286,1286
1475081302,1289,1289
1475083211,1293,1293
1475085140,1297,1297
1475087071,1305,1305
1475088990,1316,1316
1475090903,1327,1327
1475092857,1334,1334
1475094751,1332,1332
1475096659,1329,1329
1475098587,1338,1338
1475100502,1337,1337
1475102419,1328,1328
1475104342,1638,1638
1475106255,1636,1636
1475108179,1665,1665
1475110101,1661,1661
1475112025,1662,1662
1475113936,1659,1659
1475115851,1655,1655
1475117776,1659,1659
1475119702,1662,1662
1475121663,1658,1658
1475123538,1658,1658
1475125457,1645,1645
1475127383,1647,1647
1475131217,1651,1651
1475133135,1655,1655
1475135053,1646,1646
1475136983,1656,1656
1475138903,1653,1653
1475140823,1648,1648
1475142746,1656,1656
1475144653,871,871
1475146588,880,880
1475148540,1245,1245
1475150467,1261,1261
1475152355,1289,1289
1475154267,1305,1305
1475156192,1323,1323
1475158110,1351,1351
1475160041,1355,1355
1475161939,1363,1363
1475163849,1379,1379
1475165794,1394,1394
1475167701,1406,1406
1475169617,1409,1409
1475171538,1415,1415
1475173454,1437,1437
1475175383,1445,1445
1475177334,1461,1461
1475179265,1478,1478
1475181143,1523,1523
1475183056,1539,1539
1475184983,1543,1543
1475186898,1552,1552
1475190744,1877,1877
1475192656,1889,1889
1475194582,1898,1898
1475196512,1916,1916
1475198411,1913,1913
1475200337,1913,1913
1475202248,1912,1912
1475204178,1916,1916
1475206102,1926,1926
1475208060,1933,1933
1475209942,1938,1938
1475211862,1945,1945
1475213784,1949,1949
1475215702,1951,1951
1475219543,1993,1993
1475221450,2006,2006
1475223391,2002,2002
1475225305,2005,2005
1475227213,2000,2000
1475229148,2001,2001
1475231054,1247,1247
1475232982,1248,1248
1475234903,1582,1582
1475236858,1594,1594
1475238737,1606,1606
1475240656,1622,1622
1475242583,1629,1629
1475244502,1641,1641
1475246668,1649,1649
1475248581,1675,1675
1475250505,1686,1686
1475252412,1689,1689
1475254345,1699,1699
1475256254,1709,1709
1475258184,1712,1712
1475260103,1716,1716
1475262062,1722,1722
1475263947,1723,1723
1475266115,1730,1730
1475268023,1719,1719
1475270208,1731,1731
1475272122,1779,1779
1475274033,1777,1777
1475275952,1770,1770
1475277867,2090,2090
1475279815,2099,2099
1475281716,2102,2102
1475283671,2103,2103
1475285577,2117,2117
1475287465,2119,2119
1475289389,2123,2123
1475291347,2121,2121
1475293220,2137,2137
1475295155,2135,2135
1475297061,2136,2136
1475298995,2141,2141
1475300917,2139,2139
1475302830,2154,2154
1475304756,2156,2156
1475306667,2152,2152
1475308606,2162,2162
1475310516,2162,2162
1475312490,2159,2159
1475314349,2157,2157
1475316263,2157,2157
1475318198,1072,1072
1475320127,1065,1065
1475322030,1532,1532
1475323973,1523,1523
1475325857,1521,1521
1475328039,1524,1524
1475329964,1530,1530
1475331866,1530,1530
1475333819,1525,1525
1475335715,1526,1526
1475337688,1545,1545
1475339559,1565,1565
1475341484,1585,1585
1475345313,1622,1622
1475347233,1613,1613
1475357785,1675,1675
1475361623,1686,1686
1475363548,2122,2122
1475365450,2125,2125
1475367404,2115,2115
1475369299,2106,2106
1475371222,2117,2117
1475373145,2124,2124
1475375056,2113,2113
1475376998,2115,2115
1475378912,2111,2111
1475380870,2104,2104
1475382747,2101,2101
1475384658,2105,2105
1475386593,2110,2110
1475388515,2190,2190
1475390425,2174,2174
1475392345,2172,2172
1475394252,2158,2158
1475396210,2165,2165
1475398109,2165,2165
1475400015,2171,2171
1475401937,2185,2185
1475403854,1312,1312
1475405797,1326,1326
1475407695,1741,1741
1475419220,1811,1811
1475421134,1833,1833
1475423051,1844,1844
1475424984,1860,1860
1475426907,1882,1882
1475428821,1892,1892
1475430741,1902,1902
1475432648,1907,1907
1475434594,1915,1915
1475436494,1930,1930
1475438459,1961,1961
1475442253,1967,1967
1475444178,1969,1969
1475446103,1968,1968
1475448021,1976,1976
1475449941,2355,2355
1475451848,2343,2343
