DateTime,Entries,UniqueIPs
1474245482,1928,1928
1474249082,1910,1910
1474252682,1893,1893
1474256282,1866,1866
1474259881,1867,1867
1474263482,1886,1886
1474267081,1911,1911
1474270681,1950,1950
1474274281,1971,1971
1474277881,2212,2212
1474281481,2426,2426
1474285081,2576,2576
1474288681,2856,2856
1474292281,3152,3152
1474295881,3339,3339
1474299480,3534,3534
1474303080,3673,3673
1474306680,3857,3857
1474310280,4010,4010
1474313880,4153,4153
1474317480,4304,4304
1474321081,4448,4448
1474324681,4652,4652
1474328281,4821,4821
1474331883,4944,4944
1474335483,5091,5091
1474339083,5253,5253
1474342684,5443,5443
1474346283,5514,5514
1474349883,5548,5548
1474353483,5598,5598
1474357083,5717,5717
1474360683,5826,5826
1474364283,5928,5928
1474367883,6140,6140
1474371483,6262,6262
1474375083,6306,6306
1474378683,6416,6416
1474382283,6572,6572
1474385883,6806,6806
1474389482,6862,6862
1474393082,6923,6923
1474396683,6998,6998
1474400282,7052,7052
1474403882,7144,7144
1474407483,7193,7193
1474411082,7329,7329
1474414683,7443,7443
1474418283,7640,7640
1474421884,7846,7846
1474425484,7963,7963
1474429084,8127,8127
1474432684,8347,8347
1474436284,8466,8466
1474439885,8507,8507
1474443484,8552,8552
1474447084,8571,8571
1474450684,8401,8401
1474454284,8211,8211
1474457884,8130,8130
1474461484,7999,7999
1474465084,7820,7820
1474468684,7787,7787
1474472283,7721,7721
1474475883,7759,7759
1474479483,7799,7799
1474483083,7758,7758
1474486683,7689,7689
1474490283,7587,7587
1474493883,7548,7548
1474497483,7446,7446
1474501084,7435,7435
1474504684,7433,7433
1474508284,7429,7429
1474511884,7459,7459
1474515485,7416,7416
1474519085,7400,7400
1474522685,7423,7423
1474526285,7407,7407
1474529884,7327,7327
1474533484,7231,7231
1474537084,7148,7148
1474540685,6992,6992
1474544284,7033,7033
1474547885,7206,7206
1474551485,7416,7416
1474555084,7625,7625
1474558684,7456,7456
1474562284,7505,7505
1474565884,7668,7668
1474569484,7793,7793
1474573084,7873,7873
1474576684,7892,7892
1474580284,7987,7987
1474583888,8010,8010
1474587485,8074,8074
1474591085,8107,8107
1474594686,8090,8090
1474598286,8136,8136
1474601885,8257,8257
1474605486,8187,8187
1474609086,8099,8099
1474612686,8103,8103
1474616287,8100,8100
1474619886,8157,8157
1474623486,8217,8217
1474627087,8379,8379
1474630687,8488,8488
1474634287,8604,8604
1474637887,8604,8604
1474641486,8556,8556
1474645086,8438,8438
1474648686,8336,8336
1474652286,8173,8173
1474655886,8083,8083
1474659487,8046,8046
1474663088,8033,8033
1474666688,7983,7983
1474670288,7912,7912
1474673888,7767,7767
1474677488,7645,7645
1474681089,7517,7517
1474684688,7375,7375
1474688288,7245,7245
1474691889,7175,7175
1474695489,7143,7143
1474699089,7154,7154
1474702689,7188,7188
1474706289,7217,7217
1474709889,7242,7242
1474713490,7208,7208
1474717091,7048,7048
1474720691,6809,6809
1474724291,6514,6514
1474727890,6181,6181
1474731490,6071,6071
1474735090,6010,6010
1474738690,5848,5848
1474742290,5646,5646
1474745890,5537,5537
1474749490,5387,5387
1474753090,5249,5249
1474756691,5088,5088
1474760291,4908,4908
1474763891,4707,4707
1474767491,4528,4528
1474771092,4397,4397
1474774693,4178,4178
1474778293,4012,4012
1474781893,3940,3940
1474785493,3888,3888
1474789093,3812,3812
1474792693,3805,3805
1474796292,3759,3759
1474799892,3617,3617
1474803492,3465,3465
1474807093,3280,3280
1474810692,3205,3205
1474814292,3114,3114
1474817892,3102,3102
1474821492,3084,3084
1474825092,3040,3040
1474828692,2994,2994
1474832292,2979,2979
